1rdqE1.pdb1	1rdqI1.pdb1
6byjA1.pdb1	6byjG1.pdb1
3byaA1.pdb1	3byaB1.pdb1
6bylG1.pdb1	6bylA1.pdb1
4dlqB1.pdb1	4dlqA1.pdb1
2p1oB1.pdb2	2p1oC1.pdb2
5vauE1.pdb1	5vauA1.pdb1
3zfwX1.pdb1	3zfwA1.pdb1
5n8eA1.pdb1	5n8eH1.pdb1
4n8cX1.pdb1	4n8cH1.pdb1
5n85A1.pdb1	5n85B1.pdb1
5n89M1.pdb2	5n89N1.pdb2
3sriB1.pdb1	3sriA1.pdb1
2n8tA1.pdb1	2n8tB1.pdb1
2n8jA1.pdb1	2n8jB1.pdb1
5n8bB1.pdb1	5n8bC1.pdb1
2l7lA1.pdb1	2l7lB1.pdb1
6k3aF1.pdb1	6k3aE1.pdb1
6s07A1.pdb1	6s07C1.pdb1
5lgrD1.pdb1	5lgrH1.pdb1
3lgeG1.pdb1	3lgeC1.pdb1
2lgfB1.pdb1	2lgfA1.pdb1
4lg6B1.pdb1	4lg6A1.pdb1
1tn6B1.pdb1	1tn6C1.pdb1
2g30P1.pdb1	2g30A1.pdb1
6j68C1.pdb1	6j68A1.pdb1
6jjzA1.pdb1	6jjzC1.pdb1
6a33A1.pdb1	6a33I1.pdb1
2a3zC1.pdb1	2a3zA1.pdb1
1a3rP1.pdb1	1a3rH1.pdb1
1ihsH1.pdb1	1ihsI1.pdb1
6a3aD1.pdb1	6a3aC1.pdb1
2jdiH1.pdb1	2jdiI1.pdb1
1jdpA1.pdb1	1jdpH1.pdb1
2jgbB1.pdb1	2jgbA1.pdb1
2v8fC1.pdb1	2v8fA1.pdb1
5v8kA2.pdb1	5v8kB2.pdb1
2v8cC1.pdb1	2v8cA1.pdb1
4kelB1.pdb1	4kelA1.pdb1
4u7iB1.pdb1	4u7iA1.pdb1
1u7bB1.pdb1	1u7bA1.pdb1
1u76D1.pdb1	1u76C1.pdb1
1yrkA1.pdb1	1yrkB1.pdb1
1yr5B1.pdb1	1yr5A1.pdb1
2voyC1.pdb1	2voyB1.pdb1
5c3fB1.pdb1	5c3fA1.pdb1
2k2iB1.pdb1	2k2iA1.pdb1
1k2dB1.pdb1	1k2dP1.pdb1
5k2mG1.pdb1	5k2mK1.pdb1
3ejhF1.pdb2	3ejhB1.pdb2
3gxvC2.pdb2	3gxvB1.pdb2
4gxbA1.pdb1	4gxbB1.pdb1
4gxlA1.pdb1	4gxlB1.pdb1
3hfcB1.pdb1	3hfcA1.pdb1
5jcyA1.pdb1	5jcyB1.pdb1
4mzjA1.pdb1	4mzjT1.pdb1
4mz5C1.pdb1	4mz5E1.pdb1
3ponB1.pdb3	3ponC1.pdb3
4lopB1.pdb2	4lopL1.pdb2
2lozB1.pdb1	2lozA1.pdb1
2loxB1.pdb1	2loxA1.pdb1
3wygC1.pdb1	3wygD1.pdb1
4b4nA1.pdb1	4b4nB1.pdb1
1gjaB1.pdb1	1gjaA1.pdb1
3gj4C1.pdb2	3gj4D1.pdb2
3gjoA1.pdb1	3gjoE1.pdb1
1un0B1.pdb2	1un0D1.pdb2
4z2oA1.pdb1	4z2oP1.pdb1
5oixB1.pdb1	5oixA1.pdb1
4oihA1.pdb1	4oihB1.pdb1
4oi4A1.pdb1	4oi4B1.pdb1
2arrP1.pdb1	2arrA1.pdb1
2l1wB1.pdb1	2l1wA1.pdb1
2l1rA1.pdb1	2l1rB1.pdb1
4xvjA1.pdb1	4xvjH1.pdb1
5hz3A1.pdb1	5hz3B1.pdb1
5hz0B1.pdb1	5hz0A1.pdb1
2hzsL1.pdb8	2hzsH1.pdb8
2hzsI1.pdb8	2hzsB1.pdb8
4pr5C1.pdb1	4pr5A1.pdb1
4mlsB1.pdb1	4mlsA1.pdb1
3mlsS1.pdb4	3mlsK1.pdb4
3mlvQ1.pdb2	3mlvN1.pdb2
6db5Q1.pdb2	6db5I1.pdb2
2xfxA1.pdb1	2xfxC1.pdb1
1d9kQ1.pdb5	1d9kH1.pdb5
5ni9A1.pdb1	5ni9C1.pdb1
4wviD1.pdb1	4wviA1.pdb1
4prnA1.pdb1	4prnC1.pdb1
4x3gC1.pdb1	4x3gA1.pdb1
6fadA1.pdb1	6fadE1.pdb1
5fa4A1.pdb1	5fa4C1.pdb1
4q5uC1.pdb1	4q5uA1.pdb1
1w70C1.pdb1	1w70A1.pdb1
5l23B1.pdb1	5l23A1.pdb1
6b3xB1.pdb1	6b3xA1.pdb1
4tr9B1.pdb1	4tr9G1.pdb1
5xhzD1.pdb2	5xhzB1.pdb2
5uwhD1.pdb1	5uwhC1.pdb1
1xh3A1.pdb1	1xh3C1.pdb1
1xhmA1.pdb1	1xhmC1.pdb1
1bgyK1.pdb1	1bgyJ1.pdb1
6bghA1.pdb1	6bghB1.pdb1
5uwrD1.pdb1	5uwrC1.pdb1
3ul0B1.pdb1	3ul0C1.pdb1
5dhmD1.pdb2	5dhmB1.pdb2
5dhfD1.pdb1	5dhfC1.pdb1
5wknB1.pdb1	5wknD1.pdb1
4j4qB1.pdb1	4j4qA1.pdb1
6f0yB1.pdb1	6f0yA1.pdb1
5szcA1.pdb1	5szcH1.pdb1
4fj3A1.pdb1	4fj3P1.pdb1
2lqcA1.pdb1	2lqcB1.pdb1
5l9bB1.pdb2	5l9bD1.pdb2
6me1C1.pdb2	6me1E1.pdb2
4d6tI1.pdb1	4d6tB1.pdb1
6rh6B1.pdb1	6rh6A1.pdb1
4ka2R1.pdb1	4ka2A1.pdb1
5fvlC1.pdb2	5fvlB1.pdb2
1fv1C1.pdb1	1fv1A1.pdb1
5fvkC1.pdb1	5fvkA1.pdb1
4fvlB1.pdb2	4fvlD1.pdb2
2mtpA1.pdb1	2mtpB1.pdb1
6mtpA1.pdb2	6mtpQ1.pdb2
5mtwD1.pdb1	5mtwF1.pdb1
5v1uF1.pdb2	5v1uB1.pdb2
5v1vD1.pdb2	5v1vB1.pdb2
5az8B1.pdb1	5az8A1.pdb1
2c5kT1.pdb1	2c5kP1.pdb1
5v1tA1.pdb1	5v1tB1.pdb1
4xbuA1.pdb1	4xbuB1.pdb1
1jycB2.pdb1	1jycQ2.pdb1
1jyiA1.pdb1	1jyiP1.pdb1
6bnhA1.pdb1	6bnhB1.pdb1
6d0yB1.pdb1	6d0yC1.pdb1
4d07A2.pdb1	4d07B2.pdb1
2n23A1.pdb1	2n23B1.pdb1
5etaD1.pdb1	5etaB1.pdb1
5ax3B1.pdb1	5ax3A1.pdb1
5u5rA1.pdb1	5u5rB1.pdb1
5u5fD1.pdb1	5u5fA1.pdb1
1r5vE1.pdb2	1r5vA1.pdb2
2p6bA1.pdb1	2p6bE1.pdb1
1uvqA1.pdb1	1uvqC1.pdb1
3uvuA1.pdb1	3uvuB1.pdb1
1uvtH1.pdb1	1uvtL1.pdb1
3uvkB1.pdb1	3uvkA1.pdb1
3v49A1.pdb1	3v49B1.pdb1
5dbrC1.pdb1	5dbrA1.pdb1
3qheD1.pdb2	3qheC1.pdb2
2qhrH1.pdb1	2qhrP1.pdb1
4qh8A1.pdb1	4qh8C1.pdb1
5yayB1.pdb1	5yayA1.pdb1
5l9vD1.pdb2	5l9vB1.pdb2
2lasB1.pdb1	2lasA1.pdb1
3zrjX1.pdb1	3zrjA1.pdb1
3zrzD1.pdb2	3zrzB1.pdb2
4zrkF1.pdb2	4zrkB1.pdb2
4gq6B1.pdb1	4gq6A1.pdb1
6gqnC1.pdb1	6gqnB1.pdb1
5gqrC1.pdb1	5gqrB1.pdb1
4cy1C1.pdb2	4cy1B1.pdb2
4cydC1.pdb2	4cydH1.pdb2
3bzyB2.pdb4	3bzyA2.pdb4
2q6gC1.pdb1	2q6gA1.pdb1
1vzjI1.pdb1	1vzjC1.pdb1
3bzvA1.pdb1	3bzvB1.pdb1
6bz3A1.pdb1	6bz3D1.pdb1
2fseB1.pdb1	2fseE1.pdb1
3fshB1.pdb2	3fshC1.pdb2
3p72B1.pdb1	3p72A1.pdb1
4p7iC1.pdb1	4p7iA1.pdb1
2fx9I1.pdb2	2fx9Q1.pdb2
4ioiA1.pdb1	4ioiC1.pdb1
4gw5B1.pdb1	4gw5E1.pdb1
2gwwA5.pdb2	2gwwB5.pdb2
4q96C1.pdb3	4q96E1.pdb3
4d2gB1.pdb1	4d2gE1.pdb1
3ctoE1.pdb4	3ctoC2.pdb4
5cttA1.pdb1	5cttB1.pdb1
2be6F1.pdb3	2be6C1.pdb3
3h1zA1.pdb1	3h1zP1.pdb1
5y18A1.pdb1	5y18B1.pdb1
6g5gB1.pdb1	6g5gP1.pdb1
3nmxC1.pdb3	3nmxF1.pdb3
5vlaA1.pdb1	5vlaZ1.pdb1
2gppA1.pdb1	2gppC1.pdb1
1mxeB1.pdb2	1mxeF1.pdb2
2gphA1.pdb1	2gphB1.pdb1
6gp7B1.pdb1	6gp7D1.pdb1
2ck0H1.pdb1	2ck0P1.pdb1
6j8eA1.pdb1	6j8eD1.pdb1
4j8sB1.pdb1	4j8sA1.pdb1
3wa0H1.pdb2	3wa0B1.pdb2
5e0uE1.pdb2	5e0uB1.pdb2
4axgB1.pdb2	4axgD1.pdb2
5xjl21.pdb1	5xjlM1.pdb1
2xjzK1.pdb5	2xjzC1.pdb5
6eklB1.pdb1	6eklA1.pdb1
6bcdA1.pdb1	6bcdB1.pdb1
7kmeL1.pdb1	7kmeH1.pdb1
2c9tI1.pdb1	2c9tS1.pdb1
3zilB1.pdb1	3zilA1.pdb1
6hm3A1.pdb1	6hm3B1.pdb1
2z5kB1.pdb1	2z5kA1.pdb1
5bs7F1.pdb1	5bs7B1.pdb1
6e3jB1.pdb1	6e3jA1.pdb1
4p3cH2.pdb1	4p3cM2.pdb1
4p3wK1.pdb3	4p3wE1.pdb3
2y0iA1.pdb1	2y0iS1.pdb1
5zfuC1.pdb1	5zfuH1.pdb1
2lp0B1.pdb1	2lp0A1.pdb1
2lp8A1.pdb1	2lp8B1.pdb1
6j0xF1.pdb2	6j0xB1.pdb2
6j0wC1.pdb1	6j0wA1.pdb1
2m8sB1.pdb1	2m8sA1.pdb1
2mfqA1.pdb1	2mfqB1.pdb1
5mf9B1.pdb1	5mf9A1.pdb1
3oe7Y1.pdb3	3oe711.pdb3
5fkpA1.pdb1	5fkpC1.pdb1
6fkqA1.pdb1	6fkqB1.pdb1
6honA1.pdb1	6honB1.pdb1
5hogD1.pdb1	5hogA1.pdb1
6hosC1.pdb2	6hosB1.pdb2
5hoiA1.pdb1	5hoiD1.pdb1
4homA1.pdb1	4homB1.pdb1
2cv3B1.pdb1	2cv3A1.pdb1
3ntwC1.pdb2	3ntwD1.pdb2
3ul1B1.pdb1	3ul1A1.pdb1
4xgrE1.pdb2	4xgrF1.pdb2
4gywB2.pdb4	4gywA2.pdb4
4zutC1.pdb1	4zutA1.pdb1
1zukB1.pdb1	1zukC1.pdb1
1zuzB1.pdb2	1zuzA1.pdb2
4zusA1.pdb1	4zusC1.pdb1
4zuvC1.pdb1	4zuvA1.pdb1
5zutE1.pdb1	5zutA1.pdb1
1qd6C1.pdb1	1qd6A1.pdb1
1s9vE1.pdb2	1s9vF1.pdb2
3b23B1.pdb1	3b23C1.pdb1
6b27H1.pdb2	6b27B1.pdb2
1j19A1.pdb1	1j19B1.pdb1
4j1vC1.pdb2	4j1vH1.pdb2
1t2vA1.pdb1	1t2vF1.pdb1
1t29A1.pdb1	1t29B1.pdb1
4yo0C1.pdb2	4yo0F1.pdb2
4yooA1.pdb1	4yooX1.pdb1
1yowA1.pdb1	1yowB1.pdb1
5j3hE1.pdb1	5j3hB1.pdb1
4jmlE1.pdb1	4jmlA1.pdb1
1jmtB1.pdb1	1jmtA1.pdb1
5x94A1.pdb1	5x94N1.pdb1
3j47U1.pdb1	3j47T1.pdb1
3j47U1.pdb1	3j47Q1.pdb1
3j47U1.pdb1	3j47S1.pdb1
4j4aA1.pdb1	4j4aC1.pdb1
3sp6B1.pdb1	3sp6A1.pdb1
3uatA1.pdb1	3uatB1.pdb1
5e6qB1.pdb1	5e6qA1.pdb1
3f2oC1.pdb1	3f2oA1.pdb1
4f20A1.pdb1	4f20Q1.pdb1
5ezeE1.pdb1	5ezeB1.pdb1
4f27Q1.pdb1	4f27A1.pdb1
4bh6E1.pdb6	4bh6N1.pdb6
3vcmB1.pdb2	3vcmQ1.pdb2
3vclC1.pdb1	3vclA1.pdb1
2ftsP2.pdb1	2ftsA2.pdb1
4ftgB1.pdb1	4ftgC1.pdb1
4ftgB1.pdb1	4ftgE1.pdb1
5xvwF1.pdb2	5xvwE1.pdb2
2xvcB1.pdb1	2xvcA1.pdb1
3calB1.pdb1	3calA1.pdb1
3dcgE1.pdb2	3dcgD1.pdb2
5li1B1.pdb1	5li1A1.pdb1
4dcbA1.pdb1	4dcbF1.pdb1
1n4mC1.pdb1	1n4mA1.pdb1
5n4bD1.pdb1	5n4bA1.pdb1
2n4qA1.pdb1	2n4qB1.pdb1
1ilqC1.pdb1	1ilqA1.pdb1
4zqwB1.pdb1	4zqwA1.pdb1
3zqiB1.pdb1	3zqiC1.pdb1
3zqfA1.pdb1	3zqfC1.pdb1
3zqgA2.pdb1	3zqgC1.pdb1
3zqhA1.pdb1	3zqhC2.pdb1
6s8nF1.pdb1	6s8nC1.pdb1
3r9iF1.pdb1	3r9iA1.pdb1
3ehuD1.pdb2	3ehuB1.pdb2
5hu3A1.pdb1	5hu3B1.pdb1
2qosA1.pdb1	2qosC1.pdb1
5w5cA2.pdb1	5w5cE2.pdb1
1rqqF1.pdb1	1rqqB1.pdb1
5d3fC1.pdb1	5d3fA1.pdb1
6d3oC1.pdb1	6d3oA1.pdb1
3d32D1.pdb1	3d32B1.pdb1
2d3gP1.pdb1	2d3gA1.pdb1
2lloB1.pdb1	2lloA1.pdb1
3ll8E1.pdb1	3ll8A1.pdb1
3gofB1.pdb2	3gofD1.pdb2
1x11A1.pdb2	1x11C1.pdb2
4x1hA1.pdb1	4x1hC1.pdb1
5vklA1.pdb1	5vklB1.pdb1
3zhaK1.pdb4	3zhaM1.pdb4
1yp0B1.pdb1	1yp0A1.pdb1
1yfnE1.pdb1	1yfnA1.pdb1
4yfbI1.pdb2	4yfbH1.pdb2
4q6sB1.pdb2	4q6sD1.pdb2
3q6sB1.pdb2	3q6sE1.pdb2
6q6hR1.pdb1	6q6hS1.pdb1
5tsxN1.pdb2	5tsxC1.pdb2
4z1mJ1.pdb1	4z1mE1.pdb1
6hy2A3.pdb1	6hy2X3.pdb1
1hxlB1.pdb1	1hxlD1.pdb1
1hymA1.pdb1	1hymB1.pdb1
5hyxB1.pdb1	5hyxA1.pdb1
5a29A1.pdb1	5a29B1.pdb1
4rqiD1.pdb2	4rqiH1.pdb2
3h8aC1.pdb2	3h8aF1.pdb2
6fy0H1.pdb1	6fy0P1.pdb1
2fysC1.pdb2	2fysA1.pdb2
5mjyF1.pdb1	5mjyB1.pdb1
6mj8C1.pdb1	6mj8B1.pdb1
4mj5C1.pdb1	4mj5A1.pdb1
5va9A1.pdb1	5va9C1.pdb1
5vapC1.pdb2	5vapB1.pdb2
5vaqC1.pdb1	5vaqA1.pdb1
3qv1G1.pdb1	3qv1D1.pdb1
3wmgB1.pdb1	3wmgA1.pdb1
6dszA1.pdb1	6dszC1.pdb1
1ds5A1.pdb1	1ds5F1.pdb1
1t6oB1.pdb1	1t6oA1.pdb1
5t6jC1.pdb1	5t6jB1.pdb1
3l6xB1.pdb1	3l6xA1.pdb1
3l6fA1.pdb1	3l6fC1.pdb1
2l6eB1.pdb1	2l6eA1.pdb1
5l6nH1.pdb1	5l6nI1.pdb1
1ucyN1.pdb3	1ucyI1.pdb3
2hqhB1.pdb2	2hqhF1.pdb2
6hquF1.pdb6	6hquN1.pdb6
