4f66A1.pdb1	4f66B1.pdb1
4fe1M1.pdb2	4fe1I1.pdb2
4fe1M1.pdb2	4fe1L2.pdb2
6k61B1.pdb1	6k61M1.pdb1
1jb0X2.pdb1	1jb0I1.pdb1
6k61B1.pdb1	6k61X1.pdb1
1jb0X2.pdb1	1jb0K1.pdb1
1jb0X2.pdb1	1jb0X1.pdb1
1jb0X2.pdb1	1jb0L1.pdb1
1jb0X2.pdb1	1jb0M3.pdb1
1jb0X2.pdb1	1jb0D2.pdb1
1jb0X2.pdb1	1jb0C2.pdb1
5oy001.pdb1	5oy0I1.pdb1
5oy0I1.pdb1	5oy0B1.pdb1
6k61l1.pdb1	6k61b1.pdb1
6ijjB1.pdb1	6ijjD1.pdb1
6k61B1.pdb1	6k61A1.pdb1
5oy081.pdb1	5oy011.pdb1
5oy001.pdb1	5oy0L1.pdb1
6k61l1.pdb1	6k61d1.pdb1
1th7G1.pdb1	1th7F1.pdb1
5a8hM1.pdb1	5a8hR1.pdb1
5ewiL1.pdb1	5ewiH1.pdb1
5vn8G1.pdb1	5vn8H1.pdb1
4kmdA2.pdb2	4kmdA1.pdb2
1de4I2.pdb2	1de4I1.pdb2
1iq8B1.pdb1	1iq8A1.pdb1
2bhmA1.pdb1	2bhmA2.pdb1
3fvqA1.pdb1	3fvqB1.pdb1
3rlfA1.pdb1	3rlfG1.pdb1
4jbwC1.pdb2	4jbwP1.pdb2
3rlfF1.pdb1	3rlfB1.pdb1
3rlfF1.pdb1	3rlfG1.pdb1
1qk3B1.pdb1	1qk3A1.pdb1
1zr0A1.pdb1	1zr0B1.pdb1
5jbtY1.pdb1	5jbtX1.pdb1
6mzbB1.pdb1	6mzbA1.pdb1
6mzbC1.pdb1	6mzbA1.pdb1
3jbqB1.pdb1	3jbqh1.pdb1
3jbqB1.pdb1	3jbql1.pdb1
3moyA1.pdb1	3moyA2.pdb1
4kxfK1.pdb9	4kxfK2.pdb9
1knxD1.pdb1	1knxC1.pdb1
4ix1C1.pdb3	4ix1G1.pdb3
4cw4A2.pdb1	4cw4A1.pdb1
5torB1.pdb1	5torA1.pdb1
3o6cA2.pdb1	3o6cA1.pdb1
3ixsF1.pdb3	3ixsE1.pdb3
3ix4G1.pdb3	3ix4D1.pdb3
4z0gA3.pdb1	4z0gA2.pdb1
6jt2A1.pdb1	6jt2B1.pdb1
5ixiB1.pdb1	5ixiA1.pdb1
3ixgA1.pdb3	3ixgB1.pdb3
4q35A1.pdb1	4q35B1.pdb1
6hrqC1.pdb1	6hrqD1.pdb1
1j34A1.pdb1	1j34B1.pdb1
4hi9B1.pdb1	4hi9A1.pdb1
5m3zA1.pdb1	5m3zA3.pdb1
5ixfA1.pdb1	5ixfB1.pdb1
5w39A3.pdb2	5w39A1.pdb2
5w8jB1.pdb1	5w8jA1.pdb1
6djlG1.pdb3	6djlD1.pdb3
4io1B1.pdb1	4io1A1.pdb1
4ix3B1.pdb1	4ix3A1.pdb1
1rwzA8.pdb2	1rwzA11.pdb2
2ntiD1.pdb1	2ntiE1.pdb1
4ha4A4.pdb1	4ha4A2.pdb1
2uxwA1.pdb1	2uxwA2.pdb1
5u68E1.pdb1	5u68A1.pdb1
6oe4D1.pdb2	6oe4F1.pdb2
6ix8A2.pdb1	6ix8B2.pdb1
2c9qA1.pdb1	2c9qA2.pdb1
4ixoB1.pdb1	4ixoA1.pdb1
1t6lA1.pdb1	1t6lA2.pdb1
6a6mA1.pdb1	6a6mA2.pdb1
1cwqB2.pdb1	1cwqA2.pdb1
1oi6B1.pdb1	1oi6A1.pdb1
1vqsB1.pdb1	1vqsA1.pdb1
5ix1A1.pdb1	5ix1B1.pdb1
4xghA6.pdb1	4xghA3.pdb1
4xlzB1.pdb1	4xlzA1.pdb1
4eswA1.pdb1	4eswB1.pdb1
5vehA1.pdb1	5vehB1.pdb1
6ixqA1.pdb1	6ixqB1.pdb1
5kvcB2.pdb1	5kvcA2.pdb1
5iyxB1.pdb1	5iyxA1.pdb1
3r1wA1.pdb1	3r1wB1.pdb1
2zxeA1.pdb1	2zxeB1.pdb1
4q40D1.pdb4	4q40D3.pdb4
5k1lB1.pdb1	5k1lA1.pdb1
6ixpF1.pdb2	6ixpD1.pdb2
6ixpE1.pdb2	6ixpD1.pdb2
3ioyA1.pdb1	3ioyB1.pdb1
1cukA3.pdb1	1cukA2.pdb1
1ixsB1.pdb1	1ixsA1.pdb1
3lowA1.pdb1	3lowB1.pdb1
1f51B1.pdb1	1f51A1.pdb1
2vi7C2.pdb2	2vi7C1.pdb2
5fdaA1.pdb2	5fdaA2.pdb2
4ixnA1.pdb2	4ixnB2.pdb2
3k1mA1.pdb2	3k1mA2.pdb2
3ak2A1.pdb1	3ak2B1.pdb1
2ixpA1.pdb1	2ixpC1.pdb1
1ixlA2.pdb2	1ixlA1.pdb2
2je4A1.pdb1	2je4B1.pdb1
2ixaA1.pdb1	2ixaA2.pdb1
3hhsA1.pdb1	3hhsB1.pdb1
2x1791.pdb1	2x17R1.pdb1
4qysA1.pdb1	4qysB1.pdb1
2iw3A1.pdb1	2iw3B1.pdb1
2ixqA1.pdb1	2ixqB1.pdb1
3ix0A1.pdb1	3ix0B1.pdb1
3qgtB1.pdb1	3qgtA1.pdb1
2aclC1.pdb5	2aclD1.pdb5
4znvA1.pdb1	4znvB1.pdb1
5d04C1.pdb1	5d04D1.pdb1
3k6sC1.pdb5	3k6sA1.pdb5
4y7oC1.pdb1	4y7oA1.pdb1
6ixhJ1.pdb1	6ixhE1.pdb1
6ixhR1.pdb1	6ixhQ1.pdb1
6b8fA16.pdb1	6b8fA7.pdb1
3g5kA1.pdb2	3g5kC2.pdb2
3ix7B1.pdb1	3ix7A1.pdb1
6qavB1.pdb1	6qavA1.pdb1
5tbyD1.pdb1	5tbyB1.pdb1
4ik8A2.pdb1	4ik8A1.pdb1
2pijB1.pdb1	2pijA1.pdb1
4hjjH1.pdb1	4hjjL1.pdb1
6ddqB2.pdb1	6ddqB1.pdb1
3efzC1.pdb2	3efzD1.pdb2
4g6hA1.pdb1	4g6hB1.pdb1
4bd8B1.pdb1	4bd8A1.pdb1
3bdeB1.pdb2	3bdeB2.pdb2
3bddC1.pdb2	3bddD1.pdb2
6dlzD1.pdb1	6dlzC1.pdb1
1jlrC1.pdb1	1jlrA1.pdb1
3bdwC1.pdb2	3bdwD1.pdb2
5mp9B1.pdb1	5mp921.pdb1
6he541.pdb1	6he551.pdb1
6epfB1.pdb1	6epfC1.pdb1
6bdcA4.pdb1	6bdcA2.pdb1
1zedA1.pdb1	1zedA2.pdb1
2gpaA1.pdb1	2gpaA2.pdb1
4bd9A1.pdb1	4bd9B1.pdb1
2cn1A2.pdb1	2cn1A1.pdb1
4bdtA1.pdb1	4bdtA2.pdb1
3i6uA1.pdb1	3i6uB1.pdb1
3aloA2.pdb1	3aloA1.pdb1
3po1C1.pdb1	3po1B1.pdb1
3hrdE1.pdb1	3hrdF1.pdb1
1bd7A1.pdb1	1bd7B1.pdb1
5bykA1.pdb2	5bykA2.pdb2
6b82A1.pdb1	6b82B1.pdb1
4tq2A2.pdb1	4tq2A1.pdb1
4bf5A1.pdb1	4bf5B1.pdb1
1bdjB1.pdb1	1bdjA1.pdb1
3m1aG1.pdb5	3m1aI1.pdb5
1ku6B1.pdb1	1ku6A1.pdb1
1po5A2.pdb2	1po5A1.pdb2
2qztB1.pdb1	2qztA1.pdb1
2pgnA1.pdb1	2pgnB1.pdb1
6qm7A1.pdb1	6qm7I1.pdb1
6epcA1.pdb1	6epc11.pdb1
6epcB1.pdb1	6epcA1.pdb1
5mp9A1.pdb1	5mp9n1.pdb1
6epf71.pdb1	6epfF1.pdb1
6qm7C1.pdb1	6qm7J1.pdb1
6epf51.pdb1	6epf41.pdb1
4r3oY1.pdb1	4r3oK1.pdb1
6hweI1.pdb1	6hweJ1.pdb1
6qm7C1.pdb1	6qm7K1.pdb1
6epc31.pdb1	6epc21.pdb1
3un8I1.pdb1	3un8H1.pdb1
1rypN1.pdb1	1rypW1.pdb1
6qm7b1.pdb1	6qm7H1.pdb1
6epf71.pdb1	6epf61.pdb1
6epd31.pdb1	6epdC1.pdb1
6qm7V1.pdb1	6qm7H1.pdb1
6epe61.pdb1	6epe51.pdb1
1rypX1.pdb1	1rypM1.pdb1
6a29H1.pdb4	6a29G1.pdb4
7mdhA1.pdb1	7mdhB1.pdb1
1bdoA2.pdb1	1bdoA1.pdb1
6bd2A1.pdb1	6bd2C1.pdb1
6ow4G2.pdb3	6ow4D1.pdb3
2qhlA1.pdb2	2qhlD1.pdb2
6gwkJ1.pdb2	6gwkI1.pdb2
4u2vD1.pdb2	4u2vA1.pdb2
5l0qB1.pdb1	5l0qA1.pdb1
6bdzH1.pdb1	6bdzA1.pdb1
2rd1A1.pdb4	2rd1C2.pdb4
3iwpD1.pdb5	3iwpC1.pdb5
4dn4M1.pdb1	4dn4L1.pdb1
2bdnH1.pdb1	2bdnA1.pdb1
2ra4B1.pdb1	2ra4A1.pdb1
1fscA1.pdb1	1fscA2.pdb1
1bd9B1.pdb1	1bd9A1.pdb1
4zeqB1.pdb1	4zeqA1.pdb1
5tjzA4.pdb1	5tjzA1.pdb1
3bdkB1.pdb1	3bdkA1.pdb1
2uv8B1.pdb1	2uv8A2.pdb1
5zx3A1.pdb1	5zx3B1.pdb1
2bdtA2.pdb1	2bdtA1.pdb1
3bdlA1.pdb2	3bdlA2.pdb2
1bdyA1.pdb1	1bdyB1.pdb1
6jxrn1.pdb1	6jxrm1.pdb1
4l4vG1.pdb1	4l4vA1.pdb1
4nqeE2.pdb5	4nqeA1.pdb5
4glnF1.pdb1	4glnE1.pdb1
2r7eA1.pdb1	2r7eB1.pdb1
2bdrB1.pdb1	2bdrA1.pdb1
4whsA3.pdb1	4whsB3.pdb1
6pceB1.pdb1	6pceA1.pdb1
5n5dA1.pdb1	5n5dB1.pdb1
2cyyA1.pdb1	2cyyA2.pdb1
1pcfH1.pdb4	1pcfG1.pdb4
3mmpA1.pdb1	3mmpG1.pdb1
2jtiB1.pdb1	2jtiA1.pdb1
2uuiA2.pdb1	2uuiA1.pdb1
4gedA1.pdb1	4gedB1.pdb1
3hzaA3.pdb1	3hzaA1.pdb1
4mbyF1.pdb2	4mbyJ1.pdb2
2h3nC1.pdb1	2h3nD1.pdb1
6pcuI1.pdb3	6pcuG1.pdb3
6pcuH1.pdb3	6pcuG1.pdb3
3ocuA2.pdb1	3ocuA1.pdb1
1o5xB1.pdb1	1o5xA1.pdb1
2z6rA1.pdb1	2z6rB1.pdb1
5vrkB1.pdb1	5vrkA1.pdb1
1mhwD1.pdb2	1mhwB1.pdb2
3pcsD1.pdb4	3pcsH1.pdb4
6cvlD1.pdb1	6cvlC1.pdb1
4k8gA4.pdb1	4k8gA6.pdb1
3qvgA1.pdb1	3qvgB1.pdb1
3pc6B1.pdb1	3pc6A1.pdb1
3e12A2.pdb1	3e12B2.pdb1
3llsB1.pdb1	3llsA1.pdb1
3pcrB1.pdb1	3pcrA1.pdb1
3ie9A5.pdb2	3ie9A1.pdb2
3pc7A2.pdb1	3pc7A1.pdb1
1dbtC2.pdb2	1dbtC1.pdb2
4p72D1.pdb1	4p72C1.pdb1
4p72D1.pdb1	4p72B1.pdb1
2alyB1.pdb1	2alyB2.pdb1
4pbzB1.pdb1	4pbzA1.pdb1
2f1fA4.pdb2	2f1fB4.pdb2
3ociB1.pdb1	3ociA1.pdb1
4z9wA1.pdb1	4z9wB1.pdb1
4pcwA1.pdb1	4pcwB1.pdb1
5tleC1.pdb1	5tleB1.pdb1
3lv0A1.pdb1	3lv0B1.pdb1
4pj1B1.pdb1	4pj1C1.pdb1
1pcqD1.pdb1	1pcqR1.pdb1
4pkn21.pdb1	4pkn11.pdb1
1pc6A1.pdb1	1pc6B1.pdb1
5c54D1.pdb1	5c54C1.pdb1
7pcyA3.pdb1	7pcyA1.pdb1
1j3lD1.pdb2	1j3lF1.pdb2
3q31A1.pdb1	3q31B1.pdb1
1tt4A1.pdb1	1tt4B1.pdb1
1f86B1.pdb1	1f86A1.pdb1
5bv2S1.pdb1	5bv2P1.pdb1
4tt9D1.pdb2	4tt9C1.pdb2
6se8A2.pdb1	6se8A1.pdb1
4migA1.pdb1	4migB1.pdb1
4uzsA1.pdb1	4uzsB1.pdb1
4tt0A1.pdb1	4tt0B1.pdb1
5e0kF1.pdb2	5e0kE1.pdb2
6rdbX1.pdb1	6rdbU1.pdb1
2v7qD1.pdb1	2v7qJ1.pdb1
2jdiD1.pdb1	2jdiG1.pdb1
4tt3H1.pdb1	4tt3C1.pdb1
2jdiA1.pdb1	2jdiG1.pdb1
5hkkN1.pdb2	5hkkL1.pdb2
4tsfI1.pdb1	4tsfD1.pdb1
4z1mH1.pdb1	4z1mG1.pdb1
5tthA1.pdb1	5tthB1.pdb1
3q0xB1.pdb1	3q0xA1.pdb1
5e7wA3.pdb1	5e7wB3.pdb1
4r2xF1.pdb1	4r2xE1.pdb1
5ko8B1.pdb2	5ko8B2.pdb2
2nvuC1.pdb1	2nvuB1.pdb1
1tt5B1.pdb1	1tt5A1.pdb1
1dunA1.pdb1	1dunA2.pdb1
5ttaB2.pdb1	5ttaA1.pdb1
5ttxD1.pdb2	5ttxA1.pdb2
3uh0A2.pdb1	3uh0A1.pdb1
3toyD2.pdb1	3toyD1.pdb1
2f2cA1.pdb1	2f2cB1.pdb1
3t6sA1.pdb1	3t6sB1.pdb1
4q5eC1.pdb1	4q5eB1.pdb1
5udhB1.pdb2	5udhD1.pdb2
5tteF1.pdb1	5tteB1.pdb1
5ovkD1.pdb1	5ovkB1.pdb1
4xptA1.pdb1	4xptL1.pdb1
3tt3A1.pdb1	3tt3H1.pdb1
2pfdC2.pdb2	2pfdD2.pdb2
5vscA1.pdb1	5vscB1.pdb1
4tscA1.pdb1	4tscH1.pdb1
4n1eD1.pdb2	4n1eJ1.pdb2
4bmvI1.pdb4	4bmvH1.pdb4
5g1sC1.pdb2	5g1sD1.pdb2
2l0jB1.pdb1	2l0jC1.pdb1
4jxkA1.pdb1	4jxkB1.pdb1
6fpoL1.pdb1	6fpoS1.pdb1
1d09A1.pdb1	1d09B1.pdb1
4fyxD3.pdb1	4fyxB3.pdb1
1ekxA1.pdb1	1ekxB1.pdb1
3fo3B2.pdb1	3fo3B3.pdb1
1ttwB2.pdb1	1ttwA2.pdb1
1ttwA2.pdb1	1ttwA1.pdb1
1cs1A1.pdb1	1cs1C1.pdb1
5ko4A1.pdb1	5ko4B1.pdb1
4l98A1.pdb1	4l98B1.pdb1
1twiC1.pdb3	1twiD1.pdb3
5nj9D1.pdb2	5nj9C1.pdb2
3njnA1.pdb2	3njnC1.pdb2
6iq1C1.pdb2	6iq1B1.pdb2
1moxA1.pdb1	1moxC1.pdb1
3rt2A2.pdb2	3rt2A1.pdb2
5zuvA1.pdb1	5zuvC1.pdb1
3ltfC1.pdb1	3ltfA1.pdb1
3njaB1.pdb1	3njaA1.pdb1
3e05G1.pdb1	3e05E1.pdb1
6hjxD1.pdb1	6hjxE1.pdb1
3vatA10.pdb1	3vatA7.pdb1
3gg9C1.pdb2	3gg9B1.pdb2
1iegB1.pdb1	1iegA1.pdb1
3wkvA3.pdb2	3wkvA1.pdb2
6ojmB2.pdb1	6ojmA2.pdb1
4hvcB1.pdb1	4hvcA1.pdb1
5njdK1.pdb6	5njdM1.pdb6
3hmxA1.pdb1	3hmxH1.pdb1
5mj3B1.pdb1	5mj3A1.pdb1
3d85A1.pdb1	3d85C1.pdb1
4njpA2.pdb2	4njpA1.pdb2
6o2rC1.pdb1	6o2rI1.pdb1
3rycA1.pdb1	3rycE1.pdb1
4i4tA1.pdb1	4i4tF1.pdb1
5mytA2.pdb1	5mytA1.pdb1
3njcA1.pdb1	3njcB1.pdb1
6njkB1.pdb1	6njkA1.pdb1
6njdD1.pdb2	6njdC1.pdb2
4njhB1.pdb1	4njhA1.pdb1
6njgB1.pdb1	6njgB2.pdb1
3a1qE1.pdb2	3a1qF1.pdb2
3ondA1.pdb1	3ondB1.pdb1
1wlsB1.pdb1	1wlsA1.pdb1
6njcA1.pdb1	6njcB1.pdb1
6b68C1.pdb1	6b68D1.pdb1
1yxmD1.pdb1	1yxmA1.pdb1
6njpB1.pdb1	6njpC1.pdb1
6njpG1.pdb1	6njpA1.pdb1
6njyB1.pdb1	6njyA1.pdb1
3nj2B1.pdb1	3nj2A1.pdb1
6hcoD1.pdb1	6hcoA1.pdb1
4k3dH1.pdb1	4k3dL1.pdb1
6etiE1.pdb1	6etiA1.pdb1
6hzmA1.pdb1	6hzmB1.pdb1
1njkA1.pdb1	1njkB1.pdb1
3tfqB1.pdb1	3tfqA1.pdb1
1njrA2.pdb1	1njrA1.pdb1
3nw4A4.pdb1	3nw4A3.pdb1
3ck4C1.pdb1	3ck4D1.pdb1
5nj6A1.pdb1	5nj6L1.pdb1
5xjmH1.pdb1	5xjmA1.pdb1
1njhA2.pdb1	1njhA1.pdb1
5j5fH1.pdb2	5j5fG1.pdb2
4a5sB1.pdb1	4a5sA1.pdb1
4nogB1.pdb1	4nogA1.pdb1
4oahC1.pdb1	4oahA1.pdb1
2ovhA1.pdb2	2ovhB1.pdb2
2oa5B2.pdb1	2oa5A2.pdb1
2oarA1.pdb1	2oarB1.pdb1
3oa7A2.pdb1	3oa7A1.pdb1
4oayB1.pdb1	4oayN1.pdb1
6oaoK1.pdb6	6oaoL1.pdb6
3sxxE1.pdb3	3sxxF1.pdb3
6oabD1.pdb1	6oabC1.pdb1
6oa9B1.pdb1	6oa9G1.pdb1
6oa9C1.pdb1	6oa9K1.pdb1
6oa9G1.pdb1	6oa9K1.pdb1
6dj9L1.pdb1	6dj9G1.pdb1
3oakD1.pdb1	3oakA1.pdb1
3qviD1.pdb1	3qviC1.pdb1
4huzA1.pdb1	4huzA2.pdb1
4bedD4.pdb1	4bedC4.pdb1
4imlA1.pdb2	4imlB1.pdb2
4oaaA1.pdb1	4oaaB1.pdb1
6oabB1.pdb1	6oabH1.pdb1
3kraA1.pdb2	3kraB1.pdb2
3s2eH1.pdb2	3s2eB1.pdb2
6oauD1.pdb2	6oauB1.pdb2
3ktlA1.pdb1	3ktlB1.pdb1
1muwA2.pdb2	1muwA4.pdb2
3npkB1.pdb1	3npkA1.pdb1
3qkcA1.pdb1	3qkcB1.pdb1
3oaaS1.pdb3	3oaaX1.pdb3
5ik2I1.pdb2	5ik2O1.pdb2
3oaaX1.pdb3	3oaaV1.pdb3
6fkfg1.pdb1	6fkfB1.pdb1
3oaaX1.pdb3	3oaaW1.pdb3
3fpcD1.pdb1	3fpcB1.pdb1
4re1B1.pdb2	4re1C1.pdb2
5oakC1.pdb2	5oakD1.pdb2
5bn1B2.pdb1	5bn1A2.pdb1
6fhsB1.pdb1	6fhsF1.pdb1
1xvpC1.pdb4	1xvpD1.pdb4
6oanD1.pdb2	6oanC1.pdb2
4oaeA1.pdb2	4oaeA2.pdb2
3oa8A1.pdb1	3oa8C1.pdb1
3oa8A1.pdb1	3oa8B1.pdb1
3oa8B1.pdb1	3oa8D1.pdb1
1oauO1.pdb4	1oauK1.pdb4
5oa4A2.pdb1	5oa4A1.pdb1
2weuA1.pdb2	2weuB1.pdb2
5oatA1.pdb1	5oatB1.pdb1
4gsxA2.pdb1	4gsxA1.pdb1
6bbnC1.pdb1	6bbnE1.pdb1
6bu2A1.pdb1	6bu2B1.pdb1
6oncD1.pdb2	6oncC1.pdb2
1oaoB1.pdb1	1oaoC1.pdb1
5oarA1.pdb1	5oarB1.pdb1
5oarD1.pdb1	5oarB1.pdb1
1fnsH1.pdb1	1fnsA1.pdb1
1fnsL1.pdb1	1fnsA1.pdb1
4murA1.pdb1	4murB1.pdb1
5gruH1.pdb1	5gruL1.pdb1
4ihqC2.pdb1	4ihqA1.pdb1
2aqpA1.pdb2	2aqpB1.pdb2
1vicA1.pdb3	1vicB1.pdb3
1lamA3.pdb1	1lamA6.pdb1
4opaA1.pdb1	4opaB1.pdb1
1leeA4.pdb3	1leeA2.pdb3
6rldG1.pdb1	6rldA1.pdb1
1oaaA2.pdb1	1oaaA1.pdb1
5i1uA1.pdb1	5i1uB1.pdb1
3vc3C1.pdb2	3vc3D1.pdb2
6oawA1.pdb1	6oawB1.pdb1
6oapA1.pdb1	6oapB1.pdb1
5oavD1.pdb2	5oavC1.pdb2
2oaiA1.pdb1	2oaiA2.pdb1
1oa8D1.pdb2	1oa8C1.pdb2
1gzmB1.pdb1	1gzmA1.pdb1
1oazH1.pdb1	1oazA1.pdb1
1oazA1.pdb1	1oazL1.pdb1
3o9zC1.pdb1	3o9zD1.pdb1
3gk7A1.pdb1	3gk7B1.pdb1
2oa2A2.pdb1	2oa2A1.pdb1
4le9A2.pdb1	4le9A1.pdb1
2oafA1.pdb1	2oafB1.pdb1
1ub3C1.pdb1	1ub3A1.pdb1
3oaoA2.pdb1	3oaoA1.pdb1
2glfA3.pdb1	2glfD3.pdb1
4acfA2.pdb1	4acfE1.pdb1
5gl2B1.pdb1	5gl2A1.pdb1
1glcG2.pdb3	1glcF3.pdb3
2w40D1.pdb2	2w40B1.pdb2
4gl9A1.pdb1	4gl9E1.pdb1
5buwA3.pdb1	5buwB3.pdb1
1gsaA1.pdb1	1gsaA3.pdb1
6glcA1.pdb1	6glcB1.pdb1
5gl5B1.pdb1	5gl5A1.pdb1
3gl3A1.pdb1	3gl3D1.pdb1
5xk2B2.pdb1	5xk2A1.pdb1
3gl5A1.pdb1	3gl5A2.pdb1
1e9rB1.pdb1	1e9rD1.pdb1
3u1kB1.pdb2	3u1kC1.pdb2
4wkgE1.pdb1	4wkgB1.pdb1
1pixB1.pdb1	1pixA1.pdb1
4gn4B1.pdb1	4gn4A1.pdb1
1j8fA1.pdb2	1j8fC2.pdb2
3txyA2.pdb1	3txyA1.pdb1
6nq6A1.pdb1	6nq6B1.pdb1
4id0A1.pdb1	4id0B1.pdb1
6igkA1.pdb1	6igkB1.pdb1
5glfC1.pdb2	5glfD1.pdb2
3glwZ3.pdb1	3glwA3.pdb1
3glwZ3.pdb1	3glwZ4.pdb1
5wofC1.pdb1	5wofA1.pdb1
2f91A1.pdb1	2f91B1.pdb1
3gl0C1.pdb1	3gl0A1.pdb1
5ab8A1.pdb1	5ab8A2.pdb1
4ucsA1.pdb1	4ucsA2.pdb1
1gvhA8.pdb1	1gvhA11.pdb1
5gljD1.pdb1	5gljB1.pdb1
3sl9D1.pdb2	3sl9B1.pdb2
1g3jA1.pdb1	1g3jB1.pdb1
3uw3B1.pdb1	3uw3A1.pdb1
1gl4B1.pdb1	1gl4A1.pdb1
6q2nA1.pdb1	6q2nC1.pdb1
6q2jD1.pdb1	6q2jF1.pdb1
5nmzD1.pdb2	5nmzC1.pdb2
1g0oD1.pdb1	1g0oC1.pdb1
6f37B3.pdb2	6f37B2.pdb2
2glzB1.pdb1	2glzA1.pdb1
3mmwA1.pdb5	3mmwB1.pdb5
3w1zC2.pdb1	3w1zD2.pdb1
3t94E1.pdb2	3t94F1.pdb2
3om1B1.pdb1	3om1A1.pdb1
1gl2C1.pdb1	1gl2A1.pdb1
1gl2C1.pdb1	1gl2D1.pdb1
1gl2C1.pdb1	1gl2B1.pdb1
1gl2A1.pdb1	1gl2D1.pdb1
3hd7B1.pdb1	3hd7A1.pdb1
1gl2D1.pdb1	1gl2B1.pdb1
1c7cD1.pdb1	1c7cA1.pdb1
4hanB1.pdb1	4hanA1.pdb1
6glxA1.pdb1	6glxL1.pdb1
6gkuA2.pdb1	6gkuH2.pdb1
1jr3D1.pdb1	1jr3E1.pdb1
1jr3D1.pdb1	1jr3C1.pdb1
1jr3E1.pdb1	1jr3B1.pdb1
1jr3B1.pdb1	1jr3A1.pdb1
3glcE1.pdb1	3glcG1.pdb1
5x9qA1.pdb1	5x9qB1.pdb1
4glyA1.pdb1	4glyB1.pdb1
1gl1J1.pdb2	1gl1B1.pdb2
1p92A2.pdb2	1p92A1.pdb2
3gl6A1.pdb1	3gl6A2.pdb1
5z0rA1.pdb1	5z0rB1.pdb1
5kh0C1.pdb2	5kh0D1.pdb2
3ec8A1.pdb2	3ec8A2.pdb2
2e46A2.pdb1	2e46A1.pdb1
