1e19A1.pdb1	1e19B1.pdb1	2417.0
3e19A1.pdb4	3e19B1.pdb4	602.05
3e19B1.pdb4	3e19C1.pdb4	526.35
6e18A1.pdb1	6e18A3.pdb1	3563.55
6e18A1.pdb1	6e18A2.pdb1	3563.6
6e18A3.pdb1	6e18A2.pdb1	3563.55
4e1fA1.pdb2	4e1fA2.pdb2	1133.3
4e1oA1.pdb1	4e1oB1.pdb1	6414.75
5e1aC4.pdb2	5e1aC3.pdb2	37.2
5e1aC4.pdb2	5e1aC2.pdb2	1074.55
5e1aC4.pdb2	5e1aC1.pdb2	1074.55
5e1aC3.pdb2	5e1aC2.pdb2	1074.55
5e1aC3.pdb2	5e1aC1.pdb2	1074.55
5e1aC2.pdb2	5e1aC1.pdb2	37.2
6e12B3.pdb2	6e12B4.pdb2	53.6
6e12B3.pdb2	6e12A3.pdb2	1484.75
6e12B3.pdb2	6e12B1.pdb2	464.5
6e12B3.pdb2	6e12A4.pdb2	556.7
6e12A2.pdb2	6e12B2.pdb2	1484.75
6e12A2.pdb2	6e12B1.pdb2	556.7
6e12B4.pdb2	6e12B2.pdb2	464.5
6e12B4.pdb2	6e12A3.pdb2	556.7
6e12B4.pdb2	6e12A4.pdb2	1484.75
6e12A1.pdb2	6e12B2.pdb2	556.7
6e12A1.pdb2	6e12B1.pdb2	1484.75
6e12B2.pdb2	6e12B1.pdb2	53.6
2e1eA2.pdb2	2e1eA1.pdb2	425.8
2e11A1.pdb1	2e11C1.pdb1	1649.6
3e1kJ1.pdb3	3e1kI1.pdb3	742.8
3e1kI1.pdb3	3e1kK1.pdb3	1888.15
3e1kK1.pdb3	3e1kL1.pdb3	734.55
2e1yA1.pdb1	2e1yA2.pdb1	3154.95
5e1wA1.pdb1	5e1wA2.pdb1	3876.8
1e1qE1.pdb1	1e1qG1.pdb1	525.25
1e1qE1.pdb1	1e1qA1.pdb1	1756.95
1e1qE1.pdb1	1e1qB1.pdb1	1861.85
1e1qG1.pdb1	1e1qF1.pdb1	453.75
1e1qG1.pdb1	1e1qC1.pdb1	178.9
1e1qG1.pdb1	1e1qA1.pdb1	642.2
1e1qG1.pdb1	1e1qD1.pdb1	599.9
1e1qG1.pdb1	1e1qB1.pdb1	206.3
1e1qF1.pdb1	1e1qC1.pdb1	2200.1
1e1qF1.pdb1	1e1qD1.pdb1	104.95
1e1qF1.pdb1	1e1qB1.pdb1	2119.1
1e1qC1.pdb1	1e1qD1.pdb1	2956.75
1e1qA1.pdb1	1e1qD1.pdb1	2496.6
2e15A1.pdb1	2e15B1.pdb1	2484.75
6e18A3.pdb2	6e18A2.pdb2	3563.55
6e18A3.pdb2	6e18A5.pdb2	345.35
6e18A3.pdb2	6e18A1.pdb2	3563.55
6e18A2.pdb2	6e18A6.pdb2	345.3
6e18A2.pdb2	6e18A1.pdb2	3563.6
6e18A4.pdb2	6e18A5.pdb2	3563.65
6e18A4.pdb2	6e18A6.pdb2	3563.6
6e18A4.pdb2	6e18A1.pdb2	345.35
6e18A5.pdb2	6e18A6.pdb2	3563.65
3e1nJ2.pdb1	3e1nA2.pdb1	513.3
3e1nJ2.pdb1	3e1nI2.pdb1	896.65
3e1nJ2.pdb1	3e1nB2.pdb1	503.15
3e1nJ2.pdb1	3e1nK2.pdb1	506.4
3e1nJ2.pdb1	3e1nD1.pdb1	512.8
3e1nJ2.pdb1	3e1nG2.pdb1	28.7
3e1nA2.pdb1	3e1nB2.pdb1	902.25
3e1nA2.pdb1	3e1nA1.pdb1	31.8
3e1nA2.pdb1	3e1nD1.pdb1	507.25
3e1nA2.pdb1	3e1nC1.pdb1	506.35
3e1nA2.pdb1	3e1nC2.pdb1	505.8
3e1nI2.pdb1	3e1nK2.pdb1	506.3
3e1nI2.pdb1	3e1nD1.pdb1	505.2
3e1nI2.pdb1	3e1nF2.pdb1	511.05
3e1nI2.pdb1	3e1nE2.pdb1	503.4
3e1nI2.pdb1	3e1nH1.pdb1	29.35
3e1nB2.pdb1	3e1nK2.pdb1	32.1
3e1nB2.pdb1	3e1nC2.pdb1	510.05
3e1nB2.pdb1	3e1nG2.pdb1	508.15
3e1nB2.pdb1	3e1nH2.pdb1	509.3
3e1nF1.pdb1	3e1nE1.pdb1	897.5
3e1nF1.pdb1	3e1nK1.pdb1	512.2
3e1nF1.pdb1	3e1nF2.pdb1	29.0
3e1nF1.pdb1	3e1nL2.pdb1	508.55
3e1nF1.pdb1	3e1nL1.pdb1	499.6
3e1nF1.pdb1	3e1nI1.pdb1	511.05
3e1nJ1.pdb1	3e1nD2.pdb1	512.8
3e1nJ1.pdb1	3e1nB1.pdb1	503.15
3e1nJ1.pdb1	3e1nG1.pdb1	28.7
3e1nJ1.pdb1	3e1nK1.pdb1	506.4
3e1nJ1.pdb1	3e1nA1.pdb1	513.3
3e1nJ1.pdb1	3e1nI1.pdb1	896.65
3e1nE1.pdb1	3e1nD2.pdb1	29.05
3e1nE1.pdb1	3e1nL2.pdb1	507.75
3e1nE1.pdb1	3e1nI1.pdb1	503.4
3e1nE1.pdb1	3e1nG2.pdb1	514.3
3e1nE1.pdb1	3e1nH2.pdb1	502.6
3e1nK2.pdb1	3e1nF2.pdb1	512.2
3e1nK2.pdb1	3e1nL2.pdb1	904.05
3e1nK2.pdb1	3e1nG2.pdb1	502.05
3e1nD2.pdb1	3e1nA1.pdb1	507.2
3e1nD2.pdb1	3e1nC2.pdb1	900.2
3e1nD2.pdb1	3e1nI1.pdb1	505.2
3e1nD2.pdb1	3e1nH2.pdb1	504.15
3e1nB1.pdb1	3e1nG1.pdb1	508.15
3e1nB1.pdb1	3e1nK1.pdb1	32.1
3e1nB1.pdb1	3e1nA1.pdb1	902.25
3e1nB1.pdb1	3e1nC1.pdb1	510.05
3e1nB1.pdb1	3e1nH1.pdb1	509.25
3e1nG1.pdb1	3e1nK1.pdb1	502.05
3e1nG1.pdb1	3e1nL1.pdb1	508.3
3e1nG1.pdb1	3e1nE2.pdb1	514.3
3e1nG1.pdb1	3e1nH1.pdb1	899.9
3e1nK1.pdb1	3e1nL1.pdb1	904.05
3e1nK1.pdb1	3e1nI1.pdb1	506.3
3e1nA1.pdb1	3e1nC1.pdb1	505.8
3e1nA1.pdb1	3e1nC2.pdb1	506.3
3e1nD1.pdb1	3e1nC1.pdb1	900.25
3e1nD1.pdb1	3e1nE2.pdb1	29.05
3e1nD1.pdb1	3e1nH1.pdb1	504.15
3e1nF2.pdb1	3e1nL2.pdb1	499.6
3e1nF2.pdb1	3e1nL1.pdb1	508.55
3e1nF2.pdb1	3e1nE2.pdb1	897.5
3e1nL2.pdb1	3e1nL1.pdb1	32.1
3e1nL2.pdb1	3e1nG2.pdb1	508.3
3e1nC1.pdb1	3e1nC2.pdb1	30.9
3e1nC1.pdb1	3e1nH1.pdb1	515.15
3e1nL1.pdb1	3e1nE2.pdb1	507.75
3e1nE2.pdb1	3e1nH1.pdb1	502.6
3e1nC2.pdb1	3e1nH2.pdb1	515.2
3e1nI1.pdb1	3e1nH2.pdb1	29.4
3e1nG2.pdb1	3e1nH2.pdb1	899.95
4e1nA2.pdb1	4e1nA1.pdb1	1343.8
6e1oA1.pdb2	6e1oB1.pdb2	3005.3
4e1gB1.pdb1	4e1gA1.pdb1	2531.15
5e18I1.pdb1	5e18F1.pdb1	35.55
5e18I1.pdb1	5e18C1.pdb1	423.0
5e18I1.pdb1	5e18D1.pdb1	198.0
5e18I1.pdb1	5e18G1.pdb1	350.2
5e18F1.pdb1	5e18C1.pdb1	2262.0
5e18F1.pdb1	5e18D1.pdb1	3664.15
5e18F1.pdb1	5e18G1.pdb1	28.75
5e18F1.pdb1	5e18H1.pdb1	1191.5
5e18C1.pdb1	5e18D1.pdb1	8574.5
5e18C1.pdb1	5e18A1.pdb1	1965.5
5e18C1.pdb1	5e18E1.pdb1	99.9
5e18C1.pdb1	5e18G1.pdb1	522.95
5e18C1.pdb1	5e18B1.pdb1	248.45
5e18C1.pdb1	5e18H1.pdb1	860.95
5e18D1.pdb1	5e18A1.pdb1	47.25
5e18D1.pdb1	5e18E1.pdb1	2316.85
5e18D1.pdb1	5e18G1.pdb1	658.1
5e18D1.pdb1	5e18B1.pdb1	1244.05
5e18D1.pdb1	5e18H1.pdb1	234.7
5e18A1.pdb1	5e18B1.pdb1	1553.2
5e18E1.pdb1	5e18B1.pdb1	15.2
5e18G1.pdb1	5e18H1.pdb1	469.8
2e12A1.pdb1	2e12B1.pdb1	317.6
6e1rC1.pdb1	6e1rB1.pdb1	3900.4
6e1rC1.pdb1	6e1rA1.pdb1	3838.45
6e1rB1.pdb1	6e1rA1.pdb1	3797.9
1e1cD1.pdb2	1e1cC1.pdb2	5177.15
1e15A1.pdb1	1e15B1.pdb1	1369.95
6e1pB1.pdb1	6e1pA1.pdb1	3868.7
5e1dE1.pdb2	5e1dB1.pdb2	508.8
6e15C1.pdb1	6e15G1.pdb1	55.15
6e15C1.pdb1	6e15F1.pdb1	1209.05
6e15C1.pdb1	6e15D1.pdb1	617.8
6e15G1.pdb1	6e15H1.pdb1	1167.55
6e15G1.pdb1	6e15F1.pdb1	1291.95
6e15G1.pdb1	6e15D1.pdb1	1095.55
6e15H1.pdb1	6e15D1.pdb1	303.1
6e15F1.pdb1	6e15D1.pdb1	130.05
1e14L1.pdb1	1e14M1.pdb1	4486.9
1e14L1.pdb1	1e14H1.pdb1	1565.25
1e14M1.pdb1	1e14H1.pdb1	2681.45
2e16B2.pdb2	2e16A1.pdb2	429.95
2e16B2.pdb2	2e16B1.pdb2	483.8
2e16B2.pdb2	2e16A2.pdb2	2433.1
2e16A1.pdb2	2e16B1.pdb2	2433.1
2e16A1.pdb2	2e16A2.pdb2	23.4
2e16B1.pdb2	2e16A2.pdb2	429.95
3e1zB1.pdb1	3e1zA1.pdb1	854.1
4e12A1.pdb1	4e12A2.pdb1	1626.0
5e1cD1.pdb1	5e1cB1.pdb1	527.95
5e1cA1.pdb1	5e1cC1.pdb1	583.85
5e1cA1.pdb1	5e1cB1.pdb1	1548.2
2e1qA1.pdb1	2e1qB1.pdb1	2606.2
1e12A2.pdb1	1e12A3.pdb1	973.4
1e12A2.pdb1	1e12A1.pdb1	973.4
1e12A3.pdb1	1e12A1.pdb1	973.4
6e1jB1.pdb1	6e1jA1.pdb1	3644.15
4e10A1.pdb1	4e10A2.pdb1	1194.1
4e10A1.pdb1	4e10D1.pdb1	760.95
4e10A1.pdb1	4e10C1.pdb1	845.8
4e10C2.pdb1	4e10A2.pdb1	845.8
4e10C2.pdb1	4e10D2.pdb1	446.85
4e10A2.pdb1	4e10D2.pdb1	760.95
4e10D1.pdb1	4e10C1.pdb1	446.85
5e1uA20.pdb1	5e1uA6.pdb1	1374.1
5e1uA20.pdb1	5e1uA11.pdb1	590.4
5e1uA20.pdb1	5e1uA15.pdb1	650.95
5e1uA20.pdb1	5e1uA19.pdb1	31.1
5e1uA20.pdb1	5e1uA12.pdb1	591.65
5e1uA20.pdb1	5e1uA22.pdb1	652.15
5e1uA6.pdb1	5e1uA11.pdb1	652.15
5e1uA6.pdb1	5e1uA5.pdb1	31.1
5e1uA6.pdb1	5e1uA4.pdb1	650.95
5e1uA6.pdb1	5e1uA21.pdb1	591.7
5e1uA6.pdb1	5e1uA22.pdb1	590.35
5e1uA18.pdb1	5e1uA9.pdb1	591.65
5e1uA18.pdb1	5e1uA8.pdb1	1374.1
5e1uA18.pdb1	5e1uA10.pdb1	590.4
5e1uA18.pdb1	5e1uA23.pdb1	652.15
5e1uA18.pdb1	5e1uA16.pdb1	650.95
5e1uA18.pdb1	5e1uA17.pdb1	31.1
5e1uA11.pdb1	5e1uA19.pdb1	591.7
5e1uA11.pdb1	5e1uA12.pdb1	30.6
5e1uA11.pdb1	5e1uA4.pdb1	652.1
5e1uA11.pdb1	5e1uA14.pdb1	1377.35
5e1uA9.pdb1	5e1uA10.pdb1	30.6
5e1uA9.pdb1	5e1uA5.pdb1	652.15
5e1uA9.pdb1	5e1uA16.pdb1	1377.35
5e1uA9.pdb1	5e1uA1.pdb1	652.05
5e1uA9.pdb1	5e1uA17.pdb1	590.35
5e1uA3.pdb1	5e1uA8.pdb1	650.95
5e1uA3.pdb1	5e1uA10.pdb1	652.1
5e1uA3.pdb1	5e1uA24.pdb1	1377.35
5e1uA3.pdb1	5e1uA4.pdb1	31.6
5e1uA3.pdb1	5e1uA13.pdb1	594.95
5e1uA3.pdb1	5e1uA14.pdb1	594.95
5e1uA8.pdb1	5e1uA10.pdb1	652.15
5e1uA8.pdb1	5e1uA24.pdb1	591.7
5e1uA8.pdb1	5e1uA23.pdb1	590.35
5e1uA8.pdb1	5e1uA7.pdb1	31.1
5e1uA10.pdb1	5e1uA13.pdb1	1377.35
5e1uA10.pdb1	5e1uA17.pdb1	591.7
5e1uA15.pdb1	5e1uA12.pdb1	1377.35
5e1uA15.pdb1	5e1uA16.pdb1	31.6
5e1uA15.pdb1	5e1uA2.pdb1	594.95
5e1uA15.pdb1	5e1uA1.pdb1	594.95
5e1uA15.pdb1	5e1uA22.pdb1	652.05
5e1uA5.pdb1	5e1uA1.pdb1	650.95
5e1uA5.pdb1	5e1uA21.pdb1	590.4
5e1uA5.pdb1	5e1uA17.pdb1	1374.1
5e1uA5.pdb1	5e1uA22.pdb1	591.65
5e1uA24.pdb1	5e1uA19.pdb1	652.15
5e1uA24.pdb1	5e1uA23.pdb1	30.6
5e1uA24.pdb1	5e1uA7.pdb1	590.4
5e1uA24.pdb1	5e1uA14.pdb1	652.1
5e1uA19.pdb1	5e1uA12.pdb1	590.35
5e1uA19.pdb1	5e1uA7.pdb1	1374.1
5e1uA19.pdb1	5e1uA14.pdb1	650.95
5e1uA12.pdb1	5e1uA2.pdb1	652.05
5e1uA12.pdb1	5e1uA7.pdb1	652.15
5e1uA23.pdb1	5e1uA16.pdb1	652.05
5e1uA23.pdb1	5e1uA2.pdb1	1377.35
5e1uA23.pdb1	5e1uA7.pdb1	591.65
5e1uA16.pdb1	5e1uA2.pdb1	594.95
5e1uA16.pdb1	5e1uA1.pdb1	594.95
5e1uA2.pdb1	5e1uA1.pdb1	31.6
5e1uA2.pdb1	5e1uA7.pdb1	650.95
5e1uA1.pdb1	5e1uA22.pdb1	1377.35
5e1uA4.pdb1	5e1uA21.pdb1	1377.35
5e1uA4.pdb1	5e1uA13.pdb1	594.95
5e1uA4.pdb1	5e1uA14.pdb1	594.95
5e1uA21.pdb1	5e1uA13.pdb1	652.1
5e1uA21.pdb1	5e1uA17.pdb1	652.15
5e1uA21.pdb1	5e1uA22.pdb1	30.6
5e1uA13.pdb1	5e1uA17.pdb1	650.95
5e1uA13.pdb1	5e1uA14.pdb1	31.6
6e1141.pdb1	6e1151.pdb1	4434.15
6e1141.pdb1	6e1161.pdb1	52.65
6e1141.pdb1	6e11k1.pdb1	592.6
6e1141.pdb1	6e11D1.pdb1	971.25
6e1141.pdb1	6e11d1.pdb1	740.65
6e1141.pdb1	6e1131.pdb1	3116.5
6e1141.pdb1	6e11c1.pdb1	58.55
6e1141.pdb1	6e11E1.pdb1	480.8
6e11m1.pdb1	6e1161.pdb1	718.75
6e11m1.pdb1	6e11f1.pdb1	163.2
6e11n1.pdb1	6e11g1.pdb1	175.45
6e1151.pdb1	6e1161.pdb1	4704.2
6e1151.pdb1	6e11l1.pdb1	499.75
6e1151.pdb1	6e11F1.pdb1	344.5
6e1151.pdb1	6e11d1.pdb1	94.75
6e1151.pdb1	6e11E1.pdb1	811.65
6e1151.pdb1	6e11e1.pdb1	518.6
6e1161.pdb1	6e11G1.pdb1	35.75
6e1161.pdb1	6e11F1.pdb1	848.15
6e1161.pdb1	6e11f1.pdb1	276.15
6e1161.pdb1	6e11e1.pdb1	139.95
6e1161.pdb1	6e1111.pdb1	63.65
6e11g1.pdb1	6e11G1.pdb1	1274.15
6e11g1.pdb1	6e11A1.pdb1	1670.7
6e11g1.pdb1	6e11a1.pdb1	515.8
6e11g1.pdb1	6e11f1.pdb1	511.5
6e11g1.pdb1	6e11B1.pdb1	247.4
6e11g1.pdb1	6e1111.pdb1	260.3
6e11G1.pdb1	6e11A1.pdb1	1275.05
6e11G1.pdb1	6e11F1.pdb1	1358.75
6e11G1.pdb1	6e11f1.pdb1	1710.6
6e11G1.pdb1	6e11e1.pdb1	238.75
6e11h1.pdb1	6e11a1.pdb1	201.6
6e11h1.pdb1	6e1111.pdb1	414.95
6e11k1.pdb1	6e11d1.pdb1	190.75
6e11j1.pdb1	6e1131.pdb1	496.05
6e11j1.pdb1	6e11c1.pdb1	186.6
6e11i1.pdb1	6e1121.pdb1	362.1
6e11i1.pdb1	6e11B1.pdb1	0.05
6e11i1.pdb1	6e11b1.pdb1	197.35
6e11A1.pdb1	6e11a1.pdb1	1143.65
6e11A1.pdb1	6e11f1.pdb1	248.5
6e11A1.pdb1	6e11B1.pdb1	1394.3
6e11A1.pdb1	6e1111.pdb1	253.1
6e11a1.pdb1	6e1121.pdb1	135.7
6e11a1.pdb1	6e11C1.pdb1	237.6
6e11a1.pdb1	6e11B1.pdb1	1698.55
6e11a1.pdb1	6e11b1.pdb1	516.05
6e11a1.pdb1	6e1111.pdb1	521.0
6e1121.pdb1	6e1131.pdb1	4567.75
6e1121.pdb1	6e11C1.pdb1	357.7
6e1121.pdb1	6e11B1.pdb1	975.4
6e1121.pdb1	6e11b1.pdb1	529.6
6e1121.pdb1	6e1111.pdb1	4745.25
6e1121.pdb1	6e1101.pdb1	159.4
6e11l1.pdb1	6e11e1.pdb1	171.35
6e11F1.pdb1	6e11f1.pdb1	1295.5
6e11F1.pdb1	6e11d1.pdb1	248.55
6e11F1.pdb1	6e11E1.pdb1	1334.45
6e11F1.pdb1	6e11e1.pdb1	1683.05
6e11f1.pdb1	6e11e1.pdb1	480.55
6e11D1.pdb1	6e11d1.pdb1	1225.9
6e11D1.pdb1	6e1131.pdb1	309.05
6e11D1.pdb1	6e11c1.pdb1	1632.55
6e11D1.pdb1	6e11C1.pdb1	1281.05
6e11D1.pdb1	6e11E1.pdb1	1425.95
6e11D1.pdb1	6e11b1.pdb1	229.95
6e11d1.pdb1	6e11c1.pdb1	509.5
6e11d1.pdb1	6e11E1.pdb1	1696.2
6e11d1.pdb1	6e11e1.pdb1	517.1
6e1131.pdb1	6e11c1.pdb1	534.65
6e1131.pdb1	6e11C1.pdb1	969.35
6e1131.pdb1	6e11b1.pdb1	143.25
6e1131.pdb1	6e1111.pdb1	68.8
6e1131.pdb1	6e1101.pdb1	125.25
6e11c1.pdb1	6e11C1.pdb1	1200.75
6e11c1.pdb1	6e11E1.pdb1	248.6
6e11c1.pdb1	6e11b1.pdb1	505.9
6e11C1.pdb1	6e11B1.pdb1	1339.85
6e11C1.pdb1	6e11b1.pdb1	1674.1
6e11E1.pdb1	6e11e1.pdb1	1230.2
6e11B1.pdb1	6e11b1.pdb1	1233.45
6e11B1.pdb1	6e1111.pdb1	347.95
6e1111.pdb1	6e1101.pdb1	147.2
3e15A1.pdb1	3e15B1.pdb1	1102.35
5e1oA1.pdb1	5e1oD1.pdb1	545.4
1e1zP1.pdb1	1e1zP2.pdb1	1228.4
5e1rE1.pdb2	5e1rD1.pdb2	2587.2
5e1rE1.pdb2	5e1rF1.pdb2	2424.25
5e1rD1.pdb2	5e1rF1.pdb2	2567.2
3e1oG2.pdb1	3e1oB2.pdb1	520.7
3e1oG2.pdb1	3e1oK2.pdb1	508.55
3e1oG2.pdb1	3e1oL2.pdb1	499.2
3e1oG2.pdb1	3e1oE1.pdb1	504.75
3e1oG2.pdb1	3e1oH2.pdb1	900.05
3e1oG2.pdb1	3e1oJ2.pdb1	30.25
3e1oG1.pdb1	3e1oJ1.pdb1	30.3
3e1oG1.pdb1	3e1oL1.pdb1	499.2
3e1oG1.pdb1	3e1oB1.pdb1	520.7
3e1oG1.pdb1	3e1oK1.pdb1	508.55
3e1oG1.pdb1	3e1oH1.pdb1	900.05
3e1oG1.pdb1	3e1oE2.pdb1	504.75
3e1oB2.pdb1	3e1oK2.pdb1	33.0
3e1oB2.pdb1	3e1oA2.pdb1	898.25
3e1oB2.pdb1	3e1oH2.pdb1	504.2
3e1oB2.pdb1	3e1oC2.pdb1	501.0
3e1oB2.pdb1	3e1oJ2.pdb1	511.6
3e1oK2.pdb1	3e1oL2.pdb1	899.35
3e1oK2.pdb1	3e1oI2.pdb1	502.2
3e1oK2.pdb1	3e1oF2.pdb1	504.55
3e1oK2.pdb1	3e1oJ2.pdb1	518.1
3e1oA2.pdb1	3e1oC1.pdb1	518.4
3e1oA2.pdb1	3e1oA1.pdb1	32.4
3e1oA2.pdb1	3e1oC2.pdb1	511.7
3e1oA2.pdb1	3e1oD1.pdb1	503.1
3e1oA2.pdb1	3e1oJ2.pdb1	507.1
3e1oJ1.pdb1	3e1oI1.pdb1	896.4
3e1oJ1.pdb1	3e1oB1.pdb1	511.6
3e1oJ1.pdb1	3e1oK1.pdb1	518.1
3e1oJ1.pdb1	3e1oD2.pdb1	508.15
3e1oJ1.pdb1	3e1oA1.pdb1	507.1
3e1oL1.pdb1	3e1oL2.pdb1	33.4
3e1oL1.pdb1	3e1oK1.pdb1	899.35
3e1oL1.pdb1	3e1oF2.pdb1	520.15
3e1oL1.pdb1	3e1oF1.pdb1	508.55
3e1oL1.pdb1	3e1oE2.pdb1	502.45
3e1oL2.pdb1	3e1oE1.pdb1	502.45
3e1oL2.pdb1	3e1oF2.pdb1	508.55
3e1oL2.pdb1	3e1oF1.pdb1	520.15
3e1oI2.pdb1	3e1oF2.pdb1	502.95
3e1oI2.pdb1	3e1oD1.pdb1	518.9
3e1oI2.pdb1	3e1oJ2.pdb1	896.4
3e1oI2.pdb1	3e1oH1.pdb1	29.5
3e1oI2.pdb1	3e1oE2.pdb1	516.8
3e1oC1.pdb1	3e1oB1.pdb1	501.0
3e1oC1.pdb1	3e1oA1.pdb1	511.7
3e1oC1.pdb1	3e1oC2.pdb1	31.1
3e1oC1.pdb1	3e1oD1.pdb1	900.15
3e1oC1.pdb1	3e1oH1.pdb1	509.3
3e1oE1.pdb1	3e1oH2.pdb1	513.3
3e1oE1.pdb1	3e1oI1.pdb1	516.75
3e1oE1.pdb1	3e1oD2.pdb1	30.1
3e1oE1.pdb1	3e1oF1.pdb1	896.55
3e1oH2.pdb1	3e1oI1.pdb1	29.5
3e1oH2.pdb1	3e1oD2.pdb1	515.4
3e1oH2.pdb1	3e1oC2.pdb1	509.25
3e1oI1.pdb1	3e1oK1.pdb1	502.2
3e1oI1.pdb1	3e1oD2.pdb1	518.9
3e1oI1.pdb1	3e1oF1.pdb1	502.95
3e1oB1.pdb1	3e1oK1.pdb1	33.0
3e1oB1.pdb1	3e1oA1.pdb1	898.25
3e1oB1.pdb1	3e1oH1.pdb1	504.2
3e1oK1.pdb1	3e1oF1.pdb1	504.55
3e1oD2.pdb1	3e1oA1.pdb1	503.05
3e1oD2.pdb1	3e1oC2.pdb1	900.15
3e1oF2.pdb1	3e1oF1.pdb1	30.65
3e1oF2.pdb1	3e1oE2.pdb1	896.55
3e1oA1.pdb1	3e1oC2.pdb1	518.4
3e1oD1.pdb1	3e1oJ2.pdb1	508.2
3e1oD1.pdb1	3e1oH1.pdb1	515.4
3e1oD1.pdb1	3e1oE2.pdb1	30.1
3e1oH1.pdb1	3e1oE2.pdb1	513.3
3e1wA1.pdb2	3e1wB1.pdb2	1502.9
6e1nB1.pdb1	6e1nA1.pdb1	3526.6
3e1lG1.pdb1	3e1lE2.pdb1	526.8
3e1lG1.pdb1	3e1lL1.pdb1	521.0
3e1lG1.pdb1	3e1lB1.pdb1	542.2
3e1lG1.pdb1	3e1lK1.pdb1	534.0
3e1lG1.pdb1	3e1lJ1.pdb1	28.35
3e1lG1.pdb1	3e1lH1.pdb1	918.5
3e1lC2.pdb1	3e1lA2.pdb1	536.55
3e1lC2.pdb1	3e1lC1.pdb1	29.9
3e1lC2.pdb1	3e1lB2.pdb1	522.05
