5zlzI1.pdb1	5zlzE1.pdb1	1223.6
3zllB1.pdb1	3zllA1.pdb1	350.45
3zllB1.pdb1	3zllD1.pdb1	294.35
3zllA1.pdb1	3zllD1.pdb1	1432.0
4zloA1.pdb1	4zloB2.pdb1	675.5
5zlpJ1.pdb1	5zlpI1.pdb1	1823.4
5zlpJ1.pdb1	5zlpK1.pdb1	1816.45
5zlpJ1.pdb1	5zlpD1.pdb1	2872.8
5zlpJ1.pdb1	5zlpE1.pdb1	284.75
5zlpI1.pdb1	5zlpH1.pdb1	1872.15
5zlpI1.pdb1	5zlpE1.pdb1	2887.8
5zlpI1.pdb1	5zlpF1.pdb1	284.8
5zlpC1.pdb1	5zlpB1.pdb1	1912.9
5zlpC1.pdb1	5zlpK1.pdb1	2882.15
5zlpC1.pdb1	5zlpD1.pdb1	1861.95
5zlpC1.pdb1	5zlpL1.pdb1	304.25
5zlpB1.pdb1	5zlpA1.pdb1	1847.0
5zlpB1.pdb1	5zlpL1.pdb1	2882.05
5zlpB1.pdb1	5zlpG1.pdb1	301.0
5zlpA1.pdb1	5zlpH1.pdb1	295.5
5zlpA1.pdb1	5zlpF1.pdb1	1868.6
5zlpA1.pdb1	5zlpG1.pdb1	2891.4
5zlpK1.pdb1	5zlpD1.pdb1	298.55
5zlpK1.pdb1	5zlpL1.pdb1	1865.35
5zlpD1.pdb1	5zlpE1.pdb1	1809.05
5zlpD1.pdb1	5zlpG1.pdb1	0.05
5zlpH1.pdb1	5zlpF1.pdb1	2896.1
5zlpH1.pdb1	5zlpG1.pdb1	1824.55
5zlpL1.pdb1	5zlpG1.pdb1	1821.95
5zlpE1.pdb1	5zlpF1.pdb1	1821.15
3zlrB1.pdb1	3zlrA1.pdb1	2062.25
5zlaB1.pdb1	5zlaD1.pdb1	2865.5
5zlaB1.pdb1	5zlaA1.pdb1	2803.2
5zlaD1.pdb1	5zlaA1.pdb1	2785.45
2zl5B1.pdb1	2zl5A1.pdb1	1537.7
2zlgA1.pdb1	2zlgA2.pdb1	1206.7
3zlpY1.pdb3	3zlpX1.pdb3	717.2
3zlpY1.pdb3	3zlpZ1.pdb3	1241.2
3zlpX1.pdb3	3zlpW1.pdb3	1229.6
3zlpU1.pdb3	3zlpV1.pdb3	1280.4
3zlpU1.pdb3	3zlpd1.pdb3	864.0
3zlpV1.pdb3	3zlpW1.pdb3	703.25
3zlpa1.pdb3	3zlpZ1.pdb3	780.05
3zlpa1.pdb3	3zlpb1.pdb3	1243.0
3zlpd1.pdb3	3zlpc1.pdb3	1219.35
3zlpc1.pdb3	3zlpb1.pdb3	738.55
1zliB1.pdb1	1zliA1.pdb1	1041.25
3zl7C1.pdb1	3zl7A1.pdb1	1059.95
3zlkD2.pdb2	3zlkC1.pdb2	17.35
3zlkD2.pdb2	3zlkC2.pdb2	1311.05
3zlkD2.pdb2	3zlkD1.pdb2	1822.7
3zlkC1.pdb2	3zlkC2.pdb2	1817.8
3zlkC1.pdb2	3zlkD1.pdb2	1311.05
3zlkC2.pdb2	3zlkD1.pdb2	17.4
3zl9B1.pdb1	3zl9C1.pdb1	1034.2
3zl9B1.pdb1	3zl9A1.pdb1	1050.95
3zl9C1.pdb1	3zl9D1.pdb1	1091.5
3zl9A1.pdb1	3zl9D1.pdb1	1008.1
1zljD1.pdb2	1zljC1.pdb2	494.55
2zl8B1.pdb1	2zl8A1.pdb1	6483.95
4zl6A4.pdb1	4zl6E2.pdb1	442.2
4zl6A4.pdb1	4zl6F2.pdb1	438.45
4zl6A4.pdb1	4zl6E4.pdb1	483.65
4zl6A4.pdb1	4zl6D2.pdb1	473.5
4zl6A4.pdb1	4zl6C4.pdb1	14.3
4zl6A4.pdb1	4zl6F4.pdb1	943.1
4zl6E2.pdb1	4zl6F2.pdb1	435.85
4zl6E2.pdb1	4zl6D3.pdb1	13.8
4zl6E2.pdb1	4zl6A2.pdb1	483.65
4zl6E2.pdb1	4zl6D2.pdb1	939.55
4zl6E2.pdb1	4zl6C2.pdb1	471.95
4zl6D1.pdb1	4zl6A3.pdb1	473.45
4zl6D1.pdb1	4zl6C3.pdb1	470.05
4zl6D1.pdb1	4zl6B3.pdb1	433.7
4zl6D1.pdb1	4zl6C1.pdb1	434.0
4zl6D1.pdb1	4zl6E3.pdb1	13.8
4zl6D1.pdb1	4zl6E1.pdb1	939.55
4zl6F2.pdb1	4zl6F3.pdb1	502.5
4zl6F2.pdb1	4zl6A2.pdb1	943.1
4zl6F2.pdb1	4zl6F4.pdb1	502.5
4zl6F2.pdb1	4zl6F1.pdb1	21.0
4zl6F3.pdb1	4zl6A2.pdb1	438.45
4zl6F3.pdb1	4zl6A3.pdb1	943.1
4zl6F3.pdb1	4zl6F4.pdb1	21.0
4zl6F3.pdb1	4zl6F1.pdb1	502.5
4zl6F3.pdb1	4zl6E3.pdb1	435.85
4zl6B1.pdb1	4zl6B2.pdb1	14.5
4zl6B1.pdb1	4zl6B4.pdb1	477.4
4zl6B1.pdb1	4zl6C4.pdb1	433.4
4zl6B1.pdb1	4zl6B3.pdb1	477.4
4zl6B1.pdb1	4zl6C1.pdb1	956.45
4zl6B1.pdb1	4zl6D4.pdb1	433.7
4zl6D3.pdb1	4zl6A2.pdb1	473.45
4zl6D3.pdb1	4zl6B2.pdb1	433.7
4zl6D3.pdb1	4zl6C3.pdb1	434.0
4zl6D3.pdb1	4zl6E3.pdb1	939.55
4zl6D3.pdb1	4zl6C2.pdb1	470.05
4zl6A1.pdb1	4zl6E4.pdb1	442.2
4zl6A1.pdb1	4zl6F4.pdb1	438.45
4zl6A1.pdb1	4zl6C1.pdb1	14.3
4zl6A1.pdb1	4zl6F1.pdb1	943.1
4zl6A1.pdb1	4zl6D4.pdb1	473.5
4zl6A1.pdb1	4zl6E1.pdb1	483.65
4zl6A2.pdb1	4zl6E3.pdb1	442.2
4zl6A2.pdb1	4zl6C2.pdb1	14.3
4zl6B2.pdb1	4zl6B4.pdb1	477.4
4zl6B2.pdb1	4zl6C3.pdb1	433.4
4zl6B2.pdb1	4zl6B3.pdb1	477.4
4zl6B2.pdb1	4zl6C2.pdb1	956.45
4zl6E4.pdb1	4zl6D2.pdb1	13.8
4zl6E4.pdb1	4zl6C4.pdb1	471.95
4zl6E4.pdb1	4zl6F4.pdb1	435.85
4zl6E4.pdb1	4zl6D4.pdb1	939.55
4zl6D2.pdb1	4zl6B4.pdb1	433.7
4zl6D2.pdb1	4zl6C4.pdb1	470.05
4zl6D2.pdb1	4zl6C2.pdb1	434.05
4zl6B4.pdb1	4zl6C4.pdb1	956.45
4zl6B4.pdb1	4zl6B3.pdb1	14.5
4zl6B4.pdb1	4zl6C2.pdb1	433.4
4zl6C4.pdb1	4zl6D4.pdb1	434.0
4zl6A3.pdb1	4zl6C3.pdb1	14.3
4zl6A3.pdb1	4zl6F1.pdb1	438.45
4zl6A3.pdb1	4zl6E3.pdb1	483.65
4zl6A3.pdb1	4zl6E1.pdb1	442.2
4zl6F4.pdb1	4zl6F1.pdb1	502.5
4zl6C3.pdb1	4zl6B3.pdb1	956.45
4zl6C3.pdb1	4zl6E3.pdb1	471.95
4zl6B3.pdb1	4zl6C1.pdb1	433.4
4zl6C1.pdb1	4zl6D4.pdb1	470.05
4zl6C1.pdb1	4zl6E1.pdb1	471.95
4zl6F1.pdb1	4zl6E1.pdb1	435.85
4zl6D4.pdb1	4zl6E1.pdb1	13.8
5zl5F1.pdb2	5zl5E1.pdb2	2787.25
5zl5F1.pdb2	5zl5C1.pdb2	2794.7
5zl5E1.pdb2	5zl5C1.pdb2	2823.9
5zl4A2.pdb1	5zl4A3.pdb1	2403.55
5zl4A2.pdb1	5zl4A1.pdb1	2398.6
5zl4A3.pdb1	5zl4A1.pdb1	2401.1
5zl1C1.pdb2	5zl1B2.pdb2	194.65
5zl1C1.pdb2	5zl1D1.pdb2	1434.6
5zl1C1.pdb2	5zl1C2.pdb2	0.05
5zl1C1.pdb2	5zl1D2.pdb2	0.05
5zl1C1.pdb2	5zl1B1.pdb2	1449.15
5zl1B2.pdb2	5zl1C2.pdb2	1449.1
5zl1B2.pdb2	5zl1D2.pdb2	1434.1
5zl1D1.pdb2	5zl1D2.pdb2	187.0
5zl1D1.pdb2	5zl1B1.pdb2	1434.1
5zl1C2.pdb2	5zl1D2.pdb2	1434.55
5zl1C2.pdb2	5zl1B1.pdb2	194.6
1zlzB1.pdb1	1zlzA1.pdb1	939.6
3zlmA1.pdb1	3zlmA2.pdb1	804.9
5zliC2.pdb1	5zliB2.pdb1	1830.55
5zliC2.pdb1	5zliA1.pdb1	306.1
5zliC2.pdb1	5zliF1.pdb1	2889.25
5zliC2.pdb1	5zliD2.pdb1	1835.25
5zliD1.pdb1	5zliF2.pdb1	312.5
5zliD1.pdb1	5zliC1.pdb1	1835.3
5zliD1.pdb1	5zliE1.pdb1	1851.05
5zliD1.pdb1	5zliE2.pdb1	2921.65
5zliB2.pdb1	5zliA1.pdb1	2912.1
5zliB2.pdb1	5zliE1.pdb1	0.05
5zliB2.pdb1	5zliB1.pdb1	311.7
5zliB2.pdb1	5zliA2.pdb1	1880.8
5zliF2.pdb1	5zliC1.pdb1	2889.2
5zliF2.pdb1	5zliA2.pdb1	1847.45
5zliF2.pdb1	5zliE2.pdb1	1838.1
5zliA1.pdb1	5zliF1.pdb1	1847.5
5zliA1.pdb1	5zliB1.pdb1	1880.8
5zliC1.pdb1	5zliB1.pdb1	1830.55
5zliC1.pdb1	5zliA2.pdb1	306.15
5zliE1.pdb1	5zliF1.pdb1	1838.15
5zliE1.pdb1	5zliD2.pdb1	2921.7
5zliE1.pdb1	5zliE2.pdb1	298.55
5zliF1.pdb1	5zliD2.pdb1	312.45
5zliD2.pdb1	5zliE2.pdb1	1851.0
5zliB1.pdb1	5zliA2.pdb1	2912.05
3zl5A1.pdb1	3zl5B1.pdb1	1210.25
3zl5A1.pdb1	3zl5J1.pdb1	697.15
3zl5C1.pdb1	3zl5D1.pdb1	1250.6
3zl5C1.pdb1	3zl5B1.pdb1	721.15
3zl5F1.pdb1	3zl5E1.pdb1	1211.6
3zl5F1.pdb1	3zl5G1.pdb1	677.9
3zl5D1.pdb1	3zl5E1.pdb1	711.4
3zl5H1.pdb1	3zl5G1.pdb1	1184.95
3zl5H1.pdb1	3zl5I1.pdb1	687.1
3zl5J1.pdb1	3zl5I1.pdb1	1151.65
4zluA1.pdb1	4zluB1.pdb1	2310.75
1zl8A1.pdb1	1zl8B1.pdb1	1090.45
5zl2C3.pdb3	5zl2C2.pdb3	5062.45
5zl2C3.pdb3	5zl2C1.pdb3	5062.5
5zl2C2.pdb3	5zl2C1.pdb3	5062.5
2zl3I1.pdb1	2zl3B1.pdb1	764.0
2zl3I1.pdb1	2zl3C1.pdb1	113.35
2zl3I1.pdb1	2zl3A1.pdb1	23.5
2zl3I1.pdb1	2zl3H1.pdb1	1124.85
2zl3I1.pdb1	2zl3J1.pdb1	1116.05
2zl3B1.pdb1	2zl3C1.pdb1	1094.5
2zl3B1.pdb1	2zl3A1.pdb1	1126.55
2zl3B1.pdb1	2zl3H1.pdb1	116.25
2zl3B1.pdb1	2zl3J1.pdb1	27.3
2zl3C1.pdb1	2zl3J1.pdb1	768.5
2zl3C1.pdb1	2zl3K1.pdb1	19.55
2zl3C1.pdb1	2zl3D1.pdb1	1077.9
2zl3A1.pdb1	2zl3N1.pdb1	114.8
2zl3A1.pdb1	2zl3H1.pdb1	764.2
2zl3A1.pdb1	2zl3G1.pdb1	1124.15
2zl3F1.pdb1	2zl3N1.pdb1	23.15
2zl3F1.pdb1	2zl3L1.pdb1	108.75
2zl3F1.pdb1	2zl3M1.pdb1	768.9
2zl3F1.pdb1	2zl3E1.pdb1	1081.25
2zl3F1.pdb1	2zl3G1.pdb1	1053.85
2zl3N1.pdb1	2zl3H1.pdb1	1115.05
2zl3N1.pdb1	2zl3M1.pdb1	1087.45
2zl3N1.pdb1	2zl3G1.pdb1	774.85
2zl3L1.pdb1	2zl3M1.pdb1	1083.6
2zl3L1.pdb1	2zl3K1.pdb1	1079.6
2zl3L1.pdb1	2zl3D1.pdb1	17.2
2zl3L1.pdb1	2zl3E1.pdb1	764.05
2zl3H1.pdb1	2zl3G1.pdb1	15.6
2zl3J1.pdb1	2zl3K1.pdb1	1104.65
2zl3J1.pdb1	2zl3D1.pdb1	112.05
2zl3M1.pdb1	2zl3E1.pdb1	20.45
2zl3M1.pdb1	2zl3G1.pdb1	116.95
2zl3K1.pdb1	2zl3D1.pdb1	797.75
2zl3K1.pdb1	2zl3E1.pdb1	107.85
2zl3D1.pdb1	2zl3E1.pdb1	1100.85
1zlfB1.pdb1	1zlfA1.pdb1	1804.0
2zlwB1.pdb1	2zlwC1.pdb1	526.7
2zlwB1.pdb1	2zlwD1.pdb1	291.4
2zlwB1.pdb1	2zlwA1.pdb1	886.65
2zlwC1.pdb1	2zlwD1.pdb1	879.7
2zlwC1.pdb1	2zlwA1.pdb1	392.75
2zlwD1.pdb1	2zlwA1.pdb1	527.5
2zlvB1.pdb2	2zlvA1.pdb2	865.35
1zlpB2.pdb1	1zlpA1.pdb1	661.3
1zlpB2.pdb1	1zlpA2.pdb1	742.25
1zlpB2.pdb1	1zlpB1.pdb1	3495.3
1zlpA1.pdb1	1zlpA2.pdb1	3429.95
1zlpA1.pdb1	1zlpB1.pdb1	742.25
1zlpA2.pdb1	1zlpB1.pdb1	661.3
4zlwA1.pdb1	4zlwD1.pdb1	469.0
4zlwA1.pdb1	4zlwG1.pdb1	12.45
4zlwA1.pdb1	4zlwH1.pdb1	465.45
4zlwA1.pdb1	4zlwF1.pdb1	440.1
4zlwA1.pdb1	4zlwE1.pdb1	959.35
4zlwA1.pdb1	4zlwC1.pdb1	437.95
4zlwH2.pdb1	4zlwD3.pdb1	439.75
4zlwH2.pdb1	4zlwE3.pdb1	435.65
4zlwH2.pdb1	4zlwG2.pdb1	458.7
4zlwH2.pdb1	4zlwD2.pdb1	16.0
4zlwH2.pdb1	4zlwA2.pdb1	465.65
4zlwH2.pdb1	4zlwC2.pdb1	955.8
4zlwC3.pdb1	4zlwF3.pdb1	440.05
4zlwC3.pdb1	4zlwF1.pdb1	14.2
4zlwC3.pdb1	4zlwE1.pdb1	449.6
4zlwC3.pdb1	4zlwA3.pdb1	439.15
4zlwC3.pdb1	4zlwB3.pdb1	467.7
4zlwC3.pdb1	4zlwH3.pdb1	957.4
4zlwD3.pdb1	4zlwE3.pdb1	431.35
4zlwD3.pdb1	4zlwG2.pdb1	954.15
4zlwD3.pdb1	4zlwA3.pdb1	469.4
4zlwD3.pdb1	4zlwH3.pdb1	15.95
4zlwD3.pdb1	4zlwG3.pdb1	488.6
4zlwD1.pdb1	4zlwG1.pdb1	488.1
4zlwD1.pdb1	4zlwH1.pdb1	15.5
4zlwD1.pdb1	4zlwE1.pdb1	430.5
4zlwD1.pdb1	4zlwH3.pdb1	440.3
4zlwD1.pdb1	4zlwG3.pdb1	954.05
4zlwG1.pdb1	4zlwH1.pdb1	458.6
4zlwG1.pdb1	4zlwG2.pdb1	437.15
4zlwG1.pdb1	4zlwD2.pdb1	951.75
4zlwG1.pdb1	4zlwG3.pdb1	435.35
4zlwF3.pdb1	4zlwE3.pdb1	475.0
4zlwF3.pdb1	4zlwA3.pdb1	439.4
4zlwF3.pdb1	4zlwB3.pdb1	962.15
4zlwF3.pdb1	4zlwB2.pdb1	460.9
4zlwF3.pdb1	4zlwC2.pdb1	14.0
4zlwH1.pdb1	4zlwD2.pdb1	439.1
4zlwH1.pdb1	4zlwE2.pdb1	435.6
4zlwH1.pdb1	4zlwC1.pdb1	957.45
4zlwE3.pdb1	4zlwA3.pdb1	964.65
4zlwE3.pdb1	4zlwB2.pdb1	16.7
4zlwE3.pdb1	4zlwC2.pdb1	448.1
4zlwF2.pdb1	4zlwE2.pdb1	475.1
4zlwF2.pdb1	4zlwA2.pdb1	442.75
4zlwF2.pdb1	4zlwC1.pdb1	13.45
4zlwF2.pdb1	4zlwB2.pdb1	963.45
4zlwF2.pdb1	4zlwB1.pdb1	463.25
4zlwF2.pdb1	4zlwC2.pdb1	436.6
4zlwF1.pdb1	4zlwE1.pdb1	470.35
4zlwF1.pdb1	4zlwB3.pdb1	460.1
4zlwF1.pdb1	4zlwC1.pdb1	439.8
4zlwF1.pdb1	4zlwB1.pdb1	965.3
4zlwG2.pdb1	4zlwD2.pdb1	486.25
4zlwG2.pdb1	4zlwA2.pdb1	12.5
4zlwG2.pdb1	4zlwG3.pdb1	435.2
4zlwD2.pdb1	4zlwE2.pdb1	433.5
4zlwD2.pdb1	4zlwA2.pdb1	469.95
4zlwE1.pdb1	4zlwB3.pdb1	16.5
4zlwE1.pdb1	4zlwH3.pdb1	433.35
4zlwE2.pdb1	4zlwA2.pdb1	961.4
4zlwE2.pdb1	4zlwC1.pdb1	450.55
4zlwE2.pdb1	4zlwB1.pdb1	16.75
4zlwA2.pdb1	4zlwC2.pdb1	438.2
4zlwA3.pdb1	4zlwH3.pdb1	466.65
4zlwA3.pdb1	4zlwG3.pdb1	12.4
4zlwB3.pdb1	4zlwB2.pdb1	431.5
4zlwB3.pdb1	4zlwB1.pdb1	431.3
4zlwH3.pdb1	4zlwG3.pdb1	460.8
4zlwC1.pdb1	4zlwB1.pdb1	470.7
4zlwB2.pdb1	4zlwB1.pdb1	431.6
4zlwB2.pdb1	4zlwC2.pdb1	470.15
5zlfD1.pdb2	5zlfC1.pdb2	1812.45
3zlzA1.pdb2	3zlzA3.pdb2	187.35
3zlzA1.pdb2	3zlzA2.pdb2	186.15
3zlzA3.pdb2	3zlzA2.pdb2	187.45
2zlxD1.pdb2	2zlxC1.pdb2	868.2
4zljA1.pdb1	4zljA2.pdb1	3348.2
4zljA1.pdb1	4zljA3.pdb1	3348.2
4zljA2.pdb1	4zljA3.pdb1	3348.35
1zl5B1.pdb1	1zl5A1.pdb1	1181.2
3zlcB1.pdb3	3zlcA1.pdb3	1902.85
2zl6B1.pdb1	2zl6A1.pdb1	1539.7
5zlrA1.pdb1	5zlrB1.pdb1	1953.1
2zluB1.pdb2	2zluA1.pdb2	916.85
2zl1B1.pdb1	2zl1A1.pdb1	1270.5
1zljA1.pdb1	1zljB1.pdb1	503.15
3zlzA1.pdb1	3zlzA2.pdb1	186.15
3zlzB2.pdb1	3zlzA2.pdb1	282.45
1zl1A1.pdb1	1zl1C1.pdb1	101.05
2zleA1.pdb1	2zleB1.pdb1	848.15
2zleA1.pdb1	2zleD1.pdb1	967.75
2zleA1.pdb1	2zleC1.pdb1	849.85
2zleA1.pdb1	2zleL1.pdb1	1065.3
2zleF1.pdb1	2zleE1.pdb1	849.9
2zleF1.pdb1	2zleM1.pdb1	15.75
2zleF1.pdb1	2zleD1.pdb1	914.75
2zleF1.pdb1	2zleH1.pdb1	26.25
2zleF1.pdb1	2zleG1.pdb1	846.0
2zleF1.pdb1	2zleI1.pdb1	1941.75
2zleE1.pdb1	2zleB1.pdb1	45.25
2zleE1.pdb1	2zleD1.pdb1	622.3
2zleE1.pdb1	2zleG1.pdb1	848.65
2zleE1.pdb1	2zleC1.pdb1	1283.0
2zleE1.pdb1	2zleI1.pdb1	95.55
2zleB1.pdb1	2zleJ1.pdb1	685.05
2zleB1.pdb1	2zleD1.pdb1	754.55
2zleB1.pdb1	2zleC1.pdb1	850.25
2zleJ1.pdb1	2zleD1.pdb1	940.7
2zleJ1.pdb1	2zleH1.pdb1	848.85
2zleJ1.pdb1	2zleK1.pdb1	26.8
2zleJ1.pdb1	2zleI1.pdb1	848.6
2zleM1.pdb1	2zleD1.pdb1	808.9
2zleM1.pdb1	2zleH1.pdb1	55.35
2zleM1.pdb1	2zleG1.pdb1	952.3
2zleM1.pdb1	2zleL1.pdb1	848.2
2zleM1.pdb1	2zleK1.pdb1	849.85
2zleD1.pdb1	2zleH1.pdb1	878.35
2zleD1.pdb1	2zleG1.pdb1	765.4
2zleD1.pdb1	2zleC1.pdb1	421.2
2zleD1.pdb1	2zleL1.pdb1	564.6
2zleD1.pdb1	2zleK1.pdb1	993.25
2zleD1.pdb1	2zleI1.pdb1	759.6
2zleH1.pdb1	2zleK1.pdb1	863.75
2zleH1.pdb1	2zleI1.pdb1	847.85
2zleG1.pdb1	2zleC1.pdb1	38.75
2zleG1.pdb1	2zleL1.pdb1	30.6
2zleL1.pdb1	2zleK1.pdb1	849.45
5zl5B1.pdb1	5zl5D1.pdb1	2865.05
5zl5B1.pdb1	5zl5A1.pdb1	2795.35
5zl5D1.pdb1	5zl5A1.pdb1	2822.9
2zlyA1.pdb1	2zlyA2.pdb1	2574.5
2zlcA1.pdb1	2zlcC1.pdb1	542.2
2zlaC1.pdb1	2zlaA1.pdb1	556.15
4zl5F4.pdb1	4zl5F3.pdb1	17.9
4zl5F4.pdb1	4zl5F2.pdb1	495.85
4zl5F4.pdb1	4zl5F1.pdb1	495.85
4zl5F4.pdb1	4zl5A1.pdb1	439.8
4zl5F4.pdb1	4zl5A4.pdb1	943.1
4zl5F4.pdb1	4zl5E4.pdb1	436.05
4zl5F3.pdb1	4zl5A3.pdb1	943.1
4zl5F3.pdb1	4zl5E3.pdb1	436.05
4zl5F3.pdb1	4zl5A2.pdb1	439.8
4zl5F3.pdb1	4zl5F2.pdb1	495.85
4zl5F3.pdb1	4zl5F1.pdb1	495.85
4zl5D4.pdb1	4zl5E1.pdb1	14.5
4zl5D4.pdb1	4zl5C4.pdb1	433.2
4zl5D4.pdb1	4zl5C1.pdb1	445.15
4zl5D4.pdb1	4zl5A1.pdb1	470.65
4zl5D4.pdb1	4zl5B1.pdb1	436.45
4zl5D4.pdb1	4zl5E4.pdb1	945.0
4zl5B3.pdb1	4zl5D1.pdb1	436.45
4zl5B3.pdb1	4zl5B2.pdb1	482.55
4zl5B3.pdb1	4zl5C1.pdb1	432.95
4zl5B3.pdb1	4zl5C3.pdb1	959.55
4zl5B3.pdb1	4zl5B1.pdb1	482.55
4zl5B3.pdb1	4zl5B4.pdb1	14.7
4zl5D1.pdb1	4zl5E1.pdb1	945.0
4zl5D1.pdb1	4zl5A3.pdb1	470.65
4zl5D1.pdb1	4zl5E3.pdb1	14.5
4zl5D1.pdb1	4zl5C1.pdb1	433.2
4zl5D1.pdb1	4zl5C3.pdb1	445.15
4zl5E1.pdb1	4zl5A3.pdb1	436.65
4zl5E1.pdb1	4zl5C1.pdb1	461.35
4zl5E1.pdb1	4zl5F1.pdb1	436.05
4zl5E1.pdb1	4zl5A1.pdb1	482.8
4zl5C4.pdb1	4zl5D2.pdb1	445.15
4zl5C4.pdb1	4zl5A4.pdb1	13.1
4zl5C4.pdb1	4zl5B1.pdb1	432.95
4zl5C4.pdb1	4zl5B4.pdb1	959.55
4zl5C4.pdb1	4zl5E4.pdb1	461.35
4zl5A3.pdb1	4zl5E3.pdb1	482.8
4zl5A3.pdb1	4zl5F1.pdb1	439.8
4zl5A3.pdb1	4zl5C3.pdb1	13.1
4zl5D3.pdb1	4zl5C2.pdb1	445.15
4zl5D3.pdb1	4zl5E3.pdb1	945.0
4zl5D3.pdb1	4zl5B2.pdb1	436.45
4zl5D3.pdb1	4zl5A2.pdb1	470.65
4zl5D3.pdb1	4zl5C3.pdb1	433.2
4zl5D3.pdb1	4zl5E2.pdb1	14.5
4zl5C2.pdb1	4zl5B2.pdb1	959.55
4zl5C2.pdb1	4zl5A2.pdb1	13.1
4zl5C2.pdb1	4zl5D2.pdb1	433.2
4zl5C2.pdb1	4zl5B4.pdb1	432.95
4zl5C2.pdb1	4zl5E2.pdb1	461.35
4zl5E3.pdb1	4zl5A2.pdb1	436.65
4zl5E3.pdb1	4zl5C3.pdb1	461.35
4zl5B2.pdb1	4zl5C3.pdb1	432.95
4zl5B2.pdb1	4zl5B1.pdb1	14.7
4zl5B2.pdb1	4zl5B4.pdb1	482.55
4zl5A2.pdb1	4zl5F2.pdb1	943.1
4zl5A2.pdb1	4zl5E2.pdb1	482.8
