3fwvC1.pdb1	3fwvA1.pdb1	504.5
1fwhA3.pdb1	1fwhA1.pdb1	672.0
1fwhA3.pdb1	1fwhA2.pdb1	672.2
1fwhB1.pdb1	1fwhC1.pdb1	1733.85
1fwhB1.pdb1	1fwhA1.pdb1	156.05
1fwhC1.pdb1	1fwhA1.pdb1	933.5
1fwhA1.pdb1	1fwhA2.pdb1	671.4
1fwhB2.pdb1	1fwhA2.pdb1	156.25
2fwbB3.pdb1	2fwbB1.pdb1	663.8
2fwbB3.pdb1	2fwbA1.pdb1	1049.5
2fwbB3.pdb1	2fwbA3.pdb1	1617.8
2fwbB3.pdb1	2fwbB2.pdb1	663.8
2fwbA4.pdb1	2fwbA2.pdb1	627.7
2fwbA4.pdb1	2fwbB1.pdb1	1049.5
2fwbA4.pdb1	2fwbA1.pdb1	627.7
2fwbA4.pdb1	2fwbA3.pdb1	1.6
2fwbA4.pdb1	2fwbB4.pdb1	1617.8
2fwbA2.pdb1	2fwbA1.pdb1	1.6
2fwbA2.pdb1	2fwbA3.pdb1	627.7
2fwbA2.pdb1	2fwbB4.pdb1	1049.5
2fwbA2.pdb1	2fwbB2.pdb1	1617.8
2fwbB1.pdb1	2fwbA1.pdb1	1617.8
2fwbB1.pdb1	2fwbB4.pdb1	663.8
2fwbA1.pdb1	2fwbA3.pdb1	627.7
2fwbA3.pdb1	2fwbB2.pdb1	1049.5
2fwbB4.pdb1	2fwbB2.pdb1	663.8
5fwnA1.pdb1	5fwnB1.pdb1	4200.25
5fwvA2.pdb1	5fwvA1.pdb1	437.65
5fw6A4.pdb2	5fw6B1.pdb2	865.4
5fw6A4.pdb2	5fw6B2.pdb2	332.65
5fw6A4.pdb2	5fw6A3.pdb2	448.6
5fw6B1.pdb2	5fw6B2.pdb2	380.2
5fw6B1.pdb2	5fw6A3.pdb2	332.6
5fw6B2.pdb2	5fw6A3.pdb2	865.5
2fwaA1.pdb1	2fwaB3.pdb1	1018.05
2fwaA1.pdb1	2fwaA3.pdb1	616.3
2fwaA1.pdb1	2fwaA4.pdb1	616.3
2fwaA1.pdb1	2fwaB1.pdb1	1606.5
2fwaA1.pdb1	2fwaA2.pdb1	1.4
2fwaB3.pdb1	2fwaB2.pdb1	668.05
2fwaB3.pdb1	2fwaA3.pdb1	1606.5
2fwaB3.pdb1	2fwaB1.pdb1	668.05
2fwaB2.pdb1	2fwaA3.pdb1	1018.05
2fwaB2.pdb1	2fwaA2.pdb1	1606.5
2fwaB2.pdb1	2fwaB4.pdb1	668.05
2fwaA3.pdb1	2fwaA4.pdb1	1.4
2fwaA3.pdb1	2fwaA2.pdb1	616.3
2fwaA4.pdb1	2fwaB1.pdb1	1018.05
2fwaA4.pdb1	2fwaA2.pdb1	616.3
2fwaA4.pdb1	2fwaB4.pdb1	1606.5
2fwaB1.pdb1	2fwaB4.pdb1	668.05
2fwaA2.pdb1	2fwaB4.pdb1	1018.05
5fweA1.pdb2	5fweC1.pdb2	56.1
1fwgA1.pdb1	1fwgB1.pdb1	157.4
1fwgA1.pdb1	1fwgA2.pdb1	673.65
1fwgA1.pdb1	1fwgC1.pdb1	930.3
1fwgA1.pdb1	1fwgC2.pdb1	1506.55
1fwgA1.pdb1	1fwgA3.pdb1	671.4
1fwgC3.pdb1	1fwgA2.pdb1	1505.85
1fwgC3.pdb1	1fwgB2.pdb1	867.4
1fwgC3.pdb1	1fwgC1.pdb1	2314.5
1fwgC3.pdb1	1fwgC2.pdb1	2312.7
1fwgC3.pdb1	1fwgA3.pdb1	929.9
1fwgC3.pdb1	1fwgB3.pdb1	1736.0
1fwgB1.pdb1	1fwgC1.pdb1	1733.05
1fwgB1.pdb1	1fwgC2.pdb1	865.7
1fwgA2.pdb1	1fwgB2.pdb1	157.25
1fwgA2.pdb1	1fwgC2.pdb1	930.6
1fwgA2.pdb1	1fwgA3.pdb1	672.1
1fwgB2.pdb1	1fwgC2.pdb1	1733.05
1fwgC1.pdb1	1fwgC2.pdb1	2311.3
1fwgC1.pdb1	1fwgA3.pdb1	1508.3
1fwgC1.pdb1	1fwgB3.pdb1	864.15
1fwgA3.pdb1	1fwgB3.pdb1	157.1
4fwgA1.pdb1	4fwgA5.pdb1	2503.3
4fwgA1.pdb1	4fwgA6.pdb1	2503.25
4fwgA5.pdb1	4fwgA3.pdb1	2503.25
4fwgA4.pdb1	4fwgA3.pdb1	2503.25
4fwgA4.pdb1	4fwgA2.pdb1	2503.3
4fwgA6.pdb1	4fwgA2.pdb1	2503.25
1fwcB1.pdb1	1fwcA1.pdb1	157.0
1fwcB1.pdb1	1fwcC1.pdb1	1739.35
1fwcB1.pdb1	1fwcC2.pdb1	858.7
1fwcA1.pdb1	1fwcA3.pdb1	674.9
1fwcA1.pdb1	1fwcA2.pdb1	675.5
1fwcA1.pdb1	1fwcC1.pdb1	930.7
1fwcA1.pdb1	1fwcC2.pdb1	1507.4
1fwcB3.pdb1	1fwcC3.pdb1	1742.75
1fwcB3.pdb1	1fwcA3.pdb1	157.95
1fwcB3.pdb1	1fwcC1.pdb1	857.3
1fwcC3.pdb1	1fwcA3.pdb1	932.4
1fwcC3.pdb1	1fwcA2.pdb1	1508.3
1fwcC3.pdb1	1fwcC1.pdb1	2324.05
1fwcC3.pdb1	1fwcB2.pdb1	859.45
1fwcC3.pdb1	1fwcC2.pdb1	2320.85
1fwcA3.pdb1	1fwcA2.pdb1	674.8
1fwcA3.pdb1	1fwcC1.pdb1	1509.15
1fwcA2.pdb1	1fwcB2.pdb1	158.1
1fwcA2.pdb1	1fwcC2.pdb1	930.9
1fwcC1.pdb1	1fwcC2.pdb1	2322.0
1fwcB2.pdb1	1fwcC2.pdb1	1738.2
5fw4A1.pdb1	5fw4A2.pdb1	2428.5
5fwdA1.pdb1	5fwdA2.pdb1	1578.0
6fwrA1.pdb1	6fwrB1.pdb1	1277.75
1fwxD1.pdb2	1fwxC1.pdb2	6181.4
6fw9A1.pdb1	6fw9B1.pdb1	709.45
4fwqA2.pdb1	4fwqA1.pdb1	3073.5
2fw2C1.pdb3	2fw2B1.pdb3	1200.1
2fw2C1.pdb3	2fw2A1.pdb3	1194.65
2fw2B1.pdb3	2fw2A1.pdb3	1174.0
1fwlB1.pdb1	1fwlA1.pdb1	1446.6
2fw2E1.pdb1	2fw2D1.pdb1	1181.6
2fw2E1.pdb1	2fw2C1.pdb1	20.85
2fw2E1.pdb1	2fw2F1.pdb1	1213.45
2fw2E1.pdb1	2fw2B1.pdb1	303.35
2fw2D1.pdb1	2fw2A1.pdb1	2.6
2fw2D1.pdb1	2fw2C1.pdb1	361.15
2fw2D1.pdb1	2fw2F1.pdb1	1189.65
2fw2A1.pdb1	2fw2C1.pdb1	1194.65
2fw2A1.pdb1	2fw2F1.pdb1	462.9
2fw2A1.pdb1	2fw2B1.pdb1	1174.0
2fw2C1.pdb1	2fw2B1.pdb1	1200.1
4fwjA1.pdb3	4fwjB1.pdb3	1527.5
1fwxB1.pdb1	1fwxA1.pdb1	6246.25
1fw6C1.pdb1	1fw6D1.pdb1	1057.85
1fw6C1.pdb1	1fw6B1.pdb1	317.25
1fw6C1.pdb1	1fw6A1.pdb1	574.95
1fw6D1.pdb1	1fw6B1.pdb1	513.7
1fw6D1.pdb1	1fw6A1.pdb1	482.35
1fw6B1.pdb1	1fw6A1.pdb1	1859.15
3fwcE1.pdb2	3fwcF1.pdb2	1403.8
3fwcE1.pdb2	3fwcG1.pdb2	163.5
3fwcF1.pdb2	3fwcG1.pdb2	1583.65
3fwcF1.pdb2	3fwcH1.pdb2	1442.45
1fwyB3.pdb2	1fwyB2.pdb2	934.05
1fwyB3.pdb2	1fwyB1.pdb2	934.05
1fwyB2.pdb2	1fwyB1.pdb2	934.1
1fwfC2.pdb1	1fwfC3.pdb1	2117.75
1fwfC2.pdb1	1fwfB1.pdb1	742.8
1fwfC2.pdb1	1fwfA1.pdb1	1475.65
1fwfC2.pdb1	1fwfC1.pdb1	2115.55
1fwfC2.pdb1	1fwfA2.pdb1	932.1
1fwfC2.pdb1	1fwfB2.pdb1	1733.7
1fwfC3.pdb1	1fwfA3.pdb1	930.65
1fwfC3.pdb1	1fwfB3.pdb1	1737.4
1fwfC3.pdb1	1fwfC1.pdb1	2117.45
1fwfC3.pdb1	1fwfA2.pdb1	1477.0
1fwfC3.pdb1	1fwfB2.pdb1	742.2
1fwfB1.pdb1	1fwfA1.pdb1	156.4
1fwfB1.pdb1	1fwfC1.pdb1	1733.45
1fwfA3.pdb1	1fwfA1.pdb1	674.95
1fwfA3.pdb1	1fwfB3.pdb1	155.7
1fwfA3.pdb1	1fwfC1.pdb1	1480.75
1fwfA3.pdb1	1fwfA2.pdb1	673.35
1fwfA1.pdb1	1fwfC1.pdb1	933.75
1fwfA1.pdb1	1fwfA2.pdb1	673.25
1fwfB3.pdb1	1fwfC1.pdb1	741.85
1fwfA2.pdb1	1fwfB2.pdb1	156.0
4fwvA1.pdb1	4fwvA3.pdb1	650.45
4fwvA1.pdb1	4fwvA6.pdb1	972.4
4fwvA1.pdb1	4fwvA2.pdb1	650.4
4fwvA1.pdb1	4fwvA5.pdb1	3.1
4fwvA3.pdb1	4fwvA6.pdb1	3.1
4fwvA3.pdb1	4fwvA2.pdb1	650.45
4fwvA3.pdb1	4fwvA4.pdb1	972.45
4fwvA6.pdb1	4fwvA4.pdb1	650.4
4fwvA6.pdb1	4fwvA5.pdb1	650.4
4fwvA2.pdb1	4fwvA4.pdb1	3.0
4fwvA2.pdb1	4fwvA5.pdb1	972.4
4fwvA4.pdb1	4fwvA5.pdb1	650.4
1fweC1.pdb1	1fweA3.pdb1	1489.7
1fweC1.pdb1	1fweA1.pdb1	935.75
1fweC1.pdb1	1fweC2.pdb1	2111.3
1fweC1.pdb1	1fweB3.pdb1	751.2
1fweC1.pdb1	1fweC3.pdb1	2117.0
1fweC1.pdb1	1fweB1.pdb1	1739.15
1fweA3.pdb1	1fweA1.pdb1	674.85
1fweA3.pdb1	1fweB3.pdb1	157.95
1fweA3.pdb1	1fweC3.pdb1	934.75
1fweA3.pdb1	1fweA2.pdb1	675.25
1fweA1.pdb1	1fweC2.pdb1	1487.05
1fweA1.pdb1	1fweA2.pdb1	675.0
1fweA1.pdb1	1fweB1.pdb1	158.05
1fweC2.pdb1	1fweC3.pdb1	2114.9
1fweC2.pdb1	1fweA2.pdb1	932.1
1fweC2.pdb1	1fweB1.pdb1	754.05
1fweC2.pdb1	1fweB2.pdb1	1742.05
1fweB3.pdb1	1fweC3.pdb1	1745.15
1fweC3.pdb1	1fweA2.pdb1	1486.8
1fweC3.pdb1	1fweB2.pdb1	751.75
1fweA2.pdb1	1fweB2.pdb1	157.6
6fwuA1.pdb1	6fwuB1.pdb1	679.3
6fwhL2.pdb1	6fwhB2.pdb1	535.6
6fwhL2.pdb1	6fwhD2.pdb1	502.95
6fwhL2.pdb1	6fwhG2.pdb1	811.9
6fwhL2.pdb1	6fwhI1.pdb1	496.05
6fwhL2.pdb1	6fwhI2.pdb1	815.0
6fwhB2.pdb1	6fwhD2.pdb1	816.95
6fwhB2.pdb1	6fwhG2.pdb1	494.85
6fwhB2.pdb1	6fwhA2.pdb1	490.9
6fwhB2.pdb1	6fwhK2.pdb1	811.8
6fwhF1.pdb1	6fwhA1.pdb1	496.4
6fwhF1.pdb1	6fwhG1.pdb1	496.55
6fwhF1.pdb1	6fwhC1.pdb1	549.35
6fwhF1.pdb1	6fwhJ1.pdb1	822.35
6fwhF1.pdb1	6fwhH1.pdb1	818.2
6fwhD2.pdb1	6fwhK2.pdb1	824.7
6fwhD2.pdb1	6fwhJ1.pdb1	547.55
6fwhD2.pdb1	6fwhH1.pdb1	489.35
6fwhE1.pdb1	6fwhA1.pdb1	818.55
6fwhE1.pdb1	6fwhC1.pdb1	818.4
6fwhE1.pdb1	6fwhC2.pdb1	488.0
6fwhE1.pdb1	6fwhK1.pdb1	505.3
6fwhE1.pdb1	6fwhE2.pdb1	544.15
6fwhA1.pdb1	6fwhC1.pdb1	818.35
6fwhA1.pdb1	6fwhK1.pdb1	541.55
6fwhA1.pdb1	6fwhB1.pdb1	490.95
6fwhG1.pdb1	6fwhI1.pdb1	824.45
6fwhG1.pdb1	6fwhL1.pdb1	811.95
6fwhG1.pdb1	6fwhB1.pdb1	494.85
6fwhG1.pdb1	6fwhH1.pdb1	548.4
6fwhC1.pdb1	6fwhE2.pdb1	488.0
6fwhC1.pdb1	6fwhJ1.pdb1	494.4
6fwhG2.pdb1	6fwhF2.pdb1	496.5
6fwhG2.pdb1	6fwhH2.pdb1	548.4
6fwhG2.pdb1	6fwhI2.pdb1	824.4
6fwhA2.pdb1	6fwhK2.pdb1	541.6
6fwhA2.pdb1	6fwhF2.pdb1	496.4
6fwhA2.pdb1	6fwhC2.pdb1	818.3
6fwhA2.pdb1	6fwhE2.pdb1	818.55
6fwhI1.pdb1	6fwhL1.pdb1	815.0
6fwhI1.pdb1	6fwhI2.pdb1	540.8
6fwhI1.pdb1	6fwhH1.pdb1	500.0
6fwhK2.pdb1	6fwhE2.pdb1	505.3
6fwhK2.pdb1	6fwhJ1.pdb1	495.6
6fwhF2.pdb1	6fwhH2.pdb1	818.25
6fwhF2.pdb1	6fwhJ2.pdb1	822.35
6fwhF2.pdb1	6fwhC2.pdb1	549.3
6fwhH2.pdb1	6fwhJ2.pdb1	816.4
6fwhH2.pdb1	6fwhI2.pdb1	500.0
6fwhH2.pdb1	6fwhD1.pdb1	489.4
6fwhJ2.pdb1	6fwhC2.pdb1	494.4
6fwhJ2.pdb1	6fwhK1.pdb1	495.6
6fwhJ2.pdb1	6fwhD1.pdb1	547.6
6fwhC2.pdb1	6fwhE2.pdb1	818.4
6fwhL1.pdb1	6fwhI2.pdb1	496.05
6fwhL1.pdb1	6fwhD1.pdb1	503.0
6fwhL1.pdb1	6fwhB1.pdb1	535.65
6fwhK1.pdb1	6fwhD1.pdb1	824.7
6fwhK1.pdb1	6fwhB1.pdb1	811.75
6fwhD1.pdb1	6fwhB1.pdb1	816.95
6fwhJ1.pdb1	6fwhH1.pdb1	816.35
5fwpA1.pdb1	5fwpE1.pdb1	690.7
5fwpA1.pdb1	5fwpB1.pdb1	4257.2
5fwpA1.pdb1	5fwpK1.pdb1	615.2
5fwpE1.pdb1	5fwpB1.pdb1	2049.95
5fwpE1.pdb1	5fwpK1.pdb1	722.05
5fwpB1.pdb1	5fwpK1.pdb1	993.25
3fwcB1.pdb1	3fwcC1.pdb1	1549.5
3fwcB1.pdb1	3fwcA1.pdb1	1392.3
3fwcB1.pdb1	3fwcD1.pdb1	1449.7
3fwcC1.pdb1	3fwcA1.pdb1	70.75
2fwpA4.pdb1	2fwpB4.pdb1	1589.55
2fwpA4.pdb1	2fwpA2.pdb1	609.45
2fwpA4.pdb1	2fwpA1.pdb1	609.45
2fwpA4.pdb1	2fwpA3.pdb1	6.0
2fwpA4.pdb1	2fwpB1.pdb1	1019.95
2fwpB4.pdb1	2fwpB2.pdb1	657.35
2fwpB4.pdb1	2fwpA2.pdb1	1019.95
2fwpB4.pdb1	2fwpB1.pdb1	657.35
2fwpB2.pdb1	2fwpA2.pdb1	1589.55
2fwpB2.pdb1	2fwpB3.pdb1	657.35
2fwpB2.pdb1	2fwpA3.pdb1	1019.95
2fwpA2.pdb1	2fwpA1.pdb1	6.0
2fwpA2.pdb1	2fwpA3.pdb1	609.45
2fwpA1.pdb1	2fwpB3.pdb1	1019.95
2fwpA1.pdb1	2fwpA3.pdb1	609.45
2fwpA1.pdb1	2fwpB1.pdb1	1589.55
2fwpB3.pdb1	2fwpA3.pdb1	1589.55
2fwpB3.pdb1	2fwpB1.pdb1	657.35
2fwvA4.pdb3	2fwvA3.pdb3	2084.5
2fwvA4.pdb3	2fwvA2.pdb3	924.2
2fwvA4.pdb3	2fwvA1.pdb3	51.8
2fwvA3.pdb3	2fwvA2.pdb3	51.8
2fwvA3.pdb3	2fwvA1.pdb3	924.2
2fwvA2.pdb3	2fwvA1.pdb3	2084.5
1fwkD1.pdb2	1fwkC1.pdb2	1454.0
2fw7A4.pdb2	2fw7A2.pdb2	624.25
2fw7A4.pdb2	2fw7A3.pdb2	0.6
2fw7A4.pdb2	2fw7B4.pdb2	1605.9
2fw7A4.pdb2	2fw7B1.pdb2	1053.45
2fw7A4.pdb2	2fw7A1.pdb2	624.25
2fw7A7.pdb2	2fw7A8.pdb2	0.6
2fw7A7.pdb2	2fw7B7.pdb2	1605.85
2fw7A7.pdb2	2fw7A5.pdb2	624.25
2fw7A7.pdb2	2fw7B6.pdb2	1053.4
2fw7A7.pdb2	2fw7A6.pdb2	624.25
2fw7B3.pdb2	2fw7B7.pdb2	187.1
2fw7B3.pdb2	2fw7B2.pdb2	663.7
2fw7B3.pdb2	2fw7A3.pdb2	1605.9
2fw7B3.pdb2	2fw7B6.pdb2	31.9
2fw7B3.pdb2	2fw7B1.pdb2	663.7
2fw7B3.pdb2	2fw7B5.pdb2	213.7
2fw7B3.pdb2	2fw7A1.pdb2	1053.45
2fw7A8.pdb2	2fw7B8.pdb2	1605.85
2fw7A8.pdb2	2fw7A5.pdb2	624.25
2fw7A8.pdb2	2fw7B5.pdb2	1053.4
2fw7A8.pdb2	2fw7A6.pdb2	624.25
2fw7B7.pdb2	2fw7A5.pdb2	1053.4
2fw7B7.pdb2	2fw7B2.pdb2	31.9
2fw7B7.pdb2	2fw7B6.pdb2	663.65
2fw7B7.pdb2	2fw7B1.pdb2	213.7
2fw7B7.pdb2	2fw7B5.pdb2	663.65
2fw7B8.pdb2	2fw7B2.pdb2	213.7
2fw7B8.pdb2	2fw7B6.pdb2	663.65
2fw7B8.pdb2	2fw7B4.pdb2	187.1
2fw7B8.pdb2	2fw7B1.pdb2	31.9
2fw7B8.pdb2	2fw7B5.pdb2	663.65
2fw7B8.pdb2	2fw7A6.pdb2	1053.4
2fw7A5.pdb2	2fw7B5.pdb2	1605.85
2fw7A5.pdb2	2fw7A6.pdb2	0.6
2fw7A2.pdb2	2fw7B2.pdb2	1605.9
2fw7A2.pdb2	2fw7A3.pdb2	624.25
2fw7A2.pdb2	2fw7B4.pdb2	1053.45
2fw7A2.pdb2	2fw7A1.pdb2	0.6
2fw7B2.pdb2	2fw7A3.pdb2	1053.45
2fw7B2.pdb2	2fw7B4.pdb2	663.7
2fw7B2.pdb2	2fw7B5.pdb2	187.1
2fw7A3.pdb2	2fw7A1.pdb2	624.25
2fw7B6.pdb2	2fw7B4.pdb2	213.7
2fw7B6.pdb2	2fw7B1.pdb2	187.1
2fw7B6.pdb2	2fw7A6.pdb2	1605.85
2fw7B4.pdb2	2fw7B1.pdb2	663.7
2fw7B4.pdb2	2fw7B5.pdb2	31.9
2fw7B1.pdb2	2fw7A1.pdb2	1605.9
5fwmE1.pdb1	5fwmA1.pdb1	587.85
5fwmE1.pdb1	5fwmB1.pdb1	2134.55
5fwmE1.pdb1	5fwmK1.pdb1	1735.4
5fwmA1.pdb1	5fwmB1.pdb1	4252.6
5fwmA1.pdb1	5fwmK1.pdb1	2500.65
5fwmB1.pdb1	5fwmK1.pdb1	1146.7
2fwiB4.pdb1	2fwiA4.pdb1	1621.9
2fwiB4.pdb1	2fwiB2.pdb1	675.1
2fwiB4.pdb1	2fwiA2.pdb1	1044.1
2fwiB4.pdb1	2fwiB1.pdb1	675.1
2fwiA4.pdb1	2fwiA1.pdb1	629.15
2fwiA4.pdb1	2fwiA2.pdb1	629.15
