1pptA2.pdb1	1pptA1.pdb1	686.5
1pp9D1.pdb1	1pp9J1.pdb1	880.65
1pp9D1.pdb1	1pp9E1.pdb1	747.5
1pp9D1.pdb1	1pp9A1.pdb1	146.3
1pp9F1.pdb1	1pp9G1.pdb1	440.4
1pp9F1.pdb1	1pp9O1.pdb1	452.45
1pp9F1.pdb1	1pp9N1.pdb1	49.1
1pp9U1.pdb1	1pp9T1.pdb1	95.8
1pp9W1.pdb1	1pp9R1.pdb1	675.3
1pp9W1.pdb1	1pp9N1.pdb1	141.65
1pp9G1.pdb1	1pp9H1.pdb1	170.4
1pp9G1.pdb1	1pp9E1.pdb1	609.25
1pp9G1.pdb1	1pp9A1.pdb1	869.5
1pp9J1.pdb1	1pp9E1.pdb1	667.3
1pp9J1.pdb1	1pp9A1.pdb1	138.7
1pp9E1.pdb1	1pp9A1.pdb1	993.65
1pp9E1.pdb1	1pp9P1.pdb1	1185.0
1pp9V1.pdb1	1pp9O1.pdb1	1641.1
1pp9V1.pdb1	1pp9N1.pdb1	859.7
1pp9O1.pdb1	1pp9N1.pdb1	2261.1
1pp9R1.pdb1	1pp9P1.pdb1	509.75
1pp9R1.pdb1	1pp9N1.pdb1	985.05
1pp9R1.pdb1	1pp9T1.pdb1	617.05
1pp9P1.pdb1	1pp9N1.pdb1	219.8
1pp9P1.pdb1	1pp9T1.pdb1	1059.4
1pp9N1.pdb1	1pp9T1.pdb1	867.55
2pp0A1.pdb2	2pp0A2.pdb2	2973.0
2pp1D2.pdb8	2pp1F2.pdb8	2755.15
2pp1D2.pdb8	2pp1F1.pdb8	307.15
2pp1D2.pdb8	2pp1F3.pdb8	284.0
2pp1D2.pdb8	2pp1D3.pdb8	1563.1
2pp1F2.pdb8	2pp1D1.pdb8	307.15
2pp1F2.pdb8	2pp1F1.pdb8	1557.3
2pp1F2.pdb8	2pp1D3.pdb8	283.95
2pp1D1.pdb8	2pp1F4.pdb8	284.0
2pp1D1.pdb8	2pp1F1.pdb8	2755.15
2pp1D1.pdb8	2pp1D4.pdb8	1563.1
2pp1F4.pdb8	2pp1F3.pdb8	1557.3
2pp1F4.pdb8	2pp1D3.pdb8	307.1
2pp1F4.pdb8	2pp1D4.pdb8	2755.1
2pp1F1.pdb8	2pp1D4.pdb8	283.95
2pp1F3.pdb8	2pp1D3.pdb8	2755.15
2pp1F3.pdb8	2pp1D4.pdb8	307.1
4ppdD2.pdb2	4ppdC1.pdb2	783.3
4ppdD2.pdb2	4ppdC2.pdb2	749.3
4ppdC1.pdb2	4ppdD1.pdb2	748.55
4ppdC2.pdb2	4ppdD3.pdb2	780.25
4ppdD3.pdb2	4ppdC3.pdb2	749.15
4ppdD1.pdb2	4ppdC3.pdb2	784.3
2pp3B1.pdb3	2pp3C2.pdb3	282.85
2pp3B1.pdb3	2pp3B2.pdb3	1594.0
2pp3B1.pdb3	2pp3C1.pdb3	2943.35
2pp3C2.pdb3	2pp3B2.pdb3	2943.35
2pp3C2.pdb3	2pp3C3.pdb3	1571.2
2pp3C2.pdb3	2pp3B3.pdb3	320.8
2pp3B2.pdb3	2pp3C3.pdb3	320.85
2pp3B2.pdb3	2pp3C1.pdb3	282.85
2pp3C3.pdb3	2pp3B3.pdb3	2943.35
2pp6A4.pdb1	2pp6A3.pdb1	789.5
2pp6A4.pdb1	2pp6A1.pdb1	108.5
2pp6A4.pdb1	2pp6A2.pdb1	268.3
2pp6A3.pdb1	2pp6A1.pdb1	268.3
2pp6A3.pdb1	2pp6A2.pdb1	108.5
2pp6A1.pdb1	2pp6A2.pdb1	789.5
3pp8A2.pdb1	3pp8A1.pdb1	1855.35
3pp9A1.pdb1	3pp9A2.pdb1	1187.1
3ppmA1.pdb1	3ppmB1.pdb1	1592.4
2ppeB1.pdb1	2ppeA1.pdb1	2096.7
2ppeB1.pdb1	2ppeC1.pdb1	2068.7
2ppeA1.pdb1	2ppeC1.pdb1	2071.45
2pp1C3.pdb7	2pp1E3.pdb7	2760.55
2pp1C3.pdb7	2pp1C2.pdb7	1568.8
2pp1C3.pdb7	2pp1E1.pdb7	306.1
2pp1C3.pdb7	2pp1E2.pdb7	283.55
2pp1C1.pdb7	2pp1E3.pdb7	306.1
2pp1C1.pdb7	2pp1E4.pdb7	283.55
2pp1C1.pdb7	2pp1E1.pdb7	2760.55
2pp1C1.pdb7	2pp1C4.pdb7	1568.8
2pp1E3.pdb7	2pp1C2.pdb7	283.55
2pp1E3.pdb7	2pp1E1.pdb7	1562.3
2pp1E4.pdb7	2pp1C2.pdb7	306.15
2pp1E4.pdb7	2pp1E2.pdb7	1562.3
2pp1E4.pdb7	2pp1C4.pdb7	2760.55
2pp1C2.pdb7	2pp1E2.pdb7	2760.55
2pp1E1.pdb7	2pp1C4.pdb7	283.55
2pp1E2.pdb7	2pp1C4.pdb7	306.1
4pp1C1.pdb1	4pp1B1.pdb1	242.0
4pp1C1.pdb1	4pp1D1.pdb1	1773.55
4pp1B1.pdb1	4pp1D1.pdb1	681.6
1ppjS1.pdb1	1ppjA1.pdb1	57.5
1ppjS1.pdb1	1ppjB1.pdb1	433.9
1ppjS1.pdb1	1ppjP1.pdb1	1164.8
1ppjS1.pdb1	1ppjT1.pdb1	433.3
1ppjS1.pdb1	1ppjQ1.pdb1	379.7
1ppjS1.pdb1	1ppjR1.pdb1	6.6
1ppjA1.pdb1	1ppjG1.pdb1	866.6
1ppjA1.pdb1	1ppjB1.pdb1	2216.7
1ppjA1.pdb1	1ppjI1.pdb1	916.1
1ppjA1.pdb1	1ppjD1.pdb1	147.15
1ppjA1.pdb1	1ppjC1.pdb1	222.95
1ppjA1.pdb1	1ppjE1.pdb1	964.2
1ppjG1.pdb1	1ppjD1.pdb1	761.0
1ppjG1.pdb1	1ppjC1.pdb1	1011.4
1ppjG1.pdb1	1ppjH1.pdb1	179.8
1ppjG1.pdb1	1ppjF1.pdb1	437.2
1ppjG1.pdb1	1ppjE1.pdb1	596.65
1ppjN1.pdb1	1ppjV1.pdb1	948.95
1ppjN1.pdb1	1ppjP1.pdb1	221.8
1ppjN1.pdb1	1ppjO1.pdb1	2200.35
1ppjN1.pdb1	1ppjT1.pdb1	863.25
1ppjN1.pdb1	1ppjW1.pdb1	142.6
1ppjN1.pdb1	1ppjQ1.pdb1	146.95
1ppjN1.pdb1	1ppjR1.pdb1	994.95
1ppjN1.pdb1	1ppjF1.pdb1	50.25
1ppjV1.pdb1	1ppjO1.pdb1	1643.15
1ppjB1.pdb1	1ppjI1.pdb1	1644.1
1ppjB1.pdb1	1ppjO1.pdb1	684.65
1ppjP1.pdb1	1ppjC1.pdb1	722.15
1ppjP1.pdb1	1ppjT1.pdb1	1032.0
1ppjP1.pdb1	1ppjQ1.pdb1	1639.95
1ppjP1.pdb1	1ppjR1.pdb1	508.05
1ppjP1.pdb1	1ppjE1.pdb1	1193.45
1ppjD1.pdb1	1ppjC1.pdb1	1643.4
1ppjD1.pdb1	1ppjH1.pdb1	1180.0
1ppjD1.pdb1	1ppjQ1.pdb1	307.2
1ppjD1.pdb1	1ppjJ1.pdb1	881.9
1ppjD1.pdb1	1ppjF1.pdb1	366.65
1ppjD1.pdb1	1ppjE1.pdb1	758.9
1ppjC1.pdb1	1ppjR1.pdb1	1186.85
1ppjC1.pdb1	1ppjF1.pdb1	1168.35
1ppjC1.pdb1	1ppjE1.pdb1	511.2
1ppjO1.pdb1	1ppjF1.pdb1	459.6
1ppjT1.pdb1	1ppjU1.pdb1	197.7
1ppjT1.pdb1	1ppjQ1.pdb1	751.45
1ppjT1.pdb1	1ppjR1.pdb1	610.15
1ppjW1.pdb1	1ppjQ1.pdb1	871.05
1ppjW1.pdb1	1ppjR1.pdb1	676.15
1ppjU1.pdb1	1ppjQ1.pdb1	1168.1
1ppjQ1.pdb1	1ppjR1.pdb1	756.0
1ppjJ1.pdb1	1ppjE1.pdb1	173.1
1ppjF1.pdb1	1ppjE1.pdb1	3.5
3ppeA1.pdb1	3ppeB1.pdb1	1080.55
4pphC1.pdb1	4pphD1.pdb1	625.9
4pphC1.pdb1	4pphB1.pdb1	1262.2
4pphF1.pdb1	4pphE1.pdb1	659.5
4pphF1.pdb1	4pphA1.pdb1	1266.2
4pphD1.pdb1	4pphE1.pdb1	1271.15
4pphB1.pdb1	4pphA1.pdb1	686.2
4ppkD1.pdb6	4ppkC1.pdb6	923.05
1ppgI1.pdb1	1ppgE1.pdb1	221.55
1ppgI1.pdb1	1ppgE2.pdb1	12.1
1ppgE1.pdb1	1ppgE2.pdb1	504.55
1ppgE1.pdb1	1ppgI3.pdb1	12.1
1ppgE1.pdb1	1ppgE3.pdb1	504.6
1ppgE2.pdb1	1ppgE3.pdb1	504.55
1ppgE2.pdb1	1ppgI2.pdb1	221.55
1ppgI3.pdb1	1ppgE3.pdb1	221.6
1ppgE3.pdb1	1ppgI2.pdb1	12.1
2pp3A1.pdb5	2pp3A5.pdb5	2967.25
2pp3A1.pdb5	2pp3A3.pdb5	300.75
2pp3A1.pdb5	2pp3A4.pdb5	300.75
2pp3A1.pdb5	2pp3A8.pdb5	1608.8
2pp3A5.pdb5	2pp3A4.pdb5	1608.8
2pp3A5.pdb5	2pp3A8.pdb5	300.8
2pp3A5.pdb5	2pp3A7.pdb5	300.8
2pp3A3.pdb5	2pp3A2.pdb5	300.75
2pp3A3.pdb5	2pp3A8.pdb5	2967.25
2pp3A3.pdb5	2pp3A6.pdb5	1608.8
2pp3A2.pdb5	2pp3A4.pdb5	300.75
2pp3A2.pdb5	2pp3A7.pdb5	1608.8
2pp3A2.pdb5	2pp3A6.pdb5	2967.25
2pp3A4.pdb5	2pp3A7.pdb5	2967.25
2pp3A8.pdb5	2pp3A6.pdb5	300.8
2pp3A7.pdb5	2pp3A6.pdb5	300.8
1ppbH1.pdb1	1ppbL1.pdb1	1386.3
6ppiL1.pdb1	6ppiA1.pdb1	3840.55
6ppiL1.pdb1	6ppiB1.pdb1	311.9
6ppiL1.pdb1	6ppiK1.pdb1	3837.5
6ppiL1.pdb1	6ppiJ1.pdb1	310.1
6ppiA1.pdb1	6ppiB1.pdb1	3829.2
6ppiA1.pdb1	6ppiC1.pdb1	311.5
6ppiA1.pdb1	6ppiK1.pdb1	311.1
6ppiB1.pdb1	6ppiC1.pdb1	3839.9
6ppiB1.pdb1	6ppiD1.pdb1	310.45
6ppiI1.pdb1	6ppiG1.pdb1	312.05
6ppiI1.pdb1	6ppiH1.pdb1	3831.5
6ppiI1.pdb1	6ppiK1.pdb1	310.95
6ppiI1.pdb1	6ppiJ1.pdb1	3826.15
6ppiC1.pdb1	6ppiD1.pdb1	3835.35
6ppiC1.pdb1	6ppiE1.pdb1	308.2
6ppiF1.pdb1	6ppiG1.pdb1	3832.65
6ppiF1.pdb1	6ppiD1.pdb1	312.2
6ppiF1.pdb1	6ppiE1.pdb1	3834.85
6ppiF1.pdb1	6ppiH1.pdb1	310.65
6ppiG1.pdb1	6ppiE1.pdb1	310.65
6ppiG1.pdb1	6ppiH1.pdb1	3839.75
6ppiD1.pdb1	6ppiE1.pdb1	3835.1
6ppiH1.pdb1	6ppiJ1.pdb1	308.95
6ppiK1.pdb1	6ppiJ1.pdb1	3836.95
2ppaC1.pdb1	2ppaA1.pdb1	2038.2
2ppaC1.pdb1	2ppaB1.pdb1	2057.15
2ppaA1.pdb1	2ppaB1.pdb1	2100.3
2ppyE1.pdb2	2ppyC1.pdb2	1856.35
2ppyE1.pdb2	2ppyA1.pdb2	1864.7
2ppyC1.pdb2	2ppyA1.pdb2	1797.35
2ppwB1.pdb3	2ppwA1.pdb3	672.1
2ppwB1.pdb3	2ppwB2.pdb3	1631.7
2ppwB1.pdb3	2ppwA2.pdb3	291.5
2ppwA1.pdb3	2ppwB2.pdb3	291.5
2ppwA1.pdb3	2ppwA2.pdb3	1687.5
2ppwB2.pdb3	2ppwA2.pdb3	672.1
6pp9B1.pdb1	6pp9A1.pdb1	1343.35
6ppd61.pdb1	6ppd41.pdb1	573.35
6ppd61.pdb1	6ppd71.pdb1	3370.45
6ppd61.pdb1	6ppdS1.pdb1	863.5
6ppd61.pdb1	6ppdT1.pdb1	171.0
6ppd61.pdb1	6ppd51.pdb1	1237.5
6ppdb1.pdb1	6ppdS1.pdb1	58.15
6ppdb1.pdb1	6ppdW1.pdb1	1353.35
6ppdb1.pdb1	6ppdT1.pdb1	1762.55
6ppdb1.pdb1	6ppdd1.pdb1	1235.9
6ppdb1.pdb1	6ppdc1.pdb1	1440.75
6ppdb1.pdb1	6ppdX1.pdb1	42.25
6ppd41.pdb1	6ppd71.pdb1	276.1
6ppd41.pdb1	6ppdS1.pdb1	371.45
6ppd41.pdb1	6ppdA1.pdb1	1129.9
6ppd41.pdb1	6ppdX1.pdb1	904.3
6ppd41.pdb1	6ppd51.pdb1	959.9
6ppd31.pdb1	6ppdT1.pdb1	1778.9
6ppd31.pdb1	6ppd21.pdb1	335.35
6ppd71.pdb1	6ppdS1.pdb1	31.35
6ppd71.pdb1	6ppdX1.pdb1	14.1
6ppd71.pdb1	6ppd51.pdb1	1105.4
6ppdS1.pdb1	6ppdW1.pdb1	1964.1
6ppdS1.pdb1	6ppdT1.pdb1	6165.85
6ppdS1.pdb1	6ppd21.pdb1	1789.7
6ppdS1.pdb1	6ppdX1.pdb1	2381.7
6ppdS1.pdb1	6ppd51.pdb1	1113.9
6ppdW1.pdb1	6ppdT1.pdb1	2390.95
6ppdW1.pdb1	6ppd01.pdb1	1552.45
6ppdW1.pdb1	6ppdc1.pdb1	760.75
6ppdW1.pdb1	6ppdX1.pdb1	6207.95
6ppdW1.pdb1	6ppd51.pdb1	72.55
6ppdT1.pdb1	6ppdd1.pdb1	365.3
6ppdT1.pdb1	6ppd21.pdb1	373.45
6ppdT1.pdb1	6ppdX1.pdb1	713.6
6ppdT1.pdb1	6ppd51.pdb1	55.6
6ppd01.pdb1	6ppd11.pdb1	319.95
6ppd01.pdb1	6ppdX1.pdb1	417.1
6ppdd1.pdb1	6ppdc1.pdb1	3369.15
6ppd11.pdb1	6ppdX1.pdb1	1838.2
6ppdc1.pdb1	6ppdX1.pdb1	208.1
6ppdX1.pdb1	6ppd51.pdb1	1164.7
4ppbA1.pdb3	4ppbB1.pdb3	1786.1
4ppaB1.pdb3	4ppaA1.pdb3	1818.55
3pp7A1.pdb1	3pp7B2.pdb1	901.5
3pp7A1.pdb1	3pp7B1.pdb1	2214.85
3pp7B2.pdb1	3pp7A2.pdb1	2214.8
3pp7B1.pdb1	3pp7A2.pdb1	901.45
1ppyB1.pdb1	1ppyA2.pdb1	841.6
1ppyB1.pdb1	1ppyA1.pdb1	895.1
1ppyB2.pdb1	1ppyA2.pdb1	895.15
1ppyB2.pdb1	1ppyA1.pdb1	841.6
3ppzA1.pdb1	3ppzB1.pdb1	1249.5
1pprN1.pdb1	1pprO1.pdb1	537.0
1pprN1.pdb1	1pprM1.pdb1	527.1
1pprO1.pdb1	1pprM1.pdb1	532.45
6ppzA2.pdb1	6ppzA1.pdb1	3691.1
1pp1X3.pdb1	1pp1X1.pdb1	2305.25
1pp1X3.pdb1	1pp1X2.pdb1	2305.2
1pp1X3.pdb1	1pp1X4.pdb1	11.6
1pp1X1.pdb1	1pp1X2.pdb1	11.65
1pp1X1.pdb1	1pp1X4.pdb1	2305.25
1pp1X2.pdb1	1pp1X4.pdb1	2305.2
3ppuA1.pdb1	3ppuB1.pdb1	1203.65
6ppwA2.pdb1	6ppwA1.pdb1	3672.0
2pp1B2.pdb6	2pp1A2.pdb6	1593.9
2pp1B2.pdb6	2pp1A4.pdb6	311.25
2pp1B2.pdb6	2pp1B1.pdb6	3024.9
2pp1B2.pdb6	2pp1A1.pdb6	311.9
2pp1A2.pdb6	2pp1A4.pdb6	3009.2
2pp1A2.pdb6	2pp1B1.pdb6	311.9
2pp1A2.pdb6	2pp1B4.pdb6	311.25
2pp1A4.pdb6	2pp1B3.pdb6	311.9
2pp1A4.pdb6	2pp1B4.pdb6	1593.9
2pp1B3.pdb6	2pp1A3.pdb6	1593.9
2pp1B3.pdb6	2pp1A1.pdb6	311.25
2pp1B3.pdb6	2pp1B4.pdb6	3024.9
2pp1A3.pdb6	2pp1B1.pdb6	311.25
2pp1A3.pdb6	2pp1A1.pdb6	3009.2
2pp1A3.pdb6	2pp1B4.pdb6	311.9
2pp1B1.pdb6	2pp1A1.pdb6	1593.9
2pp3A2.pdb2	2pp3A1.pdb2	2967.25
2ppqA2.pdb1	2ppqA1.pdb1	1095.3
4ppdF2.pdb3	4ppdE1.pdb3	675.95
4ppdF2.pdb3	4ppdG2.pdb3	812.65
4ppdE2.pdb3	4ppdG2.pdb3	774.95
4ppdE2.pdb3	4ppdF1.pdb3	675.95
4ppdE1.pdb3	4ppdG1.pdb3	774.95
4ppdG1.pdb3	4ppdF1.pdb3	812.65
4pp5A1.pdb1	4pp5B1.pdb1	560.45
4ppyC1.pdb2	4ppyC2.pdb2	1012.0
3ppaA2.pdb1	3ppaA4.pdb1	167.2
3ppaA2.pdb1	3ppaA3.pdb1	732.35
3ppaA2.pdb1	3ppaA1.pdb1	1403.3
3ppaA4.pdb1	3ppaA3.pdb1	1403.25
3ppaA4.pdb1	3ppaA1.pdb1	732.4
3ppaA3.pdb1	3ppaA1.pdb1	167.15
1ppvA1.pdb1	1ppvB1.pdb1	831.5
4pppC1.pdb1	4pppA1.pdb1	443.6
4pppA1.pdb1	4pppB1.pdb1	1596.9
4pppB1.pdb1	4pppD1.pdb1	371.5
2ppyD1.pdb3	2ppyB1.pdb3	1845.1
2ppyD1.pdb3	2ppyF1.pdb3	1862.2
2ppyB1.pdb3	2ppyF1.pdb3	1858.65
2pp0B3.pdb6	2pp0C4.pdb6	293.75
2pp0B3.pdb6	2pp0B4.pdb6	1593.9
2pp0B3.pdb6	2pp0C1.pdb6	298.95
2pp0B3.pdb6	2pp0C3.pdb6	2933.15
2pp0B2.pdb6	2pp0C2.pdb6	2933.15
2pp0B2.pdb6	2pp0C4.pdb6	298.95
2pp0B2.pdb6	2pp0B1.pdb6	1594.0
2pp0B2.pdb6	2pp0C1.pdb6	293.75
2pp0C2.pdb6	2pp0C4.pdb6	1581.5
2pp0C2.pdb6	2pp0B1.pdb6	293.75
2pp0C2.pdb6	2pp0B4.pdb6	298.95
2pp0C4.pdb6	2pp0B4.pdb6	2933.15
2pp0B1.pdb6	2pp0C1.pdb6	2933.15
2pp0B1.pdb6	2pp0C3.pdb6	298.95
2pp0B4.pdb6	2pp0C3.pdb6	293.75
2pp0C1.pdb6	2pp0C3.pdb6	1581.5
2pp3B1.pdb6	2pp3C3.pdb6	320.85
2pp3B1.pdb6	2pp3C1.pdb6	2943.35
2pp3B1.pdb6	2pp3B2.pdb6	1594.0
2pp3B1.pdb6	2pp3C2.pdb6	282.85
2pp3C3.pdb6	2pp3C1.pdb6	1571.2
2pp3C3.pdb6	2pp3B4.pdb6	282.85
2pp3C3.pdb6	2pp3B3.pdb6	2943.35
2pp3C4.pdb6	2pp3B2.pdb6	320.85
2pp3C4.pdb6	2pp3B4.pdb6	2943.35
2pp3C4.pdb6	2pp3C2.pdb6	1571.2
2pp3C4.pdb6	2pp3B3.pdb6	282.85
2pp3C1.pdb6	2pp3B2.pdb6	282.85
2pp3C1.pdb6	2pp3B3.pdb6	320.8
2pp3B2.pdb6	2pp3C2.pdb6	2943.35
2pp3B4.pdb6	2pp3C2.pdb6	320.8
2pp3B4.pdb6	2pp3B3.pdb6	1594.0
3ppdA1.pdb1	3ppdA5.pdb1	168.3
3ppdA1.pdb1	3ppdA2.pdb1	226.05
3ppdA1.pdb1	3ppdA3.pdb1	226.05
3ppdA1.pdb1	3ppdA4.pdb1	168.3
3ppdA5.pdb1	3ppdA3.pdb1	168.3
3ppdA5.pdb1	3ppdA4.pdb1	226.05
3ppdA6.pdb1	3ppdA2.pdb1	168.3
3ppdA6.pdb1	3ppdA4.pdb1	226.05
3ppdA2.pdb1	3ppdA4.pdb1	168.3
1ppgE1.pdb2	1ppgI1.pdb2	221.55
2pp0C1.pdb3	2pp0B2.pdb3	293.75
2pp0C1.pdb3	2pp0B1.pdb3	2933.15
2pp0B3.pdb3	2pp0C2.pdb3	298.95
2pp0B3.pdb3	2pp0C3.pdb3	2933.15
2pp0B2.pdb3	2pp0B1.pdb3	1594.0
2pp0B2.pdb3	2pp0C2.pdb3	2933.15
2pp0B2.pdb3	2pp0C3.pdb3	298.95
2pp0B1.pdb3	2pp0C2.pdb3	293.75
2pp0C2.pdb3	2pp0C3.pdb3	1581.5
2pp0C1.pdb1	2pp0B1.pdb1	2933.15
2pp0A2.pdb5	2pp0A8.pdb5	0.05
2pp0A2.pdb5	2pp0A6.pdb5	2973.0
2pp0A2.pdb5	2pp0A4.pdb5	311.3
2pp0A2.pdb5	2pp0A7.pdb5	1597.95
2pp0A2.pdb5	2pp0A3.pdb5	311.3
2pp0A8.pdb5	2pp0A1.pdb5	1597.95
2pp0A8.pdb5	2pp0A6.pdb5	311.35
2pp0A8.pdb5	2pp0A4.pdb5	0.05
2pp0A8.pdb5	2pp0A7.pdb5	0.1
2pp0A8.pdb5	2pp0A3.pdb5	2973.05
2pp0A8.pdb5	2pp0A5.pdb5	311.35
2pp0A1.pdb5	2pp0A4.pdb5	311.3
2pp0A1.pdb5	2pp0A7.pdb5	0.05
2pp0A1.pdb5	2pp0A3.pdb5	311.3
2pp0A1.pdb5	2pp0A5.pdb5	2973.0
2pp0A6.pdb5	2pp0A7.pdb5	311.35
2pp0A6.pdb5	2pp0A3.pdb5	1597.9
2pp0A4.pdb5	2pp0A7.pdb5	2973.05
2pp0A4.pdb5	2pp0A5.pdb5	1597.9
2pp0A7.pdb5	2pp0A3.pdb5	0.05
2pp0A7.pdb5	2pp0A5.pdb5	311.35
4ppdA1.pdb1	4ppdB3.pdb1	744.45
4ppdA1.pdb1	4ppdB1.pdb1	789.75
4ppdB2.pdb1	4ppdA2.pdb1	789.85
4ppdB2.pdb1	4ppdA3.pdb1	743.7
4ppdA2.pdb1	4ppdB1.pdb1	744.8
4ppdB3.pdb1	4ppdA3.pdb1	791.1
6ppyA2.pdb1	6ppyA1.pdb1	3644.8
4ppiA3.pdb1	4ppiA1.pdb1	128.35
4ppiA3.pdb1	4ppiA6.pdb1	3257.05
4ppiA3.pdb1	4ppiA5.pdb1	579.0
4ppiA3.pdb1	4ppiA2.pdb1	128.0
4ppiA4.pdb1	4ppiA1.pdb1	581.6
4ppiA4.pdb1	4ppiA6.pdb1	128.4
4ppiA4.pdb1	4ppiA5.pdb1	128.65
4ppiA4.pdb1	4ppiA2.pdb1	3250.5
4ppiA1.pdb1	4ppiA5.pdb1	3250.5
4ppiA1.pdb1	4ppiA2.pdb1	128.65
4ppiA6.pdb1	4ppiA5.pdb1	128.0
4ppiA6.pdb1	4ppiA2.pdb1	579.0
2ppxA2.pdb1	2ppxA4.pdb1	284.1
2ppxA2.pdb1	2ppxA1.pdb1	717.5
2ppxA2.pdb1	2ppxA3.pdb1	37.3
2ppxA4.pdb1	2ppxA1.pdb1	37.3
2ppxA4.pdb1	2ppxA3.pdb1	717.5
2ppxA1.pdb1	2ppxA3.pdb1	284.1
4ppeB2.pdb1	4ppeA1.pdb1	1221.5
4ppeA1.pdb2	4ppeB1.pdb2	237.95
4ppeA1.pdb2	4ppeB2.pdb2	1221.5
4ppeA1.pdb2	4ppeA2.pdb2	564.7
4ppeB1.pdb2	4ppeB2.pdb2	497.3
4ppeB1.pdb2	4ppeA2.pdb2	1221.5
4ppeB2.pdb2	4ppeA2.pdb2	237.95
2ppvA1.pdb1	2ppvA2.pdb1	973.3
6pph51.pdb1	6pphk1.pdb1	421.3
6pph51.pdb1	6pphS1.pdb1	780.9
6pph51.pdb1	6pphX1.pdb1	1016.25
6pph51.pdb1	6pph71.pdb1	1064.4
6pph51.pdb1	6pph61.pdb1	1333.25
6pph51.pdb1	6pph41.pdb1	1607.65
6pphc1.pdb1	6pphb1.pdb1	1378.45
6pphc1.pdb1	6pphd1.pdb1	3367.65
6pphc1.pdb1	6pphX1.pdb1	222.9
6pphc1.pdb1	6pphW1.pdb1	835.4
6pph21.pdb1	6pphT1.pdb1	373.8
6pph21.pdb1	6pphS1.pdb1	1781.6
6pph21.pdb1	6pph31.pdb1	310.1
6pphb1.pdb1	6pphT1.pdb1	1750.0
