2vokA1.pdb1	2vokB1.pdb1	681.0
5vozB1.pdb1	5vozM1.pdb1	112.35
5vozB1.pdb1	5vozC1.pdb1	504.55
5vozb1.pdb1	5voza1.pdb1	58.1
5vozb1.pdb1	5vozL1.pdb1	63.2
5vozb1.pdb1	5vozS1.pdb1	34.35
5vozb1.pdb1	5vozJ1.pdb1	28.15
5vozb1.pdb1	5vozP1.pdb1	190.35
5vozb1.pdb1	5vozd1.pdb1	180.9
5vozb1.pdb1	5vozI1.pdb1	40.1
5vozb1.pdb1	5vozO1.pdb1	27.3
5vozb1.pdb1	5vozc1.pdb1	190.15
5vozX1.pdb1	5vozO1.pdb1	58.65
5vozX1.pdb1	5vozW1.pdb1	391.8
5vozX1.pdb1	5vozY1.pdb1	349.3
5vozA1.pdb1	5vozM1.pdb1	95.6
5voza1.pdb1	5vozZ1.pdb1	316.95
5voza1.pdb1	5vozc1.pdb1	11.55
5vozL1.pdb1	5voze1.pdb1	46.75
5vozN1.pdb1	5vozE1.pdb1	41.4
5vozN1.pdb1	5vozM1.pdb1	508.55
5vozS1.pdb1	5vozT1.pdb1	305.05
5vozJ1.pdb1	5vozg1.pdb1	32.15
5vozJ1.pdb1	5vozI1.pdb1	414.2
5voze1.pdb1	5vozE1.pdb1	214.2
5voze1.pdb1	5vozD1.pdb1	43.05
5vozE1.pdb1	5vozD1.pdb1	545.75
5vozG1.pdb1	5vozO1.pdb1	101.7
5vozG1.pdb1	5vozH1.pdb1	498.2
5vozg1.pdb1	5vozC1.pdb1	207.65
5vozZ1.pdb1	5vozY1.pdb1	325.35
5vozD1.pdb1	5vozM1.pdb1	75.4
5vozD1.pdb1	5vozC1.pdb1	891.15
5vozU1.pdb1	5vozT1.pdb1	289.1
5vozU1.pdb1	5vozV1.pdb1	333.7
5vozI1.pdb1	5vozO1.pdb1	70.95
5vozO1.pdb1	5vozH1.pdb1	123.95
5vozO1.pdb1	5vozY1.pdb1	26.6
5vozO1.pdb1	5vozV1.pdb1	1.6
5vozM1.pdb1	5vozC1.pdb1	55.0
5vozW1.pdb1	5vozV1.pdb1	431.15
3vonT1.pdb9	3vonU1.pdb9	753.7
3vozA2.pdb1	3vozA3.pdb1	91.8
3vozA2.pdb1	3vozA1.pdb1	555.8
3vozA2.pdb1	3vozA4.pdb1	1390.6
3vozA3.pdb1	3vozA1.pdb1	1390.6
3vozA3.pdb1	3vozA4.pdb1	555.8
3vozA1.pdb1	3vozA4.pdb1	91.8
3voxD1.pdb2	3voxC1.pdb2	1523.55
5voxL1.pdb1	5voxK1.pdb1	372.7
5voxL1.pdb1	5voxb1.pdb1	82.2
5voxL1.pdb1	5voxe1.pdb1	69.25
5voxV1.pdb1	5voxW1.pdb1	400.75
5voxV1.pdb1	5voxU1.pdb1	378.85
5voxV1.pdb1	5voxR1.pdb1	17.15
5voxH1.pdb1	5voxG1.pdb1	399.1
5voxH1.pdb1	5voxf1.pdb1	19.05
5voxH1.pdb1	5voxO1.pdb1	49.15
5voxd1.pdb1	5voxb1.pdb1	172.0
5voxD1.pdb1	5voxM1.pdb1	116.8
5voxD1.pdb1	5voxK1.pdb1	194.85
5voxD1.pdb1	5voxC1.pdb1	813.15
5voxD1.pdb1	5voxE1.pdb1	461.3
5voxD1.pdb1	5voxe1.pdb1	28.1
5voxS1.pdb1	5voxQ1.pdb1	71.2
5voxS1.pdb1	5voxT1.pdb1	427.25
5voxS1.pdb1	5voxR1.pdb1	349.65
5voxZ1.pdb1	5voxY1.pdb1	293.0
5voxZ1.pdb1	5voxa1.pdb1	373.05
5voxM1.pdb1	5voxC1.pdb1	82.2
5voxM1.pdb1	5voxQ1.pdb1	243.95
5voxM1.pdb1	5voxF1.pdb1	70.2
5voxM1.pdb1	5voxB1.pdb1	85.95
5voxM1.pdb1	5voxA1.pdb1	3.1
5voxM1.pdb1	5voxN1.pdb1	495.25
5voxM1.pdb1	5voxE1.pdb1	29.05
5voxK1.pdb1	5voxP1.pdb1	1.9
5voxK1.pdb1	5voxb1.pdb1	72.85
5voxK1.pdb1	5voxe1.pdb1	34.75
5voxY1.pdb1	5voxb1.pdb1	2.15
5voxY1.pdb1	5voxX1.pdb1	444.65
5voxc1.pdb1	5voxb1.pdb1	166.15
5voxc1.pdb1	5voxX1.pdb1	11.1
5voxC1.pdb1	5voxg1.pdb1	153.85
5voxC1.pdb1	5voxB1.pdb1	726.4
5voxP1.pdb1	5voxb1.pdb1	111.15
5voxG1.pdb1	5voxf1.pdb1	68.9
5voxG1.pdb1	5voxF1.pdb1	276.75
5voxG1.pdb1	5voxO1.pdb1	98.3
5voxJ1.pdb1	5voxb1.pdb1	61.4
5voxJ1.pdb1	5voxI1.pdb1	419.15
5voxQ1.pdb1	5voxO1.pdb1	112.15
5voxQ1.pdb1	5voxa1.pdb1	1.5
5voxQ1.pdb1	5voxU1.pdb1	43.75
5voxQ1.pdb1	5voxT1.pdb1	54.45
5voxQ1.pdb1	5voxR1.pdb1	163.3
5voxf1.pdb1	5voxF1.pdb1	3.5
5voxf1.pdb1	5voxA1.pdb1	181.85
5voxF1.pdb1	5voxA1.pdb1	561.05
5voxF1.pdb1	5voxE1.pdb1	934.15
5voxO1.pdb1	5voxb1.pdb1	106.3
5voxO1.pdb1	5voxI1.pdb1	152.25
5voxW1.pdb1	5voxb1.pdb1	0.5
5voxW1.pdb1	5voxX1.pdb1	411.95
5voxb1.pdb1	5voxX1.pdb1	49.35
5voxb1.pdb1	5voxI1.pdb1	51.7
5voxB1.pdb1	5voxA1.pdb1	595.2
5voxB1.pdb1	5voxI1.pdb1	284.1
5voxa1.pdb1	5voxR1.pdb1	393.5
5voxA1.pdb1	5voxN1.pdb1	7.05
5voxU1.pdb1	5voxT1.pdb1	325.7
5voxE1.pdb1	5voxe1.pdb1	221.05
5votA1.pdb1	5votE1.pdb1	259.7
5votA1.pdb1	5votD1.pdb1	2345.8
5votA1.pdb1	5votC1.pdb1	18.9
5votA1.pdb1	5votF1.pdb1	756.75
5votA1.pdb1	5votB1.pdb1	1848.4
5votE1.pdb1	5votD1.pdb1	593.05
5votH1.pdb1	5votD1.pdb1	424.8
5votH1.pdb1	5votC1.pdb1	757.5
5votD1.pdb1	5votC1.pdb1	1851.35
5votD1.pdb1	5votB1.pdb1	7.3
5votG1.pdb1	5votC1.pdb1	239.6
5votG1.pdb1	5votB1.pdb1	594.2
5votC1.pdb1	5votB1.pdb1	2357.35
5votF1.pdb1	5votB1.pdb1	425.15
5vokG2.pdb6	5vokF1.pdb6	473.75
5vokG2.pdb6	5vokH2.pdb6	830.6
5vokF1.pdb6	5vokE1.pdb6	924.6
5vokF1.pdb6	5vokH2.pdb6	953.55
5vokE1.pdb6	5vokH2.pdb6	375.9
1volA1.pdb1	1volB1.pdb1	626.7
1volA1.pdb1	1volD1.pdb1	367.0
1volA1.pdb1	1volC1.pdb1	207.35
1volB1.pdb1	1volD1.pdb1	798.15
1volB1.pdb1	1volC1.pdb1	786.1
1volD1.pdb1	1volC1.pdb1	740.2
1vokA2.pdb3	1vokB2.pdb3	1579.7
1vokB2.pdb3	1vokB1.pdb3	518.0
1vokA1.pdb3	1vokB1.pdb3	1579.65
2vouC1.pdb2	2vouB1.pdb2	914.05
5vokG1.pdb4	5vokH1.pdb4	830.6
3vonL1.pdb5	3vonK1.pdb5	777.55
2vo7A1.pdb1	2vo7I1.pdb1	992.8
3vouB2.pdb1	3vouA1.pdb1	1773.75
3vouB2.pdb1	3vouB1.pdb1	100.75
3vouB2.pdb1	3vouA2.pdb1	1797.15
3vouA1.pdb1	3vouB1.pdb1	1797.05
3vouA1.pdb1	3vouA2.pdb1	122.4
3vouB1.pdb1	3vouA2.pdb1	1773.75
2vofD1.pdb1	2vofC1.pdb1	1020.95
2vofD1.pdb1	2vofA1.pdb1	71.8
2vofD1.pdb1	2vofB1.pdb1	430.0
2vofC1.pdb1	2vofA1.pdb1	5.55
2vofC1.pdb1	2vofB1.pdb1	270.45
2vofA1.pdb1	2vofB1.pdb1	1038.35
2vo3A1.pdb1	2vo3I1.pdb1	976.75
1votA2.pdb1	1votA1.pdb1	1029.3
3vonR1.pdb8	3vonS1.pdb8	762.65
3vomA1.pdb1	3vomB1.pdb1	2126.9
3vonO1.pdb7	3vonQ1.pdb7	659.9
3vonP1.pdb7	3vonQ1.pdb7	724.5
2vooC1.pdb1	2vooA1.pdb1	430.6
5vofA1.pdb1	5vofH1.pdb1	424.0
5vofL1.pdb1	5vofH1.pdb1	854.3
3vonD1.pdb2	3vonE1.pdb2	811.85
2vooB1.pdb2	2vooD1.pdb2	462.55
5vokB1.pdb5	5vokA1.pdb5	961.75
5vokB1.pdb5	5vokD2.pdb5	931.1
5vokB1.pdb5	5vokC2.pdb5	350.85
5vokA1.pdb5	5vokD2.pdb5	305.4
5vokD2.pdb5	5vokC2.pdb5	937.7
3voeA1.pdb1	3voeB1.pdb1	1903.6
2vodC1.pdb1	2vodA1.pdb1	526.3
2vocA1.pdb1	2vocB1.pdb1	466.95
2voaA1.pdb1	2voaD1.pdb1	214.1
2voaA1.pdb1	2voaC1.pdb1	448.6
2voaD1.pdb1	2voaC1.pdb1	471.35
2voaD1.pdb1	2voaB1.pdb1	402.75
2voaC1.pdb1	2voaB1.pdb1	191.65
3voxA1.pdb1	3voxB1.pdb1	1478.3
2vomA1.pdb1	2vomB1.pdb1	1697.1
5voiH1.pdb1	5voiG1.pdb1	460.85
5voiH1.pdb1	5voiF1.pdb1	1110.6
5voiH1.pdb1	5voiD1.pdb1	220.0
5voiH1.pdb1	5voiC1.pdb1	513.95
5voiE1.pdb1	5voiB1.pdb1	32.7
5voiE1.pdb1	5voiD1.pdb1	2291.3
5voiE1.pdb1	5voiC1.pdb1	101.4
5voiA1.pdb1	5voiB1.pdb1	1475.45
5voiA1.pdb1	5voiD1.pdb1	46.85
5voiA1.pdb1	5voiC1.pdb1	1947.6
5voiG1.pdb1	5voiF1.pdb1	167.85
5voiG1.pdb1	5voiD1.pdb1	782.9
5voiG1.pdb1	5voiC1.pdb1	450.85
5voiB1.pdb1	5voiD1.pdb1	1207.55
5voiB1.pdb1	5voiC1.pdb1	257.6
5voiF1.pdb1	5voiD1.pdb1	3834.45
5voiF1.pdb1	5voiC1.pdb1	2440.85
5voiD1.pdb1	5voiC1.pdb1	8664.25
5vosA6.pdb1	5vosA3.pdb1	2.95
5vosA6.pdb1	5vosA9.pdb1	414.8
5vosA6.pdb1	5vosA7.pdb1	414.8
5vosA6.pdb1	5vosA2.pdb1	302.9
5vosA6.pdb1	5vosA4.pdb1	2.95
5vosA6.pdb1	5vosA1.pdb1	302.9
5vosA3.pdb1	5vosA7.pdb1	302.9
5vosA3.pdb1	5vosA2.pdb1	414.8
5vosA3.pdb1	5vosA8.pdb1	302.9
5vosA9.pdb1	5vosA5.pdb1	2.95
5vosA9.pdb1	5vosA2.pdb1	2.95
5vosA9.pdb1	5vosA4.pdb1	302.9
5vosA9.pdb1	5vosA1.pdb1	302.9
5vosA9.pdb1	5vosA10.pdb1	414.8
5vosA5.pdb1	5vosA4.pdb1	414.8
5vosA5.pdb1	5vosA10.pdb1	302.9
5vosA7.pdb1	5vosA2.pdb1	302.9
5vosA7.pdb1	5vosA1.pdb1	2.95
5vosA7.pdb1	5vosA8.pdb1	414.8
5vosA2.pdb1	5vosA1.pdb1	414.8
5vosA2.pdb1	5vosA8.pdb1	2.95
5vosA4.pdb1	5vosA1.pdb1	414.8
5vosA4.pdb1	5vosA10.pdb1	302.9
5vosA1.pdb1	5vosA10.pdb1	2.95
3vovB1.pdb1	3vovA1.pdb1	1732.85
3vovB1.pdb1	3vovD1.pdb1	271.85
3vovB1.pdb1	3vovC1.pdb1	1115.9
3vovA1.pdb1	3vovD1.pdb1	1106.8
3vovA1.pdb1	3vovC1.pdb1	275.5
3vovD1.pdb1	3vovC1.pdb1	1735.55
5vo3A2.pdb1	5vo3A1.pdb1	2446.0
5vohA1.pdb1	5vohC1.pdb1	714.9
5vohA1.pdb1	5vohB1.pdb1	2716.15
5vohC1.pdb1	5vohD1.pdb1	2697.15
2vogA1.pdb1	2vogB1.pdb1	947.55
2vofB1.pdb2	2vofA1.pdb2	1038.3
5volA1.pdb1	5volB1.pdb1	603.25
5volA1.pdb1	5volC1.pdb1	241.9
5volA1.pdb1	5volF1.pdb1	560.8
5volB1.pdb1	5volC1.pdb1	560.2
5volB1.pdb1	5volF1.pdb1	242.2
5volC1.pdb1	5volF1.pdb1	602.55
2vouA2.pdb1	2vouA1.pdb1	898.1
5vovH1.pdb1	5vovD1.pdb1	189.1
5vovH1.pdb1	5vovC1.pdb1	239.2
5vovB1.pdb1	5vovG1.pdb1	189.15
5vovB1.pdb1	5vovA1.pdb1	583.5
5vovB1.pdb1	5vovC1.pdb1	725.0
5vovB1.pdb1	5vovF1.pdb1	183.35
5vovG1.pdb1	5vovC1.pdb1	95.35
5vovE1.pdb1	5vovD1.pdb1	189.9
5vovE1.pdb1	5vovA1.pdb1	96.05
5vovD1.pdb1	5vovA1.pdb1	721.7
5vovD1.pdb1	5vovC1.pdb1	602.95
5vovA1.pdb1	5vovC1.pdb1	5.0
5vovA1.pdb1	5vovF1.pdb1	243.75
3vo0A1.pdb2	3vo0A2.pdb2	1056.6
5vo0B1.pdb1	5vo0C1.pdb1	927.25
5vo0B1.pdb1	5vo0A1.pdb1	569.15
5vo0F1.pdb1	5vo0E1.pdb1	846.35
5vo0F1.pdb1	5vo0D1.pdb1	373.95
5vo0F1.pdb1	5vo0A1.pdb1	175.4
5vo0E1.pdb1	5vo0D1.pdb1	537.35
5vo0D1.pdb1	5vo0C1.pdb1	168.75
5vo0D1.pdb1	5vo0A1.pdb1	550.55
5vo0C1.pdb1	5vo0A1.pdb1	375.1
2vomD1.pdb2	2vomC1.pdb2	1685.3
5volH1.pdb2	5volE1.pdb2	558.45
5volH1.pdb2	5volG1.pdb2	609.8
5volH1.pdb2	5volD1.pdb2	241.1
5volE1.pdb2	5volG1.pdb2	243.3
5volE1.pdb2	5volD1.pdb2	623.4
5volG1.pdb2	5volD1.pdb2	558.3
5vo5A1.pdb2	5vo5A2.pdb2	770.9
3voyA3.pdb1	3voyA4.pdb1	514.1
3voyA3.pdb1	3voyA1.pdb1	1311.6
3voyA4.pdb1	3voyA2.pdb1	1311.6
3voyA1.pdb1	3voyA2.pdb1	514.1
5vokB1.pdb1	5vokA1.pdb1	961.75
2vohB1.pdb1	2vohA1.pdb1	952.85
2vopA1.pdb1	2vopB1.pdb1	574.1
2vo4B1.pdb1	2vo4A1.pdb1	1133.4
1vokA1.pdb5	1vokB1.pdb5	1579.65
2vo0I1.pdb1	2vo0A1.pdb1	948.2
3vodB1.pdb1	3vodA1.pdb1	1926.75
2vozA1.pdb1	2vozB1.pdb1	1134.45
2vozA1.pdb1	2vozA2.pdb1	763.4
2vozB2.pdb1	2vozB1.pdb1	903.5
2vozB2.pdb1	2vozA2.pdb1	1134.45
2voaC1.pdb4	2voaD1.pdb4	471.35
3volA2.pdb1	3volA1.pdb1	1390.2
3vosA1.pdb1	3vosA2.pdb1	2828.55
3voqA1.pdb1	3voqB1.pdb1	773.3
2voyD1.pdb1	2voyC1.pdb1	249.45
2voyD1.pdb1	2voyE1.pdb1	580.15
2voyD1.pdb1	2voyB1.pdb1	438.65
2voyG1.pdb1	2voyF1.pdb1	47.05
2voyG1.pdb1	2voyK1.pdb1	244.45
2voyG1.pdb1	2voyI1.pdb1	231.85
2voyG1.pdb1	2voyH1.pdb1	415.45
2voyG1.pdb1	2voyB1.pdb1	189.25
2voyF1.pdb1	2voyI1.pdb1	428.4
2voyF1.pdb1	2voyJ1.pdb1	9.95
2voyF1.pdb1	2voyA1.pdb1	697.3
2voyF1.pdb1	2voyE1.pdb1	98.3
2voyF1.pdb1	2voyB1.pdb1	237.85
2voyK1.pdb1	2voyI1.pdb1	304.0
2voyK1.pdb1	2voyL1.pdb1	367.1
2voyK1.pdb1	2voyH1.pdb1	665.85
2voyI1.pdb1	2voyJ1.pdb1	164.65
2voyI1.pdb1	2voyA1.pdb1	161.75
2voyI1.pdb1	2voyE1.pdb1	0.75
2voyI1.pdb1	2voyH1.pdb1	552.6
2voyI1.pdb1	2voyB1.pdb1	167.1
2voyJ1.pdb1	2voyA1.pdb1	648.0
2voyL1.pdb1	2voyE1.pdb1	178.15
2voyL1.pdb1	2voyH1.pdb1	382.75
2voyL1.pdb1	2voyB1.pdb1	3.05
2voyC1.pdb1	2voyE1.pdb1	19.15
2voyC1.pdb1	2voyH1.pdb1	152.1
2voyC1.pdb1	2voyB1.pdb1	704.15
2voyA1.pdb1	2voyB1.pdb1	333.5
2voyE1.pdb1	2voyH1.pdb1	243.7
2voyE1.pdb1	2voyB1.pdb1	722.15
2voyH1.pdb1	2voyB1.pdb1	366.65
2voiB1.pdb1	2voiA1.pdb1	858.35
3vonC1.pdb1	3vonB1.pdb1	755.4
3vonC1.pdb1	3vonA1.pdb1	734.4
3vokA2.pdb1	3vokU2.pdb1	182.9
3vokA2.pdb1	3vokA1.pdb1	1573.8
3vokA2.pdb1	3vokU1.pdb1	336.75
3vokU2.pdb1	3vokA1.pdb1	336.8
3vokU2.pdb1	3vokU1.pdb1	657.3
3vokA1.pdb1	3vokU1.pdb1	182.95
1vokA1.pdb4	1vokB1.pdb4	1579.65
1vokA1.pdb4	1vokA2.pdb4	1069.6
1vokB2.pdb4	1vokA2.pdb4	1579.65
3vo0A3.pdb3	3vo0A1.pdb3	16.9
3vo0A3.pdb3	3vo0A2.pdb3	433.55
3vo0A3.pdb3	3vo0A4.pdb3	1056.6
3vo0A1.pdb3	3vo0A2.pdb3	1056.6
3vo0A1.pdb3	3vo0A4.pdb3	433.5
3vo0A2.pdb3	3vo0A4.pdb3	17.0
3vopA1.pdb1	3vopC1.pdb1	484.85
3vopA1.pdb1	3vopB1.pdb1	746.05
3vopC1.pdb1	3vopB1.pdb1	462.55
5vokE1.pdb3	5vokF1.pdb3	924.6
5vobE1.pdb1	5vobD1.pdb1	2632.05
5vobE1.pdb1	5vobL1.pdb1	37.5
5vobE1.pdb1	5vobC1.pdb1	1000.35
5vobD1.pdb1	5vobH1.pdb1	530.95
5vobD1.pdb1	5vobL1.pdb1	895.5
5vobD1.pdb1	5vobC1.pdb1	1289.5
5vobD1.pdb1	5vobB1.pdb1	934.3
5vobH1.pdb1	5vobL1.pdb1	1929.55
5vobH1.pdb1	5vobB1.pdb1	83.3
5vobC1.pdb1	5vobB1.pdb1	1054.65
5vobA1.pdb1	5vobB1.pdb1	4011.4
3vonF1.pdb3	3vonG1.pdb3	723.5
5voeA1.pdb1	5voeH1.pdb1	429.85
5voeH1.pdb1	5voeL1.pdb1	828.8
5vodL2.pdb2	5vodE2.pdb2	125.95
5vodL2.pdb2	5vodC2.pdb2	452.55
5vodL2.pdb2	5vodH2.pdb2	1860.5
5vodB1.pdb2	5vodA1.pdb2	3999.45
5vodB1.pdb2	5vodC1.pdb2	1025.15
5vodB1.pdb2	5vodD1.pdb2	922.45
5vodE2.pdb2	5vodD2.pdb2	2638.85
5vodE2.pdb2	5vodC2.pdb2	1031.1
5vodE2.pdb2	5vodH2.pdb2	311.45
5vodL1.pdb2	5vodE1.pdb2	125.95
5vodL1.pdb2	5vodH1.pdb2	1860.5
5vodL1.pdb2	5vodC1.pdb2	452.55
5vodE1.pdb2	5vodH1.pdb2	311.45
5vodE1.pdb2	5vodC1.pdb2	1031.1
5vodE1.pdb2	5vodD1.pdb2	2638.85
5vodH1.pdb2	5vodC1.pdb2	72.7
5vodA1.pdb2	5vodA2.pdb2	14.1
5vodD2.pdb2	5vodB2.pdb2	922.4
5vodD2.pdb2	5vodC2.pdb2	1283.05
5vodA2.pdb2	5vodB2.pdb2	3999.4
5vodB2.pdb2	5vodC2.pdb2	1025.15
5vodC2.pdb2	5vodC1.pdb2	809.9
5vodC2.pdb2	5vodH2.pdb2	72.7
5vodC1.pdb2	5vodD1.pdb2	1283.1
2vojE2.pdb1	2vojC2.pdb1	352.5
2vojE2.pdb1	2vojC1.pdb1	1719.55
2vojE2.pdb1	2vojA2.pdb1	372.1
2vojE2.pdb1	2vojE1.pdb1	614.7
2vojC2.pdb1	2vojA2.pdb1	334.55
2vojC2.pdb1	2vojA1.pdb1	657.55
2vojC2.pdb1	2vojE1.pdb1	1719.55
2vojC1.pdb1	2vojA2.pdb1	657.55
2vojC1.pdb1	2vojA1.pdb1	334.55
2vojC1.pdb1	2vojE1.pdb1	352.5
2vojA2.pdb1	2vojA1.pdb1	1716.2
2vojA1.pdb1	2vojE1.pdb1	372.1
3vonI1.pdb4	3vonJ1.pdb4	728.5
3vonJ1.pdb4	3vonH1.pdb4	714.9
1vokA1.pdb6	1vokA2.pdb6	1069.6
2vo1A1.pdb1	2vo1B1.pdb1	577.45
2vo1A1.pdb1	2vo1A2.pdb1	1105.0
2vo1A1.pdb1	2vo1B2.pdb1	544.1
2vo1B1.pdb1	2vo1A2.pdb1	544.1
2vo1B1.pdb1	2vo1B2.pdb1	1063.1
2vo1A2.pdb1	2vo1B2.pdb1	577.45
2vodB1.pdb2	2vodD1.pdb2	521.35
2vofC1.pdb3	2vofD1.pdb3	1020.95
5vodE1.pdb1	5vodL1.pdb1	125.95
5vodE1.pdb1	5vodD1.pdb1	2638.85
5vodE1.pdb1	5vodH1.pdb1	311.45
5vodE1.pdb1	5vodC1.pdb1	1031.1
5vodL1.pdb1	5vodH1.pdb1	1860.5
5vodL1.pdb1	5vodC1.pdb1	452.55
5vodD1.pdb1	5vodB1.pdb1	922.45
5vodD1.pdb1	5vodC1.pdb1	1283.1
5vodB1.pdb1	5vodC1.pdb1	1025.15
5vodB1.pdb1	5vodA1.pdb1	3999.45
5vodH1.pdb1	5vodC1.pdb1	72.7
3vonN1.pdb6	3vonM1.pdb6	729.85
5vokC1.pdb2	5vokD1.pdb2	937.75
2vonB1.pdb2	2vonD1.pdb2	544.75
2voeD1.pdb1	2voeE1.pdb1	550.45
2voeD1.pdb1	2voeF1.pdb1	543.85
2voeD1.pdb1	2voeA1.pdb1	1817.35
2voeD1.pdb1	2voeB1.pdb1	705.2
2voeE1.pdb1	2voeC1.pdb1	1804.0
2voeE1.pdb1	2voeF1.pdb1	524.4
2voeE1.pdb1	2voeA1.pdb1	664.45
2voeC1.pdb1	2voeF1.pdb1	659.3
2voeC1.pdb1	2voeA1.pdb1	526.65
2voeC1.pdb1	2voeB1.pdb1	535.55
2voeF1.pdb1	2voeB1.pdb1	1814.0
2voeA1.pdb1	2voeB1.pdb1	534.95
5vo8D1.pdb1	5vo8A1.pdb1	46.65
5vo8D1.pdb1	5vo8F1.pdb1	3985.05
5vo8D1.pdb1	5vo8G1.pdb1	711.3
5vo8D1.pdb1	5vo8B1.pdb1	1232.8
5vo8D1.pdb1	5vo8C1.pdb1	8579.4
5vo8D1.pdb1	5vo8E1.pdb1	2301.1
5vo8D1.pdb1	5vo8I1.pdb1	197.25
5vo8D1.pdb1	5vo8H1.pdb1	229.85
5vo8A1.pdb1	5vo8B1.pdb1	1530.55
5vo8A1.pdb1	5vo8C1.pdb1	1983.35
5vo8F1.pdb1	5vo8G1.pdb1	191.2
5vo8F1.pdb1	5vo8C1.pdb1	2276.2
5vo8F1.pdb1	5vo8I1.pdb1	59.65
5vo8F1.pdb1	5vo8H1.pdb1	1121.0
5vo8G1.pdb1	5vo8C1.pdb1	421.8
