6qvdB1.pdb1	6qvdA1.pdb1	2502.8
4qv4L1.pdb1	4qv4K1.pdb1	686.65
4qv4L1.pdb1	4qv4V1.pdb1	1470.5
4qv4L1.pdb1	4qv4E1.pdb1	351.95
4qv4I1.pdb1	4qv4B1.pdb1	484.95
4qv4I1.pdb1	4qv4Y1.pdb1	969.75
4qv4M1.pdb1	4qv4F1.pdb1	455.15
4qv4M1.pdb1	4qv4b1.pdb1	1364.0
4qv4M1.pdb1	4qv4V1.pdb1	935.15
4qv4M1.pdb1	4qv4E1.pdb1	584.95
4qv4F1.pdb1	4qv4B1.pdb1	139.0
4qv4F1.pdb1	4qv4E1.pdb1	1319.6
4qv4b1.pdb1	4qv4V1.pdb1	486.25
4qv4B1.pdb1	4qv4E1.pdb1	130.9
4qv4K1.pdb1	4qv4V1.pdb1	95.85
3qv1H1.pdb1	3qv1C1.pdb1	697.95
3qv1H1.pdb1	3qv1B1.pdb1	290.45
3qv1C1.pdb1	3qv1D1.pdb1	433.75
3qv1C1.pdb1	3qv1A1.pdb1	1911.0
3qv1C1.pdb1	3qv1B1.pdb1	1338.15
3qv1G1.pdb1	3qv1D1.pdb1	733.25
3qv1G1.pdb1	3qv1A1.pdb1	265.65
3qv1D1.pdb1	3qv1A1.pdb1	1337.8
3qv1D1.pdb1	3qv1B1.pdb1	1939.65
3qv1A1.pdb1	3qv1B1.pdb1	424.9
2qvaD1.pdb1	2qvaD2.pdb1	1588.8
2qvaD1.pdb1	2qvaA1.pdb1	496.1
2qvaD2.pdb1	2qvaA2.pdb1	496.1
2qvaA1.pdb1	2qvaA2.pdb1	1633.65
2qveB1.pdb1	2qveB2.pdb1	3280.4
2qveB1.pdb1	2qveA1.pdb1	4751.7
2qveB1.pdb1	2qveA2.pdb1	487.25
2qveB2.pdb1	2qveA1.pdb1	487.25
2qveB2.pdb1	2qveA2.pdb1	4751.7
2qveA1.pdb1	2qveA2.pdb1	3299.9
6qv1C1.pdb2	6qv1D1.pdb2	7499.7
6qv1C1.pdb2	6qv1F1.pdb2	365.0
6qv1D1.pdb2	6qv1F1.pdb2	437.65
6qv6A1.pdb1	6qv6B1.pdb1	2403.8
2qv1B1.pdb2	2qv1D1.pdb2	1246.45
2qv1A1.pdb1	2qv1C1.pdb1	875.6
6qvfD1.pdb2	6qvfC1.pdb2	924.65
3qvdD1.pdb2	3qvdC1.pdb2	4187.35
4qvlL1.pdb1	4qvlE1.pdb1	361.05
4qvlL1.pdb1	4qvlD1.pdb1	525.9
4qvlL1.pdb1	4qvlK1.pdb1	635.95
4qvlL1.pdb1	4qvlM1.pdb1	938.5
4qvlL1.pdb1	4qvlW1.pdb1	719.15
4qvlL1.pdb1	4qvlV1.pdb1	1482.95
4qvlT1.pdb1	4qvla1.pdb1	463.0
4qvlT1.pdb1	4qvlO1.pdb1	152.7
4qvlT1.pdb1	4qvlS1.pdb1	1332.65
4qvlT1.pdb1	4qvlU1.pdb1	1374.6
4qvlT1.pdb1	4qvlP1.pdb1	141.25
4qvlT1.pdb1	4qvlb1.pdb1	473.4
4qvlG1.pdb1	4qvlA1.pdb1	1402.65
4qvlG1.pdb1	4qvla1.pdb1	73.4
4qvlG1.pdb1	4qvlN1.pdb1	456.55
4qvlG1.pdb1	4qvlH1.pdb1	642.9
4qvlG1.pdb1	4qvlF1.pdb1	1370.4
4qvlG1.pdb1	4qvlB1.pdb1	131.65
4qvlE1.pdb1	4qvlA1.pdb1	61.35
4qvlE1.pdb1	4qvlD1.pdb1	1013.0
4qvlE1.pdb1	4qvlM1.pdb1	577.05
4qvlE1.pdb1	4qvlF1.pdb1	1327.15
4qvlE1.pdb1	4qvlB1.pdb1	134.25
4qvlA1.pdb1	4qvlD1.pdb1	22.95
4qvlA1.pdb1	4qvlI1.pdb1	528.9
4qvlA1.pdb1	4qvlH1.pdb1	651.4
4qvlA1.pdb1	4qvlC1.pdb1	82.9
4qvlA1.pdb1	4qvlF1.pdb1	153.6
4qvlA1.pdb1	4qvlB1.pdb1	1362.5
4qvla1.pdb1	4qvlZ1.pdb1	942.2
4qvla1.pdb1	4qvlN1.pdb1	1362.05
4qvla1.pdb1	4qvlH1.pdb1	923.9
4qvla1.pdb1	4qvlS1.pdb1	578.65
4qvla1.pdb1	4qvlb1.pdb1	634.7
4qvlD1.pdb1	4qvlK1.pdb1	417.1
4qvlD1.pdb1	4qvlC1.pdb1	1272.4
4qvlD1.pdb1	4qvlB1.pdb1	113.35
4qvlK1.pdb1	4qvlX1.pdb1	756.75
4qvlK1.pdb1	4qvlW1.pdb1	990.75
4qvlK1.pdb1	4qvlC1.pdb1	326.95
4qvlK1.pdb1	4qvlV1.pdb1	98.45
4qvlK1.pdb1	4qvlJ1.pdb1	644.85
4qvlI1.pdb1	4qvlZ1.pdb1	716.95
4qvlI1.pdb1	4qvlY1.pdb1	979.4
4qvlI1.pdb1	4qvlH1.pdb1	1620.9
4qvlI1.pdb1	4qvlJ1.pdb1	583.05
4qvlI1.pdb1	4qvlB1.pdb1	472.05
4qvlZ1.pdb1	4qvlR1.pdb1	527.7
4qvlZ1.pdb1	4qvlY1.pdb1	634.6
4qvlZ1.pdb1	4qvlH1.pdb1	1475.8
4qvlZ1.pdb1	4qvlS1.pdb1	364.4
4qvlR1.pdb1	4qvlY1.pdb1	417.0
4qvlR1.pdb1	4qvlQ1.pdb1	1266.65
4qvlR1.pdb1	4qvlO1.pdb1	26.2
4qvlR1.pdb1	4qvlS1.pdb1	1029.9
4qvlR1.pdb1	4qvlP1.pdb1	117.3
4qvlY1.pdb1	4qvlQ1.pdb1	322.4
4qvlY1.pdb1	4qvlH1.pdb1	97.75
4qvlY1.pdb1	4qvlX1.pdb1	657.25
4qvlY1.pdb1	4qvlJ1.pdb1	785.4
4qvlM1.pdb1	4qvlN1.pdb1	637.85
4qvlM1.pdb1	4qvlF1.pdb1	464.7
4qvlM1.pdb1	4qvlU1.pdb1	70.25
4qvlM1.pdb1	4qvlV1.pdb1	924.75
4qvlM1.pdb1	4qvlb1.pdb1	1361.55
4qvlN1.pdb1	4qvlH1.pdb1	496.3
4qvlN1.pdb1	4qvlF1.pdb1	474.25
4qvlN1.pdb1	4qvlb1.pdb1	634.55
4qvlQ1.pdb1	4qvlO1.pdb1	89.45
4qvlQ1.pdb1	4qvlX1.pdb1	399.0
4qvlQ1.pdb1	4qvlP1.pdb1	1528.25
4qvlH1.pdb1	4qvlB1.pdb1	276.1
4qvlO1.pdb1	4qvlW1.pdb1	526.4
4qvlO1.pdb1	4qvlS1.pdb1	60.3
4qvlO1.pdb1	4qvlU1.pdb1	1417.3
4qvlO1.pdb1	4qvlP1.pdb1	1368.85
4qvlO1.pdb1	4qvlV1.pdb1	649.35
4qvlX1.pdb1	4qvlW1.pdb1	576.5
4qvlX1.pdb1	4qvlP1.pdb1	553.1
4qvlX1.pdb1	4qvlJ1.pdb1	733.0
4qvlW1.pdb1	4qvlP1.pdb1	469.3
4qvlW1.pdb1	4qvlV1.pdb1	1622.45
4qvlS1.pdb1	4qvlP1.pdb1	129.65
4qvlC1.pdb1	4qvlJ1.pdb1	401.45
4qvlC1.pdb1	4qvlB1.pdb1	1551.35
4qvlF1.pdb1	4qvlB1.pdb1	142.4
4qvlU1.pdb1	4qvlP1.pdb1	136.8
4qvlU1.pdb1	4qvlV1.pdb1	641.15
4qvlU1.pdb1	4qvlb1.pdb1	456.3
4qvlP1.pdb1	4qvlV1.pdb1	277.75
4qvlV1.pdb1	4qvlb1.pdb1	498.75
4qvlJ1.pdb1	4qvlB1.pdb1	547.8
6qvuA1.pdb1	6qvuB1.pdb1	2348.85
3qviD1.pdb1	3qviA1.pdb1	62.35
3qviD1.pdb1	3qviC1.pdb1	3785.25
3qviD1.pdb1	3qviB1.pdb1	886.55
3qviA1.pdb1	3qviC1.pdb1	112.4
3qviA1.pdb1	3qviB1.pdb1	3824.45
3qviC1.pdb1	3qviB1.pdb1	55.9
4qvkB1.pdb1	4qvkA1.pdb1	3063.5
1qvtA1.pdb1	1qvtB1.pdb1	1516.55
4qv3O1.pdb1	4qv3J1.pdb1	0.05
4qv3O1.pdb1	4qv3Y1.pdb1	0.05
4qv3O1.pdb1	4qv3P1.pdb1	1348.75
4qv3O1.pdb1	4qv3a1.pdb1	0.05
4qv3O1.pdb1	4qv3A1.pdb1	0.05
4qv3O1.pdb1	4qv3Q1.pdb1	89.2
4qv3O1.pdb1	4qv3F1.pdb1	0.05
4qv3O1.pdb1	4qv3C1.pdb1	0.05
4qv3O1.pdb1	4qv3X1.pdb1	0.05
4qv3O1.pdb1	4qv3W1.pdb1	522.55
4qv3O1.pdb1	4qv3G1.pdb1	0.05
4qv3O1.pdb1	4qv3Z1.pdb1	0.05
4qv3O1.pdb1	4qv3R1.pdb1	25.8
4qv3O1.pdb1	4qv3N1.pdb1	0.05
4qv3O1.pdb1	4qv3V1.pdb1	657.65
4qv3O1.pdb1	4qv3M1.pdb1	0.05
4qv3O1.pdb1	4qv3S1.pdb1	59.4
4qv3O1.pdb1	4qv3E1.pdb1	0.05
4qv3O1.pdb1	4qv3D1.pdb1	0.05
4qv3O1.pdb1	4qv3B1.pdb1	0.05
4qv3O1.pdb1	4qv3b1.pdb1	0.05
4qv3O1.pdb1	4qv3I1.pdb1	0.05
4qv3O1.pdb1	4qv3K1.pdb1	0.05
4qv3O1.pdb1	4qv3L1.pdb1	0.05
4qv3O1.pdb1	4qv3T1.pdb1	155.05
4qv3O1.pdb1	4qv3U1.pdb1	1411.6
4qv3O1.pdb1	4qv3H1.pdb1	0.05
4qv3J1.pdb1	4qv3Y1.pdb1	748.95
4qv3J1.pdb1	4qv3C1.pdb1	407.05
4qv3J1.pdb1	4qv3X1.pdb1	717.65
4qv3J1.pdb1	4qv3B1.pdb1	531.2
4qv3J1.pdb1	4qv3I1.pdb1	562.5
4qv3J1.pdb1	4qv3K1.pdb1	652.5
4qv3Y1.pdb1	4qv3Q1.pdb1	329.65
4qv3Y1.pdb1	4qv3X1.pdb1	656.65
4qv3Y1.pdb1	4qv3Z1.pdb1	688.2
4qv3Y1.pdb1	4qv3R1.pdb1	422.1
4qv3Y1.pdb1	4qv3I1.pdb1	975.75
4qv3Y1.pdb1	4qv3H1.pdb1	90.25
4qv3P1.pdb1	4qv3Q1.pdb1	1508.2
4qv3P1.pdb1	4qv3X1.pdb1	537.15
4qv3P1.pdb1	4qv3W1.pdb1	492.45
4qv3P1.pdb1	4qv3R1.pdb1	123.15
4qv3P1.pdb1	4qv3V1.pdb1	278.7
4qv3P1.pdb1	4qv3S1.pdb1	121.0
4qv3P1.pdb1	4qv3T1.pdb1	132.3
4qv3P1.pdb1	4qv3U1.pdb1	132.1
4qv3a1.pdb1	4qv3G1.pdb1	76.5
4qv3a1.pdb1	4qv3Z1.pdb1	922.0
4qv3a1.pdb1	4qv3N1.pdb1	1356.95
4qv3a1.pdb1	4qv3S1.pdb1	583.2
4qv3a1.pdb1	4qv3b1.pdb1	633.9
4qv3a1.pdb1	4qv3T1.pdb1	455.35
4qv3a1.pdb1	4qv3H1.pdb1	938.6
4qv3A1.pdb1	4qv3F1.pdb1	155.5
4qv3A1.pdb1	4qv3C1.pdb1	82.75
4qv3A1.pdb1	4qv3G1.pdb1	1389.4
4qv3A1.pdb1	4qv3E1.pdb1	60.85
4qv3A1.pdb1	4qv3D1.pdb1	22.5
4qv3A1.pdb1	4qv3B1.pdb1	1348.25
4qv3A1.pdb1	4qv3I1.pdb1	527.15
4qv3A1.pdb1	4qv3H1.pdb1	660.45
4qv3Q1.pdb1	4qv3X1.pdb1	400.55
4qv3Q1.pdb1	4qv3R1.pdb1	1269.5
4qv3F1.pdb1	4qv3G1.pdb1	1381.1
4qv3F1.pdb1	4qv3N1.pdb1	482.5
4qv3F1.pdb1	4qv3M1.pdb1	453.4
4qv3F1.pdb1	4qv3E1.pdb1	1316.0
4qv3F1.pdb1	4qv3B1.pdb1	133.4
4qv3C1.pdb1	4qv3D1.pdb1	1270.05
4qv3C1.pdb1	4qv3B1.pdb1	1551.2
4qv3C1.pdb1	4qv3K1.pdb1	335.1
4qv3X1.pdb1	4qv3W1.pdb1	558.3
4qv3X1.pdb1	4qv3K1.pdb1	748.7
4qv3W1.pdb1	4qv3V1.pdb1	1620.45
4qv3W1.pdb1	4qv3K1.pdb1	983.05
4qv3W1.pdb1	4qv3L1.pdb1	714.35
4qv3G1.pdb1	4qv3N1.pdb1	458.45
4qv3G1.pdb1	4qv3B1.pdb1	128.45
4qv3G1.pdb1	4qv3H1.pdb1	640.95
4qv3Z1.pdb1	4qv3R1.pdb1	540.45
4qv3Z1.pdb1	4qv3S1.pdb1	353.6
4qv3Z1.pdb1	4qv3I1.pdb1	715.75
4qv3Z1.pdb1	4qv3H1.pdb1	1452.05
4qv3R1.pdb1	4qv3S1.pdb1	1018.25
4qv3N1.pdb1	4qv3M1.pdb1	634.1
4qv3N1.pdb1	4qv3b1.pdb1	641.75
4qv3N1.pdb1	4qv3H1.pdb1	490.6
4qv3V1.pdb1	4qv3M1.pdb1	935.05
4qv3V1.pdb1	4qv3b1.pdb1	492.35
4qv3V1.pdb1	4qv3K1.pdb1	90.8
4qv3V1.pdb1	4qv3L1.pdb1	1456.75
4qv3V1.pdb1	4qv3U1.pdb1	640.9
4qv3M1.pdb1	4qv3E1.pdb1	581.25
4qv3M1.pdb1	4qv3b1.pdb1	1360.6
4qv3M1.pdb1	4qv3L1.pdb1	919.85
4qv3M1.pdb1	4qv3U1.pdb1	74.3
4qv3S1.pdb1	4qv3T1.pdb1	1324.3
4qv3E1.pdb1	4qv3D1.pdb1	995.85
4qv3E1.pdb1	4qv3B1.pdb1	129.4
4qv3E1.pdb1	4qv3L1.pdb1	348.3
4qv3D1.pdb1	4qv3B1.pdb1	119.05
4qv3D1.pdb1	4qv3K1.pdb1	425.2
4qv3D1.pdb1	4qv3L1.pdb1	531.45
4qv3B1.pdb1	4qv3I1.pdb1	489.8
4qv3B1.pdb1	4qv3H1.pdb1	274.05
4qv3b1.pdb1	4qv3T1.pdb1	485.9
4qv3b1.pdb1	4qv3U1.pdb1	455.2
4qv3I1.pdb1	4qv3H1.pdb1	1625.8
4qv3K1.pdb1	4qv3L1.pdb1	684.75
4qv3T1.pdb1	4qv3U1.pdb1	1372.35
3qvnA1.pdb1	3qvnA2.pdb1	848.3
3qvnA1.pdb1	3qvnA3.pdb1	452.3
3qvnA1.pdb1	3qvnA4.pdb1	1258.8
3qvnA2.pdb1	3qvnA3.pdb1	1258.75
3qvnA2.pdb1	3qvnA4.pdb1	452.35
3qvnA3.pdb1	3qvnA4.pdb1	848.3
2qvjE2.pdb1	2qvjC1.pdb1	338.4
2qvjE2.pdb1	2qvjD1.pdb1	2320.65
2qvjE2.pdb1	2qvjA2.pdb1	2419.85
2qvjE2.pdb1	2qvjB2.pdb1	318.5
2qvjE1.pdb1	2qvjB1.pdb1	318.5
2qvjE1.pdb1	2qvjC2.pdb1	338.4
2qvjE1.pdb1	2qvjD2.pdb1	2320.65
2qvjE1.pdb1	2qvjA1.pdb1	2419.85
2qvjC1.pdb1	2qvjB1.pdb1	2412.4
2qvjC1.pdb1	2qvjD1.pdb1	2547.4
2qvjC1.pdb1	2qvjA1.pdb1	313.9
2qvjB1.pdb1	2qvjD1.pdb1	309.7
2qvjB1.pdb1	2qvjA1.pdb1	2397.15
2qvjC2.pdb1	2qvjD2.pdb1	2547.4
2qvjC2.pdb1	2qvjA2.pdb1	313.9
2qvjC2.pdb1	2qvjB2.pdb1	2412.4
2qvjD2.pdb1	2qvjB2.pdb1	309.7
2qvjD2.pdb1	2qvjA1.pdb1	288.95
2qvjD1.pdb1	2qvjA2.pdb1	288.95
2qvjA2.pdb1	2qvjB2.pdb1	2397.15
4qvwN1.pdb1	4qvwM1.pdb1	644.5
4qvwN1.pdb1	4qvwH1.pdb1	507.55
4qvwN1.pdb1	4qvwa1.pdb1	1368.7
4qvwN1.pdb1	4qvwG1.pdb1	458.0
4qvwN1.pdb1	4qvwb1.pdb1	637.7
4qvwN1.pdb1	4qvwF1.pdb1	475.65
4qvwT1.pdb1	4qvwU1.pdb1	1381.1
4qvwT1.pdb1	4qvwO1.pdb1	155.75
4qvwT1.pdb1	4qvwP1.pdb1	143.05
4qvwT1.pdb1	4qvwS1.pdb1	1347.05
4qvwT1.pdb1	4qvwa1.pdb1	451.25
4qvwT1.pdb1	4qvwb1.pdb1	473.3
4qvwV1.pdb1	4qvwU1.pdb1	641.15
4qvwV1.pdb1	4qvwW1.pdb1	1612.35
4qvwV1.pdb1	4qvwM1.pdb1	928.9
4qvwV1.pdb1	4qvwO1.pdb1	650.05
4qvwV1.pdb1	4qvwL1.pdb1	1485.2
4qvwV1.pdb1	4qvwP1.pdb1	281.8
4qvwV1.pdb1	4qvwK1.pdb1	98.9
4qvwV1.pdb1	4qvwb1.pdb1	506.05
4qvwD1.pdb1	4qvwC1.pdb1	1289.75
4qvwD1.pdb1	4qvwL1.pdb1	528.0
4qvwD1.pdb1	4qvwA1.pdb1	25.05
4qvwD1.pdb1	4qvwK1.pdb1	418.75
4qvwD1.pdb1	4qvwE1.pdb1	1026.35
4qvwD1.pdb1	4qvwB1.pdb1	120.0
4qvwU1.pdb1	4qvwM1.pdb1	69.9
4qvwU1.pdb1	4qvwO1.pdb1	1420.15
4qvwU1.pdb1	4qvwP1.pdb1	137.15
4qvwU1.pdb1	4qvwb1.pdb1	453.6
4qvwW1.pdb1	4qvwX1.pdb1	585.55
4qvwW1.pdb1	4qvwO1.pdb1	523.25
4qvwW1.pdb1	4qvwL1.pdb1	724.65
4qvwW1.pdb1	4qvwP1.pdb1	478.9
4qvwW1.pdb1	4qvwK1.pdb1	995.05
4qvwM1.pdb1	4qvwL1.pdb1	945.65
4qvwM1.pdb1	4qvwE1.pdb1	583.9
4qvwM1.pdb1	4qvwb1.pdb1	1366.8
4qvwM1.pdb1	4qvwF1.pdb1	455.75
4qvwH1.pdb1	4qvwY1.pdb1	97.2
4qvwH1.pdb1	4qvwI1.pdb1	1615.5
4qvwH1.pdb1	4qvwa1.pdb1	922.2
4qvwH1.pdb1	4qvwA1.pdb1	646.8
4qvwH1.pdb1	4qvwZ1.pdb1	1480.0
4qvwH1.pdb1	4qvwG1.pdb1	645.75
4qvwH1.pdb1	4qvwB1.pdb1	275.4
4qvwC1.pdb1	4qvwJ1.pdb1	402.1
4qvwC1.pdb1	4qvwA1.pdb1	87.55
4qvwC1.pdb1	4qvwK1.pdb1	329.25
4qvwC1.pdb1	4qvwB1.pdb1	1557.3
4qvwX1.pdb1	4qvwY1.pdb1	658.95
4qvwX1.pdb1	4qvwJ1.pdb1	726.25
4qvwX1.pdb1	4qvwP1.pdb1	550.9
4qvwX1.pdb1	4qvwQ1.pdb1	397.55
4qvwX1.pdb1	4qvwK1.pdb1	809.85
4qvwO1.pdb1	4qvwR1.pdb1	27.9
4qvwO1.pdb1	4qvwP1.pdb1	1386.25
4qvwO1.pdb1	4qvwQ1.pdb1	92.25
4qvwO1.pdb1	4qvwS1.pdb1	61.3
4qvwL1.pdb1	4qvwQ1.pdb1	0.05
4qvwL1.pdb1	4qvwK1.pdb1	645.35
4qvwL1.pdb1	4qvwE1.pdb1	361.2
4qvwR1.pdb1	4qvwY1.pdb1	417.2
4qvwR1.pdb1	4qvwP1.pdb1	123.35
4qvwR1.pdb1	4qvwQ1.pdb1	1285.3
4qvwR1.pdb1	4qvwS1.pdb1	1042.3
4qvwR1.pdb1	4qvwZ1.pdb1	533.35
4qvwY1.pdb1	4qvwJ1.pdb1	779.0
4qvwY1.pdb1	4qvwQ1.pdb1	326.8
4qvwY1.pdb1	4qvwI1.pdb1	986.05
4qvwY1.pdb1	4qvwZ1.pdb1	644.45
4qvwJ1.pdb1	4qvwI1.pdb1	585.1
4qvwJ1.pdb1	4qvwK1.pdb1	653.15
4qvwJ1.pdb1	4qvwB1.pdb1	550.6
4qvwP1.pdb1	4qvwQ1.pdb1	1523.3
4qvwP1.pdb1	4qvwS1.pdb1	132.05
4qvwI1.pdb1	4qvwA1.pdb1	527.9
4qvwI1.pdb1	4qvwZ1.pdb1	720.4
4qvwI1.pdb1	4qvwB1.pdb1	471.6
4qvwS1.pdb1	4qvwa1.pdb1	593.4
4qvwS1.pdb1	4qvwZ1.pdb1	359.5
4qvwa1.pdb1	4qvwZ1.pdb1	952.1
4qvwa1.pdb1	4qvwG1.pdb1	72.1
4qvwa1.pdb1	4qvwb1.pdb1	644.85
4qvwA1.pdb1	4qvwG1.pdb1	1411.25
4qvwA1.pdb1	4qvwE1.pdb1	63.2
4qvwA1.pdb1	4qvwB1.pdb1	1365.85
4qvwA1.pdb1	4qvwF1.pdb1	155.1
4qvwG1.pdb1	4qvwB1.pdb1	131.6
4qvwG1.pdb1	4qvwF1.pdb1	1382.3
4qvwE1.pdb1	4qvwB1.pdb1	139.8
4qvwE1.pdb1	4qvwF1.pdb1	1333.2
4qvwB1.pdb1	4qvwF1.pdb1	146.05
1qvvA1.pdb1	1qvvB1.pdb1	199.55
6qv0E1.pdb1	6qv0A1.pdb1	355.8
6qv0E1.pdb1	6qv0B1.pdb1	513.35
6qv0A1.pdb1	6qv0B1.pdb1	7112.8
4qvjB1.pdb1	4qvjA1.pdb1	1925.2
2qv0B1.pdb1	2qv0A1.pdb1	562.3
4qv8a1.pdb1	4qv8H1.pdb1	939.4
4qv8a1.pdb1	4qv8G1.pdb1	75.6
4qv8a1.pdb1	4qv8Z1.pdb1	938.15
4qv8a1.pdb1	4qv8S1.pdb1	593.95
4qv8a1.pdb1	4qv8b1.pdb1	635.3
4qv8a1.pdb1	4qv8T1.pdb1	450.5
4qv8a1.pdb1	4qv8N1.pdb1	1361.85
4qv8A1.pdb1	4qv8H1.pdb1	660.15
4qv8A1.pdb1	4qv8D1.pdb1	23.9
4qv8A1.pdb1	4qv8C1.pdb1	86.55
4qv8A1.pdb1	4qv8G1.pdb1	1404.2
4qv8A1.pdb1	4qv8I1.pdb1	533.7
4qv8A1.pdb1	4qv8F1.pdb1	159.4
4qv8A1.pdb1	4qv8B1.pdb1	1365.9
4qv8A1.pdb1	4qv8E1.pdb1	63.55
