2eixA1.pdb1	2eixB1.pdb1	634.75
5eioB2.pdb1	5eioA1.pdb1	707.65
6ei2B1.pdb1	6ei2A1.pdb1	1236.05
6ei2C1.pdb1	6ei2A1.pdb1	951.2
2eikC1.pdb1	2eikT1.pdb1	97.3
2eikC1.pdb1	2eikJ1.pdb1	1336.7
2eikC1.pdb1	2eikA1.pdb1	2597.0
2eikC1.pdb1	2eikF1.pdb1	903.25
2eikC1.pdb1	2eikH1.pdb1	240.45
2eikC1.pdb1	2eikB1.pdb1	25.85
2eikC1.pdb1	2eikL1.pdb1	24.65
2eikC1.pdb1	2eikG1.pdb1	1637.5
2eikW1.pdb1	2eikP1.pdb1	1328.45
2eikW1.pdb1	2eikY1.pdb1	148.85
2eikW1.pdb1	2eikS1.pdb1	152.55
2eikW1.pdb1	2eikN1.pdb1	257.5
2eikT1.pdb1	2eikA1.pdb1	743.15
2eikT1.pdb1	2eikF1.pdb1	48.0
2eikT1.pdb1	2eikP1.pdb1	1645.7
2eikT1.pdb1	2eikU1.pdb1	212.6
2eikT1.pdb1	2eikS1.pdb1	61.3
2eikT1.pdb1	2eikN1.pdb1	355.5
2eikT1.pdb1	2eikB1.pdb1	40.35
2eikZ1.pdb1	2eikY1.pdb1	709.4
2eikZ1.pdb1	2eikQ1.pdb1	327.95
2eikZ1.pdb1	2eikX1.pdb1	5.8
2eikZ1.pdb1	2eikN1.pdb1	1054.95
2eikJ1.pdb1	2eikA1.pdb1	257.55
2eikJ1.pdb1	2eikF1.pdb1	151.3
2eikJ1.pdb1	2eikL1.pdb1	143.25
2eikA1.pdb1	2eikK1.pdb1	337.9
2eikA1.pdb1	2eikF1.pdb1	1251.15
2eikA1.pdb1	2eikH1.pdb1	135.75
2eikA1.pdb1	2eikM1.pdb1	1063.3
2eikA1.pdb1	2eikI1.pdb1	99.7
2eikA1.pdb1	2eikD1.pdb1	1364.0
2eikA1.pdb1	2eikB1.pdb1	3515.3
2eikA1.pdb1	2eikL1.pdb1	1732.8
2eikA1.pdb1	2eikG1.pdb1	359.7
2eikK1.pdb1	2eikM1.pdb1	7.2
2eikK1.pdb1	2eikI1.pdb1	113.75
2eikK1.pdb1	2eikD1.pdb1	1464.0
2eikK1.pdb1	2eikB1.pdb1	173.2
2eikF1.pdb1	2eikD1.pdb1	133.85
2eikF1.pdb1	2eikS1.pdb1	113.1
2eikF1.pdb1	2eikE1.pdb1	156.05
2eikF1.pdb1	2eikG1.pdb1	61.05
2eikR1.pdb1	2eikV1.pdb1	606.65
2eikR1.pdb1	2eikQ1.pdb1	1286.4
2eikR1.pdb1	2eikO1.pdb1	281.65
2eikR1.pdb1	2eikS1.pdb1	158.6
2eikP1.pdb1	2eikY1.pdb1	25.4
2eikP1.pdb1	2eikU1.pdb1	242.1
2eikP1.pdb1	2eikO1.pdb1	23.3
2eikP1.pdb1	2eikS1.pdb1	863.6
2eikP1.pdb1	2eikN1.pdb1	2620.35
2eikP1.pdb1	2eikG1.pdb1	103.6
2eikY1.pdb1	2eikQ1.pdb1	1.2
2eikY1.pdb1	2eikN1.pdb1	1739.65
2eikH1.pdb1	2eikU1.pdb1	360.75
2eikH1.pdb1	2eikB1.pdb1	956.85
2eikH1.pdb1	2eikG1.pdb1	208.75
2eikM1.pdb1	2eikD1.pdb1	328.8
2eikM1.pdb1	2eikL1.pdb1	721.35
2eikI1.pdb1	2eikD1.pdb1	393.75
2eikI1.pdb1	2eikB1.pdb1	1444.75
2eikI1.pdb1	2eikE1.pdb1	626.25
2eikV1.pdb1	2eikQ1.pdb1	401.35
2eikV1.pdb1	2eikX1.pdb1	117.35
2eikV1.pdb1	2eikO1.pdb1	1435.65
2eikV1.pdb1	2eikN1.pdb1	96.85
2eikD1.pdb1	2eikB1.pdb1	817.6
2eikD1.pdb1	2eikE1.pdb1	1280.0
2eikQ1.pdb1	2eikX1.pdb1	1448.15
2eikQ1.pdb1	2eikO1.pdb1	839.45
2eikQ1.pdb1	2eikS1.pdb1	135.85
2eikQ1.pdb1	2eikN1.pdb1	1367.05
2eikU1.pdb1	2eikO1.pdb1	967.8
2eikU1.pdb1	2eikN1.pdb1	145.7
2eikX1.pdb1	2eikO1.pdb1	175.25
2eikX1.pdb1	2eikN1.pdb1	341.1
2eikO1.pdb1	2eikN1.pdb1	3485.0
2eikO1.pdb1	2eikG1.pdb1	47.7
2eikS1.pdb1	2eikN1.pdb1	1276.95
2eikS1.pdb1	2eikG1.pdb1	50.05
2eikN1.pdb1	2eikG1.pdb1	745.4
2eikB1.pdb1	2eikE1.pdb1	275.6
4eiwA1.pdb1	4eiwC1.pdb1	133.9
4eiwA1.pdb1	4eiwE1.pdb1	90.3
4eiwA1.pdb1	4eiwB1.pdb1	1491.8
4eiwA1.pdb1	4eiwF1.pdb1	2022.2
4eiwC1.pdb1	4eiwE1.pdb1	123.05
4eiwC1.pdb1	4eiwD1.pdb1	1445.3
4eiwC1.pdb1	4eiwB1.pdb1	2019.7
4eiwE1.pdb1	4eiwD1.pdb1	2074.35
4eiwE1.pdb1	4eiwF1.pdb1	1361.1
5eibF1.pdb1	5eibC1.pdb1	137.85
5eibF1.pdb1	5eibD1.pdb1	736.45
5eibC1.pdb1	5eibD1.pdb1	1319.8
5eibD1.pdb1	5eibE1.pdb1	848.15
5eitD1.pdb1	5eitB1.pdb1	479.05
5eitA1.pdb1	5eitB1.pdb1	1640.9
5eitA1.pdb1	5eitC1.pdb1	534.05
3ei4F1.pdb3	3ei4E1.pdb3	2496.55
6ei1A1.pdb1	6ei1B1.pdb1	1391.95
2eivK1.pdb2	2eivC1.pdb2	639.25
2ei3A3.pdb1	2ei3A2.pdb1	690.95
2ei3A3.pdb1	2ei3A1.pdb1	690.95
2ei3A3.pdb1	2ei3A8.pdb1	471.5
2ei3A3.pdb1	2ei3A5.pdb1	691.3
2ei3A6.pdb1	2ei3A2.pdb1	471.5
2ei3A6.pdb1	2ei3A4.pdb1	691.3
2ei3A6.pdb1	2ei3A8.pdb1	690.95
2ei3A6.pdb1	2ei3A7.pdb1	690.95
2ei3A2.pdb1	2ei3A4.pdb1	690.95
2ei3A2.pdb1	2ei3A8.pdb1	691.3
2ei3A1.pdb1	2ei3A4.pdb1	690.95
2ei3A1.pdb1	2ei3A5.pdb1	471.5
2ei3A1.pdb1	2ei3A7.pdb1	691.3
2ei3A4.pdb1	2ei3A7.pdb1	471.5
2ei3A8.pdb1	2ei3A5.pdb1	690.95
2ei3A5.pdb1	2ei3A7.pdb1	690.95
2eivJ1.pdb3	2eivD1.pdb3	639.9
3eidA1.pdb1	3eidB1.pdb1	1416.65
2eivE1.pdb4	2eivF1.pdb4	631.35
5einA1.pdb1	5einB2.pdb1	705.1
5einA1.pdb1	5einB1.pdb1	1862.15
5einA1.pdb1	5einA2.pdb1	1700.4
5einA1.pdb1	5einC1.pdb1	370.7
5einC2.pdb1	5einB2.pdb1	521.85
5einC2.pdb1	5einB1.pdb1	86.35
5einC2.pdb1	5einA2.pdb1	370.65
5einB2.pdb1	5einB1.pdb1	1668.55
5einB2.pdb1	5einA2.pdb1	1862.15
5einB2.pdb1	5einC1.pdb1	86.4
5einB1.pdb1	5einA2.pdb1	705.0
5einB1.pdb1	5einC1.pdb1	521.9
3eioA1.pdb1	3eioB1.pdb1	2195.0
6eidA2.pdb1	6eidA1.pdb1	1693.35
5eidA2.pdb1	5eidA1.pdb1	582.4
1eirA2.pdb1	1eirA5.pdb1	371.2
1eirA2.pdb1	1eirA3.pdb1	574.85
1eirA2.pdb1	1eirA7.pdb1	679.95
3eizA5.pdb1	3eizA4.pdb1	720.4
3eizA5.pdb1	3eizA3.pdb1	243.0
3eizA5.pdb1	3eizA6.pdb1	720.4
3eizA5.pdb1	3eizA2.pdb1	521.3
3eizA4.pdb1	3eizA3.pdb1	521.3
3eizA4.pdb1	3eizA1.pdb1	243.0
3eizA4.pdb1	3eizA6.pdb1	720.4
3eizA3.pdb1	3eizA1.pdb1	720.4
3eizA3.pdb1	3eizA2.pdb1	720.45
3eizA1.pdb1	3eizA6.pdb1	521.3
3eizA1.pdb1	3eizA2.pdb1	720.45
3eizA6.pdb1	3eizA2.pdb1	243.0
3eicB1.pdb2	3eicD2.pdb2	22.25
3eicB1.pdb2	3eicF1.pdb2	497.0
3eicB1.pdb2	3eicD1.pdb2	497.0
3eicB1.pdb2	3eicB2.pdb2	614.0
3eicB1.pdb2	3eicF2.pdb2	2.15
3eicD2.pdb2	3eicF1.pdb2	640.15
3eicD2.pdb2	3eicD1.pdb2	6.3
3eicD2.pdb2	3eicB2.pdb2	497.0
3eicD2.pdb2	3eicF2.pdb2	508.3
3eicF1.pdb2	3eicD1.pdb2	508.25
3eicF1.pdb2	3eicB2.pdb2	2.15
3eicF1.pdb2	3eicF2.pdb2	9.1
3eicD1.pdb2	3eicB2.pdb2	22.25
3eicD1.pdb2	3eicF2.pdb2	640.15
3eicB2.pdb2	3eicF2.pdb2	497.0
6eigA1.pdb1	6eigA2.pdb1	1989.6
5eixJ1.pdb2	5eixK1.pdb2	670.55
5eixJ1.pdb2	5eixC1.pdb2	24.4
5eixJ1.pdb2	5eixL1.pdb2	804.05
5eixJ1.pdb2	5eixB1.pdb2	1991.05
5eixJ1.pdb2	5eixD1.pdb2	69.0
5eixK1.pdb2	5eixL1.pdb2	366.35
5eixK1.pdb2	5eixB1.pdb2	33.9
5eixK1.pdb2	5eixD1.pdb2	5.55
5eixC1.pdb2	5eixL1.pdb2	6.0
5eixC1.pdb2	5eixB1.pdb2	659.75
5eixC1.pdb2	5eixD1.pdb2	372.05
5eixL1.pdb2	5eixB1.pdb2	77.7
5eixL1.pdb2	5eixD1.pdb2	179.95
5eixB1.pdb2	5eixD1.pdb2	808.3
2ei1A5.pdb1	2ei1A3.pdb1	715.0
2ei1A5.pdb1	2ei1A8.pdb1	667.95
2ei1A5.pdb1	2ei1A1.pdb1	472.1
2ei1A5.pdb1	2ei1A7.pdb1	667.95
2ei1A4.pdb1	2ei1A2.pdb1	667.95
2ei1A4.pdb1	2ei1A1.pdb1	667.95
2ei1A4.pdb1	2ei1A7.pdb1	472.1
2ei1A4.pdb1	2ei1A6.pdb1	715.0
2ei1A3.pdb1	2ei1A2.pdb1	667.95
2ei1A3.pdb1	2ei1A8.pdb1	472.1
2ei1A3.pdb1	2ei1A1.pdb1	667.95
2ei1A2.pdb1	2ei1A8.pdb1	715.0
2ei1A2.pdb1	2ei1A6.pdb1	472.1
2ei1A8.pdb1	2ei1A6.pdb1	667.95
2ei1A1.pdb1	2ei1A7.pdb1	715.0
2ei1A7.pdb1	2ei1A6.pdb1	667.95
6eihP1.pdb1	6eihA1.pdb1	272.15
6eihA1.pdb1	6eihA2.pdb1	999.9
6eihA2.pdb1	6eihP2.pdb1	272.15
5eimB1.pdb2	5eimD1.pdb2	693.05
3ei3A1.pdb1	3ei3B1.pdb1	1875.75
1eiaA4.pdb1	1eiaA1.pdb1	297.0
1eiaA4.pdb1	1eiaA3.pdb1	1174.6
1eiaA4.pdb1	1eiaA2.pdb1	778.1
1eiaA1.pdb1	1eiaA3.pdb1	778.1
1eiaA1.pdb1	1eiaA2.pdb1	1174.6
1eiaA3.pdb1	1eiaA2.pdb1	297.0
2eivH1.pdb1	2eivA1.pdb1	633.3
1ei8E1.pdb3	1ei8F1.pdb3	673.2
1ei8E1.pdb3	1ei8A1.pdb3	26.65
1ei8E1.pdb3	1ei8B1.pdb3	92.85
1ei8E1.pdb3	1ei8D1.pdb3	671.95
1ei8F1.pdb3	1ei8A1.pdb3	27.25
1ei8F1.pdb3	1ei8C1.pdb3	44.4
1ei8F1.pdb3	1ei8D1.pdb3	657.05
1ei8A1.pdb3	1ei8B1.pdb3	671.95
1ei8A1.pdb3	1ei8C1.pdb3	622.85
1ei8B1.pdb3	1ei8C1.pdb3	623.05
1ei8B1.pdb3	1ei8D1.pdb3	24.65
1ei8C1.pdb3	1ei8D1.pdb3	50.65
5eiaB1.pdb1	5eiaA1.pdb1	972.6
3eiaA1.pdb1	3eiaB1.pdb1	3826.35
6eikC1.pdb1	6eikD1.pdb1	761.75
6eikC1.pdb1	6eikB1.pdb1	794.45
6eikD1.pdb1	6eikE1.pdb1	676.15
6eikB1.pdb1	6eikA1.pdb1	759.85
6eikG1.pdb1	6eikF1.pdb1	761.05
6eikG1.pdb1	6eikA1.pdb1	714.8
6eikF1.pdb1	6eikE1.pdb1	745.35
3ei4C1.pdb2	3ei4D1.pdb2	2518.55
3eiyA5.pdb1	3eiyA3.pdb1	257.15
3eiyA5.pdb1	3eiyA6.pdb1	692.8
3eiyA5.pdb1	3eiyA4.pdb1	692.8
3eiyA5.pdb1	3eiyA1.pdb1	514.35
3eiyA3.pdb1	3eiyA2.pdb1	692.9
3eiyA3.pdb1	3eiyA6.pdb1	514.3
3eiyA3.pdb1	3eiyA1.pdb1	692.95
3eiyA2.pdb1	3eiyA6.pdb1	257.15
3eiyA2.pdb1	3eiyA4.pdb1	514.35
3eiyA2.pdb1	3eiyA1.pdb1	693.0
3eiyA6.pdb1	3eiyA4.pdb1	692.85
3eiyA4.pdb1	3eiyA1.pdb1	257.2
2ei0A3.pdb1	2ei0A1.pdb1	670.7
2ei0A3.pdb1	2ei0A2.pdb1	670.7
2ei0A3.pdb1	2ei0A8.pdb1	469.5
2ei0A3.pdb1	2ei0A5.pdb1	609.3
2ei0A7.pdb1	2ei0A1.pdb1	609.3
2ei0A7.pdb1	2ei0A6.pdb1	670.7
2ei0A7.pdb1	2ei0A4.pdb1	469.5
2ei0A7.pdb1	2ei0A5.pdb1	670.7
2ei0A1.pdb1	2ei0A4.pdb1	670.7
2ei0A1.pdb1	2ei0A5.pdb1	469.5
2ei0A6.pdb1	2ei0A2.pdb1	469.5
2ei0A6.pdb1	2ei0A8.pdb1	670.7
2ei0A6.pdb1	2ei0A4.pdb1	609.3
2ei0A2.pdb1	2ei0A8.pdb1	609.3
2ei0A2.pdb1	2ei0A4.pdb1	670.7
2ei0A8.pdb1	2ei0A5.pdb1	670.7
2eilO1.pdb1	2eilN1.pdb1	3519.4
2eilO1.pdb1	2eilU1.pdb1	978.1
2eilO1.pdb1	2eilQ1.pdb1	830.45
2eilO1.pdb1	2eilR1.pdb1	282.8
2eilO1.pdb1	2eilX1.pdb1	180.9
2eilO1.pdb1	2eilG1.pdb1	37.55
2eilO1.pdb1	2eilP1.pdb1	21.5
2eilO1.pdb1	2eilV1.pdb1	1436.2
2eilN1.pdb1	2eilI1.pdb1	0.05
2eilN1.pdb1	2eilU1.pdb1	144.65
2eilN1.pdb1	2eilQ1.pdb1	1369.2
2eilN1.pdb1	2eilF1.pdb1	0.05
2eilN1.pdb1	2eilR1.pdb1	0.05
2eilN1.pdb1	2eilD1.pdb1	0.05
2eilN1.pdb1	2eilZ1.pdb1	1048.3
2eilN1.pdb1	2eilS1.pdb1	1267.25
2eilN1.pdb1	2eilT1.pdb1	354.0
2eilN1.pdb1	2eilX1.pdb1	335.25
2eilN1.pdb1	2eilL1.pdb1	0.05
2eilN1.pdb1	2eilW1.pdb1	260.15
2eilN1.pdb1	2eilA1.pdb1	0.05
2eilN1.pdb1	2eilG1.pdb1	739.65
2eilN1.pdb1	2eilP1.pdb1	2589.5
2eilN1.pdb1	2eilE1.pdb1	0.05
2eilN1.pdb1	2eilM1.pdb1	0.05
2eilN1.pdb1	2eilV1.pdb1	98.0
2eilN1.pdb1	2eilB1.pdb1	0.05
2eilN1.pdb1	2eilY1.pdb1	1688.15
2eilN1.pdb1	2eilC1.pdb1	0.05
2eilN1.pdb1	2eilJ1.pdb1	0.05
2eilN1.pdb1	2eilH1.pdb1	0.05
2eilN1.pdb1	2eilK1.pdb1	0.05
2eilI1.pdb1	2eilD1.pdb1	393.35
2eilI1.pdb1	2eilA1.pdb1	102.15
2eilI1.pdb1	2eilE1.pdb1	621.35
2eilI1.pdb1	2eilB1.pdb1	1451.9
2eilI1.pdb1	2eilK1.pdb1	110.6
2eilU1.pdb1	2eilT1.pdb1	210.95
2eilU1.pdb1	2eilP1.pdb1	238.75
2eilU1.pdb1	2eilH1.pdb1	336.8
2eilQ1.pdb1	2eilR1.pdb1	1284.2
2eilQ1.pdb1	2eilZ1.pdb1	341.25
2eilQ1.pdb1	2eilS1.pdb1	139.0
2eilQ1.pdb1	2eilX1.pdb1	1452.2
2eilQ1.pdb1	2eilV1.pdb1	407.25
2eilQ1.pdb1	2eilY1.pdb1	0.85
2eilF1.pdb1	2eilD1.pdb1	132.95
2eilF1.pdb1	2eilS1.pdb1	117.35
2eilF1.pdb1	2eilT1.pdb1	46.15
2eilF1.pdb1	2eilA1.pdb1	1251.05
2eilF1.pdb1	2eilG1.pdb1	64.6
2eilF1.pdb1	2eilE1.pdb1	154.05
2eilF1.pdb1	2eilC1.pdb1	899.35
2eilF1.pdb1	2eilJ1.pdb1	150.55
2eilR1.pdb1	2eilS1.pdb1	164.35
2eilR1.pdb1	2eilV1.pdb1	599.1
2eilD1.pdb1	2eilA1.pdb1	1365.6
2eilD1.pdb1	2eilE1.pdb1	1273.15
2eilD1.pdb1	2eilM1.pdb1	337.8
2eilD1.pdb1	2eilB1.pdb1	815.4
2eilD1.pdb1	2eilK1.pdb1	1464.1
2eilZ1.pdb1	2eilX1.pdb1	4.85
2eilZ1.pdb1	2eilY1.pdb1	704.65
2eilS1.pdb1	2eilT1.pdb1	62.65
2eilS1.pdb1	2eilW1.pdb1	151.5
2eilS1.pdb1	2eilG1.pdb1	50.9
2eilS1.pdb1	2eilP1.pdb1	901.85
2eilT1.pdb1	2eilA1.pdb1	734.9
2eilT1.pdb1	2eilP1.pdb1	1658.95
2eilT1.pdb1	2eilB1.pdb1	31.65
2eilT1.pdb1	2eilC1.pdb1	97.45
2eilX1.pdb1	2eilV1.pdb1	115.45
2eilL1.pdb1	2eilA1.pdb1	1669.2
2eilL1.pdb1	2eilM1.pdb1	714.85
2eilL1.pdb1	2eilC1.pdb1	24.2
2eilL1.pdb1	2eilJ1.pdb1	143.9
2eilW1.pdb1	2eilP1.pdb1	1319.65
2eilW1.pdb1	2eilY1.pdb1	149.55
2eilA1.pdb1	2eilG1.pdb1	356.65
2eilA1.pdb1	2eilM1.pdb1	1050.8
2eilA1.pdb1	2eilB1.pdb1	3531.2
2eilA1.pdb1	2eilC1.pdb1	2573.85
2eilA1.pdb1	2eilJ1.pdb1	256.45
2eilA1.pdb1	2eilH1.pdb1	136.1
2eilA1.pdb1	2eilK1.pdb1	337.85
2eilG1.pdb1	2eilP1.pdb1	101.5
2eilG1.pdb1	2eilC1.pdb1	1649.25
2eilG1.pdb1	2eilH1.pdb1	205.65
2eilP1.pdb1	2eilY1.pdb1	23.7
2eilE1.pdb1	2eilB1.pdb1	273.9
2eilM1.pdb1	2eilK1.pdb1	8.3
2eilB1.pdb1	2eilC1.pdb1	24.8
2eilB1.pdb1	2eilH1.pdb1	960.7
2eilB1.pdb1	2eilK1.pdb1	174.05
2eilC1.pdb1	2eilJ1.pdb1	1326.8
2eilC1.pdb1	2eilH1.pdb1	242.1
6eilD1.pdb1	6eilC1.pdb1	965.55
6eilD1.pdb1	6eilB1.pdb1	7.3
6eilD1.pdb1	6eilA1.pdb1	969.75
6eilC1.pdb1	6eilB1.pdb1	879.1
6eilC1.pdb1	6eilA1.pdb1	17.75
6eilB1.pdb1	6eilA1.pdb1	1041.5
3eiuB1.pdb1	3eiuA1.pdb1	2261.1
2eitA2.pdb2	2eitB2.pdb2	3010.7
2eitA2.pdb2	2eitA3.pdb2	340.15
2eitA2.pdb2	2eitB3.pdb2	1121.45
2eitA2.pdb2	2eitA1.pdb2	340.1
2eitB1.pdb2	2eitB2.pdb2	341.5
2eitB1.pdb2	2eitA3.pdb2	1121.5
2eitB1.pdb2	2eitB3.pdb2	341.5
2eitB1.pdb2	2eitA1.pdb2	3010.75
2eitB2.pdb2	2eitB3.pdb2	341.45
2eitB2.pdb2	2eitA1.pdb2	1121.45
2eitA3.pdb2	2eitB3.pdb2	3010.7
2eitA3.pdb2	2eitA1.pdb2	340.15
4eijB2.pdb1	4eijA2.pdb1	1406.05
4eijB2.pdb1	4eijB1.pdb1	1319.15
4eijB2.pdb1	4eijA1.pdb1	196.8
4eijA2.pdb1	4eijB1.pdb1	196.85
4eijA2.pdb1	4eijA1.pdb1	1309.65
4eijB1.pdb1	4eijA1.pdb1	1406.05
4eiaA2.pdb1	4eiaA1.pdb1	524.9
6eirD1.pdb1	6eirA1.pdb1	900.45
6eirD1.pdb1	6eirC1.pdb1	1037.7
6eirD1.pdb1	6eirB1.pdb1	23.1
6eirA1.pdb1	6eirC1.pdb1	16.0
6eirA1.pdb1	6eirB1.pdb1	1027.6
6eirC1.pdb1	6eirB1.pdb1	903.1
5eirB1.pdb1	5eirA1.pdb1	679.8
5eiuD1.pdb1	5eiuA1.pdb1	427.35
3ei8A1.pdb1	3ei8B1.pdb1	3786.85
5ei9A1.pdb1	5ei9B1.pdb1	932.55
5ei9A1.pdb1	5ei9E1.pdb1	1222.25
5ei9B1.pdb1	5ei9E1.pdb1	739.4
1ei6D1.pdb1	1ei6A1.pdb1	1230.9
2eitA1.pdb1	2eitB1.pdb1	3010.75
3ei5B1.pdb1	3ei5A1.pdb1	3826.8
5eieB1.pdb1	5eieA1.pdb1	938.3
2einM1.pdb1	2einD1.pdb1	328.35
2einM1.pdb1	2einL1.pdb1	721.55
2einM1.pdb1	2einK1.pdb1	7.8
2einM1.pdb1	2einA1.pdb1	1033.85
2einP1.pdb1	2einS1.pdb1	880.05
2einP1.pdb1	2einN1.pdb1	2593.75
2einP1.pdb1	2einO1.pdb1	21.1
2einP1.pdb1	2einU1.pdb1	244.5
2einP1.pdb1	2einY1.pdb1	25.1
2einP1.pdb1	2einW1.pdb1	1319.8
2einP1.pdb1	2einT1.pdb1	1662.45
2einP1.pdb1	2einG1.pdb1	103.75
2einS1.pdb1	2einN1.pdb1	1286.65
2einS1.pdb1	2einF1.pdb1	124.1
2einS1.pdb1	2einR1.pdb1	159.35
2einS1.pdb1	2einQ1.pdb1	135.35
2einS1.pdb1	2einW1.pdb1	150.0
2einS1.pdb1	2einT1.pdb1	62.5
2einS1.pdb1	2einG1.pdb1	39.55
2einN1.pdb1	2einV1.pdb1	98.5
2einN1.pdb1	2einO1.pdb1	3519.1
2einN1.pdb1	2einU1.pdb1	136.0
2einN1.pdb1	2einY1.pdb1	1675.45
2einN1.pdb1	2einZ1.pdb1	1024.8
2einN1.pdb1	2einQ1.pdb1	1344.2
2einN1.pdb1	2einW1.pdb1	260.25
2einN1.pdb1	2einT1.pdb1	356.55
2einN1.pdb1	2einX1.pdb1	328.9
2einN1.pdb1	2einG1.pdb1	730.15
2einF1.pdb1	2einD1.pdb1	137.7
2einF1.pdb1	2einJ1.pdb1	144.3
2einF1.pdb1	2einA1.pdb1	1241.55
2einF1.pdb1	2einT1.pdb1	45.85
2einF1.pdb1	2einE1.pdb1	155.3
2einF1.pdb1	2einG1.pdb1	59.4
2einF1.pdb1	2einC1.pdb1	868.65
2einV1.pdb1	2einO1.pdb1	1485.85
2einV1.pdb1	2einR1.pdb1	609.5
2einV1.pdb1	2einQ1.pdb1	404.65
2einV1.pdb1	2einX1.pdb1	115.75
2einI1.pdb1	2einD1.pdb1	383.25
2einI1.pdb1	2einB1.pdb1	1477.25
2einI1.pdb1	2einK1.pdb1	115.6
2einI1.pdb1	2einA1.pdb1	100.85
2einI1.pdb1	2einE1.pdb1	611.65
2einO1.pdb1	2einU1.pdb1	992.5
2einO1.pdb1	2einR1.pdb1	267.3
2einO1.pdb1	2einQ1.pdb1	826.1
2einO1.pdb1	2einX1.pdb1	177.5
2einO1.pdb1	2einG1.pdb1	33.45
2einU1.pdb1	2einH1.pdb1	382.45
2einU1.pdb1	2einT1.pdb1	212.4
2einD1.pdb1	2einB1.pdb1	807.75
2einD1.pdb1	2einK1.pdb1	1486.8
2einD1.pdb1	2einA1.pdb1	1335.8
2einD1.pdb1	2einE1.pdb1	1294.6
2einY1.pdb1	2einZ1.pdb1	711.55
2einY1.pdb1	2einW1.pdb1	156.0
2einJ1.pdb1	2einL1.pdb1	143.8
2einJ1.pdb1	2einA1.pdb1	263.5
2einJ1.pdb1	2einC1.pdb1	1323.95
2einL1.pdb1	2einA1.pdb1	1677.5
2einL1.pdb1	2einC1.pdb1	27.15
2einB1.pdb1	2einH1.pdb1	980.55
2einB1.pdb1	2einK1.pdb1	174.65
2einB1.pdb1	2einA1.pdb1	3515.15
2einB1.pdb1	2einT1.pdb1	37.95
2einB1.pdb1	2einE1.pdb1	267.95
2einB1.pdb1	2einC1.pdb1	24.35
2einR1.pdb1	2einQ1.pdb1	1299.25
2einH1.pdb1	2einA1.pdb1	124.5
2einH1.pdb1	2einG1.pdb1	203.6
2einH1.pdb1	2einC1.pdb1	238.75
2einZ1.pdb1	2einQ1.pdb1	333.0
2einZ1.pdb1	2einX1.pdb1	10.1
2einK1.pdb1	2einA1.pdb1	341.2
2einQ1.pdb1	2einX1.pdb1	1473.15
