2za1A1.pdb1	2za1B1.pdb1	2371.55
1za6G1.pdb4	1za6H1.pdb4	1665.4
5zadF1.pdb1	5zadA1.pdb1	1069.7
5zadF1.pdb1	5zadC1.pdb1	374.2
5zadF1.pdb1	5zadB1.pdb1	97.25
5zadA1.pdb1	5zadE1.pdb1	51.35
5zadA1.pdb1	5zadC1.pdb1	743.6
5zadA1.pdb1	5zadB1.pdb1	1304.95
5zadD1.pdb1	5zadE1.pdb1	378.35
5zadD1.pdb1	5zadB1.pdb1	746.2
5zadE1.pdb1	5zadB1.pdb1	1122.05
4zahH1.pdb4	4zahG1.pdb4	2204.9
2za8A19.pdb1	2za8A23.pdb1	39.45
2za8A19.pdb1	2za8A20.pdb1	1275.5
2za8A19.pdb1	2za8A22.pdb1	367.1
2za8A19.pdb1	2za8A10.pdb1	365.2
2za8A19.pdb1	2za8A21.pdb1	639.5
2za8A19.pdb1	2za8A18.pdb1	640.5
2za8A8.pdb1	2za8A2.pdb1	641.65
2za8A8.pdb1	2za8A1.pdb1	365.2
2za8A8.pdb1	2za8A20.pdb1	641.65
2za8A8.pdb1	2za8A10.pdb1	39.0
2za8A8.pdb1	2za8A7.pdb1	1275.5
2za8A8.pdb1	2za8A6.pdb1	365.4
2za8A2.pdb1	2za8A1.pdb1	1275.5
2za8A2.pdb1	2za8A4.pdb1	365.4
2za8A2.pdb1	2za8A20.pdb1	39.0
2za8A2.pdb1	2za8A10.pdb1	641.65
2za8A2.pdb1	2za8A9.pdb1	365.2
2za8A15.pdb1	2za8A14.pdb1	365.2
2za8A15.pdb1	2za8A5.pdb1	367.1
2za8A15.pdb1	2za8A16.pdb1	1275.45
2za8A15.pdb1	2za8A17.pdb1	640.5
2za8A15.pdb1	2za8A7.pdb1	39.45
2za8A15.pdb1	2za8A6.pdb1	639.5
2za8A1.pdb1	2za8A4.pdb1	640.5
2za8A1.pdb1	2za8A13.pdb1	39.45
2za8A1.pdb1	2za8A5.pdb1	639.5
2za8A1.pdb1	2za8A6.pdb1	367.1
2za8A24.pdb1	2za8A14.pdb1	39.0
2za8A24.pdb1	2za8A23.pdb1	1275.45
2za8A24.pdb1	2za8A12.pdb1	641.65
2za8A24.pdb1	2za8A16.pdb1	641.65
2za8A24.pdb1	2za8A21.pdb1	365.4
2za8A24.pdb1	2za8A11.pdb1	365.2
2za8A4.pdb1	2za8A13.pdb1	639.5
2za8A4.pdb1	2za8A9.pdb1	367.1
2za8A4.pdb1	2za8A3.pdb1	1269.3
2za8A4.pdb1	2za8A5.pdb1	39.2
2za8A14.pdb1	2za8A13.pdb1	1275.45
2za8A14.pdb1	2za8A12.pdb1	641.65
2za8A14.pdb1	2za8A5.pdb1	365.4
2za8A14.pdb1	2za8A16.pdb1	641.65
2za8A23.pdb1	2za8A16.pdb1	365.2
2za8A23.pdb1	2za8A17.pdb1	367.1
2za8A23.pdb1	2za8A21.pdb1	640.5
2za8A23.pdb1	2za8A18.pdb1	639.5
2za8A13.pdb1	2za8A3.pdb1	367.1
2za8A13.pdb1	2za8A12.pdb1	365.2
2za8A13.pdb1	2za8A5.pdb1	640.5
2za8A20.pdb1	2za8A10.pdb1	641.65
2za8A20.pdb1	2za8A7.pdb1	365.2
2za8A20.pdb1	2za8A18.pdb1	365.4
2za8A22.pdb1	2za8A10.pdb1	365.4
2za8A22.pdb1	2za8A9.pdb1	640.5
2za8A22.pdb1	2za8A3.pdb1	39.2
2za8A22.pdb1	2za8A21.pdb1	1269.3
2za8A22.pdb1	2za8A11.pdb1	639.5
2za8A10.pdb1	2za8A9.pdb1	1275.5
2za8A9.pdb1	2za8A3.pdb1	639.5
2za8A9.pdb1	2za8A11.pdb1	39.5
2za8A3.pdb1	2za8A12.pdb1	365.4
2za8A3.pdb1	2za8A11.pdb1	640.5
2za8A12.pdb1	2za8A16.pdb1	39.0
2za8A12.pdb1	2za8A11.pdb1	1275.45
2za8A5.pdb1	2za8A6.pdb1	1269.3
2za8A16.pdb1	2za8A17.pdb1	365.4
2za8A17.pdb1	2za8A7.pdb1	639.5
2za8A17.pdb1	2za8A6.pdb1	39.2
2za8A17.pdb1	2za8A18.pdb1	1269.3
2za8A7.pdb1	2za8A6.pdb1	640.5
2za8A7.pdb1	2za8A18.pdb1	367.1
2za8A21.pdb1	2za8A11.pdb1	367.1
2za8A21.pdb1	2za8A18.pdb1	39.2
1zalD1.pdb1	1zalA1.pdb1	1459.5
1zalD1.pdb1	1zalC1.pdb1	1155.45
1zalD1.pdb1	1zalB1.pdb1	52.0
1zalA1.pdb1	1zalC1.pdb1	77.5
1zalA1.pdb1	1zalB1.pdb1	1180.2
1zalC1.pdb1	1zalB1.pdb1	1582.05
4zazA11.pdb1	4zazA6.pdb1	832.2
4zazA11.pdb1	4zazA9.pdb1	1560.0
4zazA11.pdb1	4zazA4.pdb1	829.25
4zazA11.pdb1	4zazA1.pdb1	607.25
4zazA11.pdb1	4zazA8.pdb1	605.8
4zazA10.pdb1	4zazA2.pdb1	607.25
4zazA10.pdb1	4zazA6.pdb1	605.8
4zazA10.pdb1	4zazA12.pdb1	1560.0
4zazA10.pdb1	4zazA8.pdb1	832.2
4zazA10.pdb1	4zazA3.pdb1	829.25
4zazA2.pdb1	4zazA6.pdb1	601.4
4zazA2.pdb1	4zazA12.pdb1	829.25
4zazA2.pdb1	4zazA7.pdb1	832.8
4zazA2.pdb1	4zazA4.pdb1	1560.0
4zazA6.pdb1	4zazA4.pdb1	832.8
4zazA6.pdb1	4zazA8.pdb1	1556.0
4zazA5.pdb1	4zazA9.pdb1	832.2
4zazA5.pdb1	4zazA12.pdb1	605.8
4zazA5.pdb1	4zazA7.pdb1	1556.0
4zazA5.pdb1	4zazA1.pdb1	832.8
4zazA5.pdb1	4zazA3.pdb1	601.4
4zazA9.pdb1	4zazA7.pdb1	605.8
4zazA9.pdb1	4zazA4.pdb1	607.25
4zazA9.pdb1	4zazA1.pdb1	829.25
4zazA12.pdb1	4zazA7.pdb1	832.2
4zazA12.pdb1	4zazA3.pdb1	607.25
4zazA7.pdb1	4zazA4.pdb1	601.4
4zazA1.pdb1	4zazA8.pdb1	601.4
4zazA1.pdb1	4zazA3.pdb1	1560.0
4zazA8.pdb1	4zazA3.pdb1	832.8
2za6A12.pdb1	2za6A16.pdb1	36.2
2za6A12.pdb1	2za6A24.pdb1	643.55
2za6A12.pdb1	2za6A3.pdb1	659.35
2za6A12.pdb1	2za6A11.pdb1	1533.6
2za6A12.pdb1	2za6A14.pdb1	643.55
2za6A12.pdb1	2za6A13.pdb1	661.55
2za6A16.pdb1	2za6A24.pdb1	643.55
2za6A16.pdb1	2za6A23.pdb1	661.55
2za6A16.pdb1	2za6A15.pdb1	1533.6
2za6A16.pdb1	2za6A17.pdb1	659.35
2za6A16.pdb1	2za6A14.pdb1	643.55
2za6A24.pdb1	2za6A21.pdb1	659.35
2za6A24.pdb1	2za6A23.pdb1	1533.6
2za6A24.pdb1	2za6A11.pdb1	661.55
2za6A24.pdb1	2za6A14.pdb1	36.2
2za6A5.pdb1	2za6A1.pdb1	642.45
2za6A5.pdb1	2za6A4.pdb1	36.5
2za6A5.pdb1	2za6A6.pdb1	1525.3
2za6A5.pdb1	2za6A15.pdb1	661.0
2za6A5.pdb1	2za6A14.pdb1	659.35
2za6A5.pdb1	2za6A13.pdb1	639.8
2za6A18.pdb1	2za6A21.pdb1	36.5
2za6A18.pdb1	2za6A23.pdb1	642.5
2za6A18.pdb1	2za6A19.pdb1	639.75
2za6A18.pdb1	2za6A20.pdb1	659.35
2za6A18.pdb1	2za6A17.pdb1	1525.3
2za6A18.pdb1	2za6A7.pdb1	660.95
2za6A3.pdb1	2za6A22.pdb1	36.5
2za6A3.pdb1	2za6A4.pdb1	1525.3
2za6A3.pdb1	2za6A9.pdb1	642.45
2za6A3.pdb1	2za6A11.pdb1	639.8
2za6A3.pdb1	2za6A13.pdb1	661.0
2za6A1.pdb1	2za6A4.pdb1	639.75
2za6A1.pdb1	2za6A6.pdb1	660.95
2za6A1.pdb1	2za6A8.pdb1	661.5
2za6A1.pdb1	2za6A2.pdb1	1533.6
2za6A1.pdb1	2za6A13.pdb1	37.15
2za6A22.pdb1	2za6A21.pdb1	1525.3
2za6A22.pdb1	2za6A19.pdb1	660.95
2za6A22.pdb1	2za6A10.pdb1	659.35
2za6A22.pdb1	2za6A9.pdb1	639.75
2za6A22.pdb1	2za6A11.pdb1	642.5
2za6A4.pdb1	2za6A2.pdb1	659.35
2za6A4.pdb1	2za6A9.pdb1	660.95
2za6A4.pdb1	2za6A13.pdb1	642.5
2za6A21.pdb1	2za6A23.pdb1	639.8
2za6A21.pdb1	2za6A19.pdb1	642.45
2za6A21.pdb1	2za6A11.pdb1	661.0
2za6A6.pdb1	2za6A8.pdb1	659.35
2za6A6.pdb1	2za6A15.pdb1	642.5
2za6A6.pdb1	2za6A17.pdb1	36.5
2za6A6.pdb1	2za6A7.pdb1	639.75
2za6A23.pdb1	2za6A19.pdb1	37.15
2za6A23.pdb1	2za6A17.pdb1	661.0
2za6A8.pdb1	2za6A2.pdb1	643.6
2za6A8.pdb1	2za6A10.pdb1	36.2
2za6A8.pdb1	2za6A20.pdb1	643.6
2za6A8.pdb1	2za6A7.pdb1	1533.55
2za6A19.pdb1	2za6A10.pdb1	661.5
2za6A19.pdb1	2za6A20.pdb1	1533.6
2za6A2.pdb1	2za6A10.pdb1	643.6
2za6A2.pdb1	2za6A20.pdb1	36.3
2za6A2.pdb1	2za6A9.pdb1	661.5
2za6A10.pdb1	2za6A20.pdb1	643.6
2za6A10.pdb1	2za6A9.pdb1	1533.55
2za6A20.pdb1	2za6A7.pdb1	661.5
2za6A9.pdb1	2za6A11.pdb1	37.15
2za6A15.pdb1	2za6A17.pdb1	639.8
2za6A15.pdb1	2za6A7.pdb1	37.15
2za6A15.pdb1	2za6A14.pdb1	661.55
2za6A17.pdb1	2za6A7.pdb1	642.45
2za6A14.pdb1	2za6A13.pdb1	1533.6
2zadD1.pdb2	2zadD3.pdb2	432.7
2zadD1.pdb2	2zadC4.pdb2	891.8
2zadD1.pdb2	2zadD4.pdb2	432.7
2zadD1.pdb2	2zadC1.pdb2	1231.75
2zadC2.pdb2	2zadC4.pdb2	417.8
2zadC2.pdb2	2zadD4.pdb2	891.8
2zadC2.pdb2	2zadC3.pdb2	417.8
2zadC2.pdb2	2zadD2.pdb2	1231.75
2zadD3.pdb2	2zadC3.pdb2	1231.75
2zadD3.pdb2	2zadD2.pdb2	432.7
2zadD3.pdb2	2zadC1.pdb2	891.8
2zadC4.pdb2	2zadD4.pdb2	1231.75
2zadC4.pdb2	2zadC1.pdb2	417.8
2zadD4.pdb2	2zadD2.pdb2	432.7
2zadC3.pdb2	2zadD2.pdb2	891.8
2zadC3.pdb2	2zadC1.pdb2	417.8
4zacB2.pdb3	4zacC1.pdb3	3418.0
4za4A2.pdb1	4za4A1.pdb1	3753.2
4zabA1.pdb1	4zabA2.pdb1	3763.0
2zatA1.pdb5	2zatB1.pdb5	1474.65
1zaiC1.pdb1	1zaiA1.pdb1	57.0
1zaiC1.pdb1	1zaiB1.pdb1	1589.8
1zaiC1.pdb1	1zaiD1.pdb1	1152.1
1zaiA1.pdb1	1zaiB1.pdb1	1174.45
1zaiA1.pdb1	1zaiD1.pdb1	1480.5
1zaiB1.pdb1	1zaiD1.pdb1	62.75
1za2B3.pdb1	1za2D3.pdb1	749.75
1za2B3.pdb1	1za2A3.pdb1	631.55
1za2B3.pdb1	1za2A2.pdb1	29.3
1za2B3.pdb1	1za2C1.pdb1	249.1
1za2D3.pdb1	1za2C3.pdb1	618.55
1za2D3.pdb1	1za2A2.pdb1	230.4
1za2D3.pdb1	1za2C1.pdb1	29.9
1za2B1.pdb1	1za2D1.pdb1	749.7
1za2B1.pdb1	1za2A3.pdb1	29.3
1za2B1.pdb1	1za2A1.pdb1	631.6
1za2B1.pdb1	1za2C2.pdb1	249.15
1za2B2.pdb1	1za2D2.pdb1	749.7
1za2B2.pdb1	1za2C3.pdb1	249.1
1za2B2.pdb1	1za2A1.pdb1	29.3
1za2B2.pdb1	1za2A2.pdb1	631.6
1za2D1.pdb1	1za2A3.pdb1	230.3
1za2D1.pdb1	1za2C2.pdb1	29.8
1za2D1.pdb1	1za2C1.pdb1	618.5
1za2A3.pdb1	1za2A1.pdb1	1039.75
1za2A3.pdb1	1za2A2.pdb1	1039.7
1za2A3.pdb1	1za2C1.pdb1	234.9
1za2D2.pdb1	1za2C3.pdb1	29.85
1za2D2.pdb1	1za2A1.pdb1	230.4
1za2D2.pdb1	1za2C2.pdb1	618.55
1za2C3.pdb1	1za2C2.pdb1	1055.95
1za2C3.pdb1	1za2A2.pdb1	234.85
1za2C3.pdb1	1za2C1.pdb1	1056.0
1za2A1.pdb1	1za2C2.pdb1	234.9
1za2A1.pdb1	1za2A2.pdb1	1039.7
1za2C2.pdb1	1za2C1.pdb1	1056.05
4zawA12.pdb1	4zawA3.pdb1	609.0
4zawA12.pdb1	4zawA10.pdb1	1473.0
4zawA12.pdb1	4zawA2.pdb1	846.35
4zawA12.pdb1	4zawA5.pdb1	606.75
4zawA12.pdb1	4zawA7.pdb1	846.75
4zawA3.pdb1	4zawA10.pdb1	846.35
4zawA3.pdb1	4zawA1.pdb1	1480.75
4zawA3.pdb1	4zawA8.pdb1	845.8
4zawA3.pdb1	4zawA5.pdb1	604.5
4zawA9.pdb1	4zawA4.pdb1	609.0
4zawA9.pdb1	4zawA1.pdb1	846.35
4zawA9.pdb1	4zawA11.pdb1	1473.0
4zawA9.pdb1	4zawA5.pdb1	846.75
4zawA9.pdb1	4zawA7.pdb1	606.75
4zawA10.pdb1	4zawA2.pdb1	609.0
4zawA10.pdb1	4zawA6.pdb1	606.75
4zawA10.pdb1	4zawA8.pdb1	846.75
4zawA2.pdb1	4zawA4.pdb1	1480.75
4zawA2.pdb1	4zawA6.pdb1	604.5
4zawA2.pdb1	4zawA7.pdb1	845.8
4zawA4.pdb1	4zawA6.pdb1	845.8
4zawA4.pdb1	4zawA11.pdb1	846.35
4zawA4.pdb1	4zawA7.pdb1	604.5
4zawA1.pdb1	4zawA8.pdb1	604.5
4zawA1.pdb1	4zawA11.pdb1	609.0
4zawA1.pdb1	4zawA5.pdb1	845.8
4zawA6.pdb1	4zawA8.pdb1	1467.2
4zawA6.pdb1	4zawA11.pdb1	846.75
4zawA8.pdb1	4zawA11.pdb1	606.75
4zawA5.pdb1	4zawA7.pdb1	1467.2
4zaiA2.pdb2	4zaiA1.pdb2	1011.8
2za5C1.pdb1	2za5B1.pdb1	424.4
2za5C1.pdb1	2za5A1.pdb1	1053.8
2za5B1.pdb1	2za5D1.pdb1	1048.25
2za5A1.pdb1	2za5D1.pdb1	427.85
4zavA2.pdb1	4zavA4.pdb1	1585.5
4zavA2.pdb1	4zavA12.pdb1	794.4
4zavA2.pdb1	4zavA6.pdb1	601.4
4zavA2.pdb1	4zavA7.pdb1	793.85
4zavA2.pdb1	4zavA10.pdb1	608.05
4zavA3.pdb1	4zavA5.pdb1	601.4
4zavA3.pdb1	4zavA1.pdb1	1585.5
4zavA3.pdb1	4zavA8.pdb1	793.85
4zavA3.pdb1	4zavA12.pdb1	608.05
4zavA3.pdb1	4zavA10.pdb1	794.4
4zavA4.pdb1	4zavA9.pdb1	608.05
4zavA4.pdb1	4zavA6.pdb1	793.85
4zavA4.pdb1	4zavA7.pdb1	601.4
4zavA4.pdb1	4zavA11.pdb1	794.4
4zavA5.pdb1	4zavA1.pdb1	793.85
4zavA5.pdb1	4zavA9.pdb1	795.25
4zavA5.pdb1	4zavA12.pdb1	607.6
4zavA5.pdb1	4zavA7.pdb1	1579.8
4zavA1.pdb1	4zavA8.pdb1	601.4
4zavA1.pdb1	4zavA9.pdb1	794.4
4zavA1.pdb1	4zavA11.pdb1	608.05
4zavA8.pdb1	4zavA6.pdb1	1579.8
4zavA8.pdb1	4zavA11.pdb1	607.6
4zavA8.pdb1	4zavA10.pdb1	795.25
4zavA9.pdb1	4zavA7.pdb1	607.6
4zavA9.pdb1	4zavA11.pdb1	1584.8
4zavA12.pdb1	4zavA7.pdb1	795.25
4zavA12.pdb1	4zavA10.pdb1	1584.8
4zavA6.pdb1	4zavA11.pdb1	795.25
4zavA6.pdb1	4zavA10.pdb1	607.6
4zasA1.pdb1	4zasB1.pdb1	2169.6
2za3B1.pdb1	2za3A1.pdb1	2403.7
4zadA1.pdb1	4zadB1.pdb1	3524.6
2zatC1.pdb3	2zatB1.pdb3	1495.3
4za8A1.pdb1	4za8A2.pdb1	3762.5
1za6H1.pdb2	1za6E1.pdb2	547.7
1za6H1.pdb2	1za6F1.pdb2	1271.95
1za6H1.pdb2	1za6G1.pdb2	1665.4
1za6E1.pdb2	1za6F1.pdb2	1715.45
1za6F1.pdb2	1za6G1.pdb2	75.55
4zafA7.pdb1	4zafA5.pdb1	1583.0
4zafA7.pdb1	4zafA4.pdb1	576.65
4zafA7.pdb1	4zafA9.pdb1	581.1
4zafA7.pdb1	4zafA12.pdb1	814.1
4zafA7.pdb1	4zafA2.pdb1	812.65
4zafA5.pdb1	4zafA9.pdb1	814.1
4zafA5.pdb1	4zafA3.pdb1	576.65
4zafA5.pdb1	4zafA12.pdb1	581.1
4zafA5.pdb1	4zafA1.pdb1	812.65
4zafA4.pdb1	4zafA9.pdb1	581.05
4zafA4.pdb1	4zafA11.pdb1	816.85
4zafA4.pdb1	4zafA6.pdb1	812.65
4zafA4.pdb1	4zafA2.pdb1	1588.0
4zafA9.pdb1	4zafA11.pdb1	1584.5
4zafA9.pdb1	4zafA1.pdb1	816.85
4zafA10.pdb1	4zafA8.pdb1	814.1
4zafA10.pdb1	4zafA3.pdb1	816.85
4zafA10.pdb1	4zafA12.pdb1	1584.5
4zafA10.pdb1	4zafA6.pdb1	581.1
4zafA10.pdb1	4zafA2.pdb1	581.05
4zafA8.pdb1	4zafA3.pdb1	812.65
4zafA8.pdb1	4zafA11.pdb1	581.1
4zafA8.pdb1	4zafA6.pdb1	1583.1
4zafA8.pdb1	4zafA1.pdb1	576.65
4zafA3.pdb1	4zafA12.pdb1	581.05
4zafA3.pdb1	4zafA1.pdb1	1588.0
4zafA11.pdb1	4zafA6.pdb1	814.1
4zafA11.pdb1	4zafA1.pdb1	581.05
4zafA12.pdb1	4zafA2.pdb1	816.85
4zafA6.pdb1	4zafA2.pdb1	576.65
4zakA1.pdb1	4zakC1.pdb1	475.2
4zakA1.pdb1	4zakB1.pdb1	1154.95
4zakA1.pdb1	4zakD1.pdb1	321.15
4zakC1.pdb1	4zakD1.pdb1	2040.05
4zacD1.pdb1	4zacA1.pdb1	3444.3
5zacD1.pdb1	5zacB1.pdb1	1043.55
5zacD1.pdb1	5zacC1.pdb1	673.7
5zacA1.pdb1	5zacB1.pdb1	752.9
5zacA1.pdb1	5zacC1.pdb1	1023.25
5zaxA1.pdb1	5zaxB1.pdb1	1022.0
4zalA8.pdb1	4zalA10.pdb1	836.4
4zalA8.pdb1	4zalA1.pdb1	560.05
4zalA8.pdb1	4zalA11.pdb1	564.7
4zalA8.pdb1	4zalA3.pdb1	837.55
4zalA8.pdb1	4zalA6.pdb1	1496.5
4zalA5.pdb1	4zalA12.pdb1	564.7
4zalA5.pdb1	4zalA1.pdb1	837.55
4zalA5.pdb1	4zalA9.pdb1	836.4
4zalA5.pdb1	4zalA3.pdb1	560.05
4zalA5.pdb1	4zalA7.pdb1	1496.5
4zalA12.pdb1	4zalA10.pdb1	1490.3
4zalA12.pdb1	4zalA3.pdb1	567.55
4zalA12.pdb1	4zalA7.pdb1	836.4
4zalA12.pdb1	4zalA2.pdb1	838.75
4zalA10.pdb1	4zalA3.pdb1	838.8
4zalA10.pdb1	4zalA2.pdb1	567.55
4zalA10.pdb1	4zalA6.pdb1	564.7
4zalA1.pdb1	4zalA9.pdb1	838.75
4zalA1.pdb1	4zalA11.pdb1	567.55
4zalA1.pdb1	4zalA3.pdb1	1492.5
4zalA4.pdb1	4zalA9.pdb1	567.55
