5c6pB1.pdb1	5c6pA1.pdb1	476.25
2c6rA10.pdb1	2c6rA5.pdb1	819.8
2c6rA10.pdb1	2c6rA12.pdb1	541.4
2c6rA10.pdb1	2c6rA7.pdb1	537.6
2c6rA10.pdb1	2c6rA9.pdb1	1226.15
2c6rA10.pdb1	2c6rA2.pdb1	818.1
2c6rA8.pdb1	2c6rA11.pdb1	541.3
2c6rA8.pdb1	2c6rA12.pdb1	820.15
2c6rA8.pdb1	2c6rA4.pdb1	537.65
2c6rA8.pdb1	2c6rA9.pdb1	819.85
2c6rA8.pdb1	2c6rA6.pdb1	1225.1
2c6rA5.pdb1	2c6rA7.pdb1	1225.1
2c6rA5.pdb1	2c6rA1.pdb1	541.35
2c6rA5.pdb1	2c6rA2.pdb1	820.15
2c6rA5.pdb1	2c6rA3.pdb1	537.6
2c6rA11.pdb1	2c6rA12.pdb1	1224.9
2c6rA11.pdb1	2c6rA4.pdb1	541.45
2c6rA11.pdb1	2c6rA7.pdb1	820.15
2c6rA11.pdb1	2c6rA3.pdb1	818.1
2c6rA12.pdb1	2c6rA7.pdb1	541.35
2c6rA12.pdb1	2c6rA9.pdb1	818.15
2c6rA4.pdb1	2c6rA1.pdb1	818.15
2c6rA4.pdb1	2c6rA6.pdb1	819.85
2c6rA4.pdb1	2c6rA3.pdb1	1226.15
2c6rA7.pdb1	2c6rA3.pdb1	819.8
2c6rA9.pdb1	2c6rA2.pdb1	541.45
2c6rA9.pdb1	2c6rA6.pdb1	537.65
2c6rA1.pdb1	2c6rA2.pdb1	1224.9
2c6rA1.pdb1	2c6rA6.pdb1	820.15
2c6rA1.pdb1	2c6rA3.pdb1	541.4
2c6rA2.pdb1	2c6rA6.pdb1	541.3
5c6eB1.pdb1	5c6eA2.pdb1	546.4
5c6eB1.pdb1	5c6eA1.pdb1	865.0
5c6eB1.pdb1	5c6eB2.pdb1	239.5
5c6eA2.pdb1	5c6eA1.pdb1	313.3
5c6eA2.pdb1	5c6eB2.pdb1	865.05
5c6eA1.pdb1	5c6eB2.pdb1	546.4
5c6hI1.pdb6	5c6hJ1.pdb6	1025.45
2c6wA1.pdb1	2c6wB1.pdb1	669.0
5c6hE1.pdb4	5c6hF1.pdb4	1032.7
6c61B1.pdb1	6c61A1.pdb1	2180.05
3c6sC1.pdb2	3c6sD1.pdb2	1611.7
5c67E1.pdb1	5c67A1.pdb1	605.0
5c67B1.pdb1	5c67A1.pdb1	661.5
6c6qD1.pdb1	6c6qB1.pdb1	616.55
6c6qF1.pdb1	6c6qA1.pdb1	660.15
6c6qA1.pdb1	6c6qB1.pdb1	1933.0
6c6lL1.pdb1	6c6lC1.pdb1	1736.6
6c6lL1.pdb1	6c6lM1.pdb1	32.95
6c6lL1.pdb1	6c6lA1.pdb1	1266.7
6c6lL1.pdb1	6c6lB1.pdb1	273.3
6c6lL1.pdb1	6c6lN1.pdb1	868.8
6c6lL1.pdb1	6c6lK1.pdb1	1793.35
6c6lC1.pdb1	6c6lD1.pdb1	1837.05
6c6lC1.pdb1	6c6lG1.pdb1	124.55
6c6lC1.pdb1	6c6lF1.pdb1	134.2
6c6lC1.pdb1	6c6lA1.pdb1	919.95
6c6lC1.pdb1	6c6lB1.pdb1	692.15
6c6lC1.pdb1	6c6lN1.pdb1	513.0
6c6lD1.pdb1	6c6lA1.pdb1	54.0
6c6lD1.pdb1	6c6lB1.pdb1	411.85
6c6lD1.pdb1	6c6lE1.pdb1	1815.45
6c6lM1.pdb1	6c6lO1.pdb1	199.4
6c6lM1.pdb1	6c6lA1.pdb1	2159.3
6c6lG1.pdb1	6c6lF1.pdb1	1776.0
6c6lG1.pdb1	6c6lH1.pdb1	1710.4
6c6lJ1.pdb1	6c6lA1.pdb1	152.85
6c6lJ1.pdb1	6c6lI1.pdb1	1727.05
6c6lJ1.pdb1	6c6lK1.pdb1	1780.9
6c6lF1.pdb1	6c6lB1.pdb1	83.45
6c6lF1.pdb1	6c6lE1.pdb1	1804.0
6c6lH1.pdb1	6c6lI1.pdb1	1756.9
6c6lO1.pdb1	6c6lA1.pdb1	869.7
6c6lA1.pdb1	6c6lB1.pdb1	947.45
6c6lA1.pdb1	6c6lN1.pdb1	91.1
6c6lA1.pdb1	6c6lI1.pdb1	46.9
6c6lA1.pdb1	6c6lK1.pdb1	118.35
6c6lB1.pdb1	6c6lN1.pdb1	556.65
6c6lB1.pdb1	6c6lE1.pdb1	25.2
6c6lN1.pdb1	6c6lK1.pdb1	468.15
5c6hN1.pdb8	5c6hM1.pdb8	1052.45
3c6eA1.pdb1	3c6eC1.pdb1	766.15
2c63R1.pdb2	2c63C1.pdb2	270.5
2c63C1.pdb2	2c63D1.pdb2	890.1
2c63D1.pdb2	2c63S1.pdb2	270.65
5c6hC1.pdb3	5c6hD1.pdb3	968.4
4c6iA1.pdb1	4c6iA2.pdb1	1047.8
5c6xA1.pdb2	5c6xA2.pdb2	1502.4
6c6bF1.pdb2	6c6bC1.pdb2	1937.7
4c6fA2.pdb1	4c6fA1.pdb1	1043.9
5c6dC1.pdb1	5c6dA1.pdb1	545.05
6c6dA1.pdb1	6c6dM1.pdb1	212.0
6c6dA1.pdb1	6c6dL1.pdb1	0.05
6c6dA1.pdb1	6c6dB1.pdb1	695.8
6c6dA1.pdb1	6c6dN1.pdb1	644.8
6c6dA1.pdb1	6c6dC1.pdb1	604.55
6c6dM1.pdb1	6c6dO1.pdb1	635.35
6c6dM1.pdb1	6c6dL1.pdb1	0.05
6c6dM1.pdb1	6c6dB1.pdb1	597.85
6c6dM1.pdb1	6c6dN1.pdb1	652.85
6c6dS1.pdb1	6c6dT1.pdb1	612.75
6c6dS1.pdb1	6c6dL1.pdb1	188.45
6c6dS1.pdb1	6c6dK1.pdb1	615.95
6c6dO1.pdb1	6c6dL1.pdb1	0.05
6c6dO1.pdb1	6c6dP1.pdb1	668.45
6c6dO1.pdb1	6c6dQ1.pdb1	629.65
6c6dO1.pdb1	6c6dN1.pdb1	161.3
6c6dT1.pdb1	6c6dL1.pdb1	599.35
6c6dI1.pdb1	6c6dL1.pdb1	0.05
6c6dI1.pdb1	6c6dH1.pdb1	212.4
6c6dI1.pdb1	6c6dK1.pdb1	656.75
6c6dI1.pdb1	6c6dJ1.pdb1	629.0
6c6dI1.pdb1	6c6dG1.pdb1	603.3
6c6dR1.pdb1	6c6dP1.pdb1	681.0
6c6dR1.pdb1	6c6dQ1.pdb1	664.6
6c6dL1.pdb1	6c6dK1.pdb1	744.05
6c6dL1.pdb1	6c6dJ1.pdb1	633.85
6c6dP1.pdb1	6c6dQ1.pdb1	192.0
6c6dP1.pdb1	6c6dN1.pdb1	623.0
6c6dB1.pdb1	6c6dD1.pdb1	631.85
6c6dB1.pdb1	6c6dN1.pdb1	1.8
6c6dB1.pdb1	6c6dC1.pdb1	175.8
6c6dH1.pdb1	6c6dJ1.pdb1	610.85
6c6dH1.pdb1	6c6dG1.pdb1	672.1
6c6dH1.pdb1	6c6dF1.pdb1	641.8
6c6dK1.pdb1	6c6dJ1.pdb1	109.95
6c6dD1.pdb1	6c6dE1.pdb1	167.8
6c6dD1.pdb1	6c6dF1.pdb1	616.5
6c6dD1.pdb1	6c6dC1.pdb1	651.45
6c6dE1.pdb1	6c6dG1.pdb1	568.15
6c6dE1.pdb1	6c6dF1.pdb1	649.7
6c6dE1.pdb1	6c6dC1.pdb1	672.95
6c6dG1.pdb1	6c6dF1.pdb1	186.25
6c62B2.pdb1	6c62C2.pdb1	1559.6
6c62B2.pdb1	6c62A1.pdb1	657.85
6c62B2.pdb1	6c62D1.pdb1	977.85
6c62C2.pdb1	6c62A1.pdb1	988.05
6c62C2.pdb1	6c62D1.pdb1	599.75
6c62A1.pdb1	6c62D1.pdb1	1511.65
2c66B1.pdb1	2c66A1.pdb1	2073.8
4c6tB1.pdb1	4c6tA1.pdb1	710.65
3c6nB1.pdb1	3c6nA1.pdb1	1523.45
2c65B1.pdb1	2c65A1.pdb1	2070.35
4c6wB1.pdb1	4c6wA1.pdb1	3300.9
3c62C1.pdb1	3c62B1.pdb1	542.1
3c62C1.pdb1	3c62D1.pdb1	528.35
3c62C1.pdb1	3c62A1.pdb1	75.9
3c62B1.pdb1	3c62D1.pdb1	79.25
3c62B1.pdb1	3c62A1.pdb1	615.35
3c62D1.pdb1	3c62A1.pdb1	603.4
5c6kA1.pdb1	5c6kB1.pdb1	1975.9
6c6aA1.pdb1	6c6aB1.pdb1	1196.55
3c6oA1.pdb1	3c6oB1.pdb1	1572.85
6c68B1.pdb1	6c68A1.pdb1	2179.6
5c6dB1.pdb2	5c6dD1.pdb2	562.4
3c6sB1.pdb1	3c6sA1.pdb1	1538.9
5c6mD1.pdb2	5c6mC1.pdb2	590.85
2c63B1.pdb1	2c63Q1.pdb1	268.5
2c63B1.pdb1	2c63A1.pdb1	873.2
2c63A1.pdb1	2c63P1.pdb1	277.0
3c6zA2.pdb1	3c6zA1.pdb1	876.4
4c6vA1.pdb1	4c6vA2.pdb1	3131.7
3c60G1.pdb1	3c60D1.pdb1	100.25
3c60G1.pdb1	3c60H1.pdb1	2887.6
3c60G1.pdb1	3c60E1.pdb1	74.35
3c60G1.pdb1	3c60F1.pdb1	370.8
3c60A1.pdb1	3c60B1.pdb1	1991.15
3c60A1.pdb1	3c60D1.pdb1	227.0
3c60A1.pdb1	3c60C1.pdb1	68.05
3c60B1.pdb1	3c60D1.pdb1	184.4
3c60B1.pdb1	3c60C1.pdb1	373.55
3c60D1.pdb1	3c60H1.pdb1	733.05
3c60D1.pdb1	3c60C1.pdb1	2908.65
3c60H1.pdb1	3c60E1.pdb1	213.65
3c60H1.pdb1	3c60C1.pdb1	91.9
3c60H1.pdb1	3c60F1.pdb1	185.35
3c60E1.pdb1	3c60F1.pdb1	1987.95
4c6pA1.pdb1	4c6pA2.pdb1	1016.2
4c6dA1.pdb1	4c6dA2.pdb1	1023.2
6c6xF1.pdb3	6c6xE1.pdb3	1584.2
4c6sA1.pdb1	4c6sA2.pdb1	602.65
5c6hL1.pdb7	5c6hK1.pdb7	984.6
6c6xA1.pdb1	6c6xB1.pdb1	1600.45
3c61B1.pdb1	3c61A1.pdb1	2340.75
2c6tD1.pdb2	2c6tC1.pdb2	1604.4
3c6sF1.pdb3	3c6sE1.pdb3	1608.15
3c6mB1.pdb1	3c6mA1.pdb1	2384.65
6c6rA1.pdb1	6c6rB1.pdb1	1184.0
5c6mB1.pdb1	5c6mA1.pdb1	638.9
4c6jA1.pdb1	4c6jA2.pdb1	1048.9
5c6gA1.pdb1	5c6gB1.pdb1	6062.85
4c6bA1.pdb1	4c6bA2.pdb1	951.2
6c6bD1.pdb3	6c6bE1.pdb3	1555.35
2c67A1.pdb1	2c67B1.pdb1	2069.45
2c6cA2.pdb1	2c6cA1.pdb1	2317.3
4c6kA1.pdb1	4c6kA2.pdb1	1048.9
3c6xA2.pdb1	3c6xA1.pdb1	859.7
3c6kB1.pdb1	3c6kA1.pdb1	2307.6
3c6yA2.pdb1	3c6yA1.pdb1	891.7
4c6gC1.pdb1	4c6gD1.pdb1	3456.45
4c6gC1.pdb1	4c6gB1.pdb1	1058.15
4c6gC1.pdb1	4c6gA1.pdb1	3329.8
4c6gD1.pdb1	4c6gB1.pdb1	3358.6
4c6gD1.pdb1	4c6gA1.pdb1	1166.6
4c6gB1.pdb1	4c6gA1.pdb1	3501.95
4c6uA1.pdb1	4c6uA2.pdb1	3196.8
3c64A2.pdb1	3c64A1.pdb1	2259.15
5c6wJ1.pdb1	5c6wH1.pdb1	977.2
3c6fC1.pdb1	3c6fB1.pdb1	945.85
3c6fC1.pdb1	3c6fA1.pdb1	1134.5
3c6fC1.pdb1	3c6fD1.pdb1	949.2
3c6fB1.pdb1	3c6fA1.pdb1	950.65
3c6fB1.pdb1	3c6fD1.pdb1	1256.9
3c6fA1.pdb1	3c6fD1.pdb1	957.9
2c64B1.pdb1	2c64A1.pdb1	2035.4
3c63D1.pdb1	3c63B1.pdb1	78.6
3c63D1.pdb1	3c63C1.pdb1	529.4
3c63D1.pdb1	3c63A1.pdb1	498.25
3c63B1.pdb1	3c63C1.pdb1	465.8
3c63B1.pdb1	3c63A1.pdb1	606.65
3c63C1.pdb1	3c63A1.pdb1	82.6
3c6mD1.pdb2	3c6mC1.pdb2	1817.25
4c6eA1.pdb1	4c6eA2.pdb1	1032.8
6c6nA1.pdb1	6c6nB1.pdb1	1201.35
6c6cA1.pdb1	6c6cB1.pdb1	1153.55
5c6tL2.pdb1	5c6tH2.pdb1	779.5
5c6tL2.pdb1	5c6tA2.pdb1	78.7
5c6tH1.pdb1	5c6tL1.pdb1	776.95
5c6tH1.pdb1	5c6tA3.pdb1	23.35
5c6tH1.pdb1	5c6tA1.pdb1	641.85
5c6tH3.pdb1	5c6tA2.pdb1	23.25
5c6tH3.pdb1	5c6tL3.pdb1	778.3
5c6tH3.pdb1	5c6tA3.pdb1	642.4
5c6tH2.pdb1	5c6tA2.pdb1	643.05
5c6tH2.pdb1	5c6tA1.pdb1	23.0
5c6tL1.pdb1	5c6tA1.pdb1	78.9
5c6tA2.pdb1	5c6tA3.pdb1	5774.0
5c6tA2.pdb1	5c6tA1.pdb1	5781.6
5c6tL3.pdb1	5c6tA3.pdb1	78.55
5c6tA3.pdb1	5c6tA1.pdb1	5783.25
4c60H1.pdb1	4c60E2.pdb1	458.0
4c60H1.pdb1	4c60F2.pdb1	997.15
4c60H1.pdb1	4c60H2.pdb1	10.2
4c60H1.pdb1	4c60F1.pdb1	990.05
4c60H1.pdb1	4c60G1.pdb1	1882.6
4c60H1.pdb1	4c60E1.pdb1	2.2
4c60E2.pdb1	4c60F2.pdb1	1907.85
4c60E2.pdb1	4c60H2.pdb1	2.2
4c60E2.pdb1	4c60G2.pdb1	990.9
4c60E2.pdb1	4c60G1.pdb1	991.2
4c60E2.pdb1	4c60E1.pdb1	18.8
4c60F2.pdb1	4c60H2.pdb1	990.05
4c60F2.pdb1	4c60G2.pdb1	492.8
4c60F2.pdb1	4c60F1.pdb1	10.6
4c60F2.pdb1	4c60G1.pdb1	1.9
4c60H2.pdb1	4c60G2.pdb1	1882.6
4c60H2.pdb1	4c60F1.pdb1	997.15
4c60H2.pdb1	4c60E1.pdb1	458.0
4c60G2.pdb1	4c60F1.pdb1	1.9
4c60G2.pdb1	4c60G1.pdb1	12.2
4c60G2.pdb1	4c60E1.pdb1	991.25
4c60F1.pdb1	4c60G1.pdb1	492.8
4c60F1.pdb1	4c60E1.pdb1	1907.95
4c60G1.pdb1	4c60E1.pdb1	990.95
6c6gC2.pdb1	6c6gA1.pdb1	992.2
6c6gC2.pdb1	6c6gD1.pdb1	557.45
6c6gC2.pdb1	6c6gB2.pdb1	1546.2
6c6gA1.pdb1	6c6gD1.pdb1	1543.7
6c6gA1.pdb1	6c6gB2.pdb1	658.5
6c6gD1.pdb1	6c6gB2.pdb1	977.75
6c69B1.pdb1	6c69A1.pdb1	1210.5
6c6jA1.pdb1	6c6jB1.pdb1	1191.15
5c6hO1.pdb9	5c6hP1.pdb9	961.75
2c6xD1.pdb2	2c6xC1.pdb2	3468.65
3c6pB1.pdb1	3c6pA1.pdb1	1555.9
3c6sG1.pdb4	3c6sH1.pdb4	1549.45
6c6xD1.pdb2	6c6xC1.pdb2	1549.55
4c6qA2.pdb1	4c6qA1.pdb1	1043.7
2c6gA1.pdb1	2c6gA2.pdb1	2363.5
5c6gD1.pdb2	5c6gC1.pdb2	5916.45
2c61A1.pdb1	2c61B1.pdb1	2312.0
6c6pA1.pdb1	6c6pB1.pdb1	1187.65
3c6lA1.pdb1	3c6lC1.pdb1	104.25
3c6lA1.pdb1	3c6lB1.pdb1	2071.4
3c6lA1.pdb1	3c6lD1.pdb1	354.35
3c6lF1.pdb1	3c6lE1.pdb1	2069.7
3c6lF1.pdb1	3c6lH1.pdb1	278.3
3c6lF1.pdb1	3c6lG1.pdb1	335.85
3c6lC1.pdb1	3c6lB1.pdb1	331.95
3c6lC1.pdb1	3c6lH1.pdb1	322.95
3c6lC1.pdb1	3c6lD1.pdb1	2847.85
3c6lB1.pdb1	3c6lD1.pdb1	299.9
3c6lE1.pdb1	3c6lH1.pdb1	362.05
3c6lE1.pdb1	3c6lG1.pdb1	103.3
3c6lH1.pdb1	3c6lG1.pdb1	2861.7
3c6lH1.pdb1	3c6lD1.pdb1	1009.5
3c6lG1.pdb1	3c6lD1.pdb1	292.2
4c6xA1.pdb1	4c6xB1.pdb1	3276.05
4c6nA2.pdb1	4c6nA1.pdb1	978.5
3c6tB1.pdb1	3c6tA1.pdb1	2646.65
3c6wC1.pdb2	3c6wD1.pdb2	541.4
4c6cA2.pdb1	4c6cA1.pdb1	1013.15
5c6qA1.pdb1	5c6qA4.pdb1	597.3
5c6qA1.pdb1	5c6qA2.pdb1	1961.6
5c6qA4.pdb1	5c6qA3.pdb1	1961.6
5c6qA2.pdb1	5c6qA3.pdb1	597.3
4c6mA1.pdb1	4c6mA2.pdb1	1033.75
2c6qD1.pdb1	2c6qC1.pdb1	1278.1
2c6qD1.pdb1	2c6qB1.pdb1	1298.05
2c6qC1.pdb1	2c6qA1.pdb1	1277.0
2c6qB1.pdb1	2c6qA1.pdb1	1370.05
5c6hA1.pdb2	5c6hB1.pdb2	1036.65
6c6zD1.pdb1	6c6zC1.pdb1	1637.7
6c6zD1.pdb1	6c6zA1.pdb1	139.4
6c6zC1.pdb1	6c6zA1.pdb1	793.55
6c68C1.pdb2	6c68D1.pdb2	2138.55
6c6zL1.pdb2	6c6zB1.pdb2	131.0
6c6zL1.pdb2	6c6zH1.pdb2	1668.15
6c6zB1.pdb2	6c6zH1.pdb2	790.65
3c6wB1.pdb1	3c6wA1.pdb1	405.8
4c6zB1.pdb1	4c6zA1.pdb1	3210.95
3c66A1.pdb1	3c66C1.pdb1	882.9
6c6yA1.pdb1	6c6yS1.pdb1	431.95
6c6yA1.pdb1	6c6yB1.pdb1	1622.1
6c6yS1.pdb1	6c6yB1.pdb1	525.25
4c6oA1.pdb1	4c6oA2.pdb1	1019.7
3c6kC1.pdb2	3c6kD1.pdb2	2366.0
3c6uA1.pdb1	3c6uB1.pdb1	2587.4
6c62A2.pdb2	6c62D2.pdb2	1511.6
6c62A2.pdb2	6c62D1.pdb2	266.45
6c62A2.pdb2	6c62C4.pdb2	988.05
6c62A2.pdb2	6c62B4.pdb2	657.85
6c62C3.pdb2	6c62B3.pdb2	1559.6
6c62C3.pdb2	6c62D1.pdb2	599.75
6c62C3.pdb2	6c62A1.pdb2	988.05
6c62D2.pdb2	6c62D1.pdb2	248.5
6c62D2.pdb2	6c62C4.pdb2	599.75
6c62D2.pdb2	6c62A1.pdb2	266.45
6c62D2.pdb2	6c62B4.pdb2	977.85
