1axsL1.pdb1	1axsH1.pdb1	1638.7
2axuL1.pdb2	2axuD1.pdb2	547.05
2axuL1.pdb2	2axuK1.pdb2	2581.5
2axfC1.pdb1	2axfA1.pdb1	849.0
2axfB1.pdb1	2axfA1.pdb1	1243.15
2axbA1.pdb1	2axbB1.pdb1	493.6
3ax7A1.pdb1	3ax7B1.pdb1	2969.55
3ax3H1.pdb4	3ax3G1.pdb4	464.6
3ax5D1.pdb2	3ax5C1.pdb2	458.65
4ax3A2.pdb2	4ax3A3.pdb2	2340.6
4ax3A2.pdb2	4ax3A1.pdb2	2336.65
4ax3A3.pdb2	4ax3A1.pdb2	2335.65
3axmT1.pdb1	3axmV1.pdb1	389.6
3axmT1.pdb1	3axmA1.pdb1	9.05
3axmT1.pdb1	3axmB1.pdb1	1812.7
3axmT1.pdb1	3axmH1.pdb1	989.1
3axmT1.pdb1	3axmZ1.pdb1	392.0
3axmT1.pdb1	3axmG1.pdb1	438.05
3axmV1.pdb1	3axmA1.pdb1	424.35
3axmV1.pdb1	3axmC1.pdb1	9.1
3axmV1.pdb1	3axmB1.pdb1	981.8
3axmV1.pdb1	3axmD1.pdb1	1809.7
3axmV1.pdb1	3axmX1.pdb1	392.75
3axmU1.pdb1	3axmF1.pdb1	423.8
3axmU1.pdb1	3axmC1.pdb1	1813.6
3axmU1.pdb1	3axmW1.pdb1	393.4
3axmU1.pdb1	3axmS1.pdb1	386.55
3axmU1.pdb1	3axmD1.pdb1	8.05
3axmU1.pdb1	3axmE1.pdb1	961.35
3axmA1.pdb1	3axmC1.pdb1	515.95
3axmA1.pdb1	3axmB1.pdb1	3761.4
3axmA1.pdb1	3axmS1.pdb1	1807.95
3axmA1.pdb1	3axmG1.pdb1	516.0
3axmA1.pdb1	3axmD1.pdb1	482.95
3axmA1.pdb1	3axmY1.pdb1	984.75
3axmF1.pdb1	3axmC1.pdb1	458.5
3axmF1.pdb1	3axmH1.pdb1	513.25
3axmF1.pdb1	3axmW1.pdb1	6.05
3axmF1.pdb1	3axmZ1.pdb1	965.6
3axmF1.pdb1	3axmD1.pdb1	511.85
3axmF1.pdb1	3axmE1.pdb1	3755.65
3axmF1.pdb1	3axmX1.pdb1	1813.0
3axmC1.pdb1	3axmS1.pdb1	984.65
3axmC1.pdb1	3axmD1.pdb1	3757.6
3axmC1.pdb1	3axmE1.pdb1	509.85
3axmC1.pdb1	3axmX1.pdb1	417.3
3axmB1.pdb1	3axmH1.pdb1	514.45
3axmB1.pdb1	3axmS1.pdb1	7.7
3axmB1.pdb1	3axmG1.pdb1	447.15
3axmB1.pdb1	3axmD1.pdb1	514.8
3axmB1.pdb1	3axmY1.pdb1	444.7
3axmH1.pdb1	3axmW1.pdb1	420.3
3axmH1.pdb1	3axmZ1.pdb1	1811.1
3axmH1.pdb1	3axmG1.pdb1	3728.4
3axmH1.pdb1	3axmY1.pdb1	9.65
3axmH1.pdb1	3axmE1.pdb1	475.3
3axmW1.pdb1	3axmG1.pdb1	979.8
3axmW1.pdb1	3axmY1.pdb1	388.85
3axmW1.pdb1	3axmE1.pdb1	1808.75
3axmZ1.pdb1	3axmG1.pdb1	10.25
3axmZ1.pdb1	3axmE1.pdb1	424.5
3axmZ1.pdb1	3axmX1.pdb1	393.25
3axmS1.pdb1	3axmD1.pdb1	421.7
3axmS1.pdb1	3axmY1.pdb1	394.3
3axmG1.pdb1	3axmY1.pdb1	1823.65
3axmG1.pdb1	3axmE1.pdb1	509.15
3axmD1.pdb1	3axmX1.pdb1	977.7
3axmE1.pdb1	3axmX1.pdb1	9.85
3axjB1.pdb1	3axjA1.pdb1	2005.25
1ax4D1.pdb1	1ax4B1.pdb1	1709.9
1ax4D1.pdb1	1ax4A1.pdb1	374.55
1ax4D1.pdb1	1ax4C1.pdb1	2198.45
1ax4B1.pdb1	1ax4A1.pdb1	2190.25
1ax4B1.pdb1	1ax4C1.pdb1	376.0
1ax4A1.pdb1	1ax4C1.pdb1	1688.8
1axgD1.pdb2	1axgC1.pdb2	1697.05
3axgE1.pdb2	3axgF1.pdb2	1424.65
3axgE1.pdb2	3axgG1.pdb2	3158.75
3axgE1.pdb2	3axgH1.pdb2	36.45
3axgF1.pdb2	3axgG1.pdb2	78.55
3axgF1.pdb2	3axgH1.pdb2	3121.65
3axgG1.pdb2	3axgH1.pdb2	1443.55
3ax4A2.pdb1	3ax4A3.pdb1	1027.2
3ax4A2.pdb1	3ax4A1.pdb1	48.9
3ax4A3.pdb1	3ax4A4.pdb1	48.9
3ax4A4.pdb1	3ax4A1.pdb1	1027.2
1axcC1.pdb1	1axcE1.pdb1	693.7
1axcC1.pdb1	1axcD1.pdb1	1093.45
1axcC1.pdb1	1axcA1.pdb1	684.2
1axcE1.pdb1	1axcF1.pdb1	1084.8
1axcE1.pdb1	1axcA1.pdb1	698.65
1axcB1.pdb1	1axcA1.pdb1	1085.35
6axzA5.pdb1	6axzA9.pdb1	4.7
6axzA5.pdb1	6axzA4.pdb1	452.5
6axzA5.pdb1	6axzA10.pdb1	211.95
6axzA2.pdb1	6axzA7.pdb1	211.95
6axzA2.pdb1	6axzA9.pdb1	11.35
6axzA2.pdb1	6axzA8.pdb1	208.65
6axzA2.pdb1	6axzA1.pdb1	452.5
6axzA2.pdb1	6axzA6.pdb1	4.7
6axzA2.pdb1	6axzA3.pdb1	452.5
6axzA7.pdb1	6axzA8.pdb1	452.5
6axzA7.pdb1	6axzA1.pdb1	208.65
6axzA7.pdb1	6axzA6.pdb1	452.5
6axzA7.pdb1	6axzA3.pdb1	4.7
6axzA9.pdb1	6axzA8.pdb1	452.5
6axzA9.pdb1	6axzA4.pdb1	211.95
6axzA9.pdb1	6axzA10.pdb1	452.5
6axzA9.pdb1	6axzA3.pdb1	208.65
6axzA8.pdb1	6axzA1.pdb1	11.35
6axzA8.pdb1	6axzA4.pdb1	4.7
6axzA8.pdb1	6axzA3.pdb1	211.95
6axzA1.pdb1	6axzA6.pdb1	211.95
6axzA4.pdb1	6axzA10.pdb1	208.65
6axzA4.pdb1	6axzA3.pdb1	452.5
6axzA10.pdb1	6axzA3.pdb1	11.35
3ax2C1.pdb2	3ax2D1.pdb2	533.9
4ax2A1.pdb1	4ax2A2.pdb1	1994.95
4axgB1.pdb2	4axgD1.pdb2	482.95
2axyA1.pdb1	2axyE1.pdb1	531.8
2axyA1.pdb1	2axyB1.pdb1	952.7
2axyB1.pdb1	2axyF1.pdb1	530.25
5axfA1.pdb1	5axfB1.pdb1	481.55
6axaA1.pdb1	6axaA2.pdb1	1232.25
6axaA1.pdb1	6axaA3.pdb1	1230.7
6axaA2.pdb1	6axaA3.pdb1	1232.0
3ax6B1.pdb1	3ax6A1.pdb1	1296.9
4axjB1.pdb1	4axjA1.pdb1	865.85
4axjB1.pdb1	4axjC1.pdb1	902.0
4axjB2.pdb1	4axjA2.pdb1	865.85
4axjB2.pdb1	4axjC2.pdb1	902.0
4axjA2.pdb1	4axjC1.pdb1	874.6
4axjA1.pdb1	4axjC2.pdb1	874.6
6axjD2.pdb4	6axjD3.pdb4	711.85
6axjD2.pdb4	6axjH2.pdb4	214.8
6axjD2.pdb4	6axjD1.pdb4	711.8
6axjH3.pdb4	6axjD3.pdb4	214.8
6axjD3.pdb4	6axjD1.pdb4	711.85
6axjH1.pdb4	6axjD1.pdb4	214.8
4axoA1.pdb1	4axoB1.pdb1	1754.45
4axvA1.pdb2	4axvA2.pdb2	858.5
3ax3C1.pdb2	3ax3D1.pdb2	508.2
2ax4A1.pdb1	2ax4B1.pdb1	1661.7
6axfM1.pdb7	6axfN1.pdb7	1545.95
2axqA1.pdb1	2axqA2.pdb1	1099.2
5axeB1.pdb1	5axeA1.pdb1	487.25
2axzA1.pdb1	2axzB1.pdb1	2982.2
2axzA1.pdb1	2axzF1.pdb1	27.2
2axzA1.pdb1	2axzE1.pdb1	840.35
2axzB1.pdb1	2axzF1.pdb1	828.9
2axzB1.pdb1	2axzE1.pdb1	27.95
6axlC1.pdb2	6axlD1.pdb2	1684.45
6axlD1.pdb2	6axlI1.pdb2	261.0
5axwC1.pdb1	5axwD1.pdb1	359.05
5axwC1.pdb1	5axwA1.pdb1	1552.5
5axwC1.pdb1	5axwB1.pdb1	995.1
5axwD1.pdb1	5axwA1.pdb1	677.45
5axwA1.pdb1	5axwB1.pdb1	4932.55
6axrA3.pdb1	6axrA1.pdb1	12.55
6axrA3.pdb1	6axrA4.pdb1	1115.2
6axrA3.pdb1	6axrA2.pdb1	12.5
6axrA3.pdb1	6axrA6.pdb1	5.4
6axrA3.pdb1	6axrA5.pdb1	1115.2
6axrA1.pdb1	6axrA4.pdb1	5.5
6axrA1.pdb1	6axrA2.pdb1	12.6
6axrA1.pdb1	6axrA6.pdb1	1115.2
6axrA1.pdb1	6axrA5.pdb1	1115.25
6axrA4.pdb1	6axrA2.pdb1	1115.25
6axrA4.pdb1	6axrA6.pdb1	12.55
6axrA4.pdb1	6axrA5.pdb1	12.6
6axrA2.pdb1	6axrA6.pdb1	1115.2
6axrA2.pdb1	6axrA5.pdb1	5.4
6axrA6.pdb1	6axrA5.pdb1	12.5
6axgH1.pdb4	6axgG1.pdb4	1673.8
3ax2H1.pdb4	3ax2G1.pdb4	481.4
2ax3B7.pdb1	2ax3A7.pdb1	400.6
2ax3B7.pdb1	2ax3A3.pdb1	263.6
2ax3B5.pdb1	2ax3A2.pdb1	263.6
2ax3B5.pdb1	2ax3A5.pdb1	400.6
2ax3A7.pdb1	2ax3A3.pdb1	949.1
2ax3A7.pdb1	2ax3A6.pdb1	1470.8
2ax3A7.pdb1	2ax3A5.pdb1	1470.8
2ax3A7.pdb1	2ax3B3.pdb1	263.6
2ax3A3.pdb1	2ax3A2.pdb1	1470.8
2ax3A3.pdb1	2ax3B3.pdb1	400.6
2ax3A3.pdb1	2ax3A1.pdb1	1470.8
2ax3A2.pdb1	2ax3A5.pdb1	949.1
2ax3A2.pdb1	2ax3B2.pdb1	400.6
2ax3A2.pdb1	2ax3A4.pdb1	1470.8
2ax3B8.pdb1	2ax3A8.pdb1	400.6
2ax3B8.pdb1	2ax3A4.pdb1	263.6
2ax3A6.pdb1	2ax3B6.pdb1	400.6
2ax3A6.pdb1	2ax3B1.pdb1	263.6
2ax3A6.pdb1	2ax3A8.pdb1	1470.8
2ax3A6.pdb1	2ax3A1.pdb1	949.1
2ax3B6.pdb1	2ax3A1.pdb1	263.6
2ax3B4.pdb1	2ax3A8.pdb1	263.6
2ax3B4.pdb1	2ax3A4.pdb1	400.6
2ax3A5.pdb1	2ax3A8.pdb1	1470.8
2ax3A5.pdb1	2ax3B2.pdb1	263.6
2ax3B1.pdb1	2ax3A1.pdb1	400.6
2ax3A8.pdb1	2ax3A4.pdb1	949.1
2ax3A4.pdb1	2ax3A1.pdb1	1470.8
2ax3B1.pdb2	2ax3A1.pdb2	387.05
1axyA2.pdb1	1axyA1.pdb1	799.0
5ax8A1.pdb1	5ax8C1.pdb1	3149.2
1axsB1.pdb2	1axsA1.pdb2	1677.45
2axhA6.pdb2	2axhB4.pdb2	382.7
2axhA6.pdb2	2axhA1.pdb2	674.1
2axhA6.pdb2	2axhA5.pdb2	55.15
2axhA6.pdb2	2axhA4.pdb2	55.2
2axhA6.pdb2	2axhB6.pdb2	1624.0
2axhA6.pdb2	2axhA2.pdb2	40.75
2axhA6.pdb2	2axhB2.pdb2	832.2
2axhA3.pdb2	2axhB1.pdb2	382.7
2axhA3.pdb2	2axhA1.pdb2	55.2
2axhA3.pdb2	2axhA5.pdb2	40.7
2axhA3.pdb2	2axhB3.pdb2	1623.95
2axhA3.pdb2	2axhB5.pdb2	832.2
2axhA3.pdb2	2axhA4.pdb2	674.15
2axhA3.pdb2	2axhA2.pdb2	55.2
2axhB4.pdb2	2axhB1.pdb2	30.8
2axhB4.pdb2	2axhA1.pdb2	832.3
2axhB4.pdb2	2axhA4.pdb2	1624.0
2axhB1.pdb2	2axhA1.pdb2	1623.9
2axhB1.pdb2	2axhA4.pdb2	832.3
2axhA1.pdb2	2axhA4.pdb2	40.7
2axhA1.pdb2	2axhA2.pdb2	55.2
2axhA1.pdb2	2axhB2.pdb2	382.65
2axhA5.pdb2	2axhB3.pdb2	832.3
2axhA5.pdb2	2axhB5.pdb2	1623.95
2axhA5.pdb2	2axhA4.pdb2	55.25
2axhA5.pdb2	2axhB6.pdb2	382.65
2axhA5.pdb2	2axhA2.pdb2	674.2
2axhB3.pdb2	2axhB5.pdb2	30.8
2axhB3.pdb2	2axhA2.pdb2	382.65
2axhB5.pdb2	2axhA4.pdb2	382.65
2axhB6.pdb2	2axhA2.pdb2	832.3
2axhB6.pdb2	2axhB2.pdb2	30.8
2axhA2.pdb2	2axhB2.pdb2	1623.95
3axsA1.pdb1	3axsA2.pdb1	1502.8
2axpA1.pdb1	2axpB1.pdb1	956.0
5axhA1.pdb1	5axhB1.pdb1	1137.95
2axoA1.pdb1	2axoA2.pdb1	763.1
6axtA4.pdb1	6axtA6.pdb1	9.55
6axtA4.pdb1	6axtA2.pdb1	1129.25
6axtA4.pdb1	6axtA1.pdb1	0.3
6axtA4.pdb1	6axtA3.pdb1	1129.3
6axtA4.pdb1	6axtA5.pdb1	9.5
6axtA6.pdb1	6axtA2.pdb1	1129.25
6axtA6.pdb1	6axtA1.pdb1	1129.25
6axtA6.pdb1	6axtA3.pdb1	0.2
6axtA6.pdb1	6axtA5.pdb1	9.5
6axtA2.pdb1	6axtA1.pdb1	9.5
6axtA2.pdb1	6axtA3.pdb1	9.5
6axtA2.pdb1	6axtA5.pdb1	0.2
6axtA1.pdb1	6axtA3.pdb1	9.55
6axtA1.pdb1	6axtA5.pdb1	1129.25
6axtA3.pdb1	6axtA5.pdb1	1129.25
1axaA1.pdb1	1axaB1.pdb1	1830.9
2axiB3.pdb4	2axiA2.pdb4	121.4
2axiA2.pdb4	2axiA1.pdb4	140.5
2axiA1.pdb4	2axiB4.pdb4	121.4
5axgA1.pdb1	5axgB1.pdb1	1073.55
2axhA2.pdb4	2axhB4.pdb4	382.7
2axhA2.pdb4	2axhB3.pdb4	832.2
2axhA2.pdb4	2axhA1.pdb4	674.1
2axhB4.pdb4	2axhA1.pdb4	832.3
2axhB3.pdb4	2axhA1.pdb4	382.65
1axdD1.pdb1	1axdB1.pdb1	93.25
1axdB1.pdb1	1axdA1.pdb1	1415.65
1axdA1.pdb1	1axdC1.pdb1	97.4
3ax2A1.pdb1	3ax2B1.pdb1	526.45
4ax3D3.pdb4	4ax3D1.pdb4	2383.6
4ax3D3.pdb4	4ax3D2.pdb4	2381.35
4ax3D1.pdb4	4ax3D2.pdb4	2381.0
6axgI1.pdb5	6axgJ1.pdb5	1569.5
3axgM2.pdb4	3axgN2.pdb4	1446.2
3axgM2.pdb4	3axgM1.pdb4	60.4
3axgM2.pdb4	3axgN1.pdb4	3125.35
3axgN2.pdb4	3axgM1.pdb4	3125.35
3axgN2.pdb4	3axgN1.pdb4	46.6
3axgM1.pdb4	3axgN1.pdb4	1446.2
6axjB1.pdb5	6axjA2.pdb5	3.6
6axjB1.pdb5	6axjE1.pdb5	4.15
6axjB1.pdb5	6axjA1.pdb5	239.3
6axjB1.pdb5	6axjG1.pdb5	214.95
6axjB1.pdb5	6axjB3.pdb5	712.9
6axjB1.pdb5	6axjB2.pdb5	712.9
6axjA2.pdb5	6axjA1.pdb5	706.85
6axjA2.pdb5	6axjA3.pdb5	706.9
6axjA2.pdb5	6axjE2.pdb5	209.35
6axjA2.pdb5	6axjG2.pdb5	2.9
6axjA2.pdb5	6axjB2.pdb5	239.2
6axjE1.pdb5	6axjA1.pdb5	209.35
6axjA1.pdb5	6axjA3.pdb5	706.9
6axjA1.pdb5	6axjG1.pdb5	2.9
6axjA1.pdb5	6axjB3.pdb5	3.6
6axjA3.pdb5	6axjG3.pdb5	2.85
6axjA3.pdb5	6axjE3.pdb5	209.4
6axjA3.pdb5	6axjB3.pdb5	239.3
6axjA3.pdb5	6axjB2.pdb5	3.6
6axjG3.pdb5	6axjB3.pdb5	214.95
6axjE3.pdb5	6axjB3.pdb5	4.15
6axjE2.pdb5	6axjB2.pdb5	4.15
6axjG2.pdb5	6axjB2.pdb5	215.0
6axjB3.pdb5	6axjB2.pdb5	712.95
6axsA1.pdb1	6axsA6.pdb1	1118.7
6axsA1.pdb1	6axsA5.pdb1	1118.75
6axsA4.pdb1	6axsA2.pdb1	1118.75
6axsA4.pdb1	6axsA3.pdb1	1118.7
6axsA2.pdb1	6axsA6.pdb1	1118.7
6axsA5.pdb1	6axsA3.pdb1	1118.7
4axiA1.pdb1	4axiB1.pdb1	1528.65
4axiA1.pdb1	4axiA2.pdb1	211.3
4axiA1.pdb1	4axiA3.pdb1	211.25
4axiA1.pdb1	4axiB2.pdb1	259.8
4axiA1.pdb1	4axiB3.pdb1	1574.4
4axiB1.pdb1	4axiA2.pdb1	1574.4
4axiB1.pdb1	4axiA3.pdb1	259.8
4axiB1.pdb1	4axiB2.pdb1	177.15
4axiB1.pdb1	4axiB3.pdb1	177.15
4axiA2.pdb1	4axiA3.pdb1	211.3
4axiA2.pdb1	4axiB2.pdb1	1528.65
4axiA2.pdb1	4axiB3.pdb1	259.85
4axiA3.pdb1	4axiB2.pdb1	1574.35
4axiA3.pdb1	4axiB3.pdb1	1528.65
4axiB2.pdb1	4axiB3.pdb1	177.15
3axaA2.pdb1	3axaA1.pdb1	1072.5
3axaB2.pdb2	3axaB1.pdb2	1071.5
2axzC1.pdb2	2axzI1.pdb2	238.6
2axzC1.pdb2	2axzH1.pdb2	23.5
2axzC1.pdb2	2axzD1.pdb2	2816.65
2axzH1.pdb2	2axzD1.pdb2	866.35
4axyA1.pdb1	4axyB1.pdb1	575.35
4axyA1.pdb1	4axyC1.pdb1	523.1
4axyB1.pdb1	4axyC1.pdb1	599.55
5axkA1.pdb1	5axkB1.pdb1	1934.05
5axkA1.pdb1	5axkA2.pdb1	410.4
5axkA1.pdb1	5axkB2.pdb1	376.0
5axkB1.pdb1	5axkA2.pdb1	376.05
5axkB1.pdb1	5axkB2.pdb1	505.75
5axkA2.pdb1	5axkB2.pdb1	1934.05
3ax3F1.pdb3	3ax3E1.pdb3	503.3
4axgC1.pdb1	4axgA1.pdb1	1156.15
5axcA1.pdb1	5axcA2.pdb1	3062.2
5axcA1.pdb1	5axcC2.pdb1	456.85
5axcA1.pdb1	5axcC1.pdb1	1835.25
5axcA2.pdb1	5axcC2.pdb1	1835.25
5axcA2.pdb1	5axcC1.pdb1	456.85
5axcC2.pdb1	5axcC1.pdb1	3022.5
2axiB1.pdb2	2axiA1.pdb2	495.45
2axiA2.pdb2	2axiA1.pdb2	140.5
2axiA2.pdb2	2axiB2.pdb2	495.45
2axmB1.pdb1	2axmA1.pdb1	5.1
4axwA1.pdb1	4axwB1.pdb1	900.95
5axbC1.pdb1	5axbC2.pdb1	3110.7
5axbC1.pdb1	5axbA1.pdb1	1835.5
5axbC1.pdb1	5axbA2.pdb1	460.4
5axbC2.pdb1	5axbA1.pdb1	460.4
5axbC2.pdb1	5axbA2.pdb1	1835.5
5axbA1.pdb1	5axbA2.pdb1	3138.0
3axlH1.pdb2	3axlG1.pdb2	2063.3
3axlB1.pdb1	3axlA1.pdb1	2039.75
6axfI1.pdb5	6axfJ1.pdb5	1534.8
5axdC1.pdb1	5axdA1.pdb1	1826.5
5axdC1.pdb1	5axdA2.pdb1	471.35
5axdC1.pdb1	5axdC2.pdb1	3106.5
5axdA1.pdb1	5axdA2.pdb1	3112.5
5axdA1.pdb1	5axdC2.pdb1	471.35
5axdA2.pdb1	5axdC2.pdb1	1826.5
2axvA1.pdb1	2axvB1.pdb1	2786.5
2axvA1.pdb1	2axvC1.pdb1	497.65
2axvB1.pdb1	2axvD1.pdb1	488.75
2axvD1.pdb1	2axvC1.pdb1	2801.45
3axgI1.pdb3	3axgL1.pdb3	29.0
3axgI1.pdb3	3axgJ1.pdb3	1460.75
3axgI1.pdb3	3axgK1.pdb3	3118.2
3axgL1.pdb3	3axgJ1.pdb3	3139.45
3axgL1.pdb3	3axgK1.pdb3	1457.45
3axgJ1.pdb3	3axgK1.pdb3	51.05
1ax2A2.pdb1	1ax2A1.pdb1	804.6
4axbA5.pdb1	4axbA4.pdb1	538.8
4axbA5.pdb1	4axbA8.pdb1	344.3
4axbA5.pdb1	4axbA1.pdb1	474.1
4axbA5.pdb1	4axbA3.pdb1	474.1
4axbA4.pdb1	4axbA8.pdb1	474.1
4axbA4.pdb1	4axbA1.pdb1	344.3
4axbA4.pdb1	4axbA7.pdb1	474.1
4axbA6.pdb1	4axbA1.pdb1	474.1
4axbA6.pdb1	4axbA2.pdb1	538.8
4axbA6.pdb1	4axbA3.pdb1	474.1
4axbA6.pdb1	4axbA7.pdb1	344.3
4axbA8.pdb1	4axbA2.pdb1	474.1
4axbA8.pdb1	4axbA3.pdb1	538.8
4axbA1.pdb1	4axbA7.pdb1	538.8
4axbA2.pdb1	4axbA3.pdb1	344.3
4axbA2.pdb1	4axbA7.pdb1	474.1
4axvA2.pdb1	4axvA1.pdb1	2058.25
1ax0A1.pdb1	1ax0A2.pdb1	809.5
3ax0B1.pdb1	3ax0A1.pdb1	1105.65
5axsA21.pdb1	5axsA22.pdb1	21.7
5axsA21.pdb1	5axsA4.pdb1	1555.45
5axsA21.pdb1	5axsA13.pdb1	647.8
5axsA21.pdb1	5axsA6.pdb1	601.15
5axsA21.pdb1	5axsA5.pdb1	601.45
5axsA21.pdb1	5axsA17.pdb1	645.8
5axsA1.pdb1	5axsA22.pdb1	1555.45
5axsA1.pdb1	5axsA15.pdb1	604.0
