2q3bA2.pdb1	2q3bA1.pdb1	2053.4
1q3rB2.pdb1	1q3rD3.pdb1	5.4
1q3rC1.pdb1	1q3rB1.pdb1	0.75
1q3rC1.pdb1	1q3rA3.pdb1	11.45
1q3rC1.pdb1	1q3rC3.pdb1	45.5
1q3rC1.pdb1	1q3rA1.pdb1	779.9
1q3rC1.pdb1	1q3rB4.pdb1	1.3
1q3rC1.pdb1	1q3rC4.pdb1	45.5
1q3rC1.pdb1	1q3rD1.pdb1	2971.65
1q3rB1.pdb1	1q3rB3.pdb1	40.55
1q3rB1.pdb1	1q3rA3.pdb1	3034.2
1q3rB1.pdb1	1q3rC3.pdb1	1.3
1q3rB1.pdb1	1q3rA1.pdb1	3004.95
1q3rB1.pdb1	1q3rB4.pdb1	40.55
1q3rB1.pdb1	1q3rD1.pdb1	786.2
1q3rB3.pdb1	1q3rA3.pdb1	3004.95
1q3rB3.pdb1	1q3rA2.pdb1	3034.2
1q3rB3.pdb1	1q3rC3.pdb1	0.75
1q3rB3.pdb1	1q3rC2.pdb1	1.3
1q3rB3.pdb1	1q3rD3.pdb1	786.2
1q3rB3.pdb1	1q3rD1.pdb1	5.4
1q3rA3.pdb1	1q3rA2.pdb1	46.35
1q3rA3.pdb1	1q3rC3.pdb1	779.9
1q3rA3.pdb1	1q3rA1.pdb1	46.3
1q3rA3.pdb1	1q3rD1.pdb1	16.55
1q3rA2.pdb1	1q3rC3.pdb1	11.45
1q3rA2.pdb1	1q3rC2.pdb1	779.9
1q3rA2.pdb1	1q3rA4.pdb1	46.3
1q3rA2.pdb1	1q3rD3.pdb1	16.55
1q3rC3.pdb1	1q3rC2.pdb1	45.5
1q3rC3.pdb1	1q3rD3.pdb1	2971.65
1q3rC3.pdb1	1q3rD1.pdb1	2940.35
1q3rC2.pdb1	1q3rA4.pdb1	11.45
1q3rC2.pdb1	1q3rC4.pdb1	45.5
1q3rC2.pdb1	1q3rD2.pdb1	2971.7
1q3rC2.pdb1	1q3rD3.pdb1	2940.35
1q3rA1.pdb1	1q3rB4.pdb1	3034.2
1q3rA1.pdb1	1q3rA4.pdb1	46.3
1q3rA1.pdb1	1q3rC4.pdb1	11.45
1q3rB4.pdb1	1q3rA4.pdb1	3004.9
1q3rB4.pdb1	1q3rC4.pdb1	0.75
1q3rB4.pdb1	1q3rD2.pdb1	5.45
1q3rA4.pdb1	1q3rC4.pdb1	779.9
1q3rA4.pdb1	1q3rD2.pdb1	16.6
1q3rC4.pdb1	1q3rD2.pdb1	2940.4
1q3rD2.pdb1	1q3rD3.pdb1	42.85
1q3rD3.pdb1	1q3rD1.pdb1	42.8
4q33E1.pdb2	4q33G1.pdb2	2343.55
4q33E1.pdb2	4q33F1.pdb2	2300.15
4q33G1.pdb2	4q33H1.pdb2	2328.45
4q33H1.pdb2	4q33F1.pdb2	2270.85
1q3lA1.pdb1	1q3lP1.pdb1	397.85
2q3cB2.pdb1	2q3cA2.pdb1	460.25
2q3cA1.pdb1	2q3cB1.pdb1	460.25
2q3cA1.pdb1	2q3cA2.pdb1	2084.6
3q35B2.pdb1	3q35B1.pdb1	1252.3
3q35B2.pdb1	3q35A1.pdb1	430.55
3q35B2.pdb1	3q35A2.pdb1	1145.8
3q35B1.pdb1	3q35A1.pdb1	1145.8
3q35B1.pdb1	3q35A2.pdb1	430.55
3q35A1.pdb1	3q35A2.pdb1	448.0
4q34A1.pdb1	4q34A2.pdb1	2442.15
1q3kA1.pdb1	1q3kB1.pdb1	1910.5
1q3kA1.pdb1	1q3kF1.pdb1	1444.95
1q3kA1.pdb1	1q3kC1.pdb1	158.1
1q3kA1.pdb1	1q3kE1.pdb1	162.0
1q3kB1.pdb1	1q3kF1.pdb1	163.6
1q3kB1.pdb1	1q3kC1.pdb1	1431.15
1q3kB1.pdb1	1q3kD1.pdb1	160.75
1q3kF1.pdb1	1q3kD1.pdb1	167.6
1q3kF1.pdb1	1q3kE1.pdb1	1910.35
1q3kC1.pdb1	1q3kD1.pdb1	1903.95
1q3kC1.pdb1	1q3kE1.pdb1	160.9
1q3kD1.pdb1	1q3kE1.pdb1	1455.8
6q37A1.pdb1	6q37C1.pdb1	634.65
6q37A1.pdb1	6q37B1.pdb1	649.8
6q37C1.pdb1	6q37B1.pdb1	639.5
3q3jA1.pdb1	3q3jB1.pdb1	640.1
3q3jA1.pdb1	3q3jB2.pdb1	142.25
3q3jA4.pdb1	3q3jB4.pdb1	640.1
3q3jA4.pdb1	3q3jB3.pdb1	142.25
3q3jB4.pdb1	3q3jA3.pdb1	142.25
3q3jB4.pdb1	3q3jB1.pdb1	157.4
3q3jB4.pdb1	3q3jB2.pdb1	160.0
3q3jB4.pdb1	3q3jB3.pdb1	116.5
3q3jA3.pdb1	3q3jB3.pdb1	640.1
3q3jB1.pdb1	3q3jB2.pdb1	116.5
3q3jB1.pdb1	3q3jB3.pdb1	160.0
3q3jB1.pdb1	3q3jA2.pdb1	142.25
3q3jB2.pdb1	3q3jB3.pdb1	157.4
3q3jB2.pdb1	3q3jA2.pdb1	640.1
4q33A1.pdb1	4q33C1.pdb1	2343.8
4q33A1.pdb1	4q33B1.pdb1	2258.1
4q33C1.pdb1	4q33D1.pdb1	2353.2
4q33B1.pdb1	4q33D1.pdb1	2293.8
4q30B1.pdb1	4q30D1.pdb1	782.55
1q3qD2.pdb3	1q3qD3.pdb3	38.5
1q3qD2.pdb3	1q3qC4.pdb3	2841.0
1q3qD2.pdb3	1q3qC2.pdb3	3036.5
1q3qD2.pdb3	1q3qD4.pdb3	38.55
1q3qD3.pdb3	1q3qC2.pdb3	2841.0
1q3qD3.pdb3	1q3qC3.pdb3	3036.45
1q3qD3.pdb3	1q3qD1.pdb3	38.55
1q3qC4.pdb3	1q3qC2.pdb3	39.15
1q3qC4.pdb3	1q3qD4.pdb3	3036.5
1q3qC4.pdb3	1q3qC1.pdb3	39.2
1q3qC2.pdb3	1q3qC3.pdb3	39.2
1q3qD4.pdb3	1q3qC1.pdb3	2841.0
1q3qD4.pdb3	1q3qD1.pdb3	38.55
1q3qC3.pdb3	1q3qC1.pdb3	39.25
1q3qC3.pdb3	1q3qD1.pdb3	2841.0
1q3qC1.pdb3	1q3qD1.pdb3	3036.5
4q39B1.pdb4	4q39B2.pdb4	927.4
2q30B1.pdb1	2q30A1.pdb1	1330.9
1q3qA3.pdb2	1q3qA1.pdb2	38.8
1q3qA3.pdb2	1q3qA2.pdb2	38.8
1q3qA3.pdb2	1q3qB1.pdb2	2741.95
1q3qA3.pdb2	1q3qB3.pdb2	3034.85
1q3qB4.pdb2	1q3qB2.pdb2	35.75
1q3qB4.pdb2	1q3qA1.pdb2	2742.0
1q3qB4.pdb2	1q3qB1.pdb2	35.75
1q3qB4.pdb2	1q3qA4.pdb2	3034.95
1q3qB2.pdb2	1q3qA2.pdb2	3034.85
1q3qB2.pdb2	1q3qB3.pdb2	35.75
1q3qB2.pdb2	1q3qA4.pdb2	2742.0
1q3qA1.pdb2	1q3qB1.pdb2	3034.85
1q3qA1.pdb2	1q3qA4.pdb2	38.8
1q3qA2.pdb2	1q3qB3.pdb2	2741.95
1q3qA2.pdb2	1q3qA4.pdb2	38.8
1q3qB1.pdb2	1q3qB3.pdb2	35.75
6q38A1.pdb1	6q38C1.pdb1	531.7
4q3oC1.pdb2	4q3oF1.pdb2	1341.4
2q3lA2.pdb2	2q3lB1.pdb2	761.75
4q3aC1.pdb6	4q3aD2.pdb6	924.75
2q3yA1.pdb1	2q3yB1.pdb1	587.35
4q37B1.pdb2	4q37B2.pdb2	1890.9
1q3hB4.pdb5	1q3hB2.pdb5	63.0
1q3hB4.pdb5	1q3hA2.pdb5	705.55
1q3hB4.pdb5	1q3hA4.pdb5	822.85
1q3hB4.pdb5	1q3hA1.pdb5	757.15
1q3hB2.pdb5	1q3hA2.pdb5	822.85
1q3hB2.pdb5	1q3hA4.pdb5	705.55
1q3hB2.pdb5	1q3hA3.pdb5	757.15
1q3hA2.pdb5	1q3hA1.pdb5	44.5
1q3hA2.pdb5	1q3hB3.pdb5	757.15
1q3hA4.pdb5	1q3hA3.pdb5	44.5
1q3hA4.pdb5	1q3hB1.pdb5	757.15
1q3hA3.pdb5	1q3hB1.pdb5	705.55
1q3hA3.pdb5	1q3hB3.pdb5	822.85
1q3hA1.pdb5	1q3hB1.pdb5	822.85
1q3hA1.pdb5	1q3hB3.pdb5	705.55
1q3hB1.pdb5	1q3hB3.pdb5	63.0
3q3lA2.pdb1	3q3lC1.pdb1	716.9
3q3lA2.pdb1	3q3lE2.pdb1	720.5
3q3lA2.pdb1	3q3lA1.pdb1	347.0
3q3lA2.pdb1	3q3lC2.pdb1	835.05
3q3lE1.pdb1	3q3lC1.pdb1	796.9
3q3lE1.pdb1	3q3lE2.pdb1	716.4
3q3lE1.pdb1	3q3lA1.pdb1	720.5
3q3lE1.pdb1	3q3lC2.pdb1	361.15
3q3lC1.pdb1	3q3lE2.pdb1	361.15
3q3lC1.pdb1	3q3lA1.pdb1	835.05
3q3lE2.pdb1	3q3lC2.pdb1	796.9
3q3lA1.pdb1	3q3lC2.pdb1	716.9
4q3tA2.pdb1	4q3tA1.pdb1	1431.3
4q3tA2.pdb1	4q3tA3.pdb1	1430.6
4q3tA1.pdb1	4q3tA3.pdb1	1429.95
2q31B2.pdb2	2q31B1.pdb2	247.75
4q3dC1.pdb6	4q3dD1.pdb6	883.9
4q37D1.pdb4	4q37F1.pdb4	1880.65
3q34B1.pdb2	3q34D1.pdb2	1324.15
2q3kA1.pdb1	2q3kB1.pdb1	1761.25
1q31B2.pdb3	1q31A1.pdb3	1379.8
2q35A3.pdb1	2q35A2.pdb1	1014.55
2q35A3.pdb1	2q35A1.pdb1	1014.5
2q35A2.pdb1	2q35A1.pdb1	1014.5
2q3iD3.pdb1	2q3iA3.pdb1	46.0
2q3iA1.pdb1	2q3iA2.pdb1	890.1
2q3iA1.pdb1	2q3iD1.pdb1	46.0
2q3iA1.pdb1	2q3iA3.pdb1	890.1
2q3iA2.pdb1	2q3iA3.pdb1	890.1
2q3iA2.pdb1	2q3iD2.pdb1	46.0
3q3kA1.pdb1	3q3kB1.pdb1	792.75
1q3aC1.pdb2	1q3aB1.pdb2	602.65
2q34A1.pdb1	2q34A3.pdb1	999.3
2q34A1.pdb1	2q34A2.pdb1	999.35
2q34A3.pdb1	2q34A2.pdb1	999.35
3q3mH1.pdb1	3q3mD1.pdb1	1691.55
3q3mH1.pdb1	3q3mB1.pdb1	233.0
3q3mH1.pdb1	3q3mA1.pdb1	244.0
3q3mE1.pdb1	3q3mF1.pdb1	218.75
3q3mE1.pdb1	3q3mD1.pdb1	227.45
3q3mE1.pdb1	3q3mA1.pdb1	1703.55
3q3mF1.pdb1	3q3mD1.pdb1	4184.55
3q3mF1.pdb1	3q3mB1.pdb1	482.35
3q3mF1.pdb1	3q3mA1.pdb1	12.95
3q3mG1.pdb1	3q3mD1.pdb1	1285.55
3q3mD1.pdb1	3q3mB1.pdb1	13.65
3q3dA1.pdb1	3q3dA2.pdb1	3246.2
3q3dA1.pdb1	3q3dB1.pdb1	319.15
3q3dA1.pdb1	3q3dB2.pdb1	393.2
3q3dA2.pdb1	3q3dB1.pdb1	393.2
3q3dA2.pdb1	3q3dB2.pdb1	319.15
3q3dB1.pdb1	3q3dB2.pdb1	1024.1
1q3qC1.pdb1	1q3qA3.pdb1	0.35
1q3qC1.pdb1	1q3qD1.pdb1	3036.5
1q3qC1.pdb1	1q3qC4.pdb1	39.2
1q3qC1.pdb1	1q3qA1.pdb1	794.3
1q3qC1.pdb1	1q3qD4.pdb1	2841.0
1q3qC1.pdb1	1q3qC3.pdb1	39.25
1q3qA3.pdb1	1q3qA2.pdb1	38.8
1q3qA3.pdb1	1q3qB1.pdb1	2741.95
1q3qA3.pdb1	1q3qD1.pdb1	1.6
1q3qA3.pdb1	1q3qB3.pdb1	3034.85
1q3qA3.pdb1	1q3qA1.pdb1	38.8
1q3qA3.pdb1	1q3qC3.pdb1	794.3
1q3qA2.pdb1	1q3qB2.pdb1	3034.85
1q3qA2.pdb1	1q3qD3.pdb1	1.55
1q3qA2.pdb1	1q3qC2.pdb1	794.3
1q3qA2.pdb1	1q3qB3.pdb1	2741.95
1q3qA2.pdb1	1q3qC3.pdb1	0.3
1q3qA2.pdb1	1q3qA4.pdb1	38.8
1q3qB1.pdb1	1q3qD1.pdb1	852.55
1q3qB1.pdb1	1q3qB4.pdb1	35.75
1q3qB1.pdb1	1q3qB3.pdb1	35.75
1q3qB1.pdb1	1q3qA1.pdb1	3034.85
1q3qB2.pdb1	1q3qB4.pdb1	35.75
1q3qB2.pdb1	1q3qD2.pdb1	852.55
1q3qB2.pdb1	1q3qB3.pdb1	35.75
1q3qB2.pdb1	1q3qA4.pdb1	2742.0
1q3qD1.pdb1	1q3qD3.pdb1	38.55
1q3qD1.pdb1	1q3qD4.pdb1	38.55
1q3qD1.pdb1	1q3qC3.pdb1	2841.0
1q3qD3.pdb1	1q3qD2.pdb1	38.5
1q3qD3.pdb1	1q3qC2.pdb1	2841.0
1q3qD3.pdb1	1q3qB3.pdb1	852.55
1q3qD3.pdb1	1q3qC3.pdb1	3036.45
1q3qB4.pdb1	1q3qA1.pdb1	2742.0
1q3qB4.pdb1	1q3qD4.pdb1	852.55
1q3qB4.pdb1	1q3qA4.pdb1	3034.95
1q3qD2.pdb1	1q3qC2.pdb1	3036.5
1q3qD2.pdb1	1q3qC4.pdb1	2841.0
1q3qD2.pdb1	1q3qD4.pdb1	38.55
1q3qD2.pdb1	1q3qA4.pdb1	1.55
1q3qC2.pdb1	1q3qC4.pdb1	39.15
1q3qC2.pdb1	1q3qC3.pdb1	39.2
1q3qC2.pdb1	1q3qA4.pdb1	0.35
1q3qC4.pdb1	1q3qA1.pdb1	0.3
1q3qC4.pdb1	1q3qD4.pdb1	3036.5
1q3qC4.pdb1	1q3qA4.pdb1	794.3
1q3qA1.pdb1	1q3qD4.pdb1	1.55
1q3qA1.pdb1	1q3qA4.pdb1	38.8
4q3fB1.pdb2	4q3fB3.pdb2	1131.0
4q3fB1.pdb2	4q3fB2.pdb2	1130.95
4q3fB3.pdb2	4q3fB2.pdb2	1130.95
3q3qA2.pdb1	3q3qA1.pdb1	2074.2
1q3gB1.pdb1	1q3gA1.pdb1	950.65
1q3gB1.pdb1	1q3gC1.pdb1	777.65
1q3gB1.pdb1	1q3gD1.pdb1	316.5
1q3gA1.pdb1	1q3gC1.pdb1	305.15
1q3gA1.pdb1	1q3gD1.pdb1	838.85
1q3gC1.pdb1	1q3gD1.pdb1	968.85
3q3nA2.pdb1	3q3nE2.pdb1	1728.6
3q3nA2.pdb1	3q3nE1.pdb1	236.3
3q3nA2.pdb1	3q3nB1.pdb1	12.45
3q3nA2.pdb1	3q3nA1.pdb1	420.8
3q3nA2.pdb1	3q3nC2.pdb1	1278.1
3q3nA2.pdb1	3q3nB2.pdb1	4232.35
3q3nE2.pdb1	3q3nB1.pdb1	226.85
3q3nE2.pdb1	3q3nA1.pdb1	236.3
3q3nE1.pdb1	3q3nA1.pdb1	1728.6
3q3nE1.pdb1	3q3nB2.pdb1	226.85
3q3nB1.pdb1	3q3nA1.pdb1	4232.35
3q3nB1.pdb1	3q3nB2.pdb1	495.35
3q3nA1.pdb1	3q3nC1.pdb1	1278.1
3q3nA1.pdb1	3q3nB2.pdb1	12.45
4q3qC1.pdb3	4q3qC2.pdb3	1435.2
4q3qC1.pdb3	4q3qC3.pdb3	1436.9
4q3qC2.pdb3	4q3qC3.pdb3	1433.55
1q3eA3.pdb1	1q3eA1.pdb1	1092.25
1q3eA3.pdb1	1q3eA2.pdb1	1092.25
1q3eA1.pdb1	1q3eA4.pdb1	1092.25
1q3eA4.pdb1	1q3eA2.pdb1	1092.25
4q3sC2.pdb3	4q3sC1.pdb3	1456.5
4q3sC2.pdb3	4q3sC3.pdb3	1456.9
4q3sC1.pdb3	4q3sC3.pdb3	1456.85
4q32B1.pdb1	4q32D1.pdb1	2139.75
4q32B1.pdb1	4q32A1.pdb1	2105.95
4q32D1.pdb1	4q32C1.pdb1	2162.85
4q32C1.pdb1	4q32A1.pdb1	1919.15
2q3vA1.pdb2	2q3vB1.pdb2	510.95
1q3dA1.pdb1	1q3dB1.pdb1	907.8
2q3lA1.pdb1	2q3lB1.pdb1	644.1
4q30F1.pdb2	4q30F2.pdb2	803.85
1q3oA1.pdb1	1q3oB1.pdb1	621.65
6q3kB1.pdb1	6q3kA1.pdb1	1212.45
6q3kA1.pdb1	6q3kP1.pdb1	783.8
2q3pA1.pdb1	2q3pA2.pdb1	1560.6
2q37A1.pdb1	2q37A2.pdb1	745.0
3q3cA2.pdb1	3q3cA1.pdb1	382.2
3q3cA2.pdb1	3q3cA3.pdb1	2162.45
3q3cA2.pdb1	3q3cA4.pdb1	617.9
3q3cA1.pdb1	3q3cA3.pdb1	617.9
3q3cA1.pdb1	3q3cA4.pdb1	2162.4
3q3cA3.pdb1	3q3cA4.pdb1	382.2
4q3cD2.pdb6	4q3cC1.pdb6	917.2
4q3fC3.pdb3	4q3fC1.pdb3	1149.65
4q3fC3.pdb3	4q3fC2.pdb3	1149.6
4q3fC1.pdb3	4q3fC2.pdb3	1149.55
4q3rC2.pdb3	4q3rC3.pdb3	1429.95
4q3rC2.pdb3	4q3rC1.pdb3	1433.8
4q3rC3.pdb3	4q3rC1.pdb3	1434.5
4q3vB2.pdb2	4q3vB1.pdb2	1409.5
4q3vB2.pdb2	4q3vB3.pdb2	1413.65
4q3vB1.pdb2	4q3vB3.pdb2	1412.35
3q33A1.pdb1	3q33A2.pdb1	477.0
3q33A1.pdb1	3q33B2.pdb1	423.75
3q33A1.pdb1	3q33B1.pdb1	1157.65
3q33A1.pdb1	3q33D1.pdb1	165.3
3q33D2.pdb1	3q33A2.pdb1	165.3
3q33D2.pdb1	3q33B2.pdb1	188.25
3q33A2.pdb1	3q33B2.pdb1	1157.65
3q33A2.pdb1	3q33B1.pdb1	423.75
3q33B2.pdb1	3q33B1.pdb1	1234.6
3q33B1.pdb1	3q33D1.pdb1	188.25
3q3gA1.pdb2	3q3gB1.pdb2	2013.75
3q3gA1.pdb2	3q3gE1.pdb2	381.55
3q3gB1.pdb2	3q3gE1.pdb2	549.1
1q3cA3.pdb2	1q3cA4.pdb2	926.1
1q3cA3.pdb2	1q3cA2.pdb2	357.2
1q3cA3.pdb2	1q3cA1.pdb2	769.5
1q3cA4.pdb2	1q3cA2.pdb2	769.5
1q3cA4.pdb2	1q3cA1.pdb2	357.2
1q3cA2.pdb2	1q3cA1.pdb2	926.1
6q3tB1.pdb1	6q3tC1.pdb1	714.85
6q3tB1.pdb1	6q3tA1.pdb1	847.15
6q3tC2.pdb1	6q3tC1.pdb1	828.1
6q3tC2.pdb1	6q3tB2.pdb1	714.85
6q3tB2.pdb1	6q3tA2.pdb1	847.15
6q3tA1.pdb1	6q3tA2.pdb1	701.3
6q3sB1.pdb1	6q3sA1.pdb1	1301.35
6q3sA1.pdb1	6q3sC1.pdb1	807.05
3q3sA1.pdb1	3q3sA2.pdb1	1609.4
2q32B1.pdb1	2q32A1.pdb1	595.45
4q31B1.pdb1	4q31C1.pdb1	1543.25
4q31B1.pdb1	4q31A1.pdb1	1989.35
4q31B1.pdb1	4q31D1.pdb1	844.2
4q31C1.pdb1	4q31A1.pdb1	867.75
4q31C1.pdb1	4q31D1.pdb1	2037.05
4q31A1.pdb1	4q31D1.pdb1	1502.75
1q3sG2.pdb1	1q3sH2.pdb1	2405.35
1q3sG2.pdb1	1q3sF2.pdb1	2419.3
1q3sG2.pdb1	1q3sE2.pdb1	46.6
1q3sG2.pdb1	1q3sA2.pdb1	50.0
1q3sG2.pdb1	1q3sA1.pdb1	399.0
1q3sH2.pdb1	1q3sF2.pdb1	44.55
1q3sH2.pdb1	1q3sH1.pdb1	435.8
1q3sH2.pdb1	1q3sA2.pdb1	2439.45
1q3sH2.pdb1	1q3sB2.pdb1	49.15
1q3sC2.pdb1	1q3sE2.pdb1	52.7
1q3sC2.pdb1	1q3sA2.pdb1	48.25
1q3sC2.pdb1	1q3sD2.pdb1	2414.45
1q3sC2.pdb1	1q3sB2.pdb1	2427.9
1q3sC2.pdb1	1q3sE1.pdb1	412.2
1q3sC1.pdb1	1q3sE2.pdb1	412.2
1q3sC1.pdb1	1q3sA1.pdb1	48.3
1q3sC1.pdb1	1q3sD1.pdb1	2414.45
1q3sC1.pdb1	1q3sB1.pdb1	2427.9
1q3sC1.pdb1	1q3sE1.pdb1	52.7
1q3sF2.pdb1	1q3sE2.pdb1	2421.35
1q3sF2.pdb1	1q3sD2.pdb1	51.9
1q3sF2.pdb1	1q3sB1.pdb1	382.9
1q3sE2.pdb1	1q3sD2.pdb1	2427.65
1q3sH1.pdb1	1q3sG1.pdb1	2405.35
1q3sH1.pdb1	1q3sA1.pdb1	2439.5
1q3sH1.pdb1	1q3sB1.pdb1	49.15
1q3sH1.pdb1	1q3sF1.pdb1	44.55
1q3sA2.pdb1	1q3sG1.pdb1	399.0
1q3sA2.pdb1	1q3sB2.pdb1	2427.8
1q3sG1.pdb1	1q3sA1.pdb1	49.95
1q3sG1.pdb1	1q3sF1.pdb1	2419.25
1q3sG1.pdb1	1q3sE1.pdb1	46.6
1q3sA1.pdb1	1q3sB1.pdb1	2427.8
1q3sD2.pdb1	1q3sB2.pdb1	48.85
1q3sD2.pdb1	1q3sD1.pdb1	427.3
1q3sB2.pdb1	1q3sF1.pdb1	382.9
1q3sD1.pdb1	1q3sB1.pdb1	48.8
1q3sD1.pdb1	1q3sF1.pdb1	51.9
1q3sD1.pdb1	1q3sE1.pdb1	2427.65
1q3sF1.pdb1	1q3sE1.pdb1	2421.3
3q34A1.pdb1	3q34C1.pdb1	1296.4
1q3pB1.pdb1	1q3pA1.pdb1	562.0
1q3pB1.pdb1	1q3pD1.pdb1	521.4
1q3pA1.pdb1	1q3pC1.pdb1	505.35
1q3pD1.pdb2	1q3pB1.pdb2	524.4
1q3pD1.pdb2	1q3pB2.pdb2	54.25
1q3pC2.pdb2	1q3pA2.pdb2	505.35
1q3pD2.pdb2	1q3pB1.pdb2	54.25
1q3pD2.pdb2	1q3pB2.pdb2	524.4
1q3pA2.pdb2	1q3pA1.pdb2	308.2
1q3pA2.pdb2	1q3pB1.pdb2	8.7
1q3pA2.pdb2	1q3pB2.pdb2	562.0
1q3pA1.pdb2	1q3pC1.pdb2	505.35
1q3pA1.pdb2	1q3pB1.pdb2	562.0
1q3pA1.pdb2	1q3pB2.pdb2	8.7
1q3pB1.pdb2	1q3pB2.pdb2	626.5
3q31A1.pdb1	3q31B1.pdb1	1809.05
4q3qA3.pdb1	4q3qA2.pdb1	1419.45
4q3qA3.pdb1	4q3qA1.pdb1	1418.85
4q3qA2.pdb1	4q3qA1.pdb1	1419.15
6q3eA1.pdb1	6q3eB1.pdb1	2283.1
4q3rB2.pdb2	4q3rB1.pdb2	1438.8
4q3rB2.pdb2	4q3rB3.pdb2	1442.05
4q3rB1.pdb2	4q3rB3.pdb2	1439.35
2q3zX2.pdb2	2q3zA2.pdb2	391.4
2q3zX2.pdb2	2q3zA1.pdb2	118.0
2q3zA2.pdb2	2q3zX1.pdb2	118.0
2q3zA2.pdb2	2q3zA1.pdb2	2306.9
2q3zX1.pdb2	2q3zA1.pdb2	391.4
4q3uD1.pdb4	4q3uD3.pdb4	1088.4
4q3uD1.pdb4	4q3uD2.pdb4	1089.2
4q3uD3.pdb4	4q3uD2.pdb4	1089.65
2q3mA2.pdb1	2q3mA1.pdb1	1749.8
1q3fB1.pdb1	1q3fC1.pdb1	376.15
1q3fB1.pdb1	1q3fA1.pdb1	514.2
1q3fC1.pdb1	1q3fA1.pdb1	182.25
6q3qA1.pdb1	6q3qa1.pdb1	478.45
6q3qA1.pdb1	6q3qB1.pdb1	590.85
6q3qA1.pdb1	6q3qb1.pdb1	55.2
6q3qa1.pdb1	6q3qB1.pdb1	58.15
6q3qB1.pdb1	6q3qb1.pdb1	473.8
2q3nB1.pdb2	2q3nA1.pdb2	1687.15
1q3rB2.pdb3	1q3rB4.pdb3	40.55
1q3rB2.pdb3	1q3rB3.pdb3	40.55
1q3rB2.pdb3	1q3rA4.pdb3	3034.2
1q3rB2.pdb3	1q3rA2.pdb3	3004.95
1q3rA3.pdb3	1q3rB3.pdb3	3004.95
1q3rA3.pdb3	1q3rA2.pdb3	46.35
1q3rA3.pdb3	1q3rA1.pdb3	46.3
1q3rA3.pdb3	1q3rB1.pdb3	3034.2
1q3rB4.pdb3	1q3rA4.pdb3	3004.9
1q3rB4.pdb3	1q3rA1.pdb3	3034.2
1q3rB4.pdb3	1q3rB1.pdb3	40.55
1q3rB3.pdb3	1q3rA2.pdb3	3034.2
1q3rB3.pdb3	1q3rB1.pdb3	40.55
1q3rA4.pdb3	1q3rA2.pdb3	46.3
1q3rA4.pdb3	1q3rA1.pdb3	46.35
1q3rA1.pdb3	1q3rB1.pdb3	3004.9
2q3eI1.pdb2	2q3eH1.pdb2	82.7
2q3eI1.pdb2	2q3eG1.pdb2	610.35
2q3eI1.pdb2	2q3eK1.pdb2	608.15
2q3eI1.pdb2	2q3eJ1.pdb2	2692.05
