3ihjA2.pdb2	3ihjA1.pdb2	3248.05
2ihwG2.pdb1	2ihwG3.pdb1	1419.75
2ihwG2.pdb1	2ihwG1.pdb1	1419.75
2ihwC1.pdb1	2ihwA1.pdb1	1422.65
2ihwC1.pdb1	2ihwG3.pdb1	1141.9
2ihwC1.pdb1	2ihwB1.pdb1	1446.7
2ihwA1.pdb1	2ihwF1.pdb1	1111.05
2ihwA1.pdb1	2ihwB1.pdb1	1422.95
2ihwA3.pdb1	2ihwC3.pdb1	1422.65
2ihwA3.pdb1	2ihwB3.pdb1	1422.9
2ihwC3.pdb1	2ihwB3.pdb1	1446.65
2ihwC2.pdb1	2ihwB2.pdb1	1446.7
2ihwC2.pdb1	2ihwG1.pdb1	1141.9
2ihwC2.pdb1	2ihwA2.pdb1	1422.7
2ihwB2.pdb1	2ihwD3.pdb1	1134.65
2ihwB2.pdb1	2ihwA2.pdb1	1422.9
2ihwH1.pdb1	2ihwE3.pdb1	1123.2
2ihwH1.pdb1	2ihwH2.pdb1	1443.0
2ihwG3.pdb1	2ihwG1.pdb1	1419.75
2ihwE3.pdb1	2ihwD3.pdb1	1456.8
2ih3C4.pdb1	2ih3A4.pdb1	489.05
2ih3C4.pdb1	2ih3B1.pdb1	84.15
2ih3C4.pdb1	2ih3C3.pdb1	42.5
2ih3C4.pdb1	2ih3C1.pdb1	986.8
2ih3C4.pdb1	2ih3B4.pdb1	395.75
2ih3C4.pdb1	2ih3C2.pdb1	986.8
2ih3B2.pdb1	2ih3B3.pdb1	78.05
2ih3B2.pdb1	2ih3C3.pdb1	84.15
2ih3B2.pdb1	2ih3A3.pdb1	224.45
2ih3B2.pdb1	2ih3B4.pdb1	78.05
2ih3B2.pdb1	2ih3A2.pdb1	1725.45
2ih3B2.pdb1	2ih3C2.pdb1	395.75
2ih3A1.pdb1	2ih3B3.pdb1	224.45
2ih3A1.pdb1	2ih3B1.pdb1	1725.45
2ih3A1.pdb1	2ih3C1.pdb1	489.05
2ih3B3.pdb1	2ih3B1.pdb1	78.05
2ih3B3.pdb1	2ih3C3.pdb1	395.75
2ih3B3.pdb1	2ih3C1.pdb1	84.15
2ih3B3.pdb1	2ih3A3.pdb1	1725.45
2ih3A4.pdb1	2ih3B1.pdb1	224.45
2ih3A4.pdb1	2ih3B4.pdb1	1725.45
2ih3B1.pdb1	2ih3C1.pdb1	395.75
2ih3B1.pdb1	2ih3B4.pdb1	78.05
2ih3C3.pdb1	2ih3C1.pdb1	986.8
2ih3C3.pdb1	2ih3A3.pdb1	489.05
2ih3C3.pdb1	2ih3C2.pdb1	986.8
2ih3C1.pdb1	2ih3C2.pdb1	42.5
2ih3B4.pdb1	2ih3A2.pdb1	224.45
2ih3B4.pdb1	2ih3C2.pdb1	84.15
2ih3A2.pdb1	2ih3C2.pdb1	489.05
2ihcC1.pdb2	2ihcD1.pdb2	1683.6
1ihuA4.pdb2	1ihuA3.pdb2	893.4
1ihuA4.pdb2	1ihuA2.pdb2	628.55
1ihuA3.pdb2	1ihuA1.pdb2	628.55
1ihuA1.pdb2	1ihuA2.pdb2	893.4
2ihyA1.pdb1	2ihyB1.pdb1	1135.2
4ihzA1.pdb2	4ihzB3.pdb2	433.65
4ihzA1.pdb2	4ihzB4.pdb2	382.05
4ihzB3.pdb2	4ihzB4.pdb2	198.5
4ihzB3.pdb2	4ihzA2.pdb2	382.05
4ihzB4.pdb2	4ihzA2.pdb2	433.65
3ihqB1.pdb1	3ihqA1.pdb1	613.1
4ihcH1.pdb1	4ihcD1.pdb1	2515.4
4ihcH1.pdb1	4ihcF1.pdb1	1224.15
4ihcH1.pdb1	4ihcE1.pdb1	1257.55
4ihcH1.pdb1	4ihcB1.pdb1	1291.7
4ihcD1.pdb1	4ihcF1.pdb1	1283.8
4ihcD1.pdb1	4ihcB1.pdb1	1222.8
4ihcD1.pdb1	4ihcA1.pdb1	1270.1
4ihcD1.pdb1	4ihcG1.pdb1	1.45
4ihcF1.pdb1	4ihcE1.pdb1	2533.15
4ihcF1.pdb1	4ihcA1.pdb1	18.3
4ihcF1.pdb1	4ihcG1.pdb1	1265.3
4ihcC1.pdb1	4ihcE1.pdb1	1228.45
4ihcC1.pdb1	4ihcB1.pdb1	1267.3
4ihcC1.pdb1	4ihcA1.pdb1	1210.95
4ihcC1.pdb1	4ihcG1.pdb1	2529.05
4ihcE1.pdb1	4ihcB1.pdb1	3.2
4ihcE1.pdb1	4ihcG1.pdb1	1212.25
4ihcB1.pdb1	4ihcA1.pdb1	2537.45
4ihcA1.pdb1	4ihcG1.pdb1	1336.4
6ih8C2.pdb3	6ih8B1.pdb3	3078.65
3ihlA1.pdb2	3ihlB2.pdb2	830.05
4ihiA3.pdb2	4ihiA5.pdb2	4164.95
4ihiA3.pdb2	4ihiA4.pdb2	1614.4
4ihiA3.pdb2	4ihiA1.pdb2	459.15
4ihiA3.pdb2	4ihiA2.pdb2	459.25
4ihiA5.pdb2	4ihiA6.pdb2	459.2
4ihiA5.pdb2	4ihiA4.pdb2	459.2
4ihiA5.pdb2	4ihiA2.pdb2	1614.4
4ihiA6.pdb2	4ihiA4.pdb2	459.15
4ihiA6.pdb2	4ihiA1.pdb2	1614.4
4ihiA6.pdb2	4ihiA2.pdb2	4164.95
4ihiA4.pdb2	4ihiA1.pdb2	4164.95
4ihiA1.pdb2	4ihiA2.pdb2	459.2
3ih6B1.pdb1	3ih6C1.pdb1	672.7
3ih6B1.pdb1	3ih6F1.pdb1	434.1
3ih6B1.pdb1	3ih6A1.pdb1	635.7
3ih6B1.pdb1	3ih6E1.pdb1	182.05
3ih6C1.pdb1	3ih6D1.pdb1	98.05
3ih6C1.pdb1	3ih6A1.pdb1	614.8
3ih6C1.pdb1	3ih6E1.pdb1	513.05
3ih6F1.pdb1	3ih6D1.pdb1	681.7
3ih6F1.pdb1	3ih6A1.pdb1	152.85
3ih6F1.pdb1	3ih6E1.pdb1	666.8
3ih6D1.pdb1	3ih6A1.pdb1	476.8
3ih6D1.pdb1	3ih6E1.pdb1	600.4
4ihfH1.pdb1	4ihfE1.pdb1	352.8
4ihfH1.pdb1	4ihfF1.pdb1	61.95
4ihfH1.pdb1	4ihfD1.pdb1	221.7
4ihfE1.pdb1	4ihfG1.pdb1	207.1
4ihfE1.pdb1	4ihfK1.pdb1	46.75
4ihfE1.pdb1	4ihfF1.pdb1	3050.0
4ihfE1.pdb1	4ihfD1.pdb1	3050.75
4ihfG1.pdb1	4ihfF1.pdb1	311.4
4ihfG1.pdb1	4ihfD1.pdb1	29.9
4ihfK1.pdb1	4ihfF1.pdb1	233.45
4ihfK1.pdb1	4ihfD1.pdb1	340.3
4ihfF1.pdb1	4ihfD1.pdb1	3059.1
6ih6B1.pdb2	6ih6C1.pdb2	3105.8
5ihzH1.pdb4	5ihzL1.pdb4	1602.75
2ihpA1.pdb1	2ihpB1.pdb1	1014.2
6ihzB1.pdb1	6ihzA1.pdb1	172.75
4ihzA1.pdb1	4ihzB1.pdb1	619.65
3ihaA2.pdb1	3ihaA1.pdb1	4347.4
1ihxA1.pdb1	1ihxC1.pdb1	1326.2
1ihxA1.pdb1	1ihxB1.pdb1	469.3
1ihxA1.pdb1	1ihxD1.pdb1	1982.3
1ihxC1.pdb1	1ihxB1.pdb1	1965.45
1ihxC1.pdb1	1ihxD1.pdb1	470.75
1ihxB1.pdb1	1ihxD1.pdb1	1314.6
1ihyC1.pdb1	1ihyA1.pdb1	1305.8
1ihyC1.pdb1	1ihyB1.pdb1	1957.5
1ihyC1.pdb1	1ihyD1.pdb1	499.0
1ihyA1.pdb1	1ihyB1.pdb1	512.4
1ihyA1.pdb1	1ihyD1.pdb1	1957.95
1ihyB1.pdb1	1ihyD1.pdb1	1285.8
3ihlA2.pdb1	3ihlB2.pdb1	368.15
3ihlA2.pdb1	3ihlB1.pdb1	830.05
3ihlA2.pdb1	3ihlA1.pdb1	1107.15
3ihlB2.pdb1	3ihlB1.pdb1	1928.1
3ihlB2.pdb1	3ihlA1.pdb1	830.05
3ihlB1.pdb1	3ihlA1.pdb1	368.05
2ihcA1.pdb3	2ihcC1.pdb3	177.25
2ihcA1.pdb3	2ihcD1.pdb3	11.0
2ihcA1.pdb3	2ihcB1.pdb3	1676.6
2ihcC1.pdb3	2ihcD1.pdb3	1683.6
2ihcC1.pdb3	2ihcB1.pdb3	392.65
2ihcD1.pdb3	2ihcB1.pdb3	197.65
4ihgD1.pdb2	4ihgK1.pdb2	370.85
4ihgD1.pdb2	4ihgL1.pdb2	134.7
4ihgD1.pdb2	4ihgF1.pdb2	3029.2
4ihgD1.pdb2	4ihgJ1.pdb2	80.0
4ihgD1.pdb2	4ihgE1.pdb2	3000.45
4ihgK1.pdb2	4ihgF1.pdb2	274.85
4ihgK1.pdb2	4ihgE1.pdb2	64.2
4ihgL1.pdb2	4ihgF1.pdb2	33.5
4ihgL1.pdb2	4ihgE1.pdb2	281.15
4ihgF1.pdb2	4ihgJ1.pdb2	399.95
4ihgF1.pdb2	4ihgE1.pdb2	3053.25
4ihgJ1.pdb2	4ihgE1.pdb2	235.9
4ihoC1.pdb1	4ihoA1.pdb1	952.4
4ihoB1.pdb1	4ihoA1.pdb1	1189.9
4ih3F1.pdb1	4ih3A1.pdb1	2466.55
4ih3D1.pdb3	4ih3E1.pdb3	2496.3
2ih1C4.pdb1	2ih1C3.pdb1	29.3
2ih1C4.pdb1	2ih1C2.pdb1	1060.2
2ih1C4.pdb1	2ih1A4.pdb1	487.05
2ih1C4.pdb1	2ih1B4.pdb1	412.2
2ih1C4.pdb1	2ih1B1.pdb1	81.25
2ih1C4.pdb1	2ih1C1.pdb1	1060.2
2ih1C3.pdb1	2ih1C2.pdb1	1060.2
2ih1C3.pdb1	2ih1A3.pdb1	487.05
2ih1C3.pdb1	2ih1B3.pdb1	412.2
2ih1C3.pdb1	2ih1B2.pdb1	81.25
2ih1C3.pdb1	2ih1C1.pdb1	1060.2
2ih1A1.pdb1	2ih1B1.pdb1	1742.95
2ih1A1.pdb1	2ih1B3.pdb1	209.65
2ih1A1.pdb1	2ih1C1.pdb1	487.05
2ih1C2.pdb1	2ih1B4.pdb1	81.25
2ih1C2.pdb1	2ih1A2.pdb1	487.05
2ih1C2.pdb1	2ih1B2.pdb1	412.2
2ih1C2.pdb1	2ih1C1.pdb1	29.3
2ih1A4.pdb1	2ih1B4.pdb1	1742.95
2ih1A4.pdb1	2ih1B1.pdb1	209.65
2ih1B4.pdb1	2ih1B1.pdb1	68.35
2ih1B4.pdb1	2ih1A2.pdb1	209.65
2ih1B4.pdb1	2ih1B2.pdb1	68.35
2ih1A3.pdb1	2ih1B3.pdb1	1742.95
2ih1A3.pdb1	2ih1B2.pdb1	209.65
2ih1B1.pdb1	2ih1B3.pdb1	68.35
2ih1B1.pdb1	2ih1C1.pdb1	412.2
2ih1A2.pdb1	2ih1B2.pdb1	1742.95
2ih1B3.pdb1	2ih1B2.pdb1	68.35
2ih1B3.pdb1	2ih1C1.pdb1	81.25
2ihuA1.pdb1	2ihuD1.pdb1	220.4
2ihuA1.pdb1	2ihuB1.pdb1	3596.5
2ihuA1.pdb1	2ihuC1.pdb1	991.85
2ihuD1.pdb1	2ihuB1.pdb1	1009.95
2ihuD1.pdb1	2ihuC1.pdb1	3595.05
2ihuB1.pdb1	2ihuC1.pdb1	215.1
6ihxA1.pdb1	6ihxC1.pdb1	93.75
6ihxA1.pdb1	6ihxD1.pdb1	481.3
6ihxA1.pdb1	6ihxB1.pdb1	837.0
6ihxC1.pdb1	6ihxD1.pdb1	836.05
6ihxC1.pdb1	6ihxB1.pdb1	468.75
6ihxD1.pdb1	6ihxB1.pdb1	25.45
3ihlA1.pdb3	3ihlA2.pdb3	1107.15
4iheB1.pdb3	4iheA1.pdb3	1249.1
4iheB1.pdb3	4iheA2.pdb3	568.65
4iheB1.pdb3	4iheB2.pdb3	1781.2
4iheA1.pdb3	4iheA2.pdb3	1819.3
4iheA1.pdb3	4iheB2.pdb3	568.65
4iheA2.pdb3	4iheB2.pdb3	1249.1
2iheA2.pdb1	2iheA1.pdb1	1475.8
5ih7A1.pdb1	5ih7A2.pdb1	936.4
6ih1D1.pdb2	6ih1B1.pdb2	1034.95
3ihzB1.pdb1	3ihzA1.pdb1	317.1
6ih4A1.pdb1	6ih4B1.pdb1	1178.15
5ihzC1.pdb2	5ihzD1.pdb2	1543.3
3ih0B1.pdb1	3ih0A1.pdb1	1174.6
3ih8B2.pdb2	3ih8B1.pdb2	3689.8
4ih3B1.pdb2	4ih3C1.pdb2	2460.95
3ihbA1.pdb1	3ihbA2.pdb1	4447.8
6ihiB1.pdb1	6ihiA1.pdb1	1573.65
6ihiB1.pdb1	6ihiC1.pdb1	1471.55
6ihiB1.pdb1	6ihiD1.pdb1	155.05
6ihiA1.pdb1	6ihiC1.pdb1	158.1
6ihiA1.pdb1	6ihiD1.pdb1	1482.1
6ihiC1.pdb1	6ihiD1.pdb1	1564.4
6ihjB1.pdb1	6ihjA1.pdb1	2009.9
3ih5B1.pdb1	3ih5D2.pdb1	547.2
3ih5B1.pdb1	3ih5D1.pdb1	465.25
3ih5B1.pdb1	3ih5A2.pdb1	400.05
3ih5B1.pdb1	3ih5A1.pdb1	227.15
3ih5B1.pdb1	3ih5B2.pdb1	1486.1
3ih5D2.pdb1	3ih5C1.pdb1	380.55
3ih5D2.pdb1	3ih5C2.pdb1	244.6
3ih5D2.pdb1	3ih5A1.pdb1	1260.65
3ih5D2.pdb1	3ih5B2.pdb1	465.2
3ih5D1.pdb1	3ih5C1.pdb1	244.6
3ih5D1.pdb1	3ih5A2.pdb1	1260.65
3ih5D1.pdb1	3ih5C2.pdb1	380.65
3ih5D1.pdb1	3ih5B2.pdb1	547.2
3ih5C1.pdb1	3ih5A2.pdb1	485.3
3ih5C1.pdb1	3ih5C2.pdb1	1507.8
3ih5C1.pdb1	3ih5A1.pdb1	446.4
3ih5A2.pdb1	3ih5C2.pdb1	446.35
3ih5A2.pdb1	3ih5B2.pdb1	227.1
3ih5C2.pdb1	3ih5A1.pdb1	485.35
3ih5A1.pdb1	3ih5B2.pdb1	400.05
4ihuA2.pdb1	4ihuA1.pdb1	545.2
4ihbE2.pdb8	4ihbD1.pdb8	621.95
4ihbE2.pdb8	4ihbD2.pdb8	499.8
4ihbE2.pdb8	4ihbE1.pdb8	71.0
4ihbE2.pdb8	4ihbF2.pdb8	456.75
4ihbD1.pdb8	4ihbE1.pdb8	499.75
4ihbD1.pdb8	4ihbF2.pdb8	57.1
4ihbD1.pdb8	4ihbF1.pdb8	428.85
4ihbD2.pdb8	4ihbE1.pdb8	622.0
4ihbD2.pdb8	4ihbF2.pdb8	428.9
4ihbD2.pdb8	4ihbF1.pdb8	57.15
4ihbE1.pdb8	4ihbF1.pdb8	456.75
4ihbF2.pdb8	4ihbF1.pdb8	641.9
3ih9B1.pdb2	3ih9B2.pdb2	4471.7
2ihbA1.pdb1	2ihbB1.pdb1	797.5
3ihiB1.pdb1	3ihiA1.pdb1	2247.3
6ih7B1.pdb1	6ih7A1.pdb1	956.75
3ih3A1.pdb1	3ih3A2.pdb1	1288.5
4ihqC2.pdb1	4ihqA1.pdb1	2255.9
4ihqC2.pdb1	4ihqB2.pdb1	2015.7
4ihqA2.pdb1	4ihqC1.pdb1	2255.9
4ihqA2.pdb1	4ihqB2.pdb1	1633.25
4ihqB1.pdb1	4ihqA1.pdb1	1633.3
4ihqB1.pdb1	4ihqC1.pdb1	2015.75
5ihlD1.pdb2	5ihlE1.pdb2	769.8
2ihoA2.pdb1	2ihoA1.pdb1	1812.8
3ihlB2.pdb4	3ihlB1.pdb4	1928.1
5ih3C1.pdb1	5ih3B1.pdb1	204.25
5ih3C1.pdb1	5ih3D1.pdb1	1914.0
5ih3B1.pdb1	5ih3A1.pdb1	1914.8
5ih3B1.pdb1	5ih3D1.pdb1	764.25
5ih3A1.pdb1	5ih3D1.pdb1	219.4
1ihjA1.pdb1	1ihjD1.pdb1	326.35
5ih2M1.pdb1	5ih2A1.pdb1	500.3
1ihbA1.pdb1	1ihbB1.pdb1	329.6
6ihcG1.pdb1	6ihcA1.pdb1	147.1
6ihcG1.pdb1	6ihcB1.pdb1	348.1
6ihcF1.pdb1	6ihcA1.pdb1	1272.75
6ihcF1.pdb1	6ihcE1.pdb1	1220.15
6ihcD1.pdb1	6ihcC1.pdb1	1146.9
6ihcD1.pdb1	6ihcE1.pdb1	1197.8
6ihcA1.pdb1	6ihcE1.pdb1	2.0
6ihcA1.pdb1	6ihcB1.pdb1	1269.25
6ihcC1.pdb1	6ihcB1.pdb1	1201.8
