5u36A1.pdb1	5u36B2.pdb1	1166.5
4u3gE2.pdb1	4u3gB1.pdb1	559.25
4u3gE2.pdb1	4u3gB2.pdb1	558.75
4u3gJ1.pdb1	4u3gD1.pdb1	24.15
4u3gJ1.pdb1	4u3gK1.pdb1	557.05
4u3gD1.pdb1	4u3gK1.pdb1	551.85
4u3gD1.pdb1	4u3gB1.pdb1	534.6
4u3gD1.pdb1	4u3gC1.pdb1	948.5
4u3gK1.pdb1	4u3gC1.pdb1	532.65
4u3gB1.pdb1	4u3gB2.pdb1	25.75
4u39P1.pdb7	4u39G1.pdb7	646.7
3u3qA1.pdb1	3u3qA2.pdb1	746.2
4u3cF2.pdb4	4u3cF1.pdb4	2090.3
3u3zA1.pdb1	3u3zB1.pdb1	107.5
3u34A1.pdb3	3u34B1.pdb3	1008.95
3u33J1.pdb3	3u33L1.pdb3	912.6
3u33J1.pdb3	3u33K1.pdb3	707.2
3u33J1.pdb3	3u33I1.pdb3	3381.3
3u33L1.pdb3	3u33K1.pdb3	3229.8
3u33L1.pdb3	3u33I1.pdb3	693.0
3u33K1.pdb3	3u33I1.pdb3	908.0
4u3cB1.pdb1	4u3cA1.pdb1	2131.35
5u38A1.pdb1	5u38A2.pdb1	914.8
4u35B1.pdb1	4u35A1.pdb1	314.05
1u3hB1.pdb1	1u3hA1.pdb1	710.2
1u3hB1.pdb1	1u3hC1.pdb1	311.0
1u3hB1.pdb1	1u3hP1.pdb1	103.5
1u3hB1.pdb1	1u3hD1.pdb1	120.7
1u3hB1.pdb1	1u3hF1.pdb1	36.65
1u3hA1.pdb1	1u3hC1.pdb1	143.4
1u3hA1.pdb1	1u3hP1.pdb1	175.95
1u3hA1.pdb1	1u3hD1.pdb1	278.15
1u3hI1.pdb1	1u3hH1.pdb1	605.55
1u3hI1.pdb1	1u3hE1.pdb1	209.3
1u3hI1.pdb1	1u3hF1.pdb1	139.15
1u3hI1.pdb1	1u3hG1.pdb1	522.2
1u3hH1.pdb1	1u3hE1.pdb1	298.1
1u3hH1.pdb1	1u3hF1.pdb1	115.1
1u3hH1.pdb1	1u3hG1.pdb1	2654.35
1u3hC1.pdb1	1u3hP1.pdb1	527.5
1u3hC1.pdb1	1u3hD1.pdb1	2605.25
1u3hC1.pdb1	1u3hG1.pdb1	350.7
1u3hP1.pdb1	1u3hD1.pdb1	632.1
1u3hE1.pdb1	1u3hF1.pdb1	743.75
1u3hE1.pdb1	1u3hG1.pdb1	152.15
1u3hF1.pdb1	1u3hG1.pdb1	325.55
4u39R1.pdb9	4u39I1.pdb9	553.15
4u3eA1.pdb1	4u3eB1.pdb1	4162.05
5u3pH1.pdb1	5u3pL1.pdb1	1934.75
4u33F2.pdb4	4u33F1.pdb4	1728.9
5u3oH1.pdb1	5u3oL1.pdb1	2207.15
5u3oH1.pdb1	5u3oA1.pdb1	706.6
4u30W1.pdb3	4u30C1.pdb3	617.5
3u39A1.pdb1	3u39C1.pdb1	42.35
3u39A1.pdb1	3u39D1.pdb1	1216.5
3u39A1.pdb1	3u39B1.pdb1	1808.4
3u39C1.pdb1	3u39D1.pdb1	1885.0
3u39C1.pdb1	3u39B1.pdb1	1212.85
3u39D1.pdb1	3u39B1.pdb1	47.6
3u35B1.pdb4	3u35C1.pdb4	1269.2
3u34C1.pdb4	3u34B1.pdb4	1250.15
5u3iB1.pdb2	5u3iA1.pdb2	915.3
3u35B1.pdb3	3u35A1.pdb3	963.55
4u36A1.pdb1	4u36A2.pdb1	623.0
4u36A1.pdb1	4u36A3.pdb1	872.1
4u36A4.pdb1	4u36A2.pdb1	872.1
4u36A4.pdb1	4u36A3.pdb1	623.0
3u37G1.pdb2	3u37H1.pdb2	905.0
3u37G1.pdb2	3u37E1.pdb2	1266.3
3u37F1.pdb2	3u37H1.pdb2	1259.4
3u37F1.pdb2	3u37E1.pdb2	925.5
3u37H1.pdb2	3u37E1.pdb2	0.05
5u31B1.pdb1	5u31C1.pdb1	942.1
5u31B1.pdb1	5u31A1.pdb1	5977.5
5u31C1.pdb1	5u31E1.pdb1	25.8
5u31C1.pdb1	5u31A1.pdb1	2498.55
5u31C1.pdb1	5u31D1.pdb1	307.55
5u31E1.pdb1	5u31A1.pdb1	1225.5
5u31A1.pdb1	5u31D1.pdb1	844.2
5u3cA6.pdb1	5u3cD6.pdb1	649.65
5u3cA6.pdb1	5u3cD7.pdb1	516.65
5u3cA6.pdb1	5u3cB7.pdb1	194.05
5u3cA6.pdb1	5u3cC6.pdb1	721.0
5u3cA6.pdb1	5u3cB6.pdb1	1270.5
5u3cD6.pdb1	5u3cC5.pdb1	200.7
5u3cD6.pdb1	5u3cC6.pdb1	1271.6
5u3cD6.pdb1	5u3cB6.pdb1	723.75
5u3cD6.pdb1	5u3cA5.pdb1	516.6
5u3cC7.pdb1	5u3cA7.pdb1	721.0
5u3cC7.pdb1	5u3cD7.pdb1	1271.55
5u3cC7.pdb1	5u3cB7.pdb1	634.15
5u3cA7.pdb1	5u3cD7.pdb1	649.65
5u3cA7.pdb1	5u3cB7.pdb1	1270.45
5u3cC5.pdb1	5u3cB5.pdb1	634.15
5u3cC5.pdb1	5u3cD5.pdb1	1271.55
5u3cC5.pdb1	5u3cB6.pdb1	557.35
5u3cC5.pdb1	5u3cA5.pdb1	720.95
5u3cB5.pdb1	5u3cC4.pdb1	557.25
5u3cB5.pdb1	5u3cA4.pdb1	194.05
5u3cB5.pdb1	5u3cD5.pdb1	723.8
5u3cB5.pdb1	5u3cA5.pdb1	1270.5
5u3cC4.pdb1	5u3cA4.pdb1	721.0
5u3cC4.pdb1	5u3cB4.pdb1	634.2
5u3cC4.pdb1	5u3cD4.pdb1	1271.6
5u3cC4.pdb1	5u3cD5.pdb1	200.75
5u3cA4.pdb1	5u3cB4.pdb1	1270.55
5u3cA4.pdb1	5u3cD4.pdb1	649.7
5u3cA4.pdb1	5u3cD5.pdb1	516.55
5u3cD2.pdb1	5u3cC2.pdb1	1271.6
5u3cD2.pdb1	5u3cC1.pdb1	200.75
5u3cD2.pdb1	5u3cA1.pdb1	516.6
5u3cD2.pdb1	5u3cA2.pdb1	649.65
5u3cD2.pdb1	5u3cB2.pdb1	723.9
5u3cC3.pdb1	5u3cB4.pdb1	557.35
5u3cC3.pdb1	5u3cD4.pdb1	200.75
5u3cC3.pdb1	5u3cD3.pdb1	1271.5
5u3cC3.pdb1	5u3cA3.pdb1	720.95
5u3cC3.pdb1	5u3cB3.pdb1	634.2
5u3cC2.pdb1	5u3cD3.pdb1	200.75
5u3cC2.pdb1	5u3cA2.pdb1	721.0
5u3cC2.pdb1	5u3cB2.pdb1	634.15
5u3cC2.pdb1	5u3cB3.pdb1	557.3
5u3cC1.pdb1	5u3cA1.pdb1	721.0
5u3cC1.pdb1	5u3cD1.pdb1	1271.6
5u3cC1.pdb1	5u3cB2.pdb1	557.3
5u3cC1.pdb1	5u3cB1.pdb1	634.2
5u3cD7.pdb1	5u3cB7.pdb1	723.85
5u3cD7.pdb1	5u3cC6.pdb1	200.75
5u3cB4.pdb1	5u3cD4.pdb1	723.9
5u3cB4.pdb1	5u3cA3.pdb1	194.05
5u3cA1.pdb1	5u3cD1.pdb1	649.65
5u3cA1.pdb1	5u3cB2.pdb1	194.05
5u3cA1.pdb1	5u3cB1.pdb1	1270.45
5u3cD4.pdb1	5u3cA3.pdb1	516.55
5u3cB7.pdb1	5u3cC6.pdb1	557.3
5u3cD3.pdb1	5u3cA2.pdb1	516.55
5u3cD3.pdb1	5u3cA3.pdb1	649.65
5u3cD3.pdb1	5u3cB3.pdb1	723.9
5u3cA2.pdb1	5u3cB2.pdb1	1270.5
5u3cA2.pdb1	5u3cB3.pdb1	194.05
5u3cD1.pdb1	5u3cB1.pdb1	723.8
5u3cD5.pdb1	5u3cA5.pdb1	649.6
5u3cC6.pdb1	5u3cB6.pdb1	634.15
5u3cA3.pdb1	5u3cB3.pdb1	1270.5
5u3cB6.pdb1	5u3cA5.pdb1	194.0
4u3cE2.pdb3	4u3cE1.pdb3	2069.5
1u35A1.pdb1	1u35H1.pdb1	2.95
1u35A1.pdb1	1u35G1.pdb1	673.55
1u35A1.pdb1	1u35J1.pdb1	766.2
1u35A1.pdb1	1u35B1.pdb1	2418.1
1u35A1.pdb1	1u35I1.pdb1	706.15
1u35A1.pdb1	1u35E1.pdb1	597.2
1u35A1.pdb1	1u35C1.pdb1	50.8
1u35H1.pdb1	1u35G1.pdb1	2547.0
1u35H1.pdb1	1u35F1.pdb1	460.8
1u35H1.pdb1	1u35J1.pdb1	473.85
1u35H1.pdb1	1u35B1.pdb1	208.3
1u35H1.pdb1	1u35I1.pdb1	413.1
1u35H1.pdb1	1u35C1.pdb1	47.85
1u35G1.pdb1	1u35J1.pdb1	436.5
1u35G1.pdb1	1u35D1.pdb1	32.7
1u35G1.pdb1	1u35B1.pdb1	409.75
1u35G1.pdb1	1u35I1.pdb1	504.0
1u35G1.pdb1	1u35E1.pdb1	99.2
1u35G1.pdb1	1u35C1.pdb1	160.1
1u35F1.pdb1	1u35J1.pdb1	263.7
1u35F1.pdb1	1u35D1.pdb1	234.6
1u35F1.pdb1	1u35I1.pdb1	347.15
1u35F1.pdb1	1u35E1.pdb1	2535.45
1u35F1.pdb1	1u35C1.pdb1	415.05
1u35J1.pdb1	1u35D1.pdb1	281.15
1u35J1.pdb1	1u35B1.pdb1	328.05
1u35J1.pdb1	1u35I1.pdb1	6318.75
1u35J1.pdb1	1u35E1.pdb1	715.25
1u35J1.pdb1	1u35C1.pdb1	513.1
1u35D1.pdb1	1u35B1.pdb1	502.95
1u35D1.pdb1	1u35I1.pdb1	388.75
1u35D1.pdb1	1u35C1.pdb1	2542.95
1u35B1.pdb1	1u35I1.pdb1	234.3
1u35I1.pdb1	1u35E1.pdb1	741.3
1u35I1.pdb1	1u35C1.pdb1	454.4
1u35E1.pdb1	1u35C1.pdb1	675.95
3u3wA1.pdb1	3u3wP1.pdb1	729.75
3u3wA1.pdb1	3u3wY1.pdb1	331.15
3u3wA1.pdb1	3u3wZ1.pdb1	368.95
3u3wA1.pdb1	3u3wB1.pdb1	1891.95
3u3wY1.pdb1	3u3wZ1.pdb1	790.4
3u3wY1.pdb1	3u3wB1.pdb1	377.6
3u3wQ1.pdb1	3u3wB1.pdb1	727.4
3u3wZ1.pdb1	3u3wB1.pdb1	328.2
4u33C1.pdb2	4u33D1.pdb2	1711.55
4u34B1.pdb1	4u34A1.pdb1	314.8
6u3eA1.pdb1	6u3eB1.pdb1	990.95
3u3fF1.pdb2	3u3fB1.pdb2	536.7
3u3fJ1.pdb2	3u3fB1.pdb2	357.2
3u35C1.pdb5	3u35D1.pdb5	970.9
3u34A1.pdb2	3u34D1.pdb2	1316.7
4u39B1.pdb2	4u39K1.pdb2	479.7
4u39E1.pdb5	4u39N1.pdb5	858.55
1u3zA2.pdb1	1u3zA1.pdb1	645.2
6u3gB1.pdb1	6u3gA1.pdb1	1316.05
4u39H1.pdb8	4u39Q1.pdb8	772.4
3u31B1.pdb1	3u31A1.pdb1	302.9
4u33E1.pdb3	4u33E2.pdb3	1740.9
3u37A1.pdb3	3u37C1.pdb3	1259.6
4u3xD1.pdb2	4u3xC1.pdb2	815.25
3u3fA1.pdb1	3u3fI1.pdb1	398.45
3u3fA1.pdb1	3u3fE1.pdb1	544.1
5u3iB1.pdb1	5u3iD1.pdb1	172.9
5u3iB1.pdb1	5u3iA1.pdb1	915.3
5u3iB1.pdb1	5u3iC1.pdb1	417.25
5u3iD1.pdb1	5u3iA1.pdb1	428.95
5u3iD1.pdb1	5u3iC1.pdb1	910.15
5u3iA1.pdb1	5u3iC1.pdb1	355.75
1u3aA1.pdb1	1u3aB1.pdb1	1013.55
1u3aA1.pdb1	1u3aE1.pdb1	38.6
1u3aD1.pdb1	1u3aE1.pdb1	1060.75
1u3aB1.pdb1	1u3aE1.pdb1	221.95
3u33C1.pdb1	3u33D1.pdb1	3335.7
3u33C1.pdb1	3u33B1.pdb1	686.45
3u33C1.pdb1	3u33A1.pdb1	884.0
3u33D1.pdb1	3u33B1.pdb1	904.65
3u33D1.pdb1	3u33A1.pdb1	695.25
3u33B1.pdb1	3u33A1.pdb1	3329.55
4u3qB1.pdb1	4u3qA1.pdb1	153.25
5u3iD1.pdb3	5u3iC1.pdb3	910.15
4u37B1.pdb1	4u37A1.pdb1	331.65
4u3yA1.pdb1	4u3yB1.pdb1	1566.15
3u3xM2.pdb3	3u3xM1.pdb3	1663.9
5u34B1.pdb1	5u34A1.pdb1	4098.1
4u30D1.pdb4	4u30Y1.pdb4	612.75
4u3xB1.pdb1	4u3xA1.pdb1	827.25
4u3zB1.pdb1	4u3zA1.pdb1	1332.05
3u3hA4.pdb1	3u3hA3.pdb1	1516.8
3u3hA4.pdb1	3u3hA1.pdb1	4695.2
3u3hA4.pdb1	3u3hA2.pdb1	1545.8
3u3hA3.pdb1	3u3hA1.pdb1	1545.8
3u3hA3.pdb1	3u3hA2.pdb1	4695.2
3u3hA1.pdb1	3u3hA2.pdb1	1516.7
4u33A1.pdb1	4u33B1.pdb1	1725.75
3u32L1.pdb1	3u32M1.pdb1	1503.25
3u32L1.pdb1	3u32K1.pdb1	1504.95
3u32L2.pdb1	3u32K2.pdb1	1504.95
3u32L2.pdb1	3u32M2.pdb1	1503.25
3u32O2.pdb1	3u32N2.pdb1	1504.4
3u32O2.pdb1	3u32K1.pdb1	1512.6
3u32M1.pdb1	3u32N1.pdb1	1495.65
3u32K2.pdb1	3u32O1.pdb1	1512.6
3u32N2.pdb1	3u32M2.pdb1	1495.65
3u32O1.pdb1	3u32N1.pdb1	1504.4
1u3wB1.pdb1	1u3wA1.pdb1	1676.05
4u38G1.pdb4	4u38H1.pdb4	336.85
4u3fV1.pdb1	4u3fN1.pdb1	703.35
4u3fV1.pdb1	4u3fO1.pdb1	1622.85
4u3fV1.pdb1	4u3fI1.pdb1	30.55
4u3fB1.pdb1	4u3fA1.pdb1	1973.2
4u3fB1.pdb1	4u3fO1.pdb1	681.35
4u3fB1.pdb1	4u3fI1.pdb1	1588.45
4u3fB1.pdb1	4u3fS1.pdb1	383.8
4u3fG1.pdb1	4u3fA1.pdb1	873.2
4u3fG1.pdb1	4u3fD1.pdb1	800.2
4u3fG1.pdb1	4u3fC1.pdb1	918.25
4u3fG1.pdb1	4u3fF1.pdb1	478.55
4u3fG1.pdb1	4u3fH1.pdb1	369.9
4u3fG1.pdb1	4u3fE1.pdb1	604.9
4u3fJ1.pdb1	4u3fA1.pdb1	202.2
4u3fJ1.pdb1	4u3fD1.pdb1	895.4
4u3fJ1.pdb1	4u3fE1.pdb1	728.7
4u3fN1.pdb1	4u3fO1.pdb1	1978.25
4u3fN1.pdb1	4u3fW1.pdb1	213.4
4u3fN1.pdb1	4u3fF1.pdb1	62.45
4u3fN1.pdb1	4u3fP1.pdb1	453.65
4u3fN1.pdb1	4u3fS1.pdb1	5.45
4u3fN1.pdb1	4u3fQ1.pdb1	109.05
4u3fN1.pdb1	4u3fR1.pdb1	982.1
4u3fN1.pdb1	4u3fT1.pdb1	843.45
4u3fA1.pdb1	4u3fD1.pdb1	125.25
4u3fA1.pdb1	4u3fC1.pdb1	453.8
4u3fA1.pdb1	4u3fF1.pdb1	6.1
4u3fA1.pdb1	4u3fI1.pdb1	740.0
4u3fA1.pdb1	4u3fP1.pdb1	0.05
4u3fA1.pdb1	4u3fS1.pdb1	62.05
4u3fA1.pdb1	4u3fE1.pdb1	985.55
4u3fU1.pdb1	4u3fQ1.pdb1	1152.8
4u3fU1.pdb1	4u3fT1.pdb1	324.95
4u3fD1.pdb1	4u3fC1.pdb1	1568.15
4u3fD1.pdb1	4u3fF1.pdb1	401.95
4u3fD1.pdb1	4u3fP1.pdb1	0.05
4u3fD1.pdb1	4u3fQ1.pdb1	280.4
4u3fD1.pdb1	4u3fR1.pdb1	61.6
4u3fD1.pdb1	4u3fH1.pdb1	1171.5
4u3fD1.pdb1	4u3fE1.pdb1	838.1
4u3fO1.pdb1	4u3fF1.pdb1	380.55
4u3fO1.pdb1	4u3fP1.pdb1	0.05
4u3fW1.pdb1	4u3fP1.pdb1	0.05
4u3fW1.pdb1	4u3fQ1.pdb1	879.55
4u3fW1.pdb1	4u3fR1.pdb1	727.85
4u3fC1.pdb1	4u3fF1.pdb1	1229.1
4u3fC1.pdb1	4u3fP1.pdb1	1026.9
4u3fC1.pdb1	4u3fR1.pdb1	585.55
4u3fC1.pdb1	4u3fE1.pdb1	485.75
4u3fP1.pdb1	4u3fS1.pdb1	1230.0
4u3fP1.pdb1	4u3fQ1.pdb1	1543.7
4u3fP1.pdb1	4u3fR1.pdb1	499.85
4u3fP1.pdb1	4u3fE1.pdb1	569.5
4u3fP1.pdb1	4u3fT1.pdb1	941.45
4u3fS1.pdb1	4u3fQ1.pdb1	416.1
4u3fS1.pdb1	4u3fT1.pdb1	481.05
4u3fQ1.pdb1	4u3fR1.pdb1	811.1
4u3fQ1.pdb1	4u3fE1.pdb1	50.9
4u3fQ1.pdb1	4u3fT1.pdb1	794.6
4u3fR1.pdb1	4u3fT1.pdb1	607.85
1u3lA1.pdb1	1u3lA3.pdb1	989.65
1u3lA1.pdb1	1u3lA2.pdb1	987.25
1u3lA3.pdb1	1u3lA2.pdb1	986.75
3u3pA2.pdb1	3u3pA1.pdb1	760.5
4u3sA1.pdb1	4u3sB1.pdb1	858.0
4u3rA1.pdb1	4u3rB1.pdb1	462.75
1u3jA1.pdb1	1u3jA2.pdb1	629.35
3u34A1.pdb1	3u34C1.pdb1	335.8
3u34A1.pdb1	3u34B1.pdb1	1008.95
3u34A1.pdb1	3u34D1.pdb1	1316.7
3u34C1.pdb1	3u34B1.pdb1	1250.15
3u34C1.pdb1	3u34D1.pdb1	1007.95
3u34B1.pdb1	3u34D1.pdb1	531.75
5u3lH1.pdb1	5u3lP1.pdb1	763.7
5u3lH1.pdb1	5u3lL1.pdb1	1970.65
1u3qC1.pdb1	1u3qA1.pdb1	1377.45
4u3cD1.pdb2	4u3cC1.pdb2	2083.6
4u38F1.pdb3	4u38E1.pdb3	334.0
3u35D1.pdb1	3u35B1.pdb1	564.2
3u35D1.pdb1	3u35C1.pdb1	970.9
3u35D1.pdb1	3u35A1.pdb1	1346.2
3u35B1.pdb1	3u35C1.pdb1	1269.2
3u35B1.pdb1	3u35A1.pdb1	963.55
3u35C1.pdb1	3u35A1.pdb1	385.2
1u3iA2.pdb1	1u3iA1.pdb1	1216.35
1u3eA1.pdb1	1u3eB1.pdb1	952.9
1u3eA1.pdb1	1u3eM1.pdb1	1501.1
1u3eA1.pdb1	1u3eC1.pdb1	749.25
1u3eB1.pdb1	1u3eM1.pdb1	897.7
1u3eB1.pdb1	1u3eC1.pdb1	104.75
1u3eM1.pdb1	1u3eC1.pdb1	494.75
5u33B1.pdb1	5u33A1.pdb1	6048.55
5u33B1.pdb1	5u33C1.pdb1	934.3
5u33D1.pdb1	5u33A1.pdb1	1771.2
5u33D1.pdb1	5u33C1.pdb1	305.1
5u33A1.pdb1	5u33C1.pdb1	2519.2
5u30D1.pdb1	5u30A1.pdb1	859.55
5u30D1.pdb1	5u30C1.pdb1	306.1
5u30A1.pdb1	5u30B1.pdb1	5997.25
5u30A1.pdb1	5u30C1.pdb1	3818.75
5u30B1.pdb1	5u30C1.pdb1	935.4
3u35A1.pdb2	3u35D1.pdb2	1346.2
5u3jA1.pdb1	5u3jH1.pdb1	807.15
5u3jL1.pdb1	5u3jH1.pdb1	2070.6
3u3vA1.pdb1	3u3vA2.pdb1	741.2
3u3xJ1.pdb2	3u3xG1.pdb2	1650.4
3u3xD1.pdb1	3u3xA1.pdb1	1648.45
4u38D1.pdb2	4u38C1.pdb2	337.45
4u38B1.pdb1	4u38A1.pdb1	335.4
4u39C1.pdb3	4u39L1.pdb3	840.6
4u39D1.pdb4	4u39M1.pdb4	725.2
1u3uB1.pdb1	1u3uA1.pdb1	1672.8
3u36H1.pdb1	3u36L1.pdb1	1710.85
4u3oB1.pdb1	4u3oA1.pdb1	408.4
4u3jC1.pdb1	4u3jB1.pdb1	567.8
4u3jC1.pdb1	4u3jA1.pdb1	399.95
4u3jB1.pdb1	4u3jA1.pdb1	1312.65
1u3tA1.pdb1	1u3tB1.pdb1	1682.7
3u37B1.pdb1	3u37D1.pdb1	1254.2
3u37B1.pdb1	3u37A1.pdb1	1002.0
3u37D1.pdb1	3u37C1.pdb1	958.35
3u37C1.pdb1	3u37A1.pdb1	1259.6
3u34D1.pdb5	3u34C1.pdb5	1007.95
4u32A1.pdb1	4u32X1.pdb1	683.05
3u30E1.pdb2	3u30F1.pdb2	1741.95
3u30E1.pdb2	3u30D1.pdb2	167.35
3u30F1.pdb2	3u30D1.pdb2	765.65
4u3pB1.pdb1	4u3pA1.pdb1	403.7
4u30B1.pdb2	4u30Z1.pdb2	615.55
1u3sB1.pdb1	1u3sA1.pdb1	1257.7
1u3sB1.pdb1	1u3sD1.pdb1	433.55
1u3sA1.pdb1	1u3sC1.pdb1	464.55
3u3sA1.pdb1	3u3sA2.pdb1	743.65
1u36A2.pdb1	1u36A1.pdb1	648.2
4u31A1.pdb1	4u31B1.pdb1	2190.35
4u3wB2.pdb1	4u3wA1.pdb1	784.65
4u3wB2.pdb1	4u3wA2.pdb1	2477.95
4u3wB2.pdb1	4u3wB1.pdb1	722.4
4u3wA1.pdb1	4u3wA2.pdb1	613.5
4u3wA1.pdb1	4u3wB1.pdb1	2477.95
4u3wA2.pdb1	4u3wB1.pdb1	784.7
5u3fA1.pdb1	5u3fB1.pdb1	2199.5
5u3mA1.pdb1	5u3mH1.pdb1	712.5
5u3mH1.pdb1	5u3mL1.pdb1	2124.25
5u3lA1.pdb2	5u3lC1.pdb2	735.8
5u3lA1.pdb2	5u3lB1.pdb2	1910.85
1u31A1.pdb5	1u31A2.pdb5	330.75
1u31B1.pdb4	1u31B2.pdb4	626.9
3u36E1.pdb4	3u36F1.pdb4	1684.8
3u3dA1.pdb1	3u3dB1.pdb1	314.35
4u3lB1.pdb1	4u3lA1.pdb1	453.85
3u36D1.pdb3	3u36C1.pdb3	1697.65
3u33G1.pdb2	3u33E1.pdb2	887.15
3u33G1.pdb2	3u33H1.pdb2	3419.5
3u33G1.pdb2	3u33F1.pdb2	682.4
