1jiwP1.pdb1	1jiwI1.pdb1	1009.35
2ji5B1.pdb1	2ji5A1.pdb1	1311.1
2ji5B1.pdb1	2ji5B2.pdb1	275.3
2ji5B1.pdb1	2ji5B3.pdb1	274.85
2ji5A2.pdb1	2ji5A1.pdb1	346.75
2ji5A2.pdb1	2ji5B2.pdb1	1311.4
2ji5A2.pdb1	2ji5A3.pdb1	346.45
2ji5A1.pdb1	2ji5B3.pdb1	866.3
2ji5A1.pdb1	2ji5A3.pdb1	347.45
2ji5B2.pdb1	2ji5B3.pdb1	276.65
2ji5B2.pdb1	2ji5A3.pdb1	867.0
2ji5B3.pdb1	2ji5A3.pdb1	1304.7
2ji2A1.pdb1	2ji2B1.pdb1	1574.65
2jizL1.pdb2	2jizN1.pdb2	568.6
2jizL1.pdb2	2jizH1.pdb2	1802.85
2jizL1.pdb2	2jizI1.pdb2	1891.9
2jizN1.pdb2	2jizJ1.pdb2	225.8
2jizN1.pdb2	2jizM1.pdb2	489.35
2jizN1.pdb2	2jizH1.pdb2	656.0
2jizN1.pdb2	2jizI1.pdb2	200.45
2jizN1.pdb2	2jizK1.pdb2	632.55
2jizJ1.pdb2	2jizM1.pdb2	2302.0
2jizJ1.pdb2	2jizK1.pdb2	2984.8
2jizM1.pdb2	2jizI1.pdb2	2226.2
2jizM1.pdb2	2jizK1.pdb2	102.7
2jizH1.pdb2	2jizK1.pdb2	2455.7
4jizA1.pdb1	4jizB1.pdb1	431.4
1jiqB1.pdb1	1jiqA1.pdb1	6445.35
5ji2D1.pdb2	5ji2C1.pdb2	774.35
4jixA1.pdb1	4jixB1.pdb1	970.75
4jisA1.pdb1	4jisB1.pdb1	1801.65
6jibB1.pdb1	6jibA1.pdb1	1573.55
4jiyA2.pdb1	4jiyA3.pdb1	160.55
4jiyA2.pdb1	4jiyA1.pdb1	160.9
4jiyA3.pdb1	4jiyA1.pdb1	160.95
6jijA1.pdb3	6jijF1.pdb3	323.2
5jibC1.pdb1	5jibE1.pdb1	1046.9
5jibC1.pdb1	5jibF1.pdb1	1107.0
5jibC1.pdb1	5jibB1.pdb1	416.1
5jibC1.pdb1	5jibA1.pdb1	413.75
5jibD1.pdb1	5jibE1.pdb1	415.95
5jibD1.pdb1	5jibF1.pdb1	393.25
5jibD1.pdb1	5jibB1.pdb1	1052.8
5jibD1.pdb1	5jibA1.pdb1	1089.15
5jibE1.pdb1	5jibF1.pdb1	415.25
5jibE1.pdb1	5jibB1.pdb1	1095.85
5jibF1.pdb1	5jibA1.pdb1	1034.0
5jibB1.pdb1	5jibA1.pdb1	416.15
4jibB1.pdb1	4jibA1.pdb1	720.8
4jibB1.pdb1	4jibD1.pdb1	79.65
4jibB1.pdb1	4jibC1.pdb1	721.1
4jibA1.pdb1	4jibD1.pdb1	390.95
4jibD1.pdb1	4jibC1.pdb1	834.65
1ji5C3.pdb1	1ji5D1.pdb1	406.2
1ji5C3.pdb1	1ji5D3.pdb1	1207.95
1ji5C3.pdb1	1ji5B3.pdb1	423.0
1ji5C3.pdb1	1ji5A2.pdb1	424.7
1ji5C3.pdb1	1ji5A3.pdb1	397.35
1ji5D2.pdb1	1ji5D1.pdb1	419.55
1ji5D2.pdb1	1ji5D3.pdb1	419.55
1ji5D2.pdb1	1ji5A1.pdb1	402.95
1ji5D2.pdb1	1ji5C1.pdb1	406.15
1ji5D2.pdb1	1ji5C2.pdb1	1207.9
1ji5D1.pdb1	1ji5D3.pdb1	419.5
1ji5D1.pdb1	1ji5A3.pdb1	402.95
1ji5D1.pdb1	1ji5C1.pdb1	1207.95
1ji5D3.pdb1	1ji5A2.pdb1	402.85
1ji5D3.pdb1	1ji5C2.pdb1	406.15
1ji5A1.pdb1	1ji5B2.pdb1	417.05
1ji5A1.pdb1	1ji5C1.pdb1	397.35
1ji5A1.pdb1	1ji5C2.pdb1	424.7
1ji5A1.pdb1	1ji5B1.pdb1	1207.4
1ji5B2.pdb1	1ji5B3.pdb1	401.95
1ji5B2.pdb1	1ji5A2.pdb1	1207.35
1ji5B2.pdb1	1ji5C2.pdb1	423.05
1ji5B2.pdb1	1ji5B1.pdb1	401.95
1ji5B3.pdb1	1ji5A2.pdb1	417.05
1ji5B3.pdb1	1ji5A3.pdb1	1207.4
1ji5B3.pdb1	1ji5B1.pdb1	401.95
1ji5A2.pdb1	1ji5C2.pdb1	397.35
1ji5A3.pdb1	1ji5C1.pdb1	424.75
1ji5A3.pdb1	1ji5B1.pdb1	417.05
1ji5C1.pdb1	1ji5B1.pdb1	423.05
5jidA2.pdb1	5jidB2.pdb1	893.0
5jidA2.pdb1	5jidA1.pdb1	447.9
5jidA2.pdb1	5jidB1.pdb1	359.2
5jidB2.pdb1	5jidA1.pdb1	359.2
5jidB2.pdb1	5jidB1.pdb1	427.7
5jidA1.pdb1	5jidB1.pdb1	893.0
4ji2D1.pdb1	4ji2A1.pdb1	2914.7
4ji2D1.pdb1	4ji2E1.pdb1	340.05
4ji2A1.pdb1	4ji2N1.pdb1	1960.25
4ji2A1.pdb1	4ji2K1.pdb1	1794.75
4ji2A1.pdb1	4ji2C1.pdb1	1632.85
4ji2A1.pdb1	4ji2G1.pdb1	1850.4
4ji2A1.pdb1	4ji2F1.pdb1	628.25
4ji2A1.pdb1	4ji2H1.pdb1	1843.65
4ji2A1.pdb1	4ji2J1.pdb1	1784.8
4ji2A1.pdb1	4ji2U1.pdb1	1267.65
4ji2A1.pdb1	4ji2P1.pdb1	2525.25
4ji2A1.pdb1	4ji2M1.pdb1	1951.3
4ji2A1.pdb1	4ji2T1.pdb1	2481.7
4ji2A1.pdb1	4ji2E1.pdb1	1960.25
4ji2A1.pdb1	4ji2L1.pdb1	2955.85
4ji2A1.pdb1	4ji2O1.pdb1	1728.7
4ji2A1.pdb1	4ji2B1.pdb1	1071.6
4ji2A1.pdb1	4ji2S1.pdb1	1503.95
4ji2A1.pdb1	4ji2R1.pdb1	882.55
4ji2A1.pdb1	4ji2I1.pdb1	2873.8
4ji2A1.pdb1	4ji2Q1.pdb1	2604.4
4ji2N1.pdb1	4ji2C1.pdb1	870.25
4ji2N1.pdb1	4ji2J1.pdb1	779.9
4ji2N1.pdb1	4ji2S1.pdb1	22.7
4ji2N1.pdb1	4ji2I1.pdb1	86.15
4ji2K1.pdb1	4ji2G1.pdb1	202.65
4ji2K1.pdb1	4ji2R1.pdb1	324.45
4ji2C1.pdb1	4ji2J1.pdb1	365.4
4ji2C1.pdb1	4ji2E1.pdb1	85.65
4ji2G1.pdb1	4ji2I1.pdb1	225.1
4ji2F1.pdb1	4ji2O1.pdb1	12.95
4ji2F1.pdb1	4ji2R1.pdb1	1017.05
4ji2H1.pdb1	4ji2E1.pdb1	588.7
4ji2H1.pdb1	4ji2L1.pdb1	63.85
4ji2H1.pdb1	4ji2B1.pdb1	259.3
4ji2H1.pdb1	4ji2Q1.pdb1	132.2
4ji2J1.pdb1	4ji2I1.pdb1	178.55
4ji2U1.pdb1	4ji2M1.pdb1	45.65
4ji2M1.pdb1	4ji2S1.pdb1	377.65
4ji2L1.pdb1	4ji2Q1.pdb1	224.9
4ji2O1.pdb1	4ji2Q1.pdb1	7.5
5jilA1.pdb1	5jilA2.pdb1	1211.7
5jieD1.pdb1	5jieA1.pdb1	63.45
5jieD1.pdb1	5jieB1.pdb1	1414.8
5jieD1.pdb1	5jieE1.pdb1	64.4
5jieD1.pdb1	5jieC1.pdb1	1471.4
5jieA1.pdb1	5jieB1.pdb1	68.0
5jieA1.pdb1	5jieE1.pdb1	1349.15
5jieA1.pdb1	5jieC1.pdb1	1386.2
5jieB1.pdb1	5jieE1.pdb1	1463.9
5jieB1.pdb1	5jieC1.pdb1	63.1
5jieE1.pdb1	5jieC1.pdb1	60.8
2jiyM1.pdb1	2jiyH1.pdb1	2685.55
2jiyM1.pdb1	2jiyL1.pdb1	4468.7
2jiyH1.pdb1	2jiyL1.pdb1	1555.25
1jiiA1.pdb2	1jiiA2.pdb2	1486.45
1jilA2.pdb1	1jilA1.pdb1	1324.6
1ji7B1.pdb1	1ji7C1.pdb1	542.2
1ji7B1.pdb1	1ji7A1.pdb1	628.15
6jimA1.pdb1	6jimC1.pdb1	1098.95
5jipB1.pdb1	5jipA1.pdb1	1150.8
2jizE1.pdb1	2jizA1.pdb1	1801.45
2jizE1.pdb1	2jizG1.pdb1	573.2
2jizE1.pdb1	2jizB1.pdb1	1885.8
2jizC1.pdb1	2jizG1.pdb1	225.3
2jizC1.pdb1	2jizD1.pdb1	2992.15
2jizC1.pdb1	2jizF1.pdb1	2304.95
2jizA1.pdb1	2jizG1.pdb1	641.55
2jizA1.pdb1	2jizD1.pdb1	2442.5
2jizG1.pdb1	2jizD1.pdb1	623.0
2jizG1.pdb1	2jizF1.pdb1	490.2
2jizG1.pdb1	2jizB1.pdb1	215.65
2jizD1.pdb1	2jizF1.pdb1	101.5
2jizF1.pdb1	2jizB1.pdb1	2248.65
1jijA2.pdb1	1jijA1.pdb1	654.7
6jijB1.pdb1	6jijD1.pdb1	324.45
4jifB2.pdb2	4jifA2.pdb2	962.4
4jifB2.pdb2	4jifA1.pdb2	66.6
4jifA2.pdb2	4jifB1.pdb2	66.55
4jifA2.pdb2	4jifA1.pdb2	894.7
4jifB1.pdb2	4jifA1.pdb2	962.4
6jimB1.pdb2	6jimD1.pdb2	1099.6
5jiiB1.pdb1	5jiiA1.pdb1	1120.95
1ji4H1.pdb1	1ji4E1.pdb1	1271.05
1ji4H1.pdb1	1ji4D1.pdb1	369.7
1ji4H1.pdb1	1ji4K1.pdb1	363.4
1ji4H1.pdb1	1ji4L1.pdb1	353.45
1ji4H1.pdb1	1ji4A1.pdb1	374.1
1ji4B1.pdb1	1ji4E1.pdb1	347.55
1ji4B1.pdb1	1ji4F1.pdb1	373.85
1ji4B1.pdb1	1ji4K1.pdb1	343.15
1ji4B1.pdb1	1ji4J1.pdb1	377.45
1ji4B1.pdb1	1ji4C1.pdb1	1263.65
1ji4E1.pdb1	1ji4K1.pdb1	357.2
1ji4E1.pdb1	1ji4L1.pdb1	362.95
1ji4E1.pdb1	1ji4C1.pdb1	371.0
1ji4D1.pdb1	1ji4G1.pdb1	361.6
1ji4D1.pdb1	1ji4I1.pdb1	372.6
1ji4D1.pdb1	1ji4L1.pdb1	355.0
1ji4D1.pdb1	1ji4A1.pdb1	1265.0
1ji4G1.pdb1	1ji4I1.pdb1	368.45
1ji4G1.pdb1	1ji4F1.pdb1	1267.3
1ji4G1.pdb1	1ji4J1.pdb1	353.25
1ji4G1.pdb1	1ji4A1.pdb1	343.1
1ji4I1.pdb1	1ji4F1.pdb1	353.75
1ji4I1.pdb1	1ji4L1.pdb1	1265.55
1ji4I1.pdb1	1ji4C1.pdb1	353.5
1ji4F1.pdb1	1ji4J1.pdb1	362.65
1ji4F1.pdb1	1ji4C1.pdb1	359.15
1ji4K1.pdb1	1ji4J1.pdb1	1257.5
1ji4K1.pdb1	1ji4A1.pdb1	368.3
1ji4J1.pdb1	1ji4A1.pdb1	344.5
1ji4L1.pdb1	1ji4C1.pdb1	362.95
1jilA2.pdb2	1jilA1.pdb2	1562.3
1jigB2.pdb1	1jigD1.pdb1	398.35
1jigB2.pdb1	1jigC1.pdb1	352.9
1jigB2.pdb1	1jigA1.pdb1	399.05
1jigB2.pdb1	1jigA2.pdb1	1191.9
1jigB2.pdb1	1jigD2.pdb1	352.35
1jigD1.pdb1	1jigC1.pdb1	1193.1
1jigD1.pdb1	1jigC3.pdb1	352.35
1jigD1.pdb1	1jigA1.pdb1	398.25
1jigD1.pdb1	1jigB1.pdb1	352.3
1jigD3.pdb1	1jigC3.pdb1	1193.1
1jigD3.pdb1	1jigB3.pdb1	352.3
1jigD3.pdb1	1jigA3.pdb1	398.25
1jigD3.pdb1	1jigB1.pdb1	398.35
1jigD3.pdb1	1jigC2.pdb1	352.4
1jigC1.pdb1	1jigC3.pdb1	398.25
1jigC1.pdb1	1jigD2.pdb1	352.4
1jigC1.pdb1	1jigC2.pdb1	398.15
1jigC3.pdb1	1jigB1.pdb1	352.9
1jigC3.pdb1	1jigC2.pdb1	398.2
1jigA1.pdb1	1jigA2.pdb1	354.8
1jigA1.pdb1	1jigA3.pdb1	354.8
1jigA1.pdb1	1jigB1.pdb1	1191.9
1jigB3.pdb1	1jigA2.pdb1	398.95
1jigB3.pdb1	1jigA3.pdb1	1191.85
1jigB3.pdb1	1jigD2.pdb1	398.4
1jigB3.pdb1	1jigC2.pdb1	352.85
1jigA2.pdb1	1jigA3.pdb1	354.8
1jigA2.pdb1	1jigD2.pdb1	398.25
1jigA3.pdb1	1jigB1.pdb1	399.0
1jigD2.pdb1	1jigC2.pdb1	1193.1
5jiqB2.pdb1	5jiqB1.pdb1	420.6
5jiqB2.pdb1	5jiqA2.pdb1	882.3
5jiqB2.pdb1	5jiqA1.pdb1	347.35
5jiqB1.pdb1	5jiqA2.pdb1	347.35
5jiqB1.pdb1	5jiqA1.pdb1	882.3
5jiqA2.pdb1	5jiqA1.pdb1	440.9
6jijE1.pdb2	6jijC1.pdb2	313.3
4jivD1.pdb1	4jivA1.pdb1	277.1
4jivD1.pdb1	4jivB1.pdb1	269.4
4jivD1.pdb1	4jivC1.pdb1	278.7
4jivA1.pdb1	4jivB1.pdb1	3621.9
4jivA1.pdb1	4jivC1.pdb1	3567.95
4jivB1.pdb1	4jivC1.pdb1	3637.85
5jisA1.pdb1	5jisD1.pdb1	2163.8
1jikA1.pdb1	1jikA2.pdb1	1280.6
4jijP1.pdb1	4jijA1.pdb1	427.05
4ji8C1.pdb1	4ji8B1.pdb1	31.05
4ji8C1.pdb1	4ji8J1.pdb1	354.6
4ji8C1.pdb1	4ji8N1.pdb1	859.15
4ji8C1.pdb1	4ji8E1.pdb1	83.65
4ji8C1.pdb1	4ji8A1.pdb1	1688.2
4ji8I1.pdb1	4ji8J1.pdb1	184.25
4ji8I1.pdb1	4ji8N1.pdb1	72.75
4ji8I1.pdb1	4ji8G1.pdb1	216.85
4ji8I1.pdb1	4ji8A1.pdb1	2837.9
4ji8P1.pdb1	4ji8A1.pdb1	2531.2
4ji8S1.pdb1	4ji8M1.pdb1	450.75
4ji8S1.pdb1	4ji8A1.pdb1	1544.6
4ji8B1.pdb1	4ji8H1.pdb1	281.5
4ji8B1.pdb1	4ji8E1.pdb1	4.35
4ji8B1.pdb1	4ji8A1.pdb1	878.3
4ji8J1.pdb1	4ji8N1.pdb1	797.75
4ji8J1.pdb1	4ji8A1.pdb1	1817.75
4ji8H1.pdb1	4ji8E1.pdb1	552.25
4ji8H1.pdb1	4ji8L1.pdb1	55.9
4ji8H1.pdb1	4ji8A1.pdb1	1938.05
4ji8H1.pdb1	4ji8Q1.pdb1	117.45
4ji8D1.pdb1	4ji8E1.pdb1	398.15
4ji8D1.pdb1	4ji8A1.pdb1	3159.1
4ji8M1.pdb1	4ji8U1.pdb1	69.0
4ji8M1.pdb1	4ji8A1.pdb1	1946.35
4ji8N1.pdb1	4ji8A1.pdb1	1909.35
4ji8G1.pdb1	4ji8K1.pdb1	259.95
4ji8G1.pdb1	4ji8A1.pdb1	1946.1
4ji8T1.pdb1	4ji8A1.pdb1	2484.35
4ji8E1.pdb1	4ji8A1.pdb1	1958.1
4ji8U1.pdb1	4ji8A1.pdb1	1318.25
4ji8L1.pdb1	4ji8A1.pdb1	2975.85
4ji8L1.pdb1	4ji8Q1.pdb1	222.45
4ji8K1.pdb1	4ji8R1.pdb1	306.5
4ji8K1.pdb1	4ji8A1.pdb1	1837.8
4ji8R1.pdb1	4ji8A1.pdb1	886.7
4ji8R1.pdb1	4ji8F1.pdb1	1071.0
4ji8O1.pdb1	4ji8A1.pdb1	1747.45
4ji8O1.pdb1	4ji8Q1.pdb1	8.7
4ji8O1.pdb1	4ji8F1.pdb1	13.6
4ji8A1.pdb1	4ji8Q1.pdb1	2679.6
4ji8A1.pdb1	4ji8F1.pdb1	565.6
2ji1B1.pdb1	2ji1A1.pdb1	1559.55
5jicA2.pdb1	5jicA1.pdb1	2219.5
5ji0E1.pdb3	5ji0D1.pdb3	723.1
4ji7O1.pdb1	4ji7Q1.pdb1	6.3
4ji7O1.pdb1	4ji7A1.pdb1	1734.2
4ji7O1.pdb1	4ji7F1.pdb1	28.25
4ji7U1.pdb1	4ji7A1.pdb1	1280.4
4ji7U1.pdb1	4ji7M1.pdb1	28.1
4ji7P1.pdb1	4ji7A1.pdb1	2508.3
4ji7Q1.pdb1	4ji7A1.pdb1	2506.85
4ji7Q1.pdb1	4ji7L1.pdb1	226.1
4ji7Q1.pdb1	4ji7H1.pdb1	136.55
4ji7S1.pdb1	4ji7A1.pdb1	1516.95
4ji7S1.pdb1	4ji7M1.pdb1	405.65
4ji7A1.pdb1	4ji7J1.pdb1	1853.85
4ji7A1.pdb1	4ji7L1.pdb1	2952.85
4ji7A1.pdb1	4ji7M1.pdb1	1977.95
4ji7A1.pdb1	4ji7T1.pdb1	2491.65
4ji7A1.pdb1	4ji7C1.pdb1	1653.45
4ji7A1.pdb1	4ji7N1.pdb1	1872.75
4ji7A1.pdb1	4ji7D1.pdb1	3089.6
4ji7A1.pdb1	4ji7G1.pdb1	1947.85
4ji7A1.pdb1	4ji7F1.pdb1	580.9
4ji7A1.pdb1	4ji7R1.pdb1	902.05
4ji7A1.pdb1	4ji7K1.pdb1	1840.75
4ji7A1.pdb1	4ji7B1.pdb1	982.15
4ji7A1.pdb1	4ji7H1.pdb1	1958.05
4ji7A1.pdb1	4ji7E1.pdb1	1922.8
4ji7A1.pdb1	4ji7I1.pdb1	2884.1
4ji7J1.pdb1	4ji7C1.pdb1	354.95
4ji7J1.pdb1	4ji7N1.pdb1	796.3
4ji7J1.pdb1	4ji7I1.pdb1	181.8
4ji7L1.pdb1	4ji7H1.pdb1	69.0
4ji7C1.pdb1	4ji7N1.pdb1	853.95
4ji7C1.pdb1	4ji7E1.pdb1	72.3
4ji7N1.pdb1	4ji7I1.pdb1	77.35
4ji7D1.pdb1	4ji7E1.pdb1	384.95
4ji7G1.pdb1	4ji7K1.pdb1	227.65
4ji7G1.pdb1	4ji7I1.pdb1	235.6
4ji7F1.pdb1	4ji7R1.pdb1	1011.6
4ji7R1.pdb1	4ji7K1.pdb1	303.3
4ji7B1.pdb1	4ji7H1.pdb1	298.8
4ji7H1.pdb1	4ji7E1.pdb1	597.75
5ji3D1.pdb1	5ji3F1.pdb1	388.5
5ji3D1.pdb1	5ji3C2.pdb1	408.2
5ji3D1.pdb1	5ji3E1.pdb1	7.25
5ji3D1.pdb1	5ji3E2.pdb1	5.45
5ji3D1.pdb1	5ji3C1.pdb1	807.5
5ji3D1.pdb1	5ji3B1.pdb1	501.25
5ji3D1.pdb1	5ji3A1.pdb1	611.05
5ji3F1.pdb1	5ji3E1.pdb1	2168.2
5ji3F1.pdb1	5ji3E2.pdb1	2095.2
5ji3C2.pdb1	5ji3E2.pdb1	254.9
5ji3C2.pdb1	5ji3D2.pdb1	807.5
5ji3C2.pdb1	5ji3B2.pdb1	661.3
5ji3C2.pdb1	5ji3A1.pdb1	503.75
5ji3E1.pdb1	5ji3D3.pdb1	5.45
5ji3E1.pdb1	5ji3F3.pdb1	2095.2
5ji3E1.pdb1	5ji3C1.pdb1	254.85
