1buvT1.pdb1	1buvM1.pdb1	1362.15
1bu3A2.pdb1	1bu3A1.pdb1	683.9
1bu5A1.pdb1	1bu5B1.pdb1	175.2
2bu8A2.pdb1	2bu8A1.pdb1	1109.1
6bugE1.pdb3	6bugF1.pdb3	700.45
2buuB10.pdb1	2buuB12.pdb1	1495.3
2buuB10.pdb1	2buuA8.pdb1	166.75
2buuB10.pdb1	2buuB8.pdb1	501.3
2buuB10.pdb1	2buuB9.pdb1	427.3
2buuB10.pdb1	2buuB2.pdb1	426.15
2buuB10.pdb1	2buuA6.pdb1	49.85
2buuB10.pdb1	2buuA10.pdb1	3823.2
2buuB10.pdb1	2buuB6.pdb1	503.6
2buuB10.pdb1	2buuA9.pdb1	65.15
2buuB12.pdb1	2buuA8.pdb1	65.15
2buuB12.pdb1	2buuA11.pdb1	49.85
2buuB12.pdb1	2buuB8.pdb1	427.3
2buuB12.pdb1	2buuB7.pdb1	426.15
2buuB12.pdb1	2buuB9.pdb1	501.3
2buuB12.pdb1	2buuA12.pdb1	3823.2
2buuB12.pdb1	2buuB11.pdb1	503.6
2buuB12.pdb1	2buuA9.pdb1	166.75
2buuA5.pdb1	2buuB1.pdb1	65.15
2buuA5.pdb1	2buuB7.pdb1	50.15
2buuA5.pdb1	2buuB4.pdb1	166.75
2buuA5.pdb1	2buuA7.pdb1	182.9
2buuA5.pdb1	2buuB5.pdb1	3832.15
2buuA5.pdb1	2buuA4.pdb1	181.55
2buuA8.pdb1	2buuB8.pdb1	3832.15
2buuA8.pdb1	2buuA6.pdb1	182.9
2buuA8.pdb1	2buuA10.pdb1	181.55
2buuA8.pdb1	2buuB6.pdb1	50.15
2buuB1.pdb1	2buuB3.pdb1	501.3
2buuB1.pdb1	2buuB2.pdb1	503.6
2buuB1.pdb1	2buuA3.pdb1	166.75
2buuB1.pdb1	2buuA1.pdb1	3823.2
2buuB1.pdb1	2buuB4.pdb1	1495.3
2buuB1.pdb1	2buuB5.pdb1	427.35
2buuB1.pdb1	2buuB6.pdb1	426.15
2buuB1.pdb1	2buuA2.pdb1	49.9
2buuB3.pdb1	2buuA11.pdb1	64.5
2buuB3.pdb1	2buuB9.pdb1	1487.1
2buuB3.pdb1	2buuB2.pdb1	501.65
2buuB3.pdb1	2buuA3.pdb1	3832.15
2buuB3.pdb1	2buuA1.pdb1	49.45
2buuB3.pdb1	2buuB4.pdb1	427.35
2buuB3.pdb1	2buuB11.pdb1	427.3
2buuB3.pdb1	2buuA2.pdb1	166.05
2buuA11.pdb1	2buuB9.pdb1	166.05
2buuA11.pdb1	2buuA12.pdb1	181.05
2buuA11.pdb1	2buuB11.pdb1	3826.3
2buuA11.pdb1	2buuA9.pdb1	182.9
2buuB8.pdb1	2buuB7.pdb1	427.3
2buuB8.pdb1	2buuA6.pdb1	166.05
2buuB8.pdb1	2buuA7.pdb1	64.5
2buuB8.pdb1	2buuB5.pdb1	1487.1
2buuB8.pdb1	2buuA10.pdb1	49.45
2buuB8.pdb1	2buuB6.pdb1	501.65
2buuB7.pdb1	2buuB4.pdb1	503.6
2buuB7.pdb1	2buuA7.pdb1	3826.3
2buuB7.pdb1	2buuB5.pdb1	501.65
2buuB7.pdb1	2buuA12.pdb1	64.15
2buuB7.pdb1	2buuB11.pdb1	1502.6
2buuB7.pdb1	2buuA4.pdb1	165.5
2buuB9.pdb1	2buuB2.pdb1	427.3
2buuB9.pdb1	2buuA12.pdb1	49.45
2buuB9.pdb1	2buuB11.pdb1	501.65
2buuB9.pdb1	2buuA9.pdb1	3832.15
2buuB9.pdb1	2buuA2.pdb1	64.5
2buuB2.pdb1	2buuA3.pdb1	50.15
2buuB2.pdb1	2buuA1.pdb1	165.5
2buuB2.pdb1	2buuA10.pdb1	64.15
2buuB2.pdb1	2buuB6.pdb1	1502.6
2buuB2.pdb1	2buuA2.pdb1	3826.3
2buuA3.pdb1	2buuA1.pdb1	181.55
2buuA3.pdb1	2buuB4.pdb1	65.15
2buuA3.pdb1	2buuA2.pdb1	182.9
2buuA6.pdb1	2buuB5.pdb1	64.5
2buuA6.pdb1	2buuA10.pdb1	181.05
2buuA6.pdb1	2buuB6.pdb1	3826.3
2buuA1.pdb1	2buuB6.pdb1	64.15
2buuA1.pdb1	2buuA2.pdb1	181.05
2buuB4.pdb1	2buuA7.pdb1	49.9
2buuB4.pdb1	2buuB5.pdb1	501.3
2buuB4.pdb1	2buuB11.pdb1	426.15
2buuB4.pdb1	2buuA4.pdb1	3823.2
2buuA7.pdb1	2buuB5.pdb1	166.05
2buuA7.pdb1	2buuA4.pdb1	181.05
2buuB5.pdb1	2buuB6.pdb1	427.3
2buuB5.pdb1	2buuA4.pdb1	49.45
2buuA10.pdb1	2buuB6.pdb1	165.5
2buuA12.pdb1	2buuB11.pdb1	165.5
2buuA12.pdb1	2buuA9.pdb1	181.55
2buuB11.pdb1	2buuA9.pdb1	50.15
2buuB11.pdb1	2buuA4.pdb1	64.15
1buhB1.pdb1	1buhA1.pdb1	662.0
6buqD1.pdb1	6buqC1.pdb1	594.8
6buqD1.pdb1	6buqB1.pdb1	1430.65
6buqD1.pdb1	6buqA1.pdb1	749.75
6buqC1.pdb1	6buqB1.pdb1	722.95
6buqC1.pdb1	6buqA1.pdb1	1423.75
6buqB1.pdb1	6buqA1.pdb1	634.9
3buaG1.pdb4	3buaC1.pdb4	810.25
5buqA1.pdb1	5buqB1.pdb1	1202.7
3bu8A2.pdb1	3bu8B1.pdb1	78.05
3bu8A2.pdb1	3bu8B2.pdb1	519.15
3bu8A2.pdb1	3bu8C2.pdb1	860.05
3bu8A1.pdb1	3bu8B1.pdb1	519.15
3bu8A1.pdb1	3bu8B2.pdb1	78.05
3bu8A1.pdb1	3bu8C1.pdb1	860.05
3bu8B1.pdb1	3bu8D1.pdb1	720.0
3bu8B1.pdb1	3bu8D2.pdb1	66.75
3bu8B1.pdb1	3bu8B2.pdb1	53.7
3bu8B1.pdb1	3bu8C1.pdb1	123.35
3bu8D1.pdb1	3bu8D2.pdb1	68.2
3bu8D1.pdb1	3bu8B2.pdb1	66.75
3bu8D2.pdb1	3bu8B2.pdb1	720.0
3bu8B2.pdb1	3bu8C2.pdb1	123.35
6butA1.pdb1	6butB1.pdb1	1140.1
5busA1.pdb1	5busB1.pdb1	1148.7
6bupD1.pdb1	6bupC1.pdb1	612.85
6bupD1.pdb1	6bupA1.pdb1	660.25
6bupD1.pdb1	6bupB1.pdb1	1439.9
6bupC1.pdb1	6bupA1.pdb1	1421.75
6bupC1.pdb1	6bupB1.pdb1	774.0
6bupA1.pdb1	6bupB1.pdb1	607.9
3buzA1.pdb1	3buzB1.pdb1	858.25
3buwC1.pdb6	3buwD1.pdb6	346.25
6buoA1.pdb1	6buoC1.pdb1	1420.9
6buoA1.pdb1	6buoD1.pdb1	910.55
6buoA1.pdb1	6buoB1.pdb1	631.25
6buoC1.pdb1	6buoD1.pdb1	615.2
6buoC1.pdb1	6buoB1.pdb1	951.9
6buoD1.pdb1	6buoB1.pdb1	1421.0
1buuA1.pdb1	1buuA3.pdb1	329.6
1buuA1.pdb1	1buuA2.pdb1	328.8
1buuA3.pdb1	1buuA2.pdb1	329.2
2buiC1.pdb2	2buiD1.pdb2	2967.95
3bu8B1.pdb4	3bu8D1.pdb4	705.6
2buiA1.pdb1	2buiB1.pdb1	2945.55
1buuA1.pdb2	1buuA2.pdb2	1005.5
1buuA1.pdb2	1buuA3.pdb2	1007.95
1buuA2.pdb2	1buuA3.pdb2	1010.25
6buhF1.pdb3	6buhE1.pdb3	715.9
2bucB1.pdb1	2bucA1.pdb1	2212.65
1bucA2.pdb1	1bucB1.pdb1	162.0
1bucA2.pdb1	1bucB2.pdb1	1889.1
1bucA2.pdb1	1bucA1.pdb1	1709.2
1bucB1.pdb1	1bucB2.pdb1	1806.4
1bucB1.pdb1	1bucA1.pdb1	1889.1
1bucB2.pdb1	1bucA1.pdb1	162.0
6buvB1.pdb1	6buvA1.pdb1	915.9
4buzA1.pdb1	4buzP1.pdb1	429.8
6buhB1.pdb2	6buhD1.pdb2	698.1
2bucD1.pdb2	2bucC1.pdb2	2195.15
1buoA2.pdb1	1buoA1.pdb1	1971.85
3buxD1.pdb6	3buxC1.pdb6	421.9
3buaE1.pdb2	3buaA1.pdb2	809.4
4bu2A1.pdb1	4bu2A2.pdb1	3371.7
5butE1.pdb1	5butG1.pdb1	707.0
5butE1.pdb1	5butJ1.pdb1	38.15
5butE1.pdb1	5butA1.pdb1	589.45
5butG1.pdb1	5butJ1.pdb1	90.0
5butG1.pdb1	5butI1.pdb1	356.55
5butG1.pdb1	5butC1.pdb1	608.95
5butJ1.pdb1	5butI1.pdb1	3736.4
5butJ1.pdb1	5butA1.pdb1	360.7
5butI1.pdb1	5butC1.pdb1	20.35
5butI1.pdb1	5butA1.pdb1	101.4
5butC1.pdb1	5butA1.pdb1	751.55
5bumB1.pdb1	5bumA1.pdb1	371.85
5buoB1.pdb1	5buoA1.pdb1	232.8
5bu6B2.pdb3	5bu6A1.pdb3	342.85
5bu7A2.pdb1	5bu7B1.pdb1	490.55
5bu7A2.pdb1	5bu7B2.pdb1	606.6
5bu7A2.pdb1	5bu7A1.pdb1	246.1
5bu7B1.pdb1	5bu7B2.pdb1	258.8
5bu7B1.pdb1	5bu7A1.pdb1	606.65
5bu7B2.pdb1	5bu7A1.pdb1	490.55
6bus41.pdb2	6bus31.pdb2	1270.45
2bu2A2.pdb1	2bu2A1.pdb1	1912.6
4bu0C1.pdb1	4bu0A1.pdb1	618.75
4bu0A1.pdb1	4bu0B1.pdb1	407.55
6buuF1.pdb1	6buuA1.pdb1	577.85
5buzF1.pdb2	5buzD1.pdb2	862.9
5buzD1.pdb2	5buzE1.pdb2	2349.95
2buzA7.pdb1	2buzA5.pdb1	144.55
2buzA7.pdb1	2buzB8.pdb1	65.75
2buzA7.pdb1	2buzA4.pdb1	144.4
2buzA7.pdb1	2buzB5.pdb1	129.95
2buzA7.pdb1	2buzB7.pdb1	3793.0
2buzA7.pdb1	2buzB4.pdb1	53.45
2buzA12.pdb1	2buzB11.pdb1	129.1
2buzA12.pdb1	2buzB9.pdb1	53.9
2buzA12.pdb1	2buzB7.pdb1	66.4
2buzA12.pdb1	2buzB12.pdb1	3797.35
2buzA12.pdb1	2buzA9.pdb1	144.2
2buzA12.pdb1	2buzA11.pdb1	144.45
2buzA5.pdb1	2buzB1.pdb1	66.25
2buzA5.pdb1	2buzA4.pdb1	144.15
2buzA5.pdb1	2buzB5.pdb1	3799.9
2buzA5.pdb1	2buzB7.pdb1	53.7
2buzA5.pdb1	2buzB4.pdb1	129.2
2buzB8.pdb1	2buzA8.pdb1	3799.85
2buzB8.pdb1	2buzA10.pdb1	53.9
2buzB8.pdb1	2buzB10.pdb1	503.65
2buzB8.pdb1	2buzB6.pdb1	504.1
2buzB8.pdb1	2buzB5.pdb1	1517.0
2buzB8.pdb1	2buzB7.pdb1	420.8
2buzB8.pdb1	2buzA6.pdb1	129.95
2buzB8.pdb1	2buzB12.pdb1	420.1
2buzA2.pdb1	2buzB1.pdb1	53.45
2buzA2.pdb1	2buzA1.pdb1	144.4
2buzA2.pdb1	2buzA3.pdb1	144.55
2buzA2.pdb1	2buzB3.pdb1	129.95
2buzA2.pdb1	2buzB9.pdb1	65.75
2buzA2.pdb1	2buzB2.pdb1	3793.0
2buzA8.pdb1	2buzA10.pdb1	144.2
2buzA8.pdb1	2buzB10.pdb1	129.2
2buzA8.pdb1	2buzB6.pdb1	53.7
2buzA8.pdb1	2buzA6.pdb1	144.55
2buzA8.pdb1	2buzB12.pdb1	66.2
2buzB1.pdb1	2buzA1.pdb1	3797.3
2buzB1.pdb1	2buzA3.pdb1	129.2
2buzB1.pdb1	2buzB6.pdb1	421.2
2buzB1.pdb1	2buzB3.pdb1	503.65
2buzB1.pdb1	2buzB5.pdb1	420.15
2buzB1.pdb1	2buzB2.pdb1	504.8
2buzB1.pdb1	2buzB4.pdb1	1530.9
2buzA1.pdb1	2buzA3.pdb1	144.15
2buzA1.pdb1	2buzB6.pdb1	66.35
2buzA1.pdb1	2buzB3.pdb1	53.9
2buzA1.pdb1	2buzB2.pdb1	129.05
2buzB11.pdb1	2buzA4.pdb1	66.35
2buzB11.pdb1	2buzB3.pdb1	420.8
2buzB11.pdb1	2buzB9.pdb1	504.1
2buzB11.pdb1	2buzB7.pdb1	1529.6
2buzB11.pdb1	2buzB12.pdb1	504.8
2buzB11.pdb1	2buzA9.pdb1	53.7
2buzB11.pdb1	2buzA11.pdb1	3793.0
2buzB11.pdb1	2buzB4.pdb1	421.2
2buzA10.pdb1	2buzB10.pdb1	3797.35
2buzA10.pdb1	2buzB6.pdb1	129.1
2buzA10.pdb1	2buzA6.pdb1	144.45
2buzA10.pdb1	2buzB2.pdb1	66.4
2buzA3.pdb1	2buzB3.pdb1	3799.9
2buzA3.pdb1	2buzB2.pdb1	53.7
2buzA3.pdb1	2buzB4.pdb1	66.25
2buzB10.pdb1	2buzB6.pdb1	504.8
2buzB10.pdb1	2buzB9.pdb1	420.1
2buzB10.pdb1	2buzA6.pdb1	53.45
2buzB10.pdb1	2buzB2.pdb1	421.15
2buzB10.pdb1	2buzB12.pdb1	1530.9
2buzB10.pdb1	2buzA9.pdb1	66.2
2buzB6.pdb1	2buzB5.pdb1	420.8
2buzB6.pdb1	2buzA6.pdb1	3793.0
2buzB6.pdb1	2buzB2.pdb1	1529.6
2buzA4.pdb1	2buzB5.pdb1	53.9
2buzA4.pdb1	2buzB7.pdb1	129.05
2buzA4.pdb1	2buzB4.pdb1	3797.3
2buzB3.pdb1	2buzB9.pdb1	1517.0
2buzB3.pdb1	2buzB2.pdb1	504.1
2buzB3.pdb1	2buzA11.pdb1	65.75
2buzB3.pdb1	2buzB4.pdb1	420.15
2buzB5.pdb1	2buzB7.pdb1	504.1
2buzB5.pdb1	2buzA6.pdb1	65.75
2buzB5.pdb1	2buzB4.pdb1	503.65
2buzB9.pdb1	2buzB2.pdb1	420.8
2buzB9.pdb1	2buzB12.pdb1	503.65
2buzB9.pdb1	2buzA9.pdb1	3799.85
2buzB9.pdb1	2buzA11.pdb1	129.95
2buzB7.pdb1	2buzB12.pdb1	421.15
2buzB7.pdb1	2buzB4.pdb1	504.8
2buzB12.pdb1	2buzA9.pdb1	129.2
2buzB12.pdb1	2buzA11.pdb1	53.45
2buzA9.pdb1	2buzA11.pdb1	144.55
3bu8A1.pdb3	3bu8C1.pdb3	860.05
5buwA3.pdb1	5buwB1.pdb1	1270.9
5buwA3.pdb1	5buwB3.pdb1	1399.5
5buwA3.pdb1	5buwA1.pdb1	26.05
5buwA3.pdb1	5buwA2.pdb1	26.05
5buwB1.pdb1	5buwB2.pdb1	25.5
5buwB1.pdb1	5buwB3.pdb1	25.55
5buwB1.pdb1	5buwA1.pdb1	1399.45
5buwB2.pdb1	5buwB3.pdb1	25.55
5buwB2.pdb1	5buwA1.pdb1	1270.9
5buwB2.pdb1	5buwA2.pdb1	1399.45
5buwB3.pdb1	5buwA2.pdb1	1270.9
5buwA1.pdb1	5buwA2.pdb1	26.05
4buoA1.pdb1	4buoC1.pdb1	797.3
5burB1.pdb1	5burA1.pdb1	1146.6
3bukB1.pdb1	3bukA1.pdb1	1442.25
3bukB1.pdb1	3bukD1.pdb1	506.7
3bukB1.pdb1	3bukC1.pdb1	758.55
3bukA1.pdb1	3bukD1.pdb1	787.55
3bukA1.pdb1	3bukC1.pdb1	511.75
3bukD1.pdb1	3bukC1.pdb1	85.5
6bugC1.pdb1	6bugA1.pdb1	708.8
2buhB1.pdb1	2buhA1.pdb1	2927.8
1buwB1.pdb1	1buwC1.pdb1	442.95
1buwB1.pdb1	1buwA1.pdb1	843.65
1buwC1.pdb1	1buwA1.pdb1	401.3
1buwC1.pdb1	1buwD1.pdb1	834.5
1buwA1.pdb1	1buwD1.pdb1	428.35
3bueF1.pdb3	3bueE1.pdb3	412.95
3bueF1.pdb3	3bueD1.pdb3	460.6
3bueE1.pdb3	3bueD1.pdb3	470.95
1bu6X1.pdb1	1bu6Y1.pdb1	6.55
1bu6X1.pdb1	1bu6O1.pdb1	797.35
1bu6X1.pdb1	1bu6Z1.pdb1	1733.1
1bu6Y1.pdb1	1bu6O1.pdb1	1705.45
1bu6Y1.pdb1	1bu6Z1.pdb1	784.7
1bu6O1.pdb1	1bu6Z1.pdb1	4.15
2buaB1.pdb1	2buaA1.pdb1	2189.55
2buaD1.pdb2	2buaC1.pdb2	2189.85
5buyC1.pdb1	5buyB1.pdb1	1182.7
5buyC1.pdb1	5buyD1.pdb1	1249.6
5buyB1.pdb1	5buyA1.pdb1	1252.4
5buyE1.pdb1	5buyA1.pdb1	1158.15
5buyE1.pdb1	5buyF1.pdb1	1198.25
5buyD1.pdb1	5buyF1.pdb1	1183.05
6buhG1.pdb4	6buhH1.pdb4	721.6
6bulA1.pdb1	6bulB1.pdb1	5765.8
3buxB1.pdb5	3buxA1.pdb5	419.65
1bu6X1.pdb3	1bu6Z1.pdb3	1733.1
4bu1C1.pdb2	4bu1A1.pdb2	497.65
6bugD1.pdb2	6bugB1.pdb2	734.45
6bumC1.pdb1	6bumB1.pdb1	936.05
6bumC1.pdb1	6bumA1.pdb1	1421.0
6bumC1.pdb1	6bumD1.pdb1	638.5
6bumB1.pdb1	6bumA1.pdb1	639.2
6bumB1.pdb1	6bumD1.pdb1	1417.8
6bumA1.pdb1	6bumD1.pdb1	911.85
6bu7A1.pdb1	6bu7B1.pdb1	3209.15
3bu3A1.pdb1	3bu3B1.pdb1	1031.0
3bu8A1.pdb2	3bu8B2.pdb2	1329.8
3bu8A1.pdb2	3bu8C1.pdb2	860.05
3bu8D2.pdb2	3bu8B2.pdb2	720.05
3bunA1.pdb3	3bunB1.pdb3	400.5
3bu2A1.pdb1	3bu2D1.pdb1	838.05
3bu2A1.pdb1	3bu2B1.pdb1	1966.35
3bu2D1.pdb1	3bu2C1.pdb1	2023.65
3bu2B1.pdb1	3bu2C1.pdb1	850.4
1buqA1.pdb1	1buqB1.pdb1	902.25
2bufK1.pdb2	2bufL1.pdb2	1289.65
2bufK1.pdb2	2bufJ1.pdb2	1325.4
2bufL1.pdb2	2bufH1.pdb2	1306.95
2bufJ1.pdb2	2bufI1.pdb2	1389.4
2bufI1.pdb2	2bufG1.pdb2	1394.2
2bufH1.pdb2	2bufG1.pdb2	1416.15
5buzB1.pdb1	5buzA1.pdb1	2327.15
5buzC1.pdb1	5buzA1.pdb1	833.2
3buoC1.pdb2	3buoD1.pdb2	557.05
3buaH1.pdb5	3buaD1.pdb5	787.9
6buhC1.pdb1	6buhA1.pdb1	693.4
2bufD1.pdb1	2bufF1.pdb1	1298.9
2bufD1.pdb1	2bufC1.pdb1	1280.5
2bufA1.pdb1	2bufB1.pdb1	1313.1
2bufA1.pdb1	2bufE1.pdb1	1274.55
2bufB1.pdb1	2bufC1.pdb1	1394.35
2bufF1.pdb1	2bufE1.pdb1	1380.35
4bu1B1.pdb1	4bu1D1.pdb1	487.95
6bus21.pdb1	6bus11.pdb1	1353.95
3buoA1.pdb1	3buoB1.pdb1	555.85
5butK1.pdb2	5butL1.pdb2	3677.15
4buoB1.pdb2	4buoD1.pdb2	798.95
1bunB1.pdb1	1bunA1.pdb1	522.5
3bu7B1.pdb1	3bu7A1.pdb1	1485.8
3bu7B1.pdb1	3bu7A2.pdb1	3566.65
3bu7A1.pdb1	3bu7B2.pdb1	3566.65
3bu7B2.pdb1	3bu7A2.pdb1	1485.8
6buuG1.pdb2	6buuB1.pdb2	588.0
2buwB1.pdb1	2buwA1.pdb1	3832.65
2buwB1.pdb1	2buwA5.pdb1	65.9
2buwB1.pdb1	2buwA2.pdb1	33.05
2buwB1.pdb1	2buwB6.pdb1	425.85
2buwB1.pdb1	2buwB5.pdb1	426.25
2buwB1.pdb1	2buwA3.pdb1	165.6
2buwB1.pdb1	2buwB3.pdb1	484.15
2buwB1.pdb1	2buwB2.pdb1	484.75
2buwB1.pdb1	2buwB4.pdb1	1517.0
2buwA10.pdb1	2buwA6.pdb1	189.1
2buwA10.pdb1	2buwB6.pdb1	163.85
2buwA10.pdb1	2buwB8.pdb1	32.3
2buwA10.pdb1	2buwB2.pdb1	65.95
2buwA10.pdb1	2buwA8.pdb1	188.95
2buwA10.pdb1	2buwB10.pdb1	3832.65
2buwA9.pdb1	2buwB11.pdb1	32.7
2buwA9.pdb1	2buwB12.pdb1	165.6
2buwA9.pdb1	2buwB9.pdb1	3840.5
2buwA9.pdb1	2buwA11.pdb1	188.95
2buwA9.pdb1	2buwB10.pdb1	65.9
2buwA9.pdb1	2buwA12.pdb1	188.95
2buwA1.pdb1	2buwA2.pdb1	189.1
2buwA1.pdb1	2buwB6.pdb1	65.95
2buwA1.pdb1	2buwA3.pdb1	188.95
2buwA1.pdb1	2buwB3.pdb1	32.3
