4cgwC1.pdb1	4cgwA1.pdb1	390.6
5cgiP1.pdb1	5cgiS1.pdb1	128.65
5cgiP1.pdb1	5cgiU1.pdb1	137.0
5cgiP1.pdb1	5cgiQ1.pdb1	1494.45
5cgiP1.pdb1	5cgiV1.pdb1	17.05
5cgiP1.pdb1	5cgiW1.pdb1	485.55
5cgiP1.pdb1	5cgiT1.pdb1	134.4
5cgiS1.pdb1	5cgiT1.pdb1	1353.05
5cgiM1.pdb1	5cgiU1.pdb1	77.9
5cgiM1.pdb1	5cgiN1.pdb1	617.0
5cgiM1.pdb1	5cgiE1.pdb1	599.3
5cgiM1.pdb1	5cgiL1.pdb1	944.1
5cgiM1.pdb1	5cgiV1.pdb1	916.95
5cgiM1.pdb1	5cgiF1.pdb1	466.0
5cgiM1.pdb1	5cgib1.pdb1	1350.95
5cgiU1.pdb1	5cgiV1.pdb1	642.15
5cgiU1.pdb1	5cgiT1.pdb1	1398.35
5cgiU1.pdb1	5cgib1.pdb1	421.15
5cgiN1.pdb1	5cgiF1.pdb1	472.75
5cgiN1.pdb1	5cgib1.pdb1	642.8
5cgiN1.pdb1	5cgiG1.pdb1	426.55
5cgiE1.pdb1	5cgiL1.pdb1	355.1
5cgiE1.pdb1	5cgiF1.pdb1	1340.9
5cgiE1.pdb1	5cgiB1.pdb1	138.3
5cgiQ1.pdb1	5cgiY1.pdb1	329.65
5cgiY1.pdb1	5cgiJ1.pdb1	792.7
5cgiL1.pdb1	5cgiV1.pdb1	1411.2
5cgiL1.pdb1	5cgiW1.pdb1	756.85
5cgiV1.pdb1	5cgiW1.pdb1	1623.55
5cgiV1.pdb1	5cgib1.pdb1	507.05
5cgiF1.pdb1	5cgiB1.pdb1	137.65
5cgiF1.pdb1	5cgiG1.pdb1	1398.5
5cgiJ1.pdb1	5cgiB1.pdb1	527.4
5cgiT1.pdb1	5cgib1.pdb1	470.35
5cgiB1.pdb1	5cgiG1.pdb1	130.1
3cgiC3.pdb2	3cgiC2.pdb2	137.8
3cgiC3.pdb2	3cgiD1.pdb2	1468.7
3cgiC3.pdb2	3cgiD2.pdb2	141.0
3cgiC3.pdb2	3cgiC1.pdb2	137.75
3cgiC3.pdb2	3cgiD3.pdb2	1443.4
3cgiC2.pdb2	3cgiD1.pdb2	141.0
3cgiC2.pdb2	3cgiD2.pdb2	1443.4
3cgiC2.pdb2	3cgiC1.pdb2	137.75
3cgiC2.pdb2	3cgiD3.pdb2	1468.8
3cgiD1.pdb2	3cgiD2.pdb2	129.65
3cgiD1.pdb2	3cgiC1.pdb2	1443.4
3cgiD1.pdb2	3cgiD3.pdb2	129.7
3cgiD2.pdb2	3cgiC1.pdb2	1468.75
3cgiD2.pdb2	3cgiD3.pdb2	129.7
3cgiC1.pdb2	3cgiD3.pdb2	141.05
1cgsH1.pdb1	1cgsL1.pdb1	1755.05
3cg7A1.pdb1	3cg7B1.pdb1	892.9
2cgfA2.pdb1	2cgfA1.pdb1	1047.3
5cglB1.pdb1	5cglA1.pdb1	439.4
5cg1B1.pdb1	5cg1B2.pdb1	1328.7
5cg1B1.pdb1	5cg1A1.pdb1	1651.05
5cg1B1.pdb1	5cg1A2.pdb1	614.15
5cg1B2.pdb1	5cg1A1.pdb1	614.2
5cg1B2.pdb1	5cg1A2.pdb1	1651.05
5cg1A1.pdb1	5cg1A2.pdb1	1323.9
1cgzA2.pdb1	1cgzA1.pdb1	2952.35
2cgrH1.pdb1	2cgrL1.pdb1	1740.3
6cgfA1.pdb1	6cgfB1.pdb1	2573.95
5cgzB2.pdb2	5cgzB1.pdb2	706.2
5cgzB2.pdb2	5cgzB6.pdb2	1592.7
5cgzB2.pdb2	5cgzB3.pdb2	705.2
5cgzB2.pdb2	5cgzB4.pdb2	1080.45
5cgzB1.pdb2	5cgzB5.pdb2	1080.5
5cgzB1.pdb2	5cgzB3.pdb2	707.25
5cgzB1.pdb2	5cgzB4.pdb2	1589.75
5cgzB6.pdb2	5cgzB5.pdb2	705.25
5cgzB6.pdb2	5cgzB3.pdb2	1082.65
5cgzB6.pdb2	5cgzB4.pdb2	707.2
5cgzB5.pdb2	5cgzB3.pdb2	1592.75
5cgzB5.pdb2	5cgzB4.pdb2	706.15
3cg6B1.pdb4	3cg6B2.pdb4	1002.4
1cg3A1.pdb1	1cg3A2.pdb1	2904.7
6cgbA1.pdb1	6cgbA2.pdb1	1306.9
5cg2A2.pdb1	5cg2A1.pdb1	1319.75
5cg2A2.pdb1	5cg2B1.pdb1	544.75
5cg2A2.pdb1	5cg2B2.pdb1	1656.9
5cg2A1.pdb1	5cg2B1.pdb1	1656.95
5cg2A1.pdb1	5cg2B2.pdb1	544.7
5cg2B1.pdb1	5cg2B2.pdb1	1322.6
2cgzA1.pdb1	2cgzA4.pdb1	48.85
2cgzA1.pdb1	2cgzA2.pdb1	762.5
2cgzA1.pdb1	2cgzA3.pdb1	762.5
2cgzA4.pdb1	2cgzA5.pdb1	762.55
2cgzA4.pdb1	2cgzA6.pdb1	762.5
2cgzA2.pdb1	2cgzA3.pdb1	762.55
2cgzA2.pdb1	2cgzA6.pdb1	48.85
2cgzA3.pdb1	2cgzA5.pdb1	48.9
2cgzA5.pdb1	2cgzA6.pdb1	762.5
4cgrA1.pdb1	4cgrB1.pdb1	962.4
2cg6A2.pdb1	2cg6A1.pdb1	863.6
1cgjE1.pdb1	1cgjI1.pdb1	998.85
2cg8A2.pdb1	2cg8D2.pdb1	729.5
2cg8A2.pdb1	2cg8B1.pdb1	1401.45
2cg8A2.pdb1	2cg8C1.pdb1	31.4
2cg8A2.pdb1	2cg8B2.pdb1	1399.4
2cg8A2.pdb1	2cg8C2.pdb1	10.5
2cg8D2.pdb1	2cg8B1.pdb1	12.35
2cg8D2.pdb1	2cg8C1.pdb1	1408.2
2cg8D2.pdb1	2cg8B2.pdb1	30.0
2cg8D2.pdb1	2cg8C2.pdb1	1520.4
2cg8B1.pdb1	2cg8D1.pdb1	30.0
2cg8B1.pdb1	2cg8C1.pdb1	720.05
2cg8B1.pdb1	2cg8A1.pdb1	1399.4
2cg8D1.pdb1	2cg8C1.pdb1	1520.4
2cg8D1.pdb1	2cg8B2.pdb1	12.35
2cg8D1.pdb1	2cg8C2.pdb1	1408.2
2cg8D1.pdb1	2cg8A1.pdb1	729.5
2cg8C1.pdb1	2cg8A1.pdb1	10.5
2cg8B2.pdb1	2cg8C2.pdb1	720.05
2cg8B2.pdb1	2cg8A1.pdb1	1401.45
2cg8C2.pdb1	2cg8A1.pdb1	31.4
3cg6A1.pdb1	3cg6B2.pdb1	464.4
6cguB1.pdb2	6cguC1.pdb2	1335.25
3cguB1.pdb1	3cguA1.pdb1	1483.4
3cgwA1.pdb1	3cgwA2.pdb1	945.35
6cguD1.pdb1	6cguA1.pdb1	1329.15
6cgeB1.pdb1	6cgeA1.pdb1	2701.7
6cgyL1.pdb1	6cgyH1.pdb1	702.55
6cgyH1.pdb1	6cgyA1.pdb1	593.95
5cgeF1.pdb2	5cgeE1.pdb2	928.75
5cgeF1.pdb2	5cgeD1.pdb2	948.0
5cgeE1.pdb2	5cgeD1.pdb2	989.65
3cguA1.pdb2	3cguB2.pdb2	1035.7
3cgcA1.pdb1	3cgcB1.pdb1	2671.45
4cghA1.pdb1	4cghB1.pdb1	1392.35
1cgqC1.pdb1	1cgqB1.pdb1	1081.45
1cgqC1.pdb1	1cgqA1.pdb1	1089.05
1cgqB1.pdb1	1cgqA1.pdb1	1080.15
3cglE2.pdb2	3cglF2.pdb2	453.9
3cglE2.pdb2	3cglF1.pdb2	25.05
3cglE2.pdb2	3cglE1.pdb2	1170.0
3cglF2.pdb2	3cglF1.pdb2	119.7
3cglF2.pdb2	3cglE1.pdb2	25.05
3cglF1.pdb2	3cglE1.pdb2	453.9
2cgtG1.pdb1	2cgtF1.pdb1	1625.5
2cgtG1.pdb1	2cgtU1.pdb1	29.55
2cgtG1.pdb1	2cgtA1.pdb1	1625.55
2cgtG1.pdb1	2cgtM1.pdb1	127.15
2cgtG1.pdb1	2cgtN1.pdb1	218.45
2cgtP1.pdb1	2cgtQ1.pdb1	639.7
2cgtP1.pdb1	2cgtO1.pdb1	639.65
2cgtP1.pdb1	2cgtB1.pdb1	29.55
2cgtF1.pdb1	2cgtT1.pdb1	29.5
2cgtF1.pdb1	2cgtE1.pdb1	1625.5
2cgtF1.pdb1	2cgtM1.pdb1	218.4
2cgtF1.pdb1	2cgtL1.pdb1	127.1
2cgtQ1.pdb1	2cgtC1.pdb1	29.55
2cgtQ1.pdb1	2cgtR1.pdb1	639.6
2cgtJ1.pdb1	2cgtK1.pdb1	637.2
2cgtJ1.pdb1	2cgtD1.pdb1	127.15
2cgtJ1.pdb1	2cgtI1.pdb1	637.2
2cgtJ1.pdb1	2cgtC1.pdb1	218.45
2cgtT1.pdb1	2cgtU1.pdb1	636.45
2cgtT1.pdb1	2cgtS1.pdb1	639.6
2cgtK1.pdb1	2cgtD1.pdb1	218.45
2cgtK1.pdb1	2cgtE1.pdb1	127.15
2cgtK1.pdb1	2cgtL1.pdb1	637.3
2cgtO1.pdb1	2cgtU1.pdb1	639.7
2cgtO1.pdb1	2cgtA1.pdb1	29.55
2cgtD1.pdb1	2cgtC1.pdb1	1625.45
2cgtD1.pdb1	2cgtE1.pdb1	1625.6
2cgtD1.pdb1	2cgtR1.pdb1	29.5
2cgtB1.pdb1	2cgtA1.pdb1	1625.55
2cgtB1.pdb1	2cgtI1.pdb1	218.4
2cgtB1.pdb1	2cgtC1.pdb1	1625.5
2cgtB1.pdb1	2cgtH1.pdb1	127.15
2cgtA1.pdb1	2cgtN1.pdb1	127.2
2cgtA1.pdb1	2cgtH1.pdb1	218.45
2cgtS1.pdb1	2cgtE1.pdb1	29.55
2cgtS1.pdb1	2cgtR1.pdb1	639.65
2cgtI1.pdb1	2cgtC1.pdb1	127.15
2cgtI1.pdb1	2cgtH1.pdb1	637.25
2cgtE1.pdb1	2cgtL1.pdb1	218.4
2cgtM1.pdb1	2cgtN1.pdb1	637.3
2cgtM1.pdb1	2cgtL1.pdb1	637.15
2cgtN1.pdb1	2cgtH1.pdb1	637.25
4cgaA1.pdb1	4cgaA2.pdb1	1217.4
5cghO1.pdb1	5cghV1.pdb1	665.65
5cghO1.pdb1	5cghR1.pdb1	33.8
5cghO1.pdb1	5cghT1.pdb1	150.15
5cghO1.pdb1	5cghS1.pdb1	58.4
5cghO1.pdb1	5cghU1.pdb1	1414.2
5cghO1.pdb1	5cghP1.pdb1	1373.3
5cghO1.pdb1	5cghQ1.pdb1	106.75
5cghO1.pdb1	5cghW1.pdb1	531.15
5cghe1.pdb1	5cghK1.pdb1	137.65
5cghe1.pdb1	5cghL1.pdb1	54.3
5cghE1.pdb1	5cghM1.pdb1	606.1
5cghE1.pdb1	5cghA1.pdb1	59.35
5cghE1.pdb1	5cghB1.pdb1	136.35
5cghE1.pdb1	5cghF1.pdb1	1350.5
5cghE1.pdb1	5cghD1.pdb1	1026.7
5cghE1.pdb1	5cghL1.pdb1	356.55
5cghV1.pdb1	5cghM1.pdb1	929.75
5cghV1.pdb1	5cghK1.pdb1	97.25
5cghV1.pdb1	5cghU1.pdb1	645.05
5cghV1.pdb1	5cghb1.pdb1	484.95
5cghV1.pdb1	5cghP1.pdb1	15.75
5cghV1.pdb1	5cghL1.pdb1	1407.1
5cghV1.pdb1	5cghW1.pdb1	1609.15
5cghR1.pdb1	5cghY1.pdb1	422.35
5cghR1.pdb1	5cghS1.pdb1	1035.7
5cghR1.pdb1	5cghP1.pdb1	115.35
5cghR1.pdb1	5cghQ1.pdb1	1285.55
5cghR1.pdb1	5cghZ1.pdb1	539.95
5cghY1.pdb1	5cghJ1.pdb1	781.7
5cghY1.pdb1	5cghI1.pdb1	992.95
5cghY1.pdb1	5cghQ1.pdb1	324.25
5cghY1.pdb1	5cghf1.pdb1	137.75
5cghY1.pdb1	5cghX1.pdb1	643.15
5cghY1.pdb1	5cghZ1.pdb1	704.75
5cghY1.pdb1	5cghH1.pdb1	95.2
5cghJ1.pdb1	5cghI1.pdb1	602.0
5cghJ1.pdb1	5cghK1.pdb1	636.05
5cghJ1.pdb1	5cghB1.pdb1	533.0
5cghJ1.pdb1	5cghX1.pdb1	715.85
5cghJ1.pdb1	5cghC1.pdb1	403.6
5cghT1.pdb1	5cgha1.pdb1	464.1
5cghT1.pdb1	5cghS1.pdb1	1356.35
5cghT1.pdb1	5cghU1.pdb1	1380.15
5cghT1.pdb1	5cghb1.pdb1	475.8
5cghT1.pdb1	5cghP1.pdb1	144.0
5cghI1.pdb1	5cghA1.pdb1	533.8
5cghI1.pdb1	5cghB1.pdb1	485.7
5cghI1.pdb1	5cghZ1.pdb1	744.95
5cghI1.pdb1	5cghH1.pdb1	1615.2
5cghM1.pdb1	5cghU1.pdb1	76.1
5cghM1.pdb1	5cghb1.pdb1	1346.15
5cghM1.pdb1	5cghF1.pdb1	472.6
5cghM1.pdb1	5cghN1.pdb1	618.3
5cghM1.pdb1	5cghL1.pdb1	950.4
5cghG1.pdb1	5cgha1.pdb1	76.8
5cghG1.pdb1	5cghA1.pdb1	1394.45
5cghG1.pdb1	5cghB1.pdb1	133.8
5cghG1.pdb1	5cghF1.pdb1	1381.15
5cghG1.pdb1	5cghN1.pdb1	427.95
5cghG1.pdb1	5cghH1.pdb1	652.25
5cgha1.pdb1	5cghS1.pdb1	621.4
5cgha1.pdb1	5cghb1.pdb1	618.25
5cgha1.pdb1	5cghN1.pdb1	1344.4
5cgha1.pdb1	5cghZ1.pdb1	956.35
5cgha1.pdb1	5cghH1.pdb1	918.4
5cghA1.pdb1	5cghB1.pdb1	1363.4
5cghA1.pdb1	5cghF1.pdb1	149.95
5cghA1.pdb1	5cghD1.pdb1	32.25
5cghA1.pdb1	5cghC1.pdb1	104.6
5cghA1.pdb1	5cghH1.pdb1	657.6
5cghK1.pdb1	5cghX1.pdb1	781.2
5cghK1.pdb1	5cghD1.pdb1	422.2
5cghK1.pdb1	5cghC1.pdb1	327.95
5cghK1.pdb1	5cghL1.pdb1	702.25
5cghK1.pdb1	5cghW1.pdb1	999.9
5cghS1.pdb1	5cghP1.pdb1	133.05
5cghS1.pdb1	5cghZ1.pdb1	353.5
5cghU1.pdb1	5cghb1.pdb1	424.1
5cghU1.pdb1	5cghP1.pdb1	140.45
5cghB1.pdb1	5cghF1.pdb1	142.55
5cghB1.pdb1	5cghD1.pdb1	112.85
5cghB1.pdb1	5cghC1.pdb1	1542.8
5cghB1.pdb1	5cghH1.pdb1	12.05
5cghb1.pdb1	5cghN1.pdb1	649.1
5cghP1.pdb1	5cghQ1.pdb1	1506.9
5cghP1.pdb1	5cghX1.pdb1	529.6
5cghP1.pdb1	5cghW1.pdb1	492.75
5cghQ1.pdb1	5cghX1.pdb1	401.95
5cghF1.pdb1	5cghN1.pdb1	474.75
5cghf1.pdb1	5cghZ1.pdb1	54.65
5cghX1.pdb1	5cghW1.pdb1	595.2
5cghD1.pdb1	5cghC1.pdb1	1280.75
5cghD1.pdb1	5cghL1.pdb1	537.05
5cghN1.pdb1	5cghH1.pdb1	483.3
5cghZ1.pdb1	5cghH1.pdb1	1399.9
5cghL1.pdb1	5cghW1.pdb1	746.25
5cg0C1.pdb2	5cg0D1.pdb2	912.0
3cgaA1.pdb1	3cgaB1.pdb1	1218.7
2cg2A1.pdb1	2cg2A2.pdb1	5096.75
1cgoA1.pdb1	1cgoA2.pdb1	522.7
4cg4D1.pdb2	4cg4C1.pdb2	4992.35
5cgnG2.pdb2	5cgnE3.pdb2	222.45
5cgnG2.pdb2	5cgnH2.pdb2	391.5
5cgnE3.pdb2	5cgnB1.pdb2	16.55
5cgnE3.pdb2	5cgnF3.pdb2	474.5
2cg1A1.pdb1	2cg1A2.pdb1	6739.8
6cgcB1.pdb1	6cgcA1.pdb1	2655.4
4cgjB1.pdb1	4cgjA1.pdb1	1462.15
1cgnA1.pdb1	1cgnA2.pdb1	515.7
3cg6A1.pdb2	3cg6B4.pdb2	464.4
3cg6A1.pdb2	3cg6B3.pdb2	114.55
3cg6A1.pdb2	3cg6A2.pdb2	1293.6
3cg6B4.pdb2	3cg6B3.pdb2	1002.4
3cg6B4.pdb2	3cg6A2.pdb2	114.55
3cg6B3.pdb2	3cg6A2.pdb2	464.4
3cgeB1.pdb1	3cgeA1.pdb1	2654.65
6cg5C1.pdb1	6cg5B2.pdb1	80.6
6cg5C1.pdb1	6cg5A1.pdb1	178.6
6cg5C1.pdb1	6cg5B1.pdb1	156.75
6cg5C2.pdb1	6cg5B2.pdb1	156.75
6cg5C2.pdb1	6cg5B1.pdb1	80.6
6cg5C2.pdb1	6cg5A2.pdb1	178.6
6cg5B2.pdb1	6cg5B1.pdb1	185.4
6cg5B2.pdb1	6cg5A2.pdb1	176.95
6cg5A1.pdb1	6cg5B1.pdb1	176.95
5cgfX1.pdb1	5cgfQ1.pdb1	400.55
5cgfX1.pdb1	5cgfP1.pdb1	547.4
5cgfX1.pdb1	5cgfY1.pdb1	653.9
5cgfX1.pdb1	5cgfK1.pdb1	739.8
5cgfX1.pdb1	5cgfJ1.pdb1	702.1
5cgfX1.pdb1	5cgfW1.pdb1	559.3
5cgfV1.pdb1	5cgfU1.pdb1	636.65
5cgfV1.pdb1	5cgfM1.pdb1	901.1
5cgfV1.pdb1	5cgfL1.pdb1	1465.4
5cgfV1.pdb1	5cgfP1.pdb1	280.85
5cgfV1.pdb1	5cgfK1.pdb1	92.9
5cgfV1.pdb1	5cgfb1.pdb1	471.9
5cgfV1.pdb1	5cgfO1.pdb1	644.3
5cgfV1.pdb1	5cgfW1.pdb1	1636.05
5cgfQ1.pdb1	5cgfP1.pdb1	1509.95
5cgfQ1.pdb1	5cgfY1.pdb1	323.55
5cgfQ1.pdb1	5cgfR1.pdb1	1256.5
5cgfQ1.pdb1	5cgfO1.pdb1	86.7
5cgfI1.pdb1	5cgfZ1.pdb1	708.4
5cgfI1.pdb1	5cgfH1.pdb1	1631.35
5cgfI1.pdb1	5cgfY1.pdb1	965.35
5cgfI1.pdb1	5cgfJ1.pdb1	557.95
5cgfI1.pdb1	5cgfB1.pdb1	480.1
5cgfI1.pdb1	5cgfA1.pdb1	526.1
5cgfU1.pdb1	5cgfM1.pdb1	77.1
5cgfU1.pdb1	5cgfP1.pdb1	135.35
5cgfU1.pdb1	5cgfT1.pdb1	1360.55
5cgfU1.pdb1	5cgfb1.pdb1	451.55
5cgfU1.pdb1	5cgfO1.pdb1	1396.5
5cgfC1.pdb1	5cgfK1.pdb1	329.75
5cgfC1.pdb1	5cgfJ1.pdb1	404.2
5cgfC1.pdb1	5cgfB1.pdb1	1545.55
5cgfC1.pdb1	5cgfA1.pdb1	77.7
5cgfC1.pdb1	5cgfD1.pdb1	1274.9
5cgfZ1.pdb1	5cgfH1.pdb1	1456.35
5cgfZ1.pdb1	5cgfY1.pdb1	682.1
5cgfZ1.pdb1	5cgfa1.pdb1	929.15
5cgfZ1.pdb1	5cgfR1.pdb1	529.9
5cgfZ1.pdb1	5cgfS1.pdb1	352.65
5cgfH1.pdb1	5cgfG1.pdb1	643.95
5cgfH1.pdb1	5cgfN1.pdb1	483.3
5cgfH1.pdb1	5cgfY1.pdb1	91.4
5cgfH1.pdb1	5cgfB1.pdb1	276.6
5cgfH1.pdb1	5cgfA1.pdb1	644.3
5cgfH1.pdb1	5cgfa1.pdb1	918.3
5cgfM1.pdb1	5cgfE1.pdb1	574.5
5cgfM1.pdb1	5cgfL1.pdb1	919.45
5cgfM1.pdb1	5cgfN1.pdb1	629.3
5cgfM1.pdb1	5cgfF1.pdb1	446.9
5cgfM1.pdb1	5cgfb1.pdb1	1341.75
5cgfE1.pdb1	5cgfL1.pdb1	349.45
5cgfE1.pdb1	5cgfF1.pdb1	1309.8
5cgfE1.pdb1	5cgfB1.pdb1	134.7
5cgfE1.pdb1	5cgfA1.pdb1	60.85
5cgfE1.pdb1	5cgfD1.pdb1	993.45
5cgfL1.pdb1	5cgfK1.pdb1	686.05
5cgfL1.pdb1	5cgfD1.pdb1	523.15
5cgfL1.pdb1	5cgfW1.pdb1	707.7
5cgfG1.pdb1	5cgfN1.pdb1	456.55
5cgfG1.pdb1	5cgfF1.pdb1	1366.4
5cgfG1.pdb1	5cgfB1.pdb1	128.0
5cgfG1.pdb1	5cgfA1.pdb1	1385.55
5cgfG1.pdb1	5cgfa1.pdb1	70.25
5cgfN1.pdb1	5cgfF1.pdb1	480.7
5cgfN1.pdb1	5cgfb1.pdb1	635.55
5cgfN1.pdb1	5cgfa1.pdb1	1350.55
5cgfF1.pdb1	5cgfB1.pdb1	138.25
5cgfF1.pdb1	5cgfA1.pdb1	155.9
5cgfP1.pdb1	5cgfT1.pdb1	133.1
5cgfP1.pdb1	5cgfR1.pdb1	120.8
5cgfP1.pdb1	5cgfS1.pdb1	122.05
5cgfP1.pdb1	5cgfO1.pdb1	1340.6
5cgfP1.pdb1	5cgfW1.pdb1	481.6
5cgfT1.pdb1	5cgfb1.pdb1	482.45
5cgfT1.pdb1	5cgfa1.pdb1	448.95
5cgfT1.pdb1	5cgfS1.pdb1	1325.45
5cgfT1.pdb1	5cgfO1.pdb1	149.8
5cgfY1.pdb1	5cgfJ1.pdb1	740.25
5cgfY1.pdb1	5cgfR1.pdb1	418.0
5cgfK1.pdb1	5cgfJ1.pdb1	648.1
5cgfK1.pdb1	5cgfD1.pdb1	422.85
5cgfK1.pdb1	5cgfW1.pdb1	972.0
5cgfJ1.pdb1	5cgfB1.pdb1	538.45
5cgfb1.pdb1	5cgfa1.pdb1	631.1
5cgfB1.pdb1	5cgfA1.pdb1	1334.5
5cgfB1.pdb1	5cgfD1.pdb1	117.8
5cgfA1.pdb1	5cgfD1.pdb1	22.05
5cgfa1.pdb1	5cgfS1.pdb1	581.2
5cgfR1.pdb1	5cgfS1.pdb1	1012.8
5cgfR1.pdb1	5cgfO1.pdb1	26.45
5cgfS1.pdb1	5cgfO1.pdb1	58.65
5cgfO1.pdb1	5cgfW1.pdb1	525.35
3cgiB2.pdb3	3cgiA2.pdb3	1356.6
3cgiB2.pdb3	3cgiC2.pdb3	330.75
3cgiB2.pdb3	3cgiA3.pdb3	1378.4
3cgiB2.pdb3	3cgiB3.pdb3	135.65
3cgiB2.pdb3	3cgiB1.pdb3	135.6
3cgiB2.pdb3	3cgiA1.pdb3	124.45
3cgiA2.pdb3	3cgiA3.pdb3	107.8
3cgiA2.pdb3	3cgiD2.pdb3	323.05
3cgiA2.pdb3	3cgiB3.pdb3	124.5
3cgiA2.pdb3	3cgiB1.pdb3	1378.45
3cgiA2.pdb3	3cgiA1.pdb3	107.85
3cgiC2.pdb3	3cgiD3.pdb3	1468.8
3cgiC2.pdb3	3cgiD1.pdb3	141.0
3cgiC2.pdb3	3cgiD2.pdb3	1443.4
3cgiC2.pdb3	3cgiC1.pdb3	137.75
3cgiC2.pdb3	3cgiC3.pdb3	137.8
3cgiD3.pdb3	3cgiD1.pdb3	129.7
3cgiD3.pdb3	3cgiA3.pdb3	323.05
3cgiD3.pdb3	3cgiD2.pdb3	129.7
3cgiD3.pdb3	3cgiC1.pdb3	141.05
3cgiD3.pdb3	3cgiC3.pdb3	1443.4
3cgiD1.pdb3	3cgiD2.pdb3	129.65
3cgiD1.pdb3	3cgiC1.pdb3	1443.4
3cgiD1.pdb3	3cgiC3.pdb3	1468.7
3cgiD1.pdb3	3cgiA1.pdb3	323.0
3cgiA3.pdb3	3cgiB3.pdb3	1356.6
3cgiA3.pdb3	3cgiB1.pdb3	124.45
3cgiA3.pdb3	3cgiA1.pdb3	107.8
3cgiD2.pdb3	3cgiC1.pdb3	1468.75
3cgiD2.pdb3	3cgiC3.pdb3	141.0
